"its","яго"
"a recapitulation","рэзюмэ"
"the synthesis","сінтэз"
" of the two themes"," з дзвюх тэм"
" of previous passages"," папярэдніх урыўкаў"
"a verse","верш"
"a chorus","прыпеў"
"the finale","завяршэнне"
"the coda","кода"
"a bridge-passage","пераходны ўрывак"
"first ","першы "
"second ","другі "
"theme","тэма"
"a series of variations","шэраг варыяцый"
" on the theme"," на тэму"
" on the first theme"," на першую тэму"
" on the second theme"," на другую тэму"
" and "," і "
"You continue the dance.","Вы працягваеце танец."
"The dance continues.","Танец працягваецца."
"You continue the music.","Вы працягваеце гуляць музыку."
"The music continues.","Музыка працягваецца."
"You conclude your performance.","Вы завяршаеце выступ."
"The performers are finished.","Выканаўцы скончылі выступ."
"Some performers finish their act.","Частка артыстаў заканчваюць нумар."
" has finished performing."," завяршае выступ."
" concludes a performance."," завяршае выступ."
"You've learned ","Вы навучыліся "
"You feel like you know the basic rules of ","Вы адчуваеце, што ведаеце асноўныя правілы "
" now."," цяпер."
"Your","Ваш"
"'s"," "
" lay"," легчы"
" forth an awe-inspiring sermon for the ages!"," казанне якое выклікае трапятанне на стагоддзі!"
" artfully deliver"," па - майстэрску дастаўляе"
" a lucid and powerful sermon."," ясную і моцную пропаведзь."
" giving a creditable sermon."," чытаючы неблагую пропаведзь."
" just can't give a sermon very well."," не можа добра весці пропаведзь."
" dance"," танец"
" flawlessly, like someone out of a legend!"," бездакорна, як з легенды!"
" dancing exceptionally."," выдатна танцуючы."
" dancing well."," добра танцуючы."
" get"," "
" tangled up."," заблытаўся."
" and the "," і "
" are indistinguishable!"," неадрозны!"
"instrument","інструмент"
" delivering a virtuoso performance on the "," віртуозна выконвая на "
" is absolutely flawless."," абсалютна бездакорна."
"chant","напявае"
"song","песні"
" could nearly pass for the voice of the "," хіба мог сысці за голас "
" play"," гуляць"
" the "," "
" with skill."," з майстэрствам."
"sing","пець"
" beautifully."," надзвычайна."
" sound"," гук"
" vaguely like the intended "," цьмяна падобна на задуманае "
" playing the "," гуляе "
" well."," добра."
"chanting","напевы"
"singing","спяваючы"
" make"," рабіць"
" a mockery of the "," здзек над "
" with a shameworthy performance."," ганебным выступам."
"doesn't","не"
"don't","не"
" seem to know how to play the "," здаецца, ведае як гуляць "
" sloppily"," неахайна"
" and even forget"," і нават забыць"
" some of the words."," некаторыя словы."
" bring"," ажыццяўляеце"
" the poem to life with this flawless recitation."," ажывіў верш сваім бездакорным апавяданнем."
" choose"," выбіраеце"
" the perfect phrasing."," ідэальные фразіроўкі."
" recite"," апавядаеце"
" the words evocatively."," кранальныя словы."
" enunciate"," прамаўляеце"
" crisply."," рашуча."
" speak"," гаворыце"
" mumble"," мармычаце"
", having completely forgotten the words.",", каб прыгадаць словы."
" poorly."," дрэнна."
" weave"," тчаце"
" a mesmerizing tale!"," зачаравальную гісторыю!"
" tell"," апавядае"
" the story in vivid detail."," гісторыю ў яркіх дэталях."
" telling the tale quite well."," даволі добра распавядая байку."
" stumble"," спатыкаецеся"
" over the details."," падрабязна."
"It has no writing.","Тут нічога не напісана."
"The pages are blank.","Старонкі пустыя."
"It has no pages.","Тут няма старонак."
"Alias: ","Мянушка: "
"Highest known in organization","Самы вядомы ў арганізацыі"
"Associated Organization: ","Асацыяваная арганізацыя: "
"Associated Plot: ","Звязаны сюжэт: "
"We should have made it there by now.","Мы ўжо павінны быць там."
"We should be making better progress.","Мы мусім працаваць больш плённа."
"We are going the wrong way.","Мы рушым не ў тым напрамку."
"We haven't performed for some time.","Мы не выступалі некаторы час."
"We have arrived at our destination.","Мы прыехалі да месца прызначэння."
"The oppressor has been overthrown!","Прыгнятальнік скінуты!"
"We must not abandon ","Мы павінны не кідаць "
"We must go back.","Мы павінны вярнуцца."
"Empty announcement ","Пустая аб'ява "
"The "," "
"spinning ","круцячы "
"flying ","лятучы "
"It","Ён"
", but it is deflected by ",", але было адбіта "
" by the "," па - за "
" in the "," ва "
" from behind"," ззаду"
" from the side"," з боку"
" with "," з дапамогай "
", but the attack is deflected by ",", але атака адбіта "
", lightly tapping the target!",", крыху зачапіўшы мішэнь!"
", but there is no force!",", але не было прынята!"
", but it passes right through!",", але праходзіць наскрозь!"
", but the attack passes right through!",", але атака праходзіць наскрозь!"
", but it glances away!",", але рыкашэціць!"
", but the attack glances away!",", але атака рыкашэце!"
" and the severed part sails off in an arc!"," і адсечаная частка цела адлятае па дузе!"
"the part","частка"
" is smashed into the body, an unrecognizable mass!"," уразаецца ў цела з непазнавальнай масай!"
" splits in gore!"," распадаецца ў крывавы фарш!"
" collapses!"," руйнуецца!"
"the injured part","пашкоджаная частка"
" is ripped into loose shreds!"," разарвана на маленькія шматкі!"
" is torn apart!"," разарвана на кавалкі!"
" and it is mostly cut away from the rest of the torso!"," і амаль адсечана ад цела!"
" is cloven asunder!"," рассечана на часткі!"
" explodes into gore!"," выбухае ў знявечаны фарш!"
" collapses into a lump of gore!"," развальваецца ў непазнавальную масу!"
" is crushed!"," раструшчана!"
"The geldables have been torn away!","Прычындалы былі адарваныя!"
"tearing","раздзіраючы"
"tearing apart","раздзіраючы на часткі"
"shattering","руйнуючы"
"chipping","сколваючы"
"fracturing","ламаючы"
"denting","пракусваючы"
"bruising","ранячы"
"'s "," - "
" it"," яе"
" apart"," на часткі"
" and"," і"
" tearing apart"," раздзіраючы на часткі"
" shattering"," руйнуючы"
" tearing"," раздзіраючы"
" chipping"," сколваючы"
" fracturing"," ламаючы"
" denting"," пракусваючы"
" bruising"," ранячы"
"main part","асноўная частка"
" through a hole in the "," праз дзірку ў "
"passing through a hole in the ","пралазіць праз дзірку ў "
"jamming the","сціскаючы"
" part"," частка"
"through the ","праз "
"out of the wound","з раны"
"breaking away","адрываючы"
" most of"," большую частку"
" half of"," палову"
" a piece of"," кавалак"
" the rest of"," рэшткі"
" through the "," праз "
" and spilling "," і праліваючы "
"your","ваш"
"rancid","прагорклы"
"decomposing","раскладаючыйся"
"rotten","гнілы"
"fetid","смуродны"
"foul","дурань"
"reeking","пахучы"
"filthy","брудны"
"stinking","смярдзючы"
"It is a gelding strike!","Гэта каструючае пападанне!"
"It is a gelding blow!","Гэта каструючы ўдар!"
"a major artery","буйная артэрыя"
"an artery","артэрыя"
" has been opened by the attack"," быў ускрыты пры атацы"
"many nerves","шмат нерваў"
"a motor nerve","рухальны нерв"
"a sensory nerve","сэнсорны нерв"
"have","было"
"has","быў"
" been severed"," адсечаны"
"a ligament","звязка"
" has been "," быў "
"torn","разарваны"
"sprained","расцягнуты"
"bruised","выцяты"
"a tendon","cухажылле"
"strained","расцягнута"
" is ripped to shreds!"," разарваны на шматкі!"
" breaks!"," прарыў!"
" attack is interrupted!"," атака перарваная!"
" have"," маеце"
" has"," мае"
" become enraged!"," ашалеў!"
" has lodged firmly in the wound!"," моцна засеў у ране!"
" latch on firmly"," трымайцеся моцна"
" latches on firmly"," трымаецца моцна"
" to "," да "
" latch on firmly!"," трымайцеся моцна!"
" latches on firmly!"," трымаецца моцна!"
" are"," - "
" is"," - "
" propelled away by the force of the blow!"," адкінуты моцаю удару!"
" been knocked unconscious!"," страціў прытомнасць!"
" been stunned again!"," зноўку аглушаны!"
" been stunned!"," аглушаны!"
" having more trouble breathing!"," душыцца!"
" having trouble breathing!"," цяжка дыхае!"
" feel"," пачуваеце"
" looks"," выглядае"
" even more sick!"," яшчэ горш!"
" sick!"," блага!"
" is injected into the "," уводзіцца ў "
" pours over the "," льецца на "
" flows over the "," цячэ па "
" splatters over the "," распырсківаецца па "
" crumbles over the "," рассыпаецца па "
" is sucked out of the wound!"," высмактаны з раны!"
" (Tame)"," (Свойскі)"
"with ","з "
" item"," рэч"
"Independent","Незалежны"
"No team/side","Няма каманды/боку"
"Side #","Бок #"
"Create","Стварыць"
"Reset","Скід"
"Conditions","Умовы"
"Equipment","Рыштунак"
"Skills","Навыкі"
"Creature","Істота"
"Tame/mountable","Свойскі/верхавы"
"Not","Не"
" year"," год"
"Set the weather, temperature, and time.","Усталяваць надвор'е, тэмпературу і час."
"No cumulus clouds","Няма кучавых аблокаў"
"Scattered cumulus","Разагнаныя кучавыя"
"Many cumulus (rain)","Шмат кучавых (дождж)"
"Cumulonimbus (rain)","Кучава - дажджавыя (дождж)"
"Cirrus","Перыстыя"
"No stratus","Не слаістыя"
"Altostratus","Высокаслаістыя"
"Stratus (rain)","Слаістыя (дождж)"
"Nimbostratus (rain)","Слаіста - дажджавыя (дождж)"
"No fog","Без туману"
"Thin mist","Тонкая смуга"
"Fog","Туман"
"Thick fog","Густы туман"
"Dragonfire","Цмокава полымя"
"Magma","Магма"
"Scorching","Пякучы"
"Hot","Спякотны"
"Subterranean","Падземны"
"Below freezing","Ніжэй за нуль"
"Deathly cold","Сьмяротны холад"
"Absolute zero","Абсалютны нуль"
"Morning","Раніца"
"Late morning","Позняя раніца"
"Early afternoon","Ранні дзень"
"Late afternoon","Позні дзень"
"Early evening","Ранні вечар"
"Evening","Вечар"
"Night","Ноч"
"Late night","Позняя ноч"
"Early morning","Ранняя раніца"
"item","рэч"
" have returned."," вярнуліся."
" and others have returned."," і іншыя вярнуліся."
" has returned."," вярнуўся."
" has brought back many tales from beyond "," прынес шмат гісторый з - за мяжы "
" has brought back a few rumors."," прынес некалькі чутак."
" has brought back a rumor from abroad."," прынес чутку з - за мяжы."
" has arrived."," прыбыў."
" is visiting."," наведвае."
", the performance troupe, has arrived.",", прыехала сцэнічная трупа."
", a performance troupe, is visiting.",", наведвае сцэнічная трупа."
"Spoils Report: ","Справаздача аб здабычы: "
" and others"," і іншыя"
"Winter","зімы"
"Autumn","восені"
"Summer","лета"
"Spring","весны"
"The dead walk.  Hide while you still can!","Жывыя нябожчыкі! Хавайся, пакуль яшчэ можаш!"
"Forms twisted from their nature, legion of the night.  What hope remains?","Формы перакручанай прыроды, легіён ночы. Якая надзея застаецца?"
"A vile force of darkness has arrived, seeking a parley!","Падлая сіла цемры прыбыла, шукаючы перамовы!"
"The enemy have come and are preparing to lay siege.  They seek a parley!","Вораг прыйшоў і рыхтуецца да аблогі. Яны шукаюць перамоваў!"
"An army has come to your lands seeking a parley.","Армія прыйшла на вашыя землі ў пошуках перамоваў."
"A vile force of darkness has arrived!","Прыйшла гнюсная сіла цемры!"
"The enemy have come and are laying siege to the fortress.","Прыйшоў вораг і аблажыў крэпасць."
"An army is invading!","Армія ўварваецца!"
"Graphical FPS cap (default 50)","FPS абмежаванне (па змаўчанні 50)"
"army is located out of bounds: teleporting","армія знаходзіцца па - за межамі: тэлепартацыя"
"overlord","уладар"
"overlords","уладары"
"I must make a profit.  There is simply not enough value here.","Мне трэба прыбытак. А тут не хапае каштоўнасці."
" of "," ад "
" has been founded "," быў заснаваны "
", has been conquered and",", была заваявана і"
", has been","быў"
" incorporated into your holdings."," уключаны ў вашыя ўладанні."
" has been conquered and now"," быў заваяваны і цяпер"
" looks to your thriving economy for its future prosperity."," разлічвае на будучы росквіт вашай эканомікі."
"save","захаваць"
"One of the compressed files on disk has errors in it.  Restore from backup if you are able.","Адзін з кампрэсаваных файлаў на дыску ўтрымлівае памылкі. Аднавіце яго з рэзервовай копіі, калі маеце магчымасць."
" are "," знаходзяцца "
"prostrating ","схіляецца "
"themselves","сябе"
" before "," перад "
"torturing ","катуе "
"committing a depraved act upon ","здзяйсняе распусты над "
"devouring ","пажырае "
"admiring ","захапляецца "
"burning ","палае "
"shooting ","страляе "
"surrounded by ","акружаны "
"massacring ","ладзіць бойку "
"fighting with ","б'ецца з "
"greeting ","вітае "
"refusing ","адмаўляецца "
"speaking with ","стасуецца з "
"embracing ","абдымае "
"striking down ","паражае "
"raising ","узнімае "
"hiding ","утойвае "
"praying to ","моліцца "
"contemplating ","разважае аб "
"cooking ","кухарыць "
"engraving ","гравіруе "
"impaled on ","насаджаны на "
"being flayed by ","абелены "
"hanging from ","вісіць на "
"being mutilated by ","пакалечаны "
"praying","моліцца"
"weeping","плача"
"cringing","скурчваецца"
"screaming","крыклівы"
"being tortured","падвяргаецца катаванням"
"committing a depraved act","здзяйсняе распусныя ўчынкі"
"making a submissive gesture","выказвае пакорлівасць"
"in a fetal position","у паставе эмбрыёну"
"smeared out into a spiral","скручаны ў спіраль"
"falling","падаючы"
"dead","мёртвы"
"laughing","смяецца"
"being shot","падстрэлены"
"making a plaintive gesture","робіць журботны жэст"
"melting","плавіцца"
"burning","палае"
"look","выглядаюць"
"looks","выглядае"
" dejected"," прыгнечаным"
" terrified"," напалоханым"
" offended"," пакрыўджаным"
" confused"," збянтэжаным"
"suffering","пакутуе"
"withering away","гасне"
"striking a menacing pose","прымае пагрозлівую паставу"
"striking a triumphant pose","прымае паставу пераможцы"
"laboring","працавіты"
"traveling","вандруючы"
"contemplating","разважае"
"cooking","кухарыць"
"engraving","гравіруе"
"unnaturally contorted","ненатуральна скрыўлены"
"being flayed","абелены"
"being mutilated","знявечаны"
"Untitled","Безыменны"
", the deity of ",", бажаство "
"skeletal ","шкілет "
"rotting ","гніючы "
"ghostly ","прывідны "
"female ","жаночы "
"male ","мужчынскі "
"the deity of ","бажаство "
"Click a building to link to ","Націсніце на будынак, каб перайсці "
"Link to ","Злучыць з "
"Cannot link to ","Немагчыма злучыць з "
"will be installed at ","будзе ўсталявана на "
"will be installed at target","будзе ўсталяваны на цэль"
"Owner: ","Уладальнік: "
"Weight: ","Вага: "
"Value: ","Цана: "
"On ","На "
"In ","У "
"With ","з "
"View","Прагляд"
"View stockpile","Прагляд складу"
"Uses","Выкарыстоўваецца"
"Engraving ","Гравіроўка "
"Specify image","Выбраць малюнак"
"Enraged at all enemies!","Раз'юшаны на ўсіх ворагаў!"
"In a martial trance!","У баявым трансе!"
"Throwing a tantrum!","Упаў у істэрыку!"
"Sunk into depression...","Упадае ў дэпрэсію..."
"Stumbling obliviously!","Бязглузда мітусіцца!"
"Corrupt Soldier Mood: ","Баявы настрой страчаны: "
"Has a horrible fell look!","Мае жудасны выгляд!"
"Brooding darkly...","Змрочна разважае..."
"Has the aspect of one fey!","Выглядае натхнёным!"
"Peculiarly secretive...","Выглядае вельмі загадкава..."
"Possessed by unknown forces!","Апанаваны невядомымі сіламі!"
"Stricken by melancholy...","Ахоплены меланхоліяй..."
"Crawling around babbling!","Поўзае балбочучы!"
"Running around babbling!","Бегае балбочучы!"
"Crawling around crazed!","Поўзае як вар'ят!"
"Running around crazed!","Бегае шалёны!"
"In a berserk rage!","У шалёнай злосці!"
"Staring off into space...","Глядзіць у пустэчу..."
"Corrupt Strange Mood: ","Дзіўны настрой перапынены: "
"Overcome by terror!","Ахоплены жахам!"
"In emotional shock!","У душэўным шоку!"
"Overwhelmed by horror!","Перапоўнены жудой!"
"Experiencing mortal fear!","Адчувае смяротны страх!"
"Beside ","Прыгнечаны "
"herself","сябе"
"himself","сябе"
" with grief!"," горам!"
"Drowning in sadness!","Патанае ў смутку!"
"Writhing in agony!","Курчыцца ў агоніі!"
"Anguished!","Пакутуе!"
"Lost in despair!","Згублены ў роспачы!"
"Completely dismayed!","Зусім расчараваны!"
"Distressed!","Засмучаны!"
"Taken by a fright!","Ахоплены спалохам!"
"Wallowing in misery!","Заграз у пакутах!"
"Truly mortified!","Абсалютна прыгнечаны!"
"Shaken to the core!","Узрушаны да глыбіні душы!"
"In existential crisis!","У экзістэнцыяльным крызісе!"
"Emotionally overloaded!","Эмацыйна перагружаны!"
"Pet of ","Гадаванец "
"Somebody","Хтосьці"
"Creator of ","Стваральнік "
"Cannot expel or send away:","Не можа адлучыць або адправіць прэч:"
"Does the expelling","Здзяйсняе выгнанне"
"Nobility","Шляхетнасць"
"Holds elected office","Займае выбраную пасаду"
"Spouse does the expelling","Муж здзяйсняе выгнанне"
"Spouse is not present","Няма пары"
"Spouse is nobility","Муж - шляхта"
"Spouse is elected","Муж выбраны"
"Child does the expelling","Выгнанне дзіцяці"
"Child is not present","Няма дзіцяці"
"Child is nobility","Дзіця - шляхта"
"Child is elected","Дзіця абраны"
"Expel","Адлучыць"
"Send to ","Адправіць "
"Send away","Выгнаць"
"Cancel","Адмена"
"Overview","Агляд"
"Items","Рэчы"
"Health","Стан"
"Rooms","Пакоі"
"Labor","Праца"
"Relations","Адносіны"
"Groups","Гурты"
"Military","Ваенны"
"Thoughts","Думкі"
"Personality","Асоба"
" Year"," Год"
" Old"," "
"Spouse: ","Муж: "
" lovers"," палюбоўнікі"
"Population: ~5000","Насельніцтва: ~5000"
"Lover: ","Палюбоўнік: "
" children"," дзеці"
"Child: ","Дзіця: "
" pets"," гадаванцы"
"Strong","Моцны"
"Agile","Спрытны"
"Tough","Дужы"
"High stamina","Высокая цягавітасць"
"Recovers quickly","Хутка ачуньвае"
"Resists sickness","Імунітэт"
"Weak","Слабы"
"Clumsy","Нязграбны"
"Frail","Кволы"
"Low stamina","Нізкая цягавітасць"
"Recovers slowly","Павольна ачуньвае"
"Sickly","Хваравіты"
"Good analytical ability","Добрыя аналітычныя здольнасці "
"Good focus","Уважлівасць"
"High willpower","Высокая сіла волі"
"Creative","Творчы"
"Good intuition","Добрая інтуіцыя"
"Patient","Стойкі"
"Good memory","Добрая памяць"
"Good with language","Добра з мовамі"
"Good spatial sense","Добрае адчуванне прасторы"
"Musical","Музычны"
"High kinesthetic sense","Добрае пачуццё балансу"
"Developed empathy","Развітая эмпатыя"
"High social awareness","Высокая сацыяльная свядомасць"
"Poor analytical ability","Дрэнныя аналітычныя здольнасці"
"Poor focus","Слабая ўважлівасць"
"Low willpower","Нізкая сіла волі"
"Not creative","Не творчы"
"Poor intuition","Слабая інтуіцыя"
"Impatient","Нецярплівы"
"Poor memory","Дрэнная памяць"
"Bad with words","Коснаязыкасць "
"Poor spatial sense","Благое адчуванне прасторы"
"Not musical","Не музычны"
"Poor kinesthetic sense","Слабое адчуванне балансу"
"Poor empathy","Слабая эмпатыя"
"Poor social awareness","Слабая сацыяльная свядомасць"
"Quick to love","Хутка ўлюблівы"
"Hateful","Ненавісны"
"Envious","Зайздросны"
"Cheerful","Вясёлы"
"Depression-prone","Схільны да дэпрэсіі"
"Anger-prone","Схільны да гневу"
"Anxious","Трывожны"
"Lustful","Пажадлівы"
"Easily stressed","Лёгка паддаецца стрэсу"
"Greedy","Хцівы"
"Intemperate","Нястрыманы"
"Brawler","Задзіра"
"Stubborn","Няўломны"
"Wasteful","Марнатраўны"
"Prone to discord","Схільны да разладу"
"Flatterer","Ліслівец"
"Polite","Ветлівы"
"Disdains advice","Пагарджае парадамі"
"Fearless","Бясстрашны"
"Overconfident","Саманадзейлівы"
"Vain","Нарцыстычны"
"Ambitious","Амбіцыйны"
"Gracious","Зграбны"
"Extravagant","Экстравагантны"
"Zany","Дзівакаваты"
"Vengeful","Мсцівы"
"Proud","Ганарлівы"
"Cruel","Бязлітасны"
"Single-minded","Адданы"
"Hopeful","Надзейны"
"Curious","Дапытны"
"Bashful","Сарамлівы"
"Private","Прыватны"
"Perfectionist","Перфекцыяніст"
"Obstinate","Упарты"
"Tolerant","Талерантны"
"Emotional obsessive","Эмацыйна апантаны"
"Swayed by emotions","Ахоплены эмоцыямі"
"Altruistic","Альтруіст"
"Dutiful","Паслужлівы"
"Thoughtless","Бяздумны"
"Orderly","Дысцыплінаваны"
"Trusting","Даверлівы"
"Gregarious","Гаварлівы"
"Overbearing","Уладны"
"Frenetic","Шалёны"
"Thrill-seeker","Авантурнік"
"Flights of fancy","Летуценнік"
"Inclined to abstract","Схільны да абстрагавання"
"Artistically inclined","Мастацка схільны"
"Slow to love","Нясхільны любіць"
"Slow to hate","Нясхільны ненавідзець"
"Not envious","Не зайздросціць"
"Cheerless","Сумны"
"Not easily depressed","Нясхільны да дэпрэсіі"
"Slow to anger","Нервова ўстойлівы"
"Not anxious","Не трывожны"
"Not lustful","Не пажадлівы"
"Resilient","Устойлівы"
"Not greedy","Не хцівы"
"Temperate","Разважлівы"
"Avoid fights","Пацыфіст"
"Quick to give up","Хутка здаецца"
"Not wasteful","Беражлівы"
"Seeks harmony","Шукае гармонію"
"Quarreler","Спрачальнік"
"Rude","Грубы"
"Overreliant on advice","Празмерна спадзяецца на парады"
"Fearful","Баязлівы"
"Pusillanimous","Маладушны"
"Not vain","Не пыхлівы"
"Not ambitious","Не амбіцыйны"
"Ungrateful","Няўдзячны"
"Austere","Строгі"
"Humorless","Скарадзь"
"Not vengeful","Не помслівы"
"Low self esteem","Комплекс непаўнавартасці"
"Merciful","Літасцівы"
"Scatterbrained","Рассеяны "
"Quick to despair","Роспачны"
"Incurious","Абыякавы"
"Shameless","Бессаромны"
"Overshares","Балбатун"
"Inattentive","Няўважлівы"
"Acquiescing","Пануры"
"Intolerant","Неталерантны"
"Emotionally distant","Эмацыйна далёкі"
"Unswayed by emotions","Не паддаецца эмоцыям"
"Not altruistic","Не альтруіст"
"Not dutiful","Не паслужлівы"
"Overcautious","Звышасцярожны"
"Sloppy","Неахайны"
"Distrustful","Недаверлівы"
"Loner","Самотнік"
"Unassertive","Непрыкметны"
"Leisurely","Няспешны"
"Avoids excitement","Пазбягае турботы"
"Fact-oriented","Канструктыўны"
"Not inclined to abstract","Не схільны да абстракцыі"
"Not inclined to create art","Не схільны да мастацтва"
"Values law","Законапаслухмяны"
"Values loyalty","Верны"
"Values family","Сямейны"
"Values friendship","Добразычлівы"
"Values power","Паважае сілу"
"Values truth","Цэніць праўду"
"Values cunning","Цэніць хітрасць"
"Values eloquence","Цэніць красамоўства"
"Values fairness","Шануе справядлівасць"
"Values decorum","Цэніць прыстойнасць"
"Values tradition","Шануе традыцыі"
"Values artwork","Цэніць мастацтва"
"Values cooperation","Цэніць супрацоўніцтва"
"Values independence","Цэніць незалежнасць"
"Values stoicism","Цэніць стаіцызм"
"Values introspection","Цэніць самааналіз"
"Values self-control","Цэніць самакантроль"
"Values tranquility","Цэніць спакой"
"Values harmony","Цэніць гармонію"
"Values merriment","Цэніць весялосць"
"Values craftwork","Цэніць рамяство"
"Values martial prowess","Паважае баявое майстэрства"
"Values skill","Цэніць уменні"
"Values hard work","Шануе працавітасць"
"Values sacrifice","Цэніць ахвярнасць"
"Values competition","Паважае саперніцтва"
"Values perseverance","Цэніць настойлівасць"
"Values leisure time","Цэніць няспешнасць"
"Values commerce","Цэніць гандлярства"
"Values romance","Цэніць рамантыку"
"Values nature","Шануе прыроду"
"Values peace","Шануе спакой"
"Values knowledge","Шануе веды"
"Disdains law","Пагарджае законам"
"Disdains loyalty","Пагарджае вернасцю"
"Disdains family","Пагарджае сям'ёю"
"Disdains friendship","Зневажае сяброўства"
"Disdains power","Зневажае ўладу"
"Disdains truth","Ганьбуе праўду"
"Disdains cunning","Ганьбуе хітрасць"
"Disdains eloquence","Ганьбуе красамоўства"
"Disdains fairness","Зневажае справядлівасць"
