"Decorum","禮儀"
"the ","這 "
" and "," 和 "
"second ","第二 "
"Listen to Music","聼音樂"
"the story of ","的故事 "
"Introspection","反省"
"Skill","技能"
"Leisure Time","休暇時間"
"Merriment","歡樂"
"a sermon on ","關於 "
"Socialize","社交"
"The performers are finished.","表演結束了. "
" by the "," 由 "
"Perseverance","毅力"
"Ponder ","思考 "
"Text entry","輸入文字"
" mumble"," 咕噥"
"Legendary killer","傳奇的殺手"
"Martial Prowess","神威"
"Some children","一些孩子"
"Worship","崇拜"
"Listen to Poetry","聆聽詩歌"
"Stoicism","堅忍"
"Individual Combat Drill","個人戰鬥訓練"
"Lead Combat Training","帶領戰鬥訓練"
"Simulate ","模擬 "
"the War","戰爭"
"itself","本身"
"It","它"
"spinning ","紡織 "
"You continue the dance.","你繼續這個舞蹈. "
"You enter ","你進入 "
" empties "," 空了 "
"body","身體"
"bodies","身體"
"upper body","上半身"
"upper bodies","上半身"
"lower body","下半身"
"lower bodies","下半身"
"right upper arm","右上臂"
"left upper arm","左上臂"
"right lower arm","右前臂"
"left lower arm","左前臂"
"right hand","右手"
"left hand","左手"
"right upper leg","右大腿"
"left upper leg","左大腿"
"right lower leg","右小腿"
"left lower leg","左小腿"
"right foot","右腳"
"right feet","右腳"
"left foot","左腳"
"left feet","左腳"
"right front leg","右前肢"
"left front leg","左前肢"
"right front foot","右前腳"
"right front feet","右前腳"
"left front foot","左前腳"
"left front feet","左前腳"
"right rear leg","右後肢"
"left rear leg","左後肢"
"right rear foot","右後腳"
"right rear feet","右後腳"
"left rear foot","左後腳"
"left rear feet","左後腳"
"first neck","第一頸"
"second neck","第二頸"
"third neck","第三頸"
"fourth neck","第四頸"
"fifth neck","第五頸"
"sixth neck","第六頸"
"seventh neck","第七頸"
"first head","第一頭"
"second head","第二頭"
"third head","第三頭"
"fourth head","第四頭"
"fifth head","第五頭"
"sixth head","第六頭"
"seventh head","第七頭"
"head","頭部"
"neck","頸部"
"right hoof","右蹄"
"right hooves","右蹄"
"left hoof","左蹄"
"left hooves","左蹄"
"right wing","右翅"
"left wing","左翅"
"first right upper arm","第一右上臂"
"first left upper arm","第一左上臂"
"first right lower arm","第一右前臂"
"first left lower arm","第一左前臂"
"first right hand","第一右手"
"first left hand","第一左手"
"second right upper arm","第二右上臂"
"second left upper arm","第二左上臂"
"second right lower arm","第二右前臂"
"second left lower arm","第二左前臂"
"second right hand","第二右手"
"second left hand","第二左手"
"third right upper arm","第三右上臂"
