"more presumptious","mais presunáoso"
"is weak and extremely short","Ç extremamente curto e fraco"
"begins to stammer when ","comeáa a gaguejar quando "
"addition of masterful rollers","adiá∆o de rolos magistrais"
"Welcome to Dwarf Fortress","Bem-vindo a Dwarf Fortress"
"Grab Milk Unit","Pegar Unidade de leite "
" has brought back many tales from beyond "," trouxe de volta v†rias hist¢rias de longe "
"thoughtless","impensado"
"Clothes Making","Confecá∆o"
"Mechanic","MecÉnico"
"clothes rot off of ","roupas apodrecem "
"That's not right.","Isso n∆o est† certo."
"Nothing to interact","Nada para interagir"
"Many are ","Muitos est∆o "
"often feels lustful","muitas vezes se sente lascivo"
"forming a bond with an animal training partner","formando um v°nculo com um parceiro de treinamento de animais"
"Embark","Embarcar"
", animated by unknown forces",", animado por foráas desconhecidas"
"Uninterested in an owner","N∆o interessado em um dono"
"No match.","Nenhuma partida."
"a year ago","um ano atr†s"
"completed job","trabalho conclu°do"
"Dictionary","Dicion†rio"
"You cannot climb or mount while prone.","Vocà n∆o pode escalar ou montar estando deitado. "
"woodcutter","lenhador"
"I worship no one.","Eu venero ninguÇm."
"does not easily fall in love and rarely develops positive sentiments","n∆o se apaixona facilmente e raramente desenvolve sentimentos positivos"
"Duplicate","Duplicata"
"Trader",": Comerciante"
"the search of ","a busca de "
"Preparing for the caravan","Preparando para a caravana "
"Your bookkeeper has done enough work to attain ","Seu contador tem feito bastante trabalho para atingir "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","O artesanato no jogo base Ç limitado a construir um machado de pedra necess†rio para derrubar †rvores. Vocà pode pegar algumas pedras e um galho para comeáar. "
" was spotted sneaking around!"," foi visto se esgueirando por perto!"
"more of a loner","mais solit†rio"
"Unassuming","Modesto "
"nine thousand","nove mil"
"Find embark location","Pesquisar embarque"
"Child is nobility","Crianáa Ç nobreza"
"light","luz"
"Meanness   <->   Wastefulness","Mesquinhez    <->   Desperd°cio"
"Various seeds","V†rias sementes"
" Downward Track (NE)"," Pista descendente (NE)"
"denting","entalhando"
" the name "," em nome de "
"stress vulnerability","vulnerabilidade ao estresse"
"Initial forest square count fails by ","Contagem de quadrados de floresta inicial falha por "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Suas faáanhas ser∆o registradas para o modo Lendas e pelos mestres esculpidores em fortalezas subsequentes em seu mundo."
"flat","plano"
"The desired pitch is selected using a ","A afinaá∆o desejada Ç selecionada usando um "
"Feared as a villain","Temido como vil∆o"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Alterne se o estoque pode receber itens de qualquer lugar ou apenas de oficinas e estoques espec°ficos."
"boiling clear glass","ferver o vidro desobstru°do"
"I accept this honor.","Eu aceito esta honra."
"the method of writing the history of a single individual","o mÇtodo de escrever a hist¢ria de um indiv°duo £nico"
" and it is mostly cut away from the rest of the torso!"," e Ç praticamente cortada fora do resto do torso!"
"Admiration","Admiraá∆o "
"No heavy attack: enraged","Nenhum ataque pesado: enfurecido"
" own possessions"," bens pr¢prios"
"rages","Rages"
"Announcements","An£ncios"
"meeting area zones, dining rooms and","zonas de †reas de encontro, salas de jantar e"
" became "," tornou-se "
" is angry"," est† com raiva"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Para algumas funá‰es serem utilizadas, como ordens de trabalho ou contabilidade, [C:5:0:0]Administradores[C:7:0:0] devem ser associados. "
"Remorseful","Penitente "
"Shearer","Tosquiador(a)"
"Mid-","MID"
" rope"," corda"
"ill-fated ","malfadado "
"feel heavy","me sinto pesado"
"The army of ","O exÇrcito de "
"is very frail and incredibly long","Ç muito fr†gil e incrivelmente longo"
"a robbery","Roubo"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Se vocà sobreviver atÇ a caravana chegar, vocà tambÇm pode trocar por [C:6:0:1]Bebidas[C:7:0:0]. "
"Slab engraved","L†pide gravada"
"You know, I think you're right.","Sabe, eu acho que vocà est† certo."
"Dismiss minor feeling of shock","Dispensar a menor sensaáao de choque"
"in order to glorify ","para glorificar "
" battles"," batalhas"
"Masterwork","Obra-prima"
"amused","se divertiu"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Cidad∆os insatisfeitos podem agir e causar problemas, e menos pessoas se arriscam a viajar para um "
"You need a free grasp to climb.","Vocà precisa de uma compreensao livre para subir."
"wombat","Vombate"
"a divine being","um ser divino"
"earth","terra"
"specialized surgical instruments","instrumentos de cirurgia especializada"
" and it is all thanks to "," e Ç tudo graáas a "
"is gigantic and quite fat","Ç gigantesca e bastante gordura"
"Gladiatory Games","jogos de gladiadores"
"Water wheels are 1x3 or 3x1.","Rodas de †gua s∆o 1x3 ou 3x1"
" looks "," parece "
"free rhythm","ritmo livre"
"I see your low race still revels in death.  That poor, gentle creature...","Vejo que sua raáa inferior ainda se deleita com a morte. Aquela pobre e gentil criatura..."
"Please help me to escape from this place.","Por favor me ajude a escapar deste lugar."
" Upward Track (NS)"," Faixa ascendente (NS)"
"the Purchase","a Compra"
"who","quem "
"the ghost of my sibling","o fantasma do meu irm∆o"
" a friend"," um amigo"
" specific move"," movimento espec°fico"
"the classification of toxic substances","a classificaá∆o de substÉncias t¢xicas "
"mid-length phrases","frases de comprimento mÇdio"
"Writing","Escrita"
"a great dining room","uma grande sala de jantar"
"is thin, skinny and weak","Ç magro, magro e fraco"
"announcement","an£ncio"
"Machines/fluids","M†quinas/flu°dos"
", but it means nothing now.",", mas isso n∆o significa nada agora."
"More likely, your dwarves will starve, unless you read the first few guides here! ","ê muito prov†vel que, seus an‰es morrer∆o de fome, a menos que leia seus primeiros guias aqui! "
"grovel","rastejar"
"Frequent","Frequente"
"the mercenary operation","a operaá∆o mercen†ria"
"Comrade","Camarada"
"Your dreams will come true.","Seus sonhos se tornar∆o realidade. "
"is quite mocking in tone","est† a gozar bastante em Tom"
"'s onslaught","do ataque"
"geography:form:atlas","geografia:forma:atlas"
"State minor feeling of love","Estado o menor sentimento de amor"
"'s location","do local"
"I'm very lonely.","Me sinto muito s¢."
"active performance poem reciter","recitador de poema de desempenho ativo"
"State minor feeling of gloom","Estado o menor sentimento de melancolia"
" recitation of "," Recitaá∆o de "
"has high cheekbones","tem salientes"
"philosophy:specialized:politics social welfare","filosofia:especializaá∆o:pol°tica bem estar social"
"a noted flatterer","um bajulador renomado"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]Zonas[C:7:0:0] s∆o posicionadas de maneira semelhante aos [C:6:0:0]Estoques[C:7:0:0]. "
"Mandate period (more = fewer)","Per°odo de mandato (mais = menos)"
"Cirrus","Cirros"
"Nonsense","Sem sentido"
"mathematics:geometry:pythagorean triples small","matem†tica:geometria:triplos pitag¢ricos pequenos"
"the construction and use of the flask","a construá∆o e o uso do frasco"
" Floor Grate"," Grade de Chao"
"greedier","mais ganancioso "
"a theft","furto"
"Resourcefulness","Desenvoltura"
"the enactment of a series of oppressive laws","a promulgaá∆o de uma sÇrie de leis opressivas"
"medicine:theory:disease classification","medicina:teoria:classificaá∆o da doenáa"
"the struggle for survival","a luta por sobrevivància"
"the construction and use of the astrarium","a construá∆o e uso do astrarium"
"ladies","Senhoras"
"profaned","profanado"
"has a large body but is incredibly skinny","tem um corpo grande, mas Ç incrivelmente magro"
"is lanky and frail","Ç fr†gil e magro"
" boldly, even if it would offend an average sense of modesty"," corajosamente, mesmo se isso ofenderia um mÇdio senso de modÇstia"
"skip","Ignorar"
"That's suspicious!","Isso Ç suspeito!"
"has an extremely broad body with lots of fat on it","tem um corpo extremamente amplo com lotes de gordura nele"
"Dirt Road","Estrada de Terra"
"the causes of historical events","as causas dos eventos hist¢ricos"
"You are nauseated.","Vocà est† nauseado. "
"Give me a break.","Me dà um tempo."
"Cloth Workshop","Oficina de pano"
"d strongly favored","teria favorecido fortemente"
"the taming of the ","a domesticaá∆o do "
"Engravers","Gravadores"
"grieved","de luto"
" partially free of the web."," parcialmente livres da web."
" mounts "," montarias "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","Falha ao encontrar a casta de criatura CREATURE_CASTE_GRAPHICS "
"Traits","Traáos"
" to live a life of adventure"," para viver uma vida de aventura"
"gets distracted from conversations easily when ","fica distra°do da conversas facilmente quando "
" weapons"," armas"
" superiorly designed"," Superiormente concebida "
"Move keyboard cursor down (z)","Mover o cursor do teclado para baixo (z)"
"I'm not worried.","Estou muito preocupada."
"great creativity","grande criatividade"
"gave food","deu comida"
"a castle wall","uma parede de castelo"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Passar um tempo refletindo Ç admir†vel, mas n∆o esqueáa de viver sua vida."
"tuning","ajuste"
"the notion of bonds between members of a community","a noá∆o de laáos entre membros de uma comunidade"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","Aqui podem ser fabricadas partes para balistas e catapultas. Esta oficina tambÇm Ç o lugar onde muniá∆o para balistas Ç montada."
"legendary bully","lend†rio fanfarrao"
"has a small build and is very weak and incredibly skinny","tem uma pequena acumulaá∆o e Ç muito fraco e incrivelmente magro"
"Remote: ","Remoto "
"being rescued","sendo resgatado "
"Default attack is a wrestling move.","O ataque padr∆o Ç um movimento de luta livre."
"superior quality ","qualidade superior "
"being forced to endure the decay of an acquaintance","sendo foráado a suportar a decadància de um conhecido"
"The victory was shared by ","A vit¢ria foi compartilhada por "
"Acknowledge lack of bitterness","Reconhecer a falta de amargura"
"extremely low","extremamente pequena"
" because you are swimming."," porque vocà est† nadando. "
"Verbally struggle against great dismay","Verbalmente a luta contra o grande consternaáao"
" talents and accomplishments"," talentos e realizaá‰es"
"the Secret","Livraria Secreta"
"dream","sonho"
"item was favorite possession","Item era posse favorita"
"You conclude your performance.","Vocà termina sua apresentaá∆o."
" told the story of "," contou a hist¢ria de "
"trapped in cage","preso na gaiola"
"[C:1:0:1]Drowsy","[C:1:0:1]Sonolento"
"brawler","brig∆o"
"Bypass greeting (new menu)","Ignorar a saudaáao ( novo menu)"
"history:sourcing:role of systemic bias","hist¢ria:abastecimento:papel do viÇs sistàmico"
"I realized ","Eu percebi "
", replacing ",", substituindo "
"Workers ignore wood","Trabalhadores ignoram madeira"
" log"," log"
" perpetrated "," Perpetrada "
"often lowers ","muitas vezes diminui "
"We are besieged by a terrifying monster from the harshest wilderness.","Estamos cercados por um terr°vel monstro do deserto mais severo."
"I ate at a crowded table.","Comi em uma mesa lotada."
" pushes"," empurra "
"I feel such sympathy!","Sinto-me tal simpatia!"
"River Source","Manancial"
" needs alcohol to get through the working day"," precisa de †lcool para passar o dia de trabalho"
"Monk","Monge"
" in search of excitement"," em busca de emoá∆o"
"began to skulk and brood","comeáou a se esconder e meditar"
"No members","Sem membros"
"is very polite and observes appropriate rules of decorum when possible","Ç muito educado e observa as regras adequadas de decoro quando poss°vel"
"disillusioned","desiludido"
"Regions","Regioes"
" due to "," devido a "
"a tribute agreement","um acordo de tributo"
" throughout "," atravÇs "
"Disdains commerce","Desdenha de comÇrcio"
"giving somebody food","dando comida a alguÇm"
"The musician can alter the pitch of ","O m£sico pode mudar o tom do(a) "
"Carve fortification","esculpir fortificaá∆o"
" and the "," e o(a) "
"things...  certain things","coisas... certas coisas"
"Stone/clay","Pedra/argila"
"Date: ","Data: "
"""Leave me.  I need... ","""Deixe-me.  Eu preciso... "
"Rotten tissue excised from ","Tecido podre extirpado da "
"All I see here is not enough.","Tudo que vejo aqui n∆o Ç suficiente."
"considers spending time alone much more important than associating with others","considera passar um tempo sozinho muito mais importante do que se associar com outras pessoas"
"Lover of ","Amante de "
"stole treasure from","roubou o tesouro de"
"Predator and Prey","Predador e Presa"
" masterfully dyed with "," magistralmente tingido com "
", once of the Underworld.  ",", uma vez do submundo. "
", is it really you?",", Ç vocà mesmo?"
" own wellbeing, having no interest in material goods"," seu pr¢prio bem-estar, n∆o tendo nenhum interesse em bens materiais"
"[C:2:0:1]Spring","[C:2:0:1]Primavera "
"State feelings of great dislike","Sentimentos de antipatia grande do estado"
"I must let grief pass me by.","Deve deixar o sofrimento passar por mim."
"An important decision awaits your careful deliberation.","Uma decis∆o importante aguarda sua cuidadosa deliberaá∆o. "
"subdued","subjugado"
"regretful","arrependidas"
"vengefulness","Vinganáa"
"tetrachord","tetracorde"
"the color ","Cor: "
"  Effective pressure to comply came from co-conspirators surrounding "," A press∆o efetiva para obedecer veio de co-conspiradores em torno "
"A great beast threatens to bring ruin upon our people.","Uma grande besta ameaáa trazer a ru°na sobre nosso povo."
"State minor feeling of worry","Menor sensaáao de preocupaáao do estado"
"A snow storm has come.","Chegou uma tempestade de neve."
"Classic varied ground tiles","Azulejos cl†ssicos variados do ch∆o "
"striking a triumphant pose","fazendo uma pose triunfante"
"Grab Weapon","Pegar Arma"
"feel agitated","se sente agitado"
"Throwing tantrum","Jogando uma birra!"
"gelder","capador"
"would be lanky were it not for the massive muscles and slabs of lard","seria magro n∆o fossem os m£sculos enormes e lajes de banha"
" refused an offer of peace from "," recusou uma oferta de paz de "
"Site","Local"
" natural aversion to the adversary's inherent association with "," avers∆o natural Ö associaá∆o de inerente do advers†rio com "
"finds those that engage in trade and commerce to be fairly disgusting","considera aqueles que se dedicam ao comÇrcio e neg¢cios bastante repugnantes"
"the departure of","a partida de"
"Seriously injured","Seriamente machucado"
"a shockingly profound feel for social relationships","uma surpreendentemente profunda sensaá∆o para relaá‰es sociais"
"Temperate Brackish Pool","Piscina de †gua salobra temperada"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Certifique-se de seus parÉmetros e predefiniá‰es podem oferecer suporte a precipitaá∆o mÇdia elevaá∆o, baixa a mÇdia, alta drenagem, †reas n∆o-congelamento. "
", where numbers indicate a refrain",", onde os n£meros indicam um refr∆o"
"Master","Mestre"
"the distinction between motor and sensory nerves","a distiná∆o entre nervos motores e sensoriais"
" is surprised"," admirado"
"in a circle","em um c°rculo"
"Closed cases","Casos encerrados"
"air","ar "
"It is now summer.","ê verao agora."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","Comida pode ser obtida em vilarejos, no ambiente, ou esquartejando cad†veres com um objeto afiado. "
"not distracted","n∆o distra°do"
"judge","ju°z"
"parchment-producing ","produzindo pergaminhos "
"be spirited","seja espirituoso"
"Failed to install mod:","Falha ao instalar mod:"
"to make a great discovery","para fazer uma grande descoberta"
"Empty","Vazio"
"Battle","Batalha"
"Nobles and administrators","Nobres e administradores"
"crystal glass paste","colar de vidro cristal"
"This is your master.","Este Ç o seu mestre."
" begins to stalk and brood..."," comeáa a perseguir e a ninhada..."
"the belief of","a crenáa de"
" first"," primeiro"
"These people carrying on about romance should be more practical.","Estas pessoas exercem sobre romance deveriam ser mais pr†ticas."
"Gather fruit and vegetables from shrubs in this zone.","Colete frutas e vegetais dos arbustos nesta zona."
"Block ","Bloquear "
"swamp","pÉntano"
"This creature dwells underground.","Esta criatura habita debaixo da terra."
"the surgical method of scraping","o mÇtodo cir£rgico de raspagem"
"unfavorable ","desfavor†vel "
"Inveigh Against ","Denunciar "
"the state of demands","o estado das demandas"
"the Map","o Map"
"Move the camera","Mova a cÉmera"
"Dodge","Desviou"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","Os tons s∆o densamente compactados em grupos conforme a m£sica se move de um acorde para outro. "
"medicine:method:fracture immobilization","medicina:mÇtodo:imobilizaá∆o da fratura"
"Visitor cap","Limite de visitante"
"Siege Engineer","Engenheiro de cerco"
"straight scar.  ","cicatriz em linha reta. "
"Mountain: ","Montanha: "
" was the "," foi o "
"Randomize appearance","Aleatorizar aparància "
"the Lever","a alavanca"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Coloque o poáo em um espaáo aberto sobre a †gua, isso proporcionar† uma †rea relativamente segura para que seus cidad∆os extraiam †gua. Requer mecanismos, blocos, uma corrente ou corda, e um balde."
"Ninth","Nono"
"DOOR TAKEN BY INVADERS","PORTA TOMADA POR INVASORES"
"Designating items for melting","Designando itens para derretimento"
"can assign and edit the routines your soldiers will follow. ","pode atribuir e editar as rotinas que seus soldados seguir∆o. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","A sede pelo conhecimento de alguns residentes pode ser satisfeita na [C:1:0:1]Biblioteca[C:7:0:0]. "
"refugees calling themselves ","refugiados se intitulando "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].Fratura por sobreposiá∆o (em traá∆o)"
"soap maker","saboeiro"
"Say something about your family","Dizer algo sobre sua fam°lia"
"  A foolhardy soul might try to rescue the ","  Uma alma temer†rio pode tentar resgatar as "
" was seen being stolen!"," foi visto sendo roubado!"
"beat somebody up","De uma surra em alguÇm"
"Carpentry","Carpintaria"
"Burial Chamber","CÉmara do sarc¢fago"
"Overall, ","No geral, "
"a armorsmith's shop","uma forjaria de armadura"
"Armorsmithing Workshop","Oficina da Forjaá∆o de Armaduras"
"a large animal","um grande animal"
"Already interviewed","J† entrevistado"
"It has started raining.","Comeáou a chover."
"Will Tell","Vai dizer"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Definir ordens de coleta de plantas. Algumas plantas requerem a presenáa de frutas ou outros cultivos."
"One must always carefully consider the correct course of action.","Deve-se considerar sempre cuidadosamente o curso correto de aá∆o."
", but they had nothing left to give",", mas eles n∆o tinham mais nada para dar"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Talvez eles ainda estejam aqui, sem vontade de deixar a magn°fica fortaleza que vocà preparou para eles. "
"melted.","derreteu-se."
"history:sourcing:role of state bias and propaganda","hist¢ria: abastecimento: papel do viÇs e da propaganda do estado"
" a mesmerizing tale!"," um conto fascinante!"
"stonecutter","cortador de pedra"
"A ballista's orientation cannot be changed","A orientaá∆o de uma balista n∆o pode ser alterada"
"Affects trap detection, ambusher detection, charge defense, and provides enemy attack information.","Afeta a detecá∆o de armadilhas, a detecá∆o de emboscadas, a defesa de investida e fornece informaá‰es sobre o ataque inimigo."
" boxes"," Caixas"
"Unnamed tomb","Tumba sem nome"
"This is the butchering and crafting menu.","Este Ç o menu de aáougue e artesanato."
"death","morte"
" spin"," girar"
"an empty population","uma populaá∆o de vazia"
"to smooth the operation of ","para suavizar a operaá∆o de "
"Seek Dressing Cloth","Procurar curativo "
"It's very interesting.","ê muito interessante."
