"engineering:horology:mechanical clock","inæynieria:horologia:zegar mechaniczny"
" on the second theme"," na drugi temat"
" and "," i "
"You continue the dance.","Kontynuujesz taniec."
"The dance continues.","Taniec ci•gnie si© dalej."
"You continue the music.","Kontynuujesz muzyk©."
"The music continues.","Muzyka ci•gnie si© dalej."
"You also have needs according to your personality as seen in character creation and on your character sheet.  ","Masz r¢wnieæ potrzeby wynikaj•ce z Twojej osobowoòci, kt¢re moæna zobaczyÜ podczas tworzenia postaci i na karcie postaci. "
"You conclude your performance.","Zaka‰czasz sw¢j wyst©p."
"The performers are finished.","Wykonawcy ko‰cz• wyst©p."
"Some performers finish their act.","Cz©òÜ wykonawc¢w ko‰czy swoj• cz©òÜ."
" has finished performing."," sko‰czyà wyst©powaÜ."
" concludes a performance."," zaka‰cza swe wyst•pienie"
"You've learned ","Nauczyàeò si© "
"You feel like you know the basic rules of ","Czujesz si©, jakbyò znaà juæ podstawy "
" now.","."
"Your","Tw¢j"
"'s"," "
" lay"," kàadzie"
" forth an awe-inspiring sermon for the ages!"," wygàoszono olòniewaj•ce kazanie inspiruj•ce na wieki!"
" artfully deliver"," umiej©tnie dostarczyÜ"
" a lucid and powerful sermon."," klarowne i mocne kazanie."
" giving a creditable sermon."," daj•c godne pochwaày kazanie."
" just can't give a sermon very well."," po prostu nie potrafi dobrze wygàosiÜ kazania."
" dance"," taniec"
" flawlessly, like someone out of a legend!"," bezbà©dnie, jakby byà postaci• z legend!"
" dancing exceptionally."," ta‰czy rewelacyjnie."
" dancing well."," ta‰czy dobrze."
" get"," "
" tangled up."," pl•cze si©."
" and the "," i "
" are indistinguishable!"," s• nie do odr¢ænienia!"
" delivering a virtuoso performance on the "," daj•c pokaz wirtuozerii na "
" is absolutely flawless."," jest zupeànie pozbawiony wad."
"chant","skandowanie"
"song","pieò‰"
" could nearly pass for the voice of the "," m¢gàby byÜ pomylony z gàosem "
" play"," gra"
" the "," "
" with skill."," z kunsztem."
"sing","òpiewa"
" beautifully."," przepi©knie."
" sound"," d´wi©k"
" vaguely like the intended "," prawie tak jak zamierzono "
" playing the "," graj•c "
" well."," dobrze."
"chanting","skandowanie"
"singing","òpiewanie"
" make"," tworzy"
" a mockery of the "," kpin© z "
" with a shameworthy performance."," z wyst©pem godnym poæaàowania."
"doesn't","nie"
"don't","nie"
" seem to know how to play the "," wydaje si© wiedzieÜ, jak naleæy graÜ na "
" sloppily"," niezdarnie"
" and even forget"," zapomina nawet"
" some of the words."," cz©òci sà¢w."
" bring"," przynieòÜ"
" the poem to life with this flawless recitation."," do æycia poezj© poprzez t© perfekcyjn• recytacj©."
" choose"," wybiera"
" the perfect phrasing."," perfekcyjne frazowanie."
" recite"," recytuje"
" the words evocatively."," sàowa sugestywnie."
" enunciate"," wymawia"
" crisply."," wyra´nie."
" speak"," m¢wi"
" mumble"," mamrocze"
", having completely forgotten the words.",", caàkowicie zapomniawszy sà¢w."
" poorly."," sàabo."
" weave"," plecie"
" a mesmerizing tale!"," hipnotyzuj•c• opowieòÜ!"
" tell"," opowiada"
" the story in vivid detail."," historie z æywymi detalami."
" telling the tale quite well."," caàkiem niezày w opowiadaniu historii."
" stumble"," potyka si©"
" over the details."," na detalach."
"It has no writing.","Nie ma tu tekstu."
"The pages are blank.","Strony s• puste."
"It has no pages.","Nie ma stron."
"Reputation:","Reputacja:"
"legendary hero","legendarny bohater"
"famous hero","sàynny bohater"
"hero","bohater"
"greatly respected for heroic acts","powszechnie szanowany za bohaterskie czyny"
"respected for heroic acts","szanowany za bohaterskie czyny"
"legendary training partner","legendarny partner treningowy"
"famous training partner","sàynny partner treningowy"
"noted training partner","uznany partner treningowy"
"training partner","partner treningowy"
"dabbling training partner","amatorski partner treningowy"
"legendary brawler","legendarny awanturnik"
"famous brawler","sàynny awanturnik"
"noted brawler","uznany awanturnik"
"known brawler","znany awanturnik"
"rumored brawler","rzekomy awanturnik"
"legendary villain","legendarny zàoczy‰ca"
"infamous villain","niesàawny zàoczy‰ca"
"noted villain","uznany zàoczy‰ca"
"known villain","znany zàoczy‰ca"
"rumored villain","rzekomy zàoczy‰ca"
"legendary trade partner","legendarny partner handlowy"
"famous trade partner","sàynny partner handlowy"
"noted trade partner","uznany partner handlowy"
"trade partner","partner handlowy"
"dabbling trade partner","amatorski partner handlowy"
"legendarily polite","legendarnie uprzejmy"
"famously polite","sàyn•cy z uprzejmoòci"
"notably polite","zauwaæalnie uprzejmy"
"polite","uprzejmy"
"possibly polite","byÜ moæe uprzejmy"
"legendary killer","legendarny zab¢jca"
"infamous killer","niesàawny zab¢jca"
"noted killer","uznany zab¢jca"
"known killer","znany zab¢jca"
"rumored killer","rzekomy zab¢jca"
"legendary murderer","legendarny morderca"
"infamous murderer","niesàawny morderca"
"noted murderer","uznany morderca"
"known murderer","znany morderca"
"rumored murderer","rzekomy morderca"
"legendary comrade","legendarny towarzysz"
"famous comrade","sàynny towarzysz"
"noted comrade","uznany towarzysz"
"comrade","towarzysz"
"possible comrade","moæliwy towarzysz"
"legendary ally","legendarny sprzymierzeniec"
"famous ally","sàynny sprzymierzeniec"
"noted ally","uznany sprzymierzeniec"
"known ally","znany sprzymierzeniec"
"rumored ally","rzekomy sprzymierzeniec"
"legendary enemy","legendarny wr¢g"
"infamous enemy","niesàawny wr¢g"
"noted enemy","uznany wr¢g"
"known enemy","znany wr¢g"
"rumored enemy","rzekomy wr¢g"
"legendary enemy fighter","legendarny wrogi wojownik"
"infamous enemy fighter","niesàawny wrogi wojownik"
"noted enemy fighter","uznany wrogi wojownik"
"known enemy fighter","znany wrogi wojownik"
"rumored enemy fighter","rzekomy wrogi wojownik"
"legendary fighter","legendarny wojownik"
"famous fighter","sàynny wojownik"
"noted fighter","uznany wojownik"
"known fighter","znany wojownik"
"rumored fighter","rzekomy wojownik"
"legendary bully","legendarny zbir"
"infamous bully","niesàawny zbir"
"noted bully","uznany zbir"
"known bully","znany zbir"
"rumored bully","rzekomy zbir"
"legendary brigand","legendarny rozb¢jnik"
"infamous brigand","niesàawny rozb¢jnik"
"noted brigand","uznany rozb¢jnik"
"known brigand","znany rozb¢jnik"
"rumored brigand","rzekomy rozb¢jnik"
"legendary loyal soldier","legendarny wierny æoànierz"
"famous loyal soldier","sàynny wierny æoànierz"
"noted loyal soldier","uznany wierny æoànierz"
"known loyal soldier","znany wierny æoànierz"
"rumored loyal soldier","rzekomo lojalny æoànierz"
"legendary monster","legendarny potw¢r"
"infamous monster","niesàawny potw¢r"
"noted monster","uznany potw¢r"
"known monster","znany potw¢r"
"rumored monster","rzekomy potw¢r"
"legendary storyteller","legendarny gaw©dziarz"
"famous storyteller","sàynny gaw©dziarz"
"noted storyteller","uznany gaw©dziarz"
"known storyteller","znany gaw©dziarz"
"rumored storyteller","rzekomy gaw©dziarz"
"legendary poet","legendarny poeta"
"famous poet","sàynny poeta"
"noted poet","uznany poeta"
"known poet","znany poeta"
"rumored poet","rzekomy poeta"
"legendary bard","legendarny bard"
"famous bard","sàynny bard"
"noted bard","uznany bard"
"known bard","znany bard"
"rumored bard","rzekomy bard"
"legendary dancer","legendarny tancerz"
"famous dancer","sàynny tancerz"
"noted dancer","uznany tancerz"
"known dancer","znany tancerz"
"rumored dancer","rzekomy tancerz"
"legendary quarreler","legendarny dysputant"
"infamous quarreler","niesàawny dysputant"
"noted quarreler","uznany dysputant"
"known quarreler","znany dysputant"
"rumored quarreler","rzekomy dysputant"
"legendary flatterer","legendarny pochlebca"
"infamous flatterer","niesàawny pochlebca"
"noted flatterer","uznany pochlebca"
"known flatterer","znany pochlebca"
"rumored flatterer","rzekomy pochlebca"
"legendary hunter","legendarny àowca"
"great hunter","wielki àowca"
"talented hunter","utalentowany àowca"
"skilled hunter","wykwalifikowany àowca"
"rumored hunter","rzekomy àowca"
"legendary protector of the weak","legendarny obro‰ca sàabych"
"famous protector of the weak","sàynny obro‰ca sàabych"
"noted protector of the weak","uznany obro‰ca sàabych"
"known protector of the weak","znany obro‰ca sàabych"
"rumored protector of the weak","rzekomy obro‰ca sàabych"
"legendary treasure hunter","legendarny poszukiwacz skarb¢w"
"famous treasure hunter","sàynny poszukiwacz skarb¢w"
"noted treasure hunter","uznany poszukiwacz skarb¢w"
"known treasure hunter","znany poszukiwacz skarb¢w"
"rumored treasure hunter","rzekomy poszukiwacz skarb¢w"
"legendary thief","legendarny zàodziej"
"infamous thief","niesàawny zàodziej"
"noted thief","uznany zàodziej"
"known thief","znany zàodziej"
"rumored thief","rzekomy zàodziej"
"legendary information source","legendarne ´r¢dào informacji"
"infamous information source","niesàawne ´r¢dào informacji"
"noted information source","uznane ´r¢dào informacji"
"known information source","znane ´r¢dào informacji"
"rumored information source","rzekome ´r¢dào informacji"
"legendary preserver of knowledge","legendarny straænik wiedzy"
"famous preserver of knowledge","sàynny straænik wiedzy"
"noted preserver of knowledge","uznany straænik wiedzy"
"known preserver of knowledge","znany straænik wiedzy"
"rumored preserver of knowledge","rzekomy straænik wiedzy"
"legendary intruder","legendarny intruz"
"infamous intruder","niesàawny intruz"
"noted intruder","uznany intruz"
"known intruder","znany intruz"
"rumored intruder","rzekomy intruz"
"legendary preacher","legendarny kaznodzieja"
"infamous preacher","niesàawny kaznodzieja"
"noted preacher","uznany kaznodzieja"
"known preacher","znany kaznodzieja"
"rumored preacher","rzekomy kaznodzieja"
"Unknown","Nieznany"
"Agreements","Umowy"
"Events","Wydarzenia"
"People","Ludzie"
"Sites","Miejsca"
"Groups","Grupy"
"Regions","Regiony"
"Bestiary","Bestiariusz"
"Artifacts","Artefakty"
"Intrigue","Intrygi"
"Plots","Spiski"
"Organizations","Organizacje"
"Actors","Aktorzy"
"Centered on first heard","Wyòrodkowany na pierwszym wyst•pieniu"
"Centered on last heard","Wyòrodkowany na ostatnim wyst•pieniu"
"Centered on location","Wyòrodkowane na lokacji"
"Overthrow Agreement","Umowa o Obaleniu"
"Guide Agreement","Umowa o Przewodnikach"
"Rescue Agreement","Umowa o Ratunku"
"Aid Rescue Agreement","Zgoda na Ratunek i Pomoc"
"Adventuring Agreement","Umowa o Poszukiwaniu Przyg¢d"
"Bound Servitude","Zawi•zanie Serwitutu"
"Entertainment Agreement","Umowa o Rozrywce"
"World Joining Agreement","Zgoda na doà•czenie do òwiata"
"Residency Agreement","Zgoda na pobyt"
"Grant of Citizenship","Nadanie obywatelstwo"
"Parley Arrangement","Porozumienie o Rokowaniach"
"Corruption","Korupcja"
"Artifact Theft","Kradzieæ artefakt¢w"
"Promise of Position","Obietnica Pozycji"
"Assassination Plot","Spisek zab¢jstwa"
"Abduction Plot","Spisek porwania"
"Sabotage Plot","Spisek sabotaæu"
"Infiltration Plot","Spisek infiltracji"
"Framing Plot","Spisek maj•cy na celu wrobienie"
"War Starting Plot","Spisek maj•cy na celu rozpocz©cie wojny"
"Foiled Embezzlement Conspiracy","Udaremniony spisek defraudacji"
"Foiled Corruption Conspiracy","Udaremnionoyspisek korupcji"
"Foiled Bribery Conspiracy","Udaremniony spisek przekupstwa"
"Build Structure","Zbuduj struktur©"
"Offer Service","Zaoferuj Usàugi"
"Retrieve Artifact","Odzyskaj Artefakt"
"asked that","spytaà o"
"you","ty"
"retrieve","odzyskaj"
"from","od"
"for","dla"
"Drive members of","Kieruj czàonkami "
"out of","z"
"requested that","poprosià o"
"make an offer of service to","zaoferowaà swe usàugi"
"agreed to join","zgodzià si© doà•czyÜ"
"in insurrection against","w powstaniu przeciwko"
"thereby freeing","uwalniaj•c"
"agreed to guide","zgodzià si© poprowadziÜ"
"to","do"
"somebody unknown","ktoò nieznany"
"in order to be brought safely away from","aby powr¢ciÜ bezpiecznie z"
"in order to rescue","aby uratowaÜ"
"agreed to adventure with","zgodzià si© na wyruszenie na przygod© z"
"wherever the journey might lead","dok•dkolwiek droga b©dzie prowadziÜ"
"was bound to serve","byà zobowi•zany do sàuæenia"
"by invocation of True Name","przez przywoàanie Prawdziwego Imienia"
"agreed to entertain people with","zgodzià si© zabawiaÜ ludzi z"
"throughout the world","na caàym òwiecie"
"Agreement concluded","Umowa zako‰czona"
"st","szy"
"nd","gi"
"rd","ci"
"th","ty"
"Kill","Zabij"
"Cause trouble for","Wywoàaj kàopoty dla"
"Drive","Kieruj"
"An order from","Rozkaz od"
"Finish reporting in","Zako‰cz raportowanie w"
"Complete: report back","Gotowe: raportuj"
"Not yet completed","Jeszcze nie zako‰czono"
"retrieve ","odzyskaj "
"serve ","sàuæ "
"The force bends the ","Siàa ugina "
"Centered on commander","Wyòrodkowany na dow¢dcy"
"Centered on target","Wyòrodkowany na celu"
"One member","Jeden czàonek"
" members"," czàonk¢w"
" Showing important"," Pokazywanie waænych"
" Showing all"," Pokazywanie wszystkich"
": Toggle line",": przeà•cz lini©"
" of the "," "
"dark","ciemny"
"This site is the capital of ","To miejsce jest stolic• "
"This site is a fortress of ","To miejsce jest fortec• "
"This site is controlled by ","To miejsce jest kontrolowane przez "
"Civilization","Cywilizacja"
"Site Government","Miejscowy Rz•d"
"Vessel Crew","Zaàoga Statku"
"Migrating Group","Migruj•ca Grupa"
"Nomadic Group","Grupa Nomad¢w"
"Religion","Religia"
"Military Organization","Organizacja Wojskowa"
"Outcast","Wyrzutek"
"Performance Troupe","Trupa Cyrkowa"
"Merchant Company","Kompania Handlowa"
"Craft Guild","Gildia Rzemieòlnicza"
", Dead",", Martwy"
"Enemy","Wr¢g"
"Criminal","Przest©pca"
"Prisoner","Wi©zie‰"
"Former ","Byày "
"member","czàonek"
"mercenary","najemnik"
"slave","niewolnik"
"prisoner","wi©zie‰"
"Devoted","Oddany"
"Loyal","Lojalny"
"Aligned","Uàoæony"
"Affiliated","Stowarzyszony"
"Associated","Powi•zany"
" member"," czàonek"
" mercenary"," najemnik"
" slave"," niewolnik"
"Mountain","G¢ra"
"Mangrove Swamp","Bagno Namorzynowe"
"Glacier","Lodowiec"
"Temperate Freshwater Swamp","Umiarkowane Bagno Sàodkowodne"
"Temperate Saltwater Swamp","Umiarkowane Bagno Sàonowodne"
"Temperate Freshwater Marsh","Umiarkowane Mokradào Sàodkowodne"
"Temperate Saltwater Marsh","Umiarkowane Mokradào Sàonowodne"
"Tropical Freshwater Swamp","Tropikalne Bagno Sàodkowodne"
"Tropical Saltwater Swamp","Tropikalne Bagno Sàonowodne"
"Tropical Freshwater Marsh","Tropikalne Mokradào Sàodkowodne"
"Tropical Saltwater Marsh","Tropikalne Mokradào Sàonowodne"
"Temperate Coniferous Forest","Umiarkowany Las Iglasty"
"Temperate Broadleaf Forest","Umiarkowany las Liòciasty"
"Tropical Coniferous Forest","Tropikalny Las Iglasty"
"Tropical Dry Broadleaf Forest","Tropikalny Suchy Las Liòciasty"
"Tropical Moist Broadleaf Forest","Tropikalny Wilgotny Las Liòciasty"
"Temperate Grassland","Umiarkowany Obszar Trawiasty"
"Temperate Savanna","Umiarkowana Sawanna"
"Temperate Shrubland","Umiarkowany Obszar Krzewiasty"
"Tropical Grassland","Tropikalny Obszar Trawiasty"
"Tropical Savanna","Tropikalna Sawanna"
"Tropical Shrubland","Tropikalny Obszar Krzewiasty"
"Badlands","Nieuæytki"
"Rocky Wasteland","Kamienne Pustkowie"
"Sand Desert","Piaszczysta Pustynia"
"Tropical Ocean","Ocean Tropikalny"
"Temperate Ocean","Ocean Umiarkowany"
"Arctic Ocean","Ocean Arktyczny"
"Temperate Freshwater Pool","Umiarkowany Basen Sàodkowodny"
"Temperate Brackish Pool","Umiarkowany Basen Sàonawy"
"Temperate Saltwater Pool","Umiarkowany Basen Sàonowodny"
"Tropical Freshwater Pool","Tropikalny Basen Sàodkowodny"
"Tropical Brackish Pool","Tropikalny Basen Sàonawy"
"Tropical Saltwater Pool","Tropikalny Basen Sàonowodny"
"Temperate Freshwater Lake","Umiarkowane Jezioro Sàodkowodne"
"Temperate Brackish Lake","Umiarkowane Jezioro Sàonawe"
"Temperate Saltwater Lake","Umiarkowane Jezioro Sàonowodne"
"Tropical Freshwater Lake","Tropikalne Jezioro Sàodkowodne"
"Tropical Brackish Lake","Tropikalne Jezioro Sàonawe"
"Tropical Saltwater Lake","Tropikalne Jezioro Sàonowodne"
"Temperate Freshwater River","Umiarkowana Sàodkowodna Rzeka"
"Temperate Brackish River","Umiarkowana Sàonawa Rzeka"
"Temperate Saltwater River","Umiarkowana Sàonowodna Rzeka"
"Tropical Freshwater River","Tropikalna Sàodkowodna Rzeka"
"Tropical Brackish River","Tropikalna Sàonawa Rzeka"
"Tropical Saltwater River","Tropikalna Sàonowodna Rzeka"
"Subterranean Water","Woda Podziemna"
"Subterranean Chasm","Podziemna PrzepaòÜ"
"Subterranean Magma","Podziemna Magma"
"It is traditionally thought to be ","Tradycyjnie uwaæa si©, æe "
"It was last seen ","Byào ostatnio widziane "
"It was last rumored to be ","Ostatnio kr•æyày pogàoski, æe "
"held by ","trzymane przez "
" in "," w "
"in ","w "
"the Underworld","Podziemie"
"the magma sea","morze magmy"
"the depths of the world","gà©biny òwiata"
"an unknown underground region","nieznany podziemny region"
"Highest known in organization","Najbardziej znany w organizacji"
"Associated Organization: ","Powi•zana Organizacja: "
"Associated Plot: ","Powi•zany spisek: "
"Died in the year ","Zmarà w roku "
" deity"," b¢stwo"
"Force","Siàa"
"This person is one of the ","Ta osoba jest jednym z "
" of "," z "
" and your military subordinate"," i twoim podwàadnym wojskowym"
" alongside you"," obok ciebie"
"This person is ","Ta osoba jest "
" and your military commander"," i twoim dow¢dc• wojskowy"
"You have known this person your entire life.","Znaàeò t• osob© przez caàe swoje æycie."
"You have known this person since ","Znasz t• osob© od "
" birth."," urodzenia."
"You have known each other your entire lives.","Znaliòcie si© przez caàe swoje æycie."
"You last spoke ","Ostatnio m¢wiàeò "
"You have heard this name suggested as a potential guide to faraway places.","Sàyszaàeò, æe ta nazwa jest sugerowana jako potencjalny przewodnik po odlegàych miejscach."
"You worship this figure.","Czcisz t© postaÜ."
"  You are beloved.","  Jesteò kochany."
"  You are held in high regard.","  Jesteò wysoce powaæany."
"  You are held in some esteem.","  Jesteò doòÜ szanowany."
"  You have been favorably noticed.","  Zostaàeò pozytywnie zauwaæony."
"  You have attracted some positive interest.","  Przyci•gn•àeò pewne pozytywne zainteresowanie."
"This is your lover.","To tw¢j kochanek."
"This is your prisoner.","To tw¢j wi©zie‰"
"This is your jailor.","To tw¢j dozorca."
"This is your master.","To tw¢j mistrz"
"This is your apprentice.","To tw¢j ucze‰."
"This is your traveling companion.","To tw¢j towarzysz podr¢æy."
"This is your former master.","To tw¢j byày mistrz."
"This is your former apprentice.","To tw¢j byày ucze‰."
"This is your owner.","To tw¢j wàaòciciel."
"This is your former spouse.","To tw¢j byày maàæonek."
"This is your deceased spouse.","To tw¢j zmarày maàæonek."
"This is your ","To tw¢j "
"You have recently encountered one of these creatures.","Niedawno spotkaàeò jedno z tych stworze‰."
"You have encountered these creatures in the past but not recently.","Spotkaàeò te stworzenia w przeszàoòci, ale nie ostatnio."
"You have only heard tell of these creatures.","Sàyszaàeò tylko o tych stworzeniach."
"You have killed ","Zabiàeò "
" of these creatures."," tych stworze‰."
"This creature can be found in ","To stworzenie moæna znale´Ü w "
"This creature lives in ","Ta istota æyje w "
"This creature dwells underground.","To stworzenie mieszka pod ziemi•."
"This event occurred on the ","To wydarzenie miaào miejsce "
" in the year "," w roku "
"Somebody","Ktoò"
" giving of "," dajac "
" placement of "," miejsce "
"an untitled work","praca bez tytuàu"
" to "," do "
"somebody","ktoò"
"The destruction of","Zniszczenie"
" refusal to give "," odmowa dania "
" gaining of "," zdobycie "
" possession of "," posiadanie "
"The reunion of ","Zjednoczenie "
"Your reunion with ","Twoje ponowne spotkanie z "
"Your death","Twoja òmierÜ"
"The death of ","SmierÜ "
"A "," "
"production order violation","naruszenie zlecenia produkcyjnego"
"export prohibition violation","naruszenie zakazu eksportu"
"job order violation","naruszenie zlecenia pracy"
