"stuck on research topic","研究テーマに行き詰まる"
"Track/Ramp (SEW)","トラック/ランプ(SEW)"
"[C:3:0:1]Partially paralyzed","[C:3:0:1]一部が麻痺している"
"long phrases","長いフレーズ"
"(enter name here)","(ここに名前を入れる)"
"is extremely short with little muscle","は極端に背が低くあまり筋肉質ではない"
"faster and faster ","だんだん速く "
"perfect ","完璧な "
"The treasury","宝物庫"
"Confirm and save uniform","確認してユニフォームをセーブする"
"Chant","詠唱する"
" breaks"," 壊す"
"Small","小さい"
"the catacombs","地下墓地"
"footwear","靴"
"We should have made it there by now.","そろそろ到着してもいいはずだ. "
":keyboard:keyboards","キーボード"
"No activity","活動なし"
"small tame animal","小さな懐いたペット"
" telling the tale quite well."," 物語を上手に話す. "
"[C:6:0:0]Hungry","[C:6:0:0]お腹が空いている"
"oaths","オアシス"
" flawlessly, like someone out of a legend!"," 全くもって, 伝説上の人物のように"
"coral","サンゴ"
"Open cases","ケースを開ける"
"The poetry enters","その詩は入る"
"Track/Ramp (NSEW)","トラック/ランプ(NSEW)"
"savanna","サバンナ"
"Training Session","講習会"
"I'm very angry.","私はとても怒っている"
"a dark tower","ダークタワー"
"You continue the story.","あなたは話を続ける"
"Saving history...","歴史をセーブしています***"
"Sing","歌う"
"Campground","キャンプ地"
"Spring","春"
"Forging Workshop","加熱炉職人作業場"
"headwear","兜/帽子"
"There aren't enough chairs.","十分な椅子が足りない"
"a market","市場"
"my","私の"
" jumps"," ジャンプ"
"wife","妻"
" has been lost!"," 失われた!"
"the magma pool","マグマプール"
" are indistinguishable!"," は見分けがつかない!"
"weaponsmith's shop sign","武器屋の標識"
"a keep","砦"
"Stop Bleeding","止血する"
" locks"," 鍵をかける"
"raw clear glass","未加工のクリアグラス"
"fertility","繁殖力"
"speech","演説"
"moon","月"
"Clothing Shop","衣料品店"
"Destroy building","建物を壊す"
"100 years","100年"
"Sorting world information...","ワールドインフォメーションをソートしています***"
" seem to know how to play the "," 使い方を知っているようだ.  "
"general imports sign","輸入雑貨の標識"
"victory","勝利"
"large","大きい"
" tell"," 話す"
"green glass ","グリーングラス "
" in the "," 中に "
"first ","1番目の "
"Hey...  that sounds like a great idea!","ヘイ, そいつはいいアイデアだぜ!"
"coral paste","サンゴのペースト"
"Serve ","仕える "
"I'm not sure.","私には定かではない"
" from the side"," の側から"
"discipline","訓練"
" after a horrific combat"," 壮絶な戦いの末"
"rainbows","虹"
"Cleaning game objects...","ゲームオブジェクトをクリーニングしています***"
" sound"," 音"
"more cruel","より残酷な"
" Chair"," 椅子"
"boiling salt","沸騰している塩"
"The music enters ","その音楽は入る "
"I'm very doubtful.","私はとても疑い深い"
"I'm feeling very dejected.","私はとても落胆している"
" in the middle of "," の中盤 "
"Blacksmithing Pit","鍛冶屋取引場"
"pushes","押す"
"Tower Entrance","塔の入口"
"Catacombs","地下墓地"
"[C:1:0:1]Thirsty","[C:1:0:1]喉が渇いている"
"Saving map data...","マップデータをセーブしています***"
"Self-Control","自制心"
"dancing ","踊り "
"frozen filth","凍った汚物"
"I feel such despair...","私は絶望を感じる***"
", but it is deflected by ","という欠陥で "
"is very fat and extremely short","はとても太っていて極端に背が低い"
"*START REGION MAP SAVE*","スタート地域のマップセーブ"
"truth","真実"
"powerful","力強い"
" releases"," リリースする"
"chanter","詠唱者"
"rock","岩"
"[C:6:0:1]Extreme pain","[C:6:0:1]激しい痛み"
"Play","遊ぶ"
"Cooperation","協力"
"goddess","女神"
" push "," 押す "
"singing","歌っている"
"/Resting","休息中"
"That was alarming.","それは注意すべきだった"
"Summer","夏"
" has shared many tales from beyond "," 外から入ってきた噂がある "
"This organizational activity will branch into specific social events.","この組織活動は, 特定の社交イベントに分岐します. "
" under "," 下に "
"I ate in a dining room.","食堂で食べた"
"Associated Organization: ","関連組織: "
"Off map","オフマップ"
"animal trap","動物用の罠"
"siege ammo","攻城兵器の弾"
" pulls"," 引く"
"I'm nervous.","私はイライラしている"
" concludes a performance."," パフォーマンスをやめさせる"
"Home","ホーム"
" catch"," つかむ"
"[C:6:0:1]Drowsy","[C:6:0:1]眠い"
"Start new game in existing world","既存の世界で新しいゲームを始める"
"forest","森"
" of the two themes"," 2つのテーマの"
"Metal Crafting Pit","金属加工職人取引場"
" special position"," スペシャルポジション"
"feeling empty","空虚に感じている"
"taiga","タイガ"
"Leatherworking Shop","皮職人仕事場"
" pick up "," 拾得 "
"coin","コイン"
"slush","泥"
"Track (NSW)","トラック (NSW)"
"crafts","加工品"
"more rude","より無礼な"
" Statue"," 像"
"attack","攻撃する"
"high","高い"
"the musical composition ","楽曲 "
"You cannot perform here.","ここではできない"
"child","子供"
"reaction time","リアクションタイム"
"head","頭"
" over the details."," 詳細について"
" Seed"," シード"
"Floor Hatch","床ハッチ"
"250 years","250年"
"I slept on the floor.","床の上で寝た"
"serving in combat","戦闘に従事する"
"Bone Carving Pit","骨細工職人取引場"
"Friendship","友情"
"pressed vomit","潰れた嘔吐物"
" Floor Bars"," 床置き棒"
"Climb","登る"
"fire","火"
"Stockpile #","ストックパイル"
"bars","延べ棒"
" beautifully."," 美しく"
" bars"," 延べ棒"
"Corpse ","死体 "
"leather shop sign","革製品店の標識"
"is organized","組織されている"
"Cleaning play objects...","プレイオブジェクトをクリーニングしています***"
"heads","頭"
"Spears","スピア"
" chests"," 宝箱"
"Teach ","教える "
"[C:2:0:1]Nauseous","[C:2:0:1]吐き気がする"
"wisdom","知恵"
"Pocket","極小"
"bucket","バケツ"
" before "," 前に "
"Tame ","手なづける "
" stumble"," つまづく"
"rough ","粗い "
"sheet","シート"
"[C:5:0:1]Pale","[C:5:0:1]青ざめている"
" blood."," 血"
" has shared a rumor from abroad."," 外国から入ってきた噂がある"
"an unknown creature","未知のクリーチャー"
"[C:3:0:1]Dizzy","[C:3:0:1]眩暈がする"
"Meditate on ","瞑想する "
" well."," うーん"
"marriage","結婚"
"major","メジャー"
"draining","排出"
"Fairness","公平性"
"conflict","紛争"
"don't","ない"
"a library","図書館"
"That makes me angry.","それは私を怒らせた"
" the "," その "
"painting","ペインティング"
"Some performers finish their act.","何人かのパフォーマーは終わらせる"
"A poetry recital","詩吟会"
"is very short but covered with great amounts of lard and with huge muscles","はとても背が低いがとても脂ぎっていて強烈に筋肉が盛り上がっている"
"[C:1:0:0]Drowsy","[C:1:0:0]眠い"
"Dirt","土"
" Floodgate"," 水門"
"pressed potash","潰された炭酸カリウム"
"nightmares","ナイトメア"
" choose"," 選ぶ"
"item","アイテム"
"Weapon Trap","武器の罠"
"I'm very averse to this.","私はこれがとても嫌いだ"
" try"," 試す"
"stars","星"
"overflows with sadness","悲しみに飲み込まれた"
"I slept in the mud.","泥の中で寝た"
" years of membership"," 会員年数"
" get"," 取る"
"[C:5:0:1].Butchered","[C:5:0:1].肉に捌かれている"
"You could not find a partner.","パートナーを見つけることができなかった"
"Unnamed underground area","名前のない地下エリア"
" adjusts"," 調整する"
"Track/Ramp (SE)","トラック/ランプ (SE)"
"Track/Ramp (N)","トラック/ランプ(N)"
"I had a drink without using a goblet.","私はゴブレットなしに飲んだ"
"is slow","遅い"
"Construct building","建築する"
"Display Furniture","陳列された家具"
"less lustful","余り好色ではない"
"the volcano","火山"
":pipes:pipes","パイプ"
"Cunning","狡猾"
"very low","とても低い"
" empty "," 空 "
"The throne room","謁見室"
"the tower","塔"
"Organize Combat Training","戦闘訓練を組織する"
"Maximum Natural Cave Size","最大の洞窟の大きさ"
"This is ","これは "
"value ","価値 "
"leather goods shop sign","革製品店の標識"
"myxolydian","ミクソリディアン"
" Demonstration"," デモンストレーション"
"Upright ","直立材 "
"Nature","自然"
" always "," いつも "
"Paved Road","舗装された道路"
"I made ","私は作った "
"There is no specific information for this activity.","この活動に関する特定の情報はありません. "
"Bottom Layer (Forces Magma)","ボトムレイヤー(マグマをフォーカス)"
" pipes"," パイプ"
" cemented a bond of friendship amidst the horror of combat"," 戦いの恐怖の中で友情の絆を固めた"
"discuss research topic","研究テーマについて話し合う"
"Eloquence","雄弁"
"There is a library there","図書館がある"
"You have discovered a deep pit.","深い裂け目を発見した. "
"Horizontal Axle","水平ギア"
"preserved ","保存された "
"Blacksmithing Workshop","鍛冶職人作業場"
" vaguely like the intended "," 朧げながら "
"I slept on rocks.","岩の上で寝た"
":bells:bells","鐘"
"[C:6:0:1]Slight pain","[C:6:0:1]わずかに痛む"
"I'm a little angry.","少し腹が立った"
" the words evocatively."," 印象的な言葉だ. "
"pipe section","パイプ"
"upper floors","上の階"
"occurred.","生じる"
" (opens menu)"," (メニューを開く)"
"I threw something.","何かを投げた"
"the stanza","その連"
"Combat Training","戦闘訓練"
"Prepared by ","それによって準備された: "
"Gem Cutting Pit","宝石加工職人取引場"
"tavern sign","宿屋の標識"
"Animal Pit","動物罠"
"We must go back.","戻らなければならない"
"I've been defeated.","私はずっと打ち負かされている"
"Invalid Type","無効なタイプ"
"more merciful","より慈悲深い"
"living gods and mighty beasts ","現人神と強力な獣 "
"prepared meal","準備された食事"
"coal","石炭"
"the finale","結論部"
"more curious","より奇妙な"
"Loyalty","忠誠心"
"Minimum ","最小 "
"Track (SE)","トラック(SE)"
"quarter ","4分の1の "
"is depressing","憂鬱だ"
"Copy","複写"
"Kidnapping","誘拐"
" dancing well."," 上手に踊る"
"Listen to Sermon","説教を聞く"
"Unknown group","未知の集団"
" of the previous passage"," のその前文"
", lightly tapping the target!","ターゲットを軽く叩いている. "
"Carpentry Workshop","大工仕事場"
"tool","道具"
"Lead ","導く "
" happy"," 幸福な"
"argument","議論"
" Slab"," 石の板"
"Write about ","について書く "
"Burned to death by ","焼死した: "
"Finished Goods ","完成品 "
"Track/Ramp (NSW)","トラック/ランプ(NSW)"
"A masterwork of ","傑作の "
"catacombs","地下墓地"
"Track (S)","トラック(S)"
"You feel like you know the basic rules of ","あなたはそれについての基礎的なルールについてはわかっているような気がする: "
", but the attack glances away!","だが, 攻撃は逸れた"
"leather clothing shop sign","皮衣料品店の標識"
" dismount"," 降りる"
"track cart","カート"
"is clearly organized","整然と組織されている"
"armor","鎧"
" cough"," 咳"
"animal","動物"
"Track (E)","トラック (E)"
"woven clothing shop sign","布縫製店の標識"
"song","歌"
"earring","イアリング"
"Siege Engine","攻城兵器"
"The dance continues.","その踊りは続く"
" Floor Hatch"," 床ハッチ"
"bone carver's shop sign","骨加工店の標識"
"[C:2:0:1].Spilled","[C:こぼれている"
"guildhall","市庁舎"
"The performers","パフォーマーたちが"
" keyboard.  "," キーボード "
" bends"," 曲げる"
"attacks","攻撃する"
"[C:4:0:1]Very drowsy","[C:4:0:1]とても眠い "
"is","は"
" mouth"," 口"
" (no activity)"," (活動なし)"
"distant ","遠い "
"I'm very content.","私はとても満足している"
"a new friend","新しい友人"
"adventure","冒険"
"freedom","自由"
"Quit","やめる"
"somebody","誰か"
"I am very disappointed.","私はとても落胆している"
"I slept in the grass.","草の上で寝た"
"[C:4:0:1]Slight fever","[C:4:0:1]少し熱がある"
" half of"," 半分の"
"a recapitulation","再現部"
"luck","幸運"
"smooth ","スムーズな "
" item."," アイテム"
"a hospital","病院"
"Z Levels Above Layer 1","Ｚレベル:レイヤー1"
"coal slush","潰れた泥"
"Unknown site","未知の遺跡"
"is very muscular and very short","はとてもマッチョでとても背が低い"
"grabs","つかむ"
"strikes","打つ"
" lies on the ground."," 地面に横たわる"
"Archery Target","射的"
"artifact","アーティファクト"
"a series of variations","転調部分"
"I feel nostalgia.","郷愁を感じている"
" giving a creditable sermon."," 立派な説法をする. "
"boiling lye","沸騰しているアク"
" the story in vivid detail."," 生き生きとした物語. "
"it","それ"
"home","ホーム"
" Wall Grate"," 壁暖炉"
"chain","鎖"
" Casket"," 棺"
"Temperature","気温"
"criminal","犯罪"
"Use Name Seed","名前シードを使う"
"Reported: ","レポート: "
"pearlash","真珠粉"
"What has happened?","何が起こったんだ"
"This organizational activity will branch into specific play events.","この組織活動は, 特定のプレイ イベントに分岐します. "
"About DF","DFについて"
"Mechanism Room","機械室"
"Food ","食料 "
" Axle"," アクセル"
" the world."," 世界"
"vial","瓶"
"Glowing Barrier","光るバリア"
"refined coal","精錬された石炭"
"Vacant Shop","空になった店"
"Stoneworking Workshop","石職人仕事場"
"creation","創造物"
"Organize ","組織する "
", but the attack is deflected by ","によって攻撃はそらされた.  "
"research breakthrough","研究のブレークスルー"
"more temperate","より穏やかな"
" lose"," 失う"
"The story continues.","物語は続く"
"writing","書物"
" Animal Trap"," 動物用の罠"
"Obsidian","黒曜石"
":chest:chests","宝箱"
"inspiration","インスピレーション"
"is thoroughly organized","徹底的に組織されている"
"'s","の"
"It makes me very bitter.","それは私を辛くさせる"
"Mods","修正"
"Coins ","コイン "
"Track (NEW)","トラック(NEW)"
"leaves and fruit","葉と果物"
"began.","始まる"
" Pillar"," 支柱"
"lakes","湖"
" has finished performing."," パフォーマンスは終わった"
"rope","ロープ"
"Macro, Load","マクロ, ロード"
" speak"," 話す"
" an enemy."," 敵"
" Chest"," 宝箱"
"feeling enjoyment","楽しく感じている"
" to start a new life"," 新しい人生を始めるために"
"clear glass ","クリアグラス "
"Romance","ロマンス"
"Object testing arena","オブジェクトテストアリーナ"
"Watch Dance","踊りを見る"
" on the second theme"," 2番目のテーマにおける"
"green glass paste","緑草のペースト"
"cooking ","料理 "
"floodgate","水門"
" shake"," 振る"
"The ","その "
"Fishing Area","魚釣りエリア"
"Play Make Believe","芝居をする"
"5 years","5年"
"This is the ","これは "
" a murderer."," 殺人者"
"raw green glass","未加工のグリーングラス"
"the dormitory","寝室"
" stands up."," 立ち上がる"
"It has all gone wrong!","それはすべて間違っている!"
"Leatherworking Pit","皮革職人取引場"
"the verse paragraph","その節"
"valves","バルブ"
"I did my combat drills.","戦闘訓練を行いました. "
"children","子供"
"pressed pearlash","潰された真珠粉"
"Bar/Block ","棒/ブロック "
"mechanisms","機械部分"
"Stoneworking Pit","石職人取引場"
"Custom world name","ワールドネームを変更する"
" artfully deliver"," うまく届ける"
"Zoom In","ズームイン"
"Cleaning stranded objects...","スタンデッドオブジェクトをクリーニングしています"
"I learned ","私は学んだ "
"rotten","腐った"
"The color ","色 "
"Cold cases","コールドケース"
" keyboard"," キーボード"
"Restraint","レストラン"
"thick ","分厚い "
"metals","金属"
"wealth","富"
"chain ","鎖 "
"[C:4:0:1].Heavy bleeding","[C:4:0:1].激しい出血"
"Change","変更"
"market","市場"
"Listen to Story","話を聞く"
"enemy","敵"
"[C:1:0:1]Drowning","[C:1:0:1]溺れている"
"Horizontal ","水平材 "
"The sermon continues.","説教は続く"
" Road"," 道"
"dancing","踊り"
" chorus"," コーラス"
"This is so aggravating!","これはとても腹が立つ!"
"Create world","世界を創る"
"Track/Ramp (NSE)","トラック/ランプ(NSE)"
"Stone ","石 "
"the river","川"
"dark tower","ダークタワー"
"vomit","嘔吐物"
"improvised music, ","即興演奏 "
" play"," 遊ぶ"
"Throneroom","謁見室"
"Custom Workshop","仕事場"
"Position ","ポジション "
"  The largest of these is "," これらの中で最大の "
"Died of thirst","渇き死にした"
"[C:3:0:1]Partially numb","[C:3:0:1]一部が凍りついている"
" gives you "," 貴方にあげる "
"Saving parameters...","パラメーターをセーブしています***"
"raised right arms","右手を挙げる"
"gem cutter's shop sign","宝石加工店の標識"
" crisply."," 鮮明に"
"natural minor","ナチュラルマイナー"
"There is not enough room to perform here.","ここにはそれをできる部屋がない"
"sleeping","眠っている"
"crystal glass ","クリスタルグラス "
"the exposition","提示部"
"friendship","友情"
"[C:4:0:1].Bleeding","[C:4:0:1].出血"
"Seat","座席"
"Play ","遊ぶ "
"melodic minor","メロディックマイナー"
"pressed filth","潰された汚物"
"company","会社"
"pressed coal","潰れた石炭"
"rumor","うわさ"
"magma","マグマ"
"is very slow","とても遅い"
"[C:6:0:1]Exhausted","[C:6:0:1]疲労した"
"is very tall","長命の"
"Artwork","芸術作品"
"You continue the music.","あなたは音楽を続ける"
"Gem Window","宝石の窓"
"Track (NS)","トラック(NS)"
"grab","つかむ"
"You have discovered a volcano.","火山を発見した. "
"pleased","喜んでいる"
"Unknown structure","未知の建築物"
"Trap","罠"
"Autumn","秋"
" verse paragraph"," 節"
"Track/Ramp (EW)","トラック/ランプ(EW)"
"strike","打つ"
"Drowned","溺れた"
"Burned to death by a ","焼死した: "
"chant","詠唱する"
"a bridge-passage","合間の節"
" coughs"," 咳"
"more humorless","より真剣な"
"power","力"
"It's quite astonishing.","それはかなり驚かされる"
"Okay","オッケー"
"Archery Practice","弓の訓練"
"[C:6:0:1]Moderate pain","[C:6:0:1]かなりの痛み"
"[C:5:0:1]Faint","[C:5:0:1]フェイント"
"hunting","ハンティング"
"Track (NSE)","トラック(NSE)"
"That is amazing.","それはすばらしい"
"You hear ","あなたは聞く "
" line."," 行"
"It has no writing.","それには何も書いていない"
"Watch ","見る "
"animals","動物"
"I'm very worried.","とても心配している"
"an improvised recital of ","の即興演奏会 "
"[C:5:0:1]Thirsty","[C:5:0:1]喉が渇いている"
"a tavern","居酒屋"
"metal craft shop sign","金属加工店の標識"
"games of chance","ゲームズオブチャンス"
", but there is no force!","しかし, 力がない!"
"There is a tomb","墓がある"
"disease","病気"
"Go to Combat Training","戦闘訓練へ"
"leader","リーダー"
"Play with ","で遊ぶ "
"This is mortifying.","これはしゃくにさわる"
"Stockpile","ストックパイル"
"Butcher an animal","動物を捌く"
"[C:4:0:1]Bleeding","[C:4:0:1]出血している"
" of the first theme"," 第一のテーマの"
"You are amazing.","あなたは驚いている"
"[C:3:0:1]Completely numb","[C:3:0:1]完全に凍り付いている"
"Friend of ","友人の "
"is very fast","とても速い"
"A story recital","朗読会"
"Tell Story","話を語る"
"MEDIUM REGION","中規模の地域"
"food","食料"
"Magma Layer","マグマレイヤー"
"glacier","氷原"
"history","歴史"
"is quite humorous","かなりユーモラスだ"
"the dining hall","食堂"
"more proud","より誇り高い"
"begins","始める"
"I slept on a rough cave floor.","洞窟の適当な床で寝た"
"You continue the sermon.","あなたは説教を続ける"
"Cage Trap","檻の罠"
" could nearly pass for the voice of the "," の声とほぼ同じでした.  "
" again"," もう一度"
"raw crystal glass","未加工のクリスタリグラス"
"Promote ","促進 "
"I'm aroused!","私は興奮した!"
"soft","柔らかく"
"muddy","泥だらけの"
"There are not enough dancers.","必要な数のダンサーがいない"
"goblet","ゴブレット"
"trusting","信頼できる"
"combat","戦闘"
" poorly."," 貧弱"
"more stubborn","より頑固な"
", Etc.",", など"
"agent","エージェント"
"pressed coral","潰されたサンゴ"
"I need more.","もっと必要だ"
"is very short, very weak and very skinny","はとても背が低く, とても弱々しく, とても痩せている"
"muck","ふん"
"Track (N)","トラック (N)"
"stone furniture shop sign","石家具店の標識"
"rain","雨"
"the guildhall","市庁舎"
"Track/Ramp (NW)","トラック/ランプ (NW)"
"The guildhall","市庁舎"
"I'm going to visit the temple.","寺院を訪ねるつもりだ"
"Activity","活動"
"boiling magma","煮えたぎるマグマ"
" throws"," 投げる"
"[C:5:0:1]Moderate blood loss","[C:5:0:1]かなりの出血"
"agriculture","農業"
"crown","王冠"
"healing","ヒーリング"
