"more presumptious","более уверенный в себе"
"a murder","убийство"
"State minor feeling of vengefulness","Выразить лёгкое чувство мстительности"
"Acknowledge lack of wonder","Признать недостаточное удивление"
"events","события"
"You begin","Вы начинаете"
"Many civilizations keep them as pets and work animals.","Многие цивилизации держат их в качестве домашних и рабочих животных."
"thrilled","волнение"
"ash","зола"
"a foiled corruption conspiracy","сорванный коррупционный заговор"
"amber","янтарь"
"being unable to find somebody to complain to about job scarcity","будучи не в состоянии найти кого-то, чтобы жаловаться на нехватку работы"
"various civilized races peopled the world.","разные цивилизованные народы населяли мир."
"Children.","Дети."
"more wasteful","более расточительный"
"Investigate or interrogate (new menu)","Расследовать или допрашивать (новое меню)"
" from a period of no rule"," периода без правителя"
" second"," вторая"
"wait","ждать"
"has a narrow, prominent","имеет узкий, выступающий"
"to beseech","чтобы попросить"
"Collapsed","Раздавлен"
"engineering:machine:piston","инженерия:машины:поршень"
"Click a creature to start a new conversation","Кликните на существе, чтобы начать разговор"
"Furniture/siege ammo","Мебель/осадные боеприпасы"
"/E","/В"
"to bathe the world in chaos","ввергнуть мир в хаос"
"Requests (Imports from ","Запросы (импорт из "
"surveying by triangulation for engineering projects","съёмка местности триангуляцией для инженерных проектов"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please.","  Я хотел бы рассказать вам, откуда начинать поиск. До тех пор вы вольны делать что пожелаете."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].Перелом со смещением"
"Shrub","Куст"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Мы можем расстаться максимум с "
"Make Caves Visible","Сделать пещеры видимыми"
" has calmed down."," успокоился."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","считает, что крайне важно не падать духом, никогда не ворчать, не жаловаться и даже не выражать чувств"
"Leave Wall","Покинуть Стену"
"medicine:theory:classification of bodily fluids","медицина:теория:классификация телесных жидкостей"
"Shake ","Трясти "
"Associated","Ассоциированный"
"Avoid conflict today.","Избегайте конфликтов сегодня."
"Returning soldiers bring rumor(s)","Вернувшиеся солдаты принесли слухи"
"has a fairly deep and raspy voice","имеет довольно глубокий и хриплый голос"
" bag is used by the musician to control the steady flow of air through the instrument.]"," мешок служит для поддержания устойчивого потока воздуха через инструмент.]"
"You feel hot/cold","Вам жарко/холодно"
"drinking without well","пить без настроения"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","Отдать приказ об обороне норы. Солдаты будут патрулировать нору и нападать на любых враждебных существ."
"Forceps","Зажимы"
"tanned","дублёный"
"Mount ","Верхом "
"engineering:optics:theory of rainbows","инженерия:оптика:теория спектра"
" terrified"," ужасно напуганно"
" promised "," обещал "
"Invaders can dig natural walls","Захватчики могут раскапывать природные стены"
"No item to throw","Нечего бросать"
"being tormented in nightmares by a dead sibling","мучения кошмарами о покойном близком родственнике"
"The guildhall petition by ","Прошение о создании зала гильдии от "
"Surgeon","Хирург"
"mathematics:algebra:divergence of harmonic series","математика:алгебра:расхождение гармонического ряда"
"burned away","сгорела"
"by invocation of True Name","произнесением Истинного Имени"
"You've caught a ","Вы поймали "
"Give me the bustle and noise over all that quiet!","Здесь слишком тихо, я хочу шума и суеты!"
"as a former slave of","как бывший раб "
"respects commerce","уважает торговлю"
"the Line","Прямая"
"feeling apathetic","чувство апатии"
"recruit","рекрут"
" was imprisoned by"," был заключён в тюрьму"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","считает обретение и сохранение знаний как наступательное предприятие, которым занимаются высокомерные глупцы"
"bowls","чаши"
"is short and just incredibly fat","невысокий и ужасно толстый"
"strand extractor","волочильщик проволоки"
"former master","бывший наставник"
" is at war with us."," воюют с нами."
"the Rising of the Moon","Восход луны"
"is weak and extremely short","слабый и чрезвычайно низкий"
"begins to stammer when ","начинает говорить невнятно, когда "
"addition of masterful rollers","добавление мастерски выполненных валков"
"Welcome to Dwarf Fortress","Добро пожаловать в Dwarf Fortress!"
"Grab Milk Unit","Схватить блок молока"
" has brought back many tales from beyond "," рассказывает много историй из-за пределов "
"thoughtless","беспечный"
"Clothes Making","Пошив одежды"
"Mechanic","Механик"
"clothes rot off of ","гниение одежды "
"That's not right.","Это неверно."
"Nothing to interact","Не с чем взаимодействовать"
"Many are ","Многие "
"often feels lustful","часто чувствует страсть"
"forming a bond with an animal training partner","наладил отношения с партнёром по тренировке животных"
"Embark","Высадка"
", animated by unknown forces",", оживлён неизвестными силами"
"Uninterested in an owner","Не заинтересован в хозяине"
"No match.","Нет совпадений."
"a year ago","год назад"
"completed job","выполненная работа"
"SAVAGERY REJECTION","ОТКАЗ ОТ ДИКОЙ СРЕДЫ"
"Dictionary","Толковый словарь"
"You cannot climb or mount while prone.","Вы не можете карабкаться или сесть верхом, пока лежите."
"woodcutter","лесоруб"
"I worship no one.","Я никому не поклоняюсь."
"does not easily fall in love and rarely develops positive sentiments","редко влюбляется или испытывает тёплые чувства"
"Duplicate","Дублировать"
"Trader","Торговец"
"the search of ","поиск "
"Preparing for the caravan","Подготовка к каравану"
"Your bookkeeper has done enough work to attain ","Ваш счетовод поработал достаточно для достижения "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","Изготовление в базовой игре ограничено созданием каменного топора, необходимого для рубки деревьев.  Для начала достаточно собрать несколько камней и ветку дерева. "
" was spotted sneaking around!"," крадется!"
"more of a loner","менее общительный"
"Unassuming","Непритязательный"
"nine thousand","девять тысяч"
"Find embark location","Найти место высадки"
"Child is nobility","Знатный ребёнок"
"light","свет"
"Meanness   <->   Wastefulness","Подлость <-> Расточительность"
"Various seeds","Различные зерна"
" Downward Track (NE)"," спуск рельс (NE)"
"denting","прокусывая"
" the name "," имя "
"stress vulnerability","стрессово уязвимый"
"Initial forest square count fails by ","Начальная площадь лесов недостижима по причине "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Ваши подвиги будут записаны для режима ""Легенды"" и мастерами-граверами в последующих крепостях вашего мира."
"flat","плоский"
"The desired pitch is selected using a ","Нужный тон выбирается при помощи "
"Feared as a villain","Пугающий злодей"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Переключите, может ли склад принимать предметы откуда угодно или только из определенных мастерских и складов."
"boiling clear glass","пары прозрачного стекла"
"I accept this honor.","Это честь для меня."
"the method of writing the history of a single individual","методы написания истории одним автором"
" and it is mostly cut away from the rest of the torso!"," и почти отсекается от остального тела!"
"Admiration","Восхищение"
"No heavy attack: enraged","Мощная атака невозможна: в бешенстве"
" own possessions"," собственное имущество"
"rages","ярость"
"Announcements","Оповещения"
"meeting area zones, dining rooms and","места собраний, столовых и"
" became "," становится "
" is angry"," злится"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Для использования некоторых функций, таких как рабочие заказы или счетоводство, необходимо назначить [C:5:0:0]администраторов[C:7:0:0]. "
"Remorseful","Полное раскаяние"
"Shearer","Стригаль"
"Mid-","середина "
" rope"," верёвку"
"ill-fated ","злополучный "
"feel heavy","чувствовать себя тяжелым"
"The army of ","Армия "
"is very frail and incredibly long","очень хилый и невероятно высокий"
"a robbery","грабёж"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Если вы дотянете до прихода каравана, вы сможете обменять товары на [C:6:0:1]Напитки[C:7:0:0] "
"Slab engraved","Мемориал выгравирован"
"You know, I think you're right.","Я знаю, я думаю вы правы."
"Dismiss minor feeling of shock","Пропажа чувства легкого шока"
"in order to glorify ","чтобы прославлять "
" battles"," бои"
"Masterwork","Шедевр"
"amused","изумление"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Недовольные жители могут вести себя неадекватно и создавать проблемы, также все меньше народу рискнет отправиться "
"You need a free grasp to climb.","Нужна свободная рука, чтобы карабкаться."
"wombat","вомбат"
"a divine being","божественное создание"
"earth","земля"
"specialized surgical instruments","специальные хирургические инструменты"
" and it is all thanks to "," и всё это благодаря "
"is gigantic and quite fat","гигантский и довольно толстый"
"Gladiatory Games","Гладиаторские бои"
"Water wheels are 1x3 or 3x1.","Водяные колеса бывают 1х3 или 3х1."
" looks "," выглядит "
"free rhythm","свободный ритм"
"I see your low race still revels in death.  That poor, gentle creature...","Вижу, ваша низшая раса всё так же наслаждается смертью.  Бедное нежное создание..."
"Please help me to escape from this place.","Пожалуйста, помогите мне выбраться из этого места."
" Upward Track (NS)"," подъём рельсов (NS)"
"the Purchase","Покупка"
"who","кто"
"the ghost of my sibling","призрак моего близкого родственника"
" a friend"," друг"
" specific move"," особое движение"
"the classification of toxic substances","классификация токсических веществ"
"mid-length phrases","фразы средней длины"
"Writing","Письмо"
"a great dining room","великолепной столовой"
"is thin, skinny and weak","тонкий, тощий и слабый"
"announcement","оповещение"
"Machines/fluids","Машины/жидкости"
", but it means nothing now.",", но теперь это ничего не значит."
"More likely, your dwarves will starve, unless you read the first few guides here! ","Скорее всего, ваши дварфы будут голодать, если вы не изучите первые несколько руководств! "
"grovel","преклониться"
"Frequent","Часто"
"the mercenary operation","операция наёмников"
"Comrade","Товарищ"
"Your dreams will come true.","Ваши мечты станут реальностью."
"is quite mocking in tone","в издевательском тоне"
"'s onslaught"," натиск"
"geography:form:atlas","география:форма:атлас"
"State minor feeling of love","Состояние легкого чувства любви"
"'s location"," местоположение"
"I'm very lonely.","Я очень одинок."
"active performance poem reciter","декламатор на текущем выступлении"
"State minor feeling of gloom","Выразить лёгкое чувство уныния"
" recitation of "," исполнение "
"has high cheekbones","высокие скулы"
"philosophy:specialized:politics social welfare","философия:специальная:политика социальное благосостояние"
"a noted flatterer","признанный льстец"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]Зоны[C:7:0:0] размещаются так же, как [C:6:0:0]Склады[C:7:0:0]. "
"Mandate period (more = fewer)","Периодичность поручений (больше = реже)"
"Cirrus","Перистые"
"Nonsense","Ерунда"
"mathematics:geometry:pythagorean triples small","математика:геометрия:малые пифагорейские тройки"
"the construction and use of the flask","изготовлением и использованием колб"
" Floor Grate"," решётка в полу"
"greedier","жаднее"
"a theft","кражу"
"Resourcefulness","находчивости"
"the enactment of a series of oppressive laws","введение нескольких несправедливых законов"
"medicine:theory:disease classification","медицина:теория:классификация заболеваний"
"the struggle for survival","борьба за существование"
"the construction and use of the astrarium","изготовлением и использованием астрариума"
"ladies","леди"
"profaned","осквернил"
"has a large body but is incredibly skinny","имеет большое тело, но невероятно тощий"
"is lanky and frail","долговязый и хилый"
" boldly, even if it would offend an average sense of modesty"," смело, даже если это будет задевать чувство скромности окружающих"
"skip","пропустить"
"That's suspicious!","Это подозрительно!"
"has an extremely broad body with lots of fat on it","чрезвычайно коренастый с большим количеством жира"
"Dirt Road","Грунтовая дорога"
"the causes of historical events","причины исторических событий"
"You are nauseated.","Вас тошнит."
"Give me a break.","Дайте мне передохнуть."
"Cloth Workshop","Мастерская портного"
"d strongly favored"," очень желательно"
"the taming of the ","приручение "
"Engravers","Гравировщики"
"grieved","горе"
" partially free of the web."," частично освободился от паутины."
" mounts "," седлает "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","Не удалось найти касту существа CREATURE_CASTE_GRAPHICS "
"Traits","Черты"
" to live a life of adventure",", чтобы жить жизнью полной приключений"
"gets distracted from conversations easily when ","начинает легко отвлекаться от разговора, когда "
" weapons"," оружие"
" superiorly designed"," превосходного исполнения"
"Move keyboard cursor down (z)","Переместить курсор клавиатуры вниз (z)"
"I'm not worried.","Я не беспокоюсь."
"great creativity","творческий подход"
"gave food","дал еду"
"a castle wall","стена замка"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Время, проведённое в размышлениях прекрасно, но не стоит забывать и о реальности."
"tuning","настройка"
"the notion of bonds between members of a community","понятие границ между членами общества"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","Здесь вы можете изготовить детали для баллист и катапульт.  В этой мастерской также собираются боеприпасы для баллист."
"legendary bully","легендарный хулиган"
"has a small build and is very weak and incredibly skinny","имеет некрупное телосложение, очень слабый и невероятно тощий"
"Remote: ","Отдалённый: "
"Pike","Пика"
"being rescued","того, как был спасён"
"Default attack is a wrestling move.","Атака по умолчанию - борцовский прием."
"superior quality ","превосходного качества "
"being forced to endure the decay of an acquaintance","был/а вынужден/а терпеть гниение знакомого"
"The victory was shared by ","Победу разделили между собой "
"Acknowledge lack of bitterness","Признать недостаток горечи"
"extremely low","чрезвычайно низкий"
" because you are swimming."," потому что вы плывёте."
"Verbally struggle against great dismay","Словесно бороться с сильной тревогой"
" talents and accomplishments"," собственными талантами и достижениями"
"the Secret","Секрет"
"dream","мечтаете"
"item was favorite possession","предмет был любимым владением"
"You conclude your performance.","Вы завершаете выступление."
" told the story of "," рассказывал историю про "
"trapped in cage","пойман в клетку"
"[C:1:0:1]Drowsy","[C:1:0:1]Сонливость"
"brawler","драчун"
"Bypass greeting (new menu)","Пропустить приветствие (новое меню)"
"history:sourcing:role of systemic bias","история:источники:роль систематической ошибки"
"I realized ","Я осознал "
", replacing ",", заменив "
"Workers ignore wood","Рабочие игнорируют древесину"
" log"," журнал"
" perpetrated "," совершил "
"often lowers ","часто опускает "
"We are besieged by a terrifying monster from the harshest wilderness.","Нас осаждает ужасный монстр, пришедший из суровых диких мест."
"I ate at a crowded table.","Я ел за переполненным столом."
" pushes"," толкает"
"I feel such sympathy!","Я чувствую сильную симпатию!"
"River Source","Исток реки"
" needs alcohol to get through the working day"," не может прожить и дня без алкоголя"
"Monk","Монах"
" in search of excitement"," в поисках острых ощущений"
"began to skulk and brood","начал скрываться и размышлять"
"No members","Нет членов"
"is very polite and observes appropriate rules of decorum when possible","ведёт себя очень вежливо и старается следовать правилам приличия, когда это возможно"
"disillusioned","разочарование"
"Regions","Регионы"
" due to "," из-за "
"a tribute agreement","соглашение о дани"
" throughout "," повсюду "
"Disdains commerce","Презирает торговлю"
"st","ое"
"giving somebody food","давая кому-то еду"
"The musician can alter the pitch of ","Музыкант может изменять тон "
"Carve fortification","Вырезать бойницу"
" and the "," и "
"things...  certain things","вещи...  кое-какие вещи"
"Stone/clay","Камень/глина"
"Date: ","Дата: "
"""Leave me.  I need... ","""Оставь меня в покое.  Мне нужны... "
"Rotten tissue excised from ","Гнилая ткань удалена из "
"All I see here is not enough.","Всего, что я вижу здесь, недостаточно."
"considers spending time alone much more important than associating with others","считает уединение более важным, чем общение с другими"
"Lover of ","Любил "
"stole treasure from","украл сокровище из"
"Predator and Prey","Хищник и добыча"
" masterfully dyed with "," мастерски окрасил "
", once of the Underworld.  ",", из самых глубин Преисподней.  "
", is it really you?",", это правда вы?"
" own wellbeing, having no interest in material goods"," часто пренебрегает собственным благополучием, не желая иметь никаких материальных благ"
"[C:2:0:1]Spring","[C:2:0:1]Весна"
"State feelings of great dislike","Выразить чувство огромной неприязни"
"I must let grief pass me by.","Пусть горе проходит мимо."
"An important decision awaits your careful deliberation.","Важное решение требует тщательного размышления."
"subdued","приглушенный"
"regretful","сожаление"
"vengefulness","мстительность"
"tetrachord"," тетрахорд"
"the color ","цвет "
"  Effective pressure to comply came from co-conspirators surrounding "," Эффективное давление для соблюдения со стороны соучастников, окружающих "
"A great beast threatens to bring ruin upon our people.","Огромное чудовище грозит обратить наш народ в прах."
"State minor feeling of worry","Выразить лёгкое чувство волнения"
"A snow storm has come.","Началась метель."
"Classic varied ground tiles","Классические различные клетки пола"
"striking a triumphant pose","принимает торжествующую позу"
"Grab Weapon","Захватить Оружие"
"feel agitated","вызывать волнение"
"Throwing tantrum","Переживает нервный срыв"
"gelder","кастратор"
"would be lanky were it not for the massive muscles and slabs of lard","был бы долговязым, если бы не массивные мышцы и слои жира"
" refused an offer of peace from "," отказался от предложения мира от "
"Site","Место"
" natural aversion to the adversary's inherent association with "," естественное отвращение к прирождённой связи противника с "
"finds those that engage in trade and commerce to be fairly disgusting","считает занимающихся торговлей и коммерцией довольно отвратительными"
"the departure of","изгнание "
"Seriously injured","Серьезное ранение"
"a shockingly profound feel for social relationships","поразительно глубокое понимание социальных отношений"
"Temperate Brackish Pool","Умеренный солоноватый водоём"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Убедитесь, что поддерживаются средние высоты, низкое или среднее количество осадков, высокий дренаж,незамерзающие области. "
", where numbers indicate a refrain",", где цифры показывают припев"
"Master","Наставник"
"the distinction between motor and sensory nerves","различие между двигательными и чувствительными нервами"
" is surprised"," удивлён"
"in a circle","в кругу"
"Closed cases","Закрытые дела"
"air","воздух"
"It is now summer.","Наступило лето."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","Пищу можно получить в городах, из окружения или разделывая трупы с помощью острых предметов.  "
"not distracted","не теряется"
"judge","судья"
"parchment-producing ","пергаментное сырьё "
"be spirited","быть одухотворённым"
"Failed to install mod:","Не удалось установить мод:"
"to make a great discovery","сделать великое открытие"
"Empty","Пустой"
"Battle","Битва"
"Nobles and administrators","Знать и администрация"
"crystal glass paste","хрустальная паста"
"This is your master.","Это ваш наставник."
" begins to stalk and brood..."," погрузился в тёмные мысли..."
"the belief of","вера "
" first"," первая"
"These people carrying on about romance should be more practical.","Людям, рассуждающим о романтике, стоило бы стать более практичными."
"Gather fruit and vegetables from shrubs in this zone.","Собирать фрукты и овощи с кустарников в этой зоне."
"Block ","Блок "
"swamp","болотный"
"This creature dwells underground.","Это существо обитает под землёй."
"the surgical method of scraping","метод хирургического выскабливания"
"unfavorable ","неблагоприятный "
"Inveigh Against ","Ополчиться против "
"the state of demands","состояние требований"
"the Map","Карта"
"Move the camera","Двигайте камеру"
"Dodge","Уворот"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","Высоты нот близко расположены в созвучиях, когда музыка переходит от аккорда к аккорду. "
"medicine:method:fracture immobilization","медицина:методика:иммобилизация перелома"
"Visitor cap","Лимит посетителей"
"Siege Engineer","Осадный инженер"
"straight scar.  ","прямой шрам.  "
"Mountain: ","Гора: "
" was the "," был "
"Randomize appearance","Случайный внешний вид"
"the Lever","Рычаг"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Разместите колодец на открытом пространстве над водой, чтобы обеспечить относительно безопасное место для черпания воды вашими жителями. Потребуются механизмы, блоки, цепь или веревка и ведро."
"Ninth","Девятый"
"DOOR TAKEN BY INVADERS","ДВЕРЬ ЗАНЯТА ЗАХВАТЧИКАМИ"
"Designating items for melting","Назначение предметов для переплавки"
"can assign and edit the routines your soldiers will follow. ","можете назначать и редактировать процедуры, которым будут следовать ваши солдаты. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","Жажду знаний, которую испытывают некоторые жители, можно удовлетворить в [C:1:0:1]Библиотеке[C:7:0:0]. "
"refugees calling themselves ","беженцы называют себя "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].Перелом со смещением (в тракции)"
"soap maker","мыловар"
"Say something about your family","Рассказать что-нибудь о своей семье"
"  A foolhardy soul might try to rescue the ","  Только безрассудный будет пытаться спасти "
" was seen being stolen!"," был украден!"
"beat somebody up","избить кого-нибудь"
"Carpentry","Плотничество"
"Burial Chamber","Усыпальница"
"Overall, ","В целом, "
"a armorsmith's shop","мастерская бронника"
"Armorsmithing Workshop","Мастерская бронника"
"a large animal","большое животное"
"Already interviewed","Уже опрошен"
"It has started raining.","Пошёл дождь."
"Will Tell","Скажет"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Приказы сбора растений. Для сбора некоторых растений нужно, чтобы на них были плоды или что-то подобное."
"One must always carefully consider the correct course of action.","Каждый должен тщательно обдумывать свои действия."
", but they had nothing left to give","но у них не осталось ничего, что они моглии бы дать"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Возможно, они все еще здесь, не желая покидать великолепную крепость, которую вы для них приготовили. "
"melted.","растаял."
"history:sourcing:role of state bias and propaganda","история:источники:роль статической ошибки и пропаганды"
" a mesmerizing tale!"," завораживающую историю!"
"stonecutter","камнетес"
"A ballista's orientation cannot be changed","Направление баллисты нельзя изменить"
"Affects trap detection, ambusher detection, charge defense, and provides enemy attack information.","Влияет на обнаружение ловушек, засад, защиту от замаха и предоставляет информацию об атаке врага."
" boxes"," сундуки"
"Unnamed tomb","Безымянная гробница"
"This is the butchering and crafting menu.","Это окно разделки и изготовления."
"-line stanza","-строчных строфы"
"death","смерть"
" spin"," вращение"
"an empty population","без населения"
"to smooth the operation of ","сгладить работу "
"Seek Dressing Cloth","Искать Пеервязочную Ткань"
"It's very interesting.","Это очень интересно."
"a poor","бедный"
" and it is controlled by "," и контролируется "
"finds eloquence and artful speech off-putting","считает красноречие и хитроумные речи отталкивающими"
"jutting-chin","выступающий подбородок"
"Camera controls","Управление камерой"
"paper-slurry ","бумажная суспензия "
"urging love between ","призывая любовь между "
"be used for burial.","использован для захоронения."
"screw ","винт "
"The dead!","Мёртвец!"
"boulder graphics","Болдерная графика"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","методы компиляции нескольких биографий для сравнения и противопоставления характеров персонажей и получения взгляда на историю"
"sees working hard as a foolish waste of time","видит в тяжёлой работе пустую трату времени"
"Buried alive","Погребён заживо"
"Unmet need: ","Нужда: "
"This nameless being","Это безымянное существо"
"Only farmers harvest","Только фермеры собирают урожай"
"molten crystal glass","расплавленный хрусталь"
"speaks in a monotone when ","говорит монотонно, когда "
