"more presumptious","更加自以为是"
" was claimed"," 声称"
"is never moved by the emotions of others","从不为他人的情绪所动"
"be moderately loud","要适度响亮"
"Order listener to ","将侦听器排序为 "
"finds leisure time wasteful","认为闲暇是令光阴虚度"
"Loading work quotas...","加载工作配额......"
"Cannot generate random creatures -- missing creature variation ","无法生成随机生物--缺少生物变体 "
"a murder","谋杀"
"State minor feeling of vengefulness","状态轻微的报复感"
"Acknowledge lack of wonder","承认缺乏奇迹"
"events","事件"
"You begin","你开始"
"thrilled","高兴"
"a foiled corruption conspiracy","一个挫败的腐败阴谋"
"amber","琥珀"
"being unable to find somebody to complain to about job scarcity","找不到人去抱怨工作的匮乏"
"various civilized races peopled the world.","各种文明种族聚集了世界. "
"Children.","儿童. "
"more wasteful","更浪费"
"Investigate or interrogate (new menu)","调查或询问 (新菜单)"
" from a period of no rule"," 从一个没有规矩的时期"
" second"," 第二"
"wait","等"
"has a narrow, prominent","窄小而突出的"
"to beseech","恳求"
"Collapsed","倒塌"
"engineering:machine:piston","工程学:机械:活塞"
"Click a creature to start a new conversation","点击生物开始新对话"
"Furniture/siege ammo","家具/攻城弹药"
"to bathe the world in chaos","让世界沐浴在混沌之中"
"Requests (Imports from ","需求(进口从 "
"surveying by triangulation for engineering projects","工程项目的三角测量法"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please."," 我希望我能告诉你从哪里开始搜索. 在此之前,你可以随意行事. "
"[C:4:0:1].Overlapping fracture","[C:4:0:1].重叠性骨折"
"Shrub","灌木"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: 我们最多可以分出 "
"Make Caves Visible","让洞穴可见"
" has calmed down."," 已经冷静下来了. "
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","认为要做一个勇敢的人最重要的是不要发牢骚,抱怨,甚至表现出感情"
"Leave Wall","离开墙"
"medicine:theory:classification of bodily fluids","医学:理论:体液分类"
"Shake ","摇 "
"Associated","相关"
"Avoid conflict today.","今天就避免冲突. "
"Returning soldiers bring rumor(s)","归来的士兵带来谣言"
"has a fairly deep and raspy voice","低沉刺耳的嗓音"
" bag is used by the musician to control the steady flow of air through the instrument.]"," 袋子是音乐家用来控制通过乐器的稳定气流的]. "
"You feel hot/cold","您感觉热/冷"
"drinking without well","喝得不好"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","为小队分配保卫洞穴指令. 士兵将巡逻指定的洞穴并攻击任何敌对生物. "
"Forceps","钳"
"tanned","鞣"
"Mount ","安装 "
"engineering:optics:theory of rainbows","工程学:流体动力学:彩虹理论"
" terrified"," 极度恐慌的"
" promised "," 承诺过的 "
"No item to throw","没有物品可扔"
"being tormented in nightmares by a dead sibling","被一个死去的兄弟噩梦折磨着"
"The guildhall petition by ","行会请愿来自 "
"Surgeon","外科医师"
"mathematics:algebra:divergence of harmonic series","数学:代数:调和级数的敛散性"
"burned away","烧掉了"
"by invocation of True Name","通过调用 True Name"
"You've caught a ","你抓到了一个 "
"Give me the bustle and noise over all that quiet!","给我一个安静的喧嚣和噪音!"
"as a former slave of","作为前奴隶"
"respects commerce","尊重贸易"
"the Line","线路"
"feeling apathetic","感到精神萎靡"
"recruit","新兵"
" was imprisoned by"," 被监禁"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","把知识的获得和保存看作是只有傲慢的傻瓜才会干的不快事业. "
"bowls","碗"
"is short and just incredibly fat","个子矮小,而且胖得令人难以置信"
"strand extractor","绞线提取器"
"former master","前大师"
" is at war with us."," 正在与我们交战. "
"the Rising of the Moon","月亮的升起"
"is weak and extremely short","软弱无力,时间极短"
"begins to stammer when ","开始结结巴巴的时候 "
"addition of masterful rollers","添加熟练的滚筒"
"Welcome to Dwarf Fortress","欢迎来到矮人要塞"
"Grab Milk Unit","抢牛奶单位"
" has brought back many tales from beyond "," 从外面带回了许多故事 "
"thoughtless","没有思想的"
"Clothes Making","制衣"
"Mechanic","机械师"
"clothes rot off of ","衣服烂掉了 "
"That's not right.","那是不对的. "
"Nothing to interact","没有互动"
"often feels lustful","常常感到欲火中烧"
"forming a bond with an animal training partner","与动物训练伙伴建立联系"
"Embark","开始"
", animated by unknown forces",",被未知的力量所激励"
"Uninterested in an owner","对主人不感兴趣"
"No match.","无匹配"
"a year ago","一年前"
"completed job","完成了工作"
"SAVAGERY REJECTION","野蛮拒绝"
"Dictionary","字典"
"You cannot climb or mount while prone.","您不能在俯卧时攀爬或骑乘. "
"woodcutter","樵夫"
"I worship no one.","我不崇拜任何人. "
"does not easily fall in love and rarely develops positive sentiments","不容易坠入爱河,很少产生积极地情感"
"Duplicate","重复"
"Trader","交易员"
"the search of ","寻找 "
"Preparing for the caravan","为商队做准备"
"Your bookkeeper has done enough work to attain ","你的簿记员已经完成了足够的工作 "
" was spotted sneaking around!"," 被发现偷偷摸摸!"
"more of a loner","更多的孤独者"
"Unassuming","平易"
"Find embark location","寻找开始地点"
"Child is nobility","孩子是贵族"
"light","光"
"Meanness   <->   Wastefulness","卑鄙 <-> 浪费"
"Various seeds","多种种子"
" Downward Track (NE)"," 下行轨道(东北方向)"
"denting","下陷"
" the name "," 名字 "
"stress vulnerability","应力脆弱"
"Initial forest square count fails by ","初始森林方计数失败 "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","您的丰功伟绩将记录在传奇模式中,并由大师雕刻师记录在您的世界中的后续要塞中. "
"flat","平面"
"The desired pitch is selected using a ","所需的音调是用一个 "
"Feared as a villain","像恶棍一样令人恐惧"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","切换库存是否可以从任何地方提取物品,或者只从特定的车间和库存提取. "
"boiling clear glass","沸腾的透明玻璃"
"I accept this honor.","我接受这个荣誉. "
"the method of writing the history of a single individual","谱写个人历史的方法"
" and it is mostly cut away from the rest of the torso!"," 它躯干的其他部分几乎都被切掉!"
"Admiration","钦佩"
"No heavy attack: enraged","无重攻击:暴怒"
" own possessions"," 自己的财产"
"rages","肆虐"
"Announcements","宣告"
"meeting area zones, dining rooms and","机会区域,餐厅和"
" became "," 成为 "
" is angry"," 很生气"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","为了使某些功能可供使用,比如书籍管理,[C:5:0:0]管理员[C:7:0:0] 是必须被安排的.  "
"Remorseful","懊悔"
"Shearer","剪毛工"
"Mid-","中-"
" rope"," 绳"
"ill-fated ","不幸的 "
"feel heavy","感觉很沉重"
"The army of ","军队的 "
"is very frail and incredibly long","非常虚弱和难以置信的修长"
"a robbery","一起抢劫案"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","如果你坚持到商队到来你也可以购买[C:6:0:1]饮料[C:7:0:0] "
"Slab engraved","板坯刻"
"You know, I think you're right.","你知道,我认为你是对的. "
"Dismiss minor feeling of shock","消除轻微的震惊感"
"in order to glorify ","为了美化 "
" battles"," 战斗"
"Masterwork","极品"
"amused","乐"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","不开心的市民可能会闹事,所以很少有人会冒险去一个 "
"You need a free grasp to climb.","你需要一个自由的抓握才能爬升. "
"wombat","袋子熊"
"a divine being","一个神圣的存在"
"earth","大地"
"specialized surgical instruments","专用手术器械"
" and it is all thanks to "," 这一切都归功于 "
"is gigantic and quite fat","身形庞大而且十分肥硕"
"Gladiatory Games","角斗士游戏"
"Water wheels are 1x3 or 3x1.","水车是1x3或3x1大小的. "
" looks "," 容貌 "
"free rhythm","自由节奏"
"I see your low race still revels in death.  That poor, gentle creature...","我看到你们的低等种族仍然陶醉于死亡.  那个可怜的, 温柔的生物......"
"Please help me to escape from this place.","请帮我逃离这个地方. "
" Upward Track (NS)"," 上行轨道(正北偏南)"
"the Purchase","购买"
"the ghost of my sibling","我兄弟的幽灵"
" a friend"," 一位朋友"
" specific move"," 具体行动"
"the classification of toxic substances","有毒物质的分类"
"mid-length phrases","中长短语"
"Writing","写作"
"a great dining room","一个非常好的餐厅"
"is thin, skinny and weak","瘦弱,瘦弱,还是瘦弱"
"announcement","公告"
"Machines/fluids","机械/流体"
", but it means nothing now.",",但现在没有任何意义. "
"More likely, your dwarves will starve, unless you read the first few guides here! ","更有可能的是,不看前几条说明的话,你的矮人会挨饿! "
"grovel","卑躬屈膝"
"Frequent","常见的"
"the mercenary operation","雇佣军行动"
"Comrade","同志"
"Your dreams will come true.","您的梦想会成真. "
"is quite mocking in tone","语气很嘲笑"
"'s onslaught","的猛攻"
"geography:form:atlas","地理:形式:地图集"
"State minor feeling of love","状态轻微的爱的感觉"
"'s location","的位置"
"I'm very lonely.","我很孤单. "
"active performance poem reciter","主动演奏诗朗诵者"
"State minor feeling of gloom","状态轻微的忧郁感"
" recitation of "," 背诵 "
"has high cheekbones","高颧骨"
"philosophy:specialized:politics social welfare","哲学:专业:政治 社会福利"
"a noted flatterer","一位著名的讨人喜欢的人"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]功能区[C:7:0:0]的设置很像[C:6:0:0]储物堆[C:7:0:0].  "
"Mandate period (more = fewer)","授权周期(更长=更少)"
"Cirrus","卷云"
"Nonsense","废话"
"mathematics:geometry:pythagorean triples small","数学:几何:勾股数 小整数"
"the construction and use of the flask","烧瓶的构造和使用"
" Floor Grate"," 地面格栅"
"greedier","贪心的"
"a theft","盗窃"
"Resourcefulness","智谋"
"the enactment of a series of oppressive laws","制定一系列压迫性法律"
"medicine:theory:disease classification","医学:理论:疾病分类"
"the struggle for survival","为生存而奋斗"
"the construction and use of the astrarium","馆的建设和使用"
"ladies","女士们"
"profaned","亵渎"
"has a large body but is incredibly skinny","身躯庞大但骨瘦如柴"
"is lanky and frail","消瘦而孱弱"
" boldly, even if it would offend an average sense of modesty"," 大胆地,即使它会冒犯平均的谦虚感"
"skip","跳"
"That's suspicious!","那是可疑的!"
"has an extremely broad body with lots of fat on it","身材宽大,身上有很多脂肪"
"Dirt Road","泥土路"
"the causes of historical events","历史事件的起因"
"Give me a break.","给我一个休息时间. "
"Cloth Workshop","服装工坊"
"d strongly favored","非常受青睐"
"the taming of the ","驯服的 "
"Engravers","雕刻师"
"grieved","伤心"
" partially free of the web."," 部分地没有网络. "
" mounts "," 坐骑 "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","无法找到 CREATURE_CASTE_GRAPHICS 生物的社会团体 "
"Traits","性格"
" to live a life of adventure"," 过着冒险的生活"
"gets distracted from conversations easily when ","谈话时容易分心 "
" weapons"," 武器"
" superiorly designed"," 卓越设计的"
"Move keyboard cursor down (z)","将键盘光标向下移动(z). "
"I'm not worried.","我不担心. "
"great creativity","很有创意"
"gave food","送食物"
"a castle wall","一座城墙"
"Some time spent in reflection is admirable, but you must not forget to live your life.","花在反思上的时间是令人钦佩的,但你不能忘记过你的生活. "
"the notion of bonds between members of a community","社区成员之间的联系的概念"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","在这里你可以制造弩炮和弹射器的零件,这个工坊也是组装弩炮弹药的车间. "
"legendary bully","传奇恶霸"
"has a small build and is very weak and incredibly skinny","身材矮小,皮包骨头"
"Remote: ","远程: "
"Pike","长枪"
"being rescued","获救"
"Default attack is a wrestling move.","默认攻击是摔跤动作. "
"superior quality ","高档 "
"being forced to endure the decay of an acquaintance","被迫忍受一个熟人的腐烂"
"The victory was shared by ","胜利分享给 "
"Acknowledge lack of bitterness","承认没有苦涩"
"extremely low","非常低"
" because you are swimming."," 因为你在游泳. "
"Verbally struggle against great dismay","与巨大的沮丧进行口头斗争"
" talents and accomplishments"," 才能和成就"
"the Secret","秘密"
"dream","梦"
"item was favorite possession","物品是最喜欢的"
"You conclude your performance.","你结束了你的表演. "
" told the story of "," 讲述了这个故事,关于 "
"trapped in cage","被困在笼子里"
"[C:1:0:1]Drowsy","[C:1:0:1]疲倦"
"brawler","争竞"
"Bypass greeting (new menu)","绕过问候语(新菜单)"
"history:sourcing:role of systemic bias","历史:来源:系统性偏见的作用"
"I realized ","我意识到 "
", replacing ",",替换 "
"Workers ignore wood","工人无视木材"
" log"," 原木"
" perpetrated "," 犯下 "
"often lowers ","通常会降低 "
"We are besieged by a terrifying monster from the harshest wilderness.","我们被来自最严酷的荒野的可怕怪物围困. "
"I ate at a crowded table.","我在拥挤的桌子上吃饭. "
"I feel such sympathy!","我感到很同情!"
"River Source","河源"
" needs alcohol to get through the working day"," 需要酒精来度过工作日"
"Monk","和尚"
" in search of excitement"," 寻找兴奋"
"began to skulk and brood","开始躲避和孵化"
"No members","没有成员"
"is very polite and observes appropriate rules of decorum when possible","非常有礼貌,在可能的情况下遵守适当的礼节规则"
"disillusioned","幻灭"
"Regions","地区"
" due to "," 由于 "
"a tribute agreement","一份赠品协议"
" throughout "," 贯穿 "
"Disdains commerce","鄙弃商业"
"st","号"
"giving somebody food","给某人食物"
"The musician can alter the pitch of ","音乐家可以通过改变音调 "
"Carve fortification","雕刻工事"
" and the "," 和 "
"things...  certain things","东西... 一些东西"
"Stone/clay","石材/黏土"
"Date: ","日期: "
"""Leave me.  I need... ","""离开我. 我需要...... "
"Rotten tissue excised from ","腐烂的组织切除 "
"All I see here is not enough.","就我看到的这些来说还不够. "
"considers spending time alone much more important than associating with others","认为独处比与人交往更重要"
"Lover of ","恋人之于 "
"stole treasure from","偷走了宝藏从"
"Predator and Prey","捕食者和猎物"
" masterfully dyed with "," 精心染色 "
", once of the Underworld.  ",",曾经的地下世界.  "
", is it really you?",",真的是你吗?"
" own wellbeing, having no interest in material goods"," 自己的幸福,对物质产品没兴趣"
"[C:2:0:1]Spring","[C:2:0:1]春"
"State feelings of great dislike","陈述非常不喜欢的感觉"
"I must let grief pass me by.","我必须让悲伤过去. "
"An important decision awaits your careful deliberation.","一个重要的决定等待您仔细考虑. "
"subdued","制服"
"regretful","遗憾"
"vengefulness","复仇"
"tetrachord","四弦琴"
"the color ","颜色 "
"  Effective pressure to comply came from co-conspirators surrounding "," 守规矩的有效压力来自周边同谋 "
"A great beast threatens to bring ruin upon our people.","一头巨兽威胁要毁灭我们的人民. "
"State minor feeling of worry","状态轻微的担忧感"
"A snow storm has come.","一场暴风雪已经来临. "
"striking a triumphant pose","摆出一个胜利的手势"
"Grab Weapon","抓住武器"
"feel agitated","感到焦躁不安"
"Throwing tantrum","发脾气"
"gelder","格尔德"
"would be lanky were it not for the massive muscles and slabs of lard","如果不是因为巨大的肌肉和大块的猪油,他将是一个瘦小的人. "
" refused an offer of peace from "," 拒绝了和平的提议 "
"Site","居住地"
" natural aversion to the adversary's inherent association with "," 对对手的内在联系的自然厌恶.  "
"finds those that engage in trade and commerce to be fairly disgusting","发现从事贸易和商业活动的人相当恶心"
"the departure of","离开了"
"Seriously injured","重伤"
"a shockingly profound feel for social relationships","能做一个熟练切换角色的社会人"
"Temperate Brackish Pool","温带盐水池"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","确保您的参数和预设可以支持中高程,中低降雨量,高排水,非冷冻区域.  "
", where numbers indicate a refrain",",数字表示副词"
"Master","大师"
"the distinction between motor and sensory nerves","运动和感觉神经的区别"
" is surprised"," 很惊讶"
"in a circle","在一个圆圈"
"Closed cases","已结案件"
"It is now summer.","现在是夏天,"
"not distracted","不要分心"
"judge","法官"
"parchment-producing ","制作羊皮纸 "
"be spirited","精神抖.."
"Failed to install mod:","安装mod失败:"
"to make a great discovery","做一个伟大的发现"
"Empty","空"
"Battle","战斗"
"Nobles and administrators","贵族和管理员"
"crystal glass paste","水晶玻璃贴"
"This is your master.","这是你的主人. "
" begins to stalk and brood..."," 开始跟踪和育雏......"
"the belief of","的信念"
" first"," 首先"
"These people carrying on about romance should be more practical.","这些继续浪漫的人应该更实际. "
"Gather fruit and vegetables from shrubs in this zone.","从该区域的灌木丛中采集水果和蔬菜. "
"Block ","块 "
"swamp","沼泽"
"This creature dwells underground.","这种生物生活在地下. "
"the surgical method of scraping","刮除术的手术方式"
"unfavorable ","不顺利 "
"Inveigh Against ","反对 "
"the state of demands","需求状况"
"the Map","地图"
"Move the camera","移动镜头"
"Dodge","闪避"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","当音乐从和弦移动到和弦时,音高密集地聚集在一起.  "
"medicine:method:fracture immobilization","医学:方法:骨折固定"
"Visitor cap","访客上限"
"Siege Engineer","攻城器工程师"
"straight scar.  ","直疤.  "
"Mountain: ","山脉: "
" was the "," 是的 "
"Randomize appearance","随机化外观"
"the Lever","杠杆"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","把井安置在水面的空地上,为你的公民提供一个相对安全的取水区域.  需要机械, 方块, 链条或绳子和水桶. "
"Ninth","第九"
"DOOR TAKEN BY INVADERS","门已被入侵者占领"
"Designating items for melting","将物品标志为熔炼"
"can assign and edit the routines your soldiers will follow. ","你可以指派并修改你的战士们会遵守的时间表 "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","[C:1:0:1]图书馆[C:7:0:0]可以满足居民们的求知欲.  "
"refugees calling themselves ","难民自称 "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].重叠性骨折(牵引中)"
"soap maker","肥皂制造商"
"Say something about your family","谈谈你的家庭"
"  A foolhardy soul might try to rescue the "," 一个鲁莽的灵魂可能会试图拯救 "
" was seen being stolen!"," 被看见偷东西!"
"beat somebody up","打败了某人"
"Carpentry","木工手艺"
"Burial Chamber","墓室"
"Overall, ","总体, "
"a armorsmith's shop","一个盔甲店"
"Armorsmithing Workshop","盔甲工坊"
"a large animal","大型动物"
"Already interviewed","已经采访过"
"It has started raining.","开始下雨了. "
"Will Tell","会告诉"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","设置植物采集命令. 有些植物需要有果实或其他可采集生长物才能进行. "
"One must always carefully consider the correct course of action.","必须始终认真考虑正确的行动方案. "
", but they had nothing left to give",",但他们没有什么可以给予的"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","也许他们都还在这里,不愿意离开你为他们准备的宏伟堡垒.  "
"melted.","融化了. "
"history:sourcing:role of state bias and propaganda","历史:来源:国家偏见和宣传的作用"
" a mesmerizing tale!"," 一个令人着迷的故事!"
"stonecutter","石匠"
" boxes"," 盒"
"Unnamed tomb","未命名墓穴"
"-line stanza","-线句子"
"death","死亡"
" spin"," 旋转"
"an empty population","空旷的人口"
"to smooth the operation of ","排除操作上的困难,关于 "
"Seek Dressing Cloth","寻求敷料布"
"It's very interesting.","这很有趣. "
"a poor","贫穷"
"finds eloquence and artful speech off-putting","发现口才和巧妙的演讲令人反感"
"jutting-chin","凸出的下巴"
"Camera controls","镜头控制"
"paper-slurry ","纸浆 "
"urging love between ","催促双方的爱 "
"be used for burial.","将在仪式上使用"
"screw ","螺杆 "
"The dead!","死亡!"
"boulder graphics","巨石贴图"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","编写几个传记的方法,以比较和对比主体的性格,并深入了解历史"
"sees working hard as a foolish waste of time","认为努力工作是一种愚蠢的时间浪费"
"Buried alive","埋葬了活着"
"Unmet need: ","未满足需求: "
"This nameless being","这个无名的存在"
"Only farmers harvest","只有农夫能收获"
"molten crystal glass","熔化的水晶玻璃"
"speaks in a monotone when ","当开始单调说话 "
"infiltrate society","渗透进社会"
"Resets","重置"
"the Mausoleum","陵墓"
"the classification of disease","疾病的分类"
"High Precision","高精准度"
"the reproductive behavior of creatures","生物的繁殖行为"
"spear","矛"
"Loading image sets...","正在载入图形集..."
"Value of temple complex","寺庙建筑群的重要性"
"Workers save shells","工人保留贝壳"
"when full","满满的"
"Site Map:  Extra Item Occupancy ","基地地图:额外的物体占用 "
" was the place to perform research."," 是进行研究的地方. "
"yield","屈服"
"Bowyer","弓弩匠"
"Take me away from here.","带我离开这里. "
"outside","外"
"kill ","杀 "
"legendary villain","传说中的恶棍"
"Tropical Shrubland","热带灌木丛"
"the acceptance","接受"
"The story of ","的故事 "
"You feel uneasy.","你感到不安. "
"the Assumption","假设"
" which was said to permeate "," 据说它渗透了 "
", Pressed",",按下"
" with the presentation of "," 介绍来自 "
"State that you hate light poems","说你讨厌轻诗"
"Yes!  It'll be great to perform with you.","是的!和你一起表演真是太好了. "
"is very muscular and incredibly long","肌肉发达,修长度惊人"
"Dungeon Commander","典狱长"
" a friend."," 一个朋友. "
"after communing with ","在沟通了 "
"Acknowledge lack of grouchiness","承认没有抱怨"
"What stories you tell!  It's such an honor to have you here.","你讲的故事太棒了!真是太荣幸能请到你了. "
"modulates frequently","频繁调制"
" neck bowl"," 颈碗"
"investigate","探讨"
" available"," 可得到"
"Open","打开"
"gives a feeling of compassion here and there","在这里和那里给人一种同情的感觉"
"Civilized World Population","文明世界人口"
"Workers dump bones","工人丢弃骨头"
"yarn ","纱 "
"Analogy","比喻"
"A wrestling competition","摔跤比赛"
"The instrument has flue pipes and reed pipes.  ","该仪器有烟道和管道.  "
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","确保您的参数和预设可以支持中等海拔,非常低的降雨量,非冰冻区域.  "
"Bad script! #2","坏脚本!#2"
"I was in a snow storm.","我在暴风雪中. "
"State feelings, somewhat expectant","状态感情,有点期待"
" property was confiscated"," 财产被没收"
"Geld ","阉割 "
"Somebody up to no good...","有人没有好......"
"You unyield","你不屈服"
"medicine:method:surgery incision","医学:方法:切口手术"
"It is still shrouded in mystery.  ","它仍然笼罩在神秘之中.  "
"worship","崇拜"
"the Duel","决斗"
"I brought up the lack of jobs in a meeting.","我在会议中提到了缺乏工作. "
"Crossbowman","弩兵"
"prefers to present ","但行好事,莫问前程 "
" been stunned again!"," 再次惊呆了!"
"Activity section change","活动部分更改"
"Cage Vermin","凯奇害虫"
"I killed somebody in a sparring accident.","我在一次争吵中杀了一个人. "
"I have been so wronged!","我受到了这么委屈!"
"has a long, thin body with very little fat","身材瘦长,没什么脂肪"
" shot and killed "," 射杀 "
"Austere","苦行者"
" fighting with "," 正战斗于 "
"It is a","这是一个"
" (quantitative "," (定量 "
"iguana","鬣蜥"
"the area around ","周围的地区 "
"Balancing","平衡"
"has a short, broad body with very little fat","一副短粗身材,几乎没什么肥肉"
"mottled ","斑驳的 "
"autobiography","自传"
"(Wrestling) Cannot break grip","(摔跤)无法断开夹点"
"Choose Y: ","选择Y: "
"the use of a grid system in the creation of maps","在绘制地图时使用网格系统"
"believes that those that take leisure time are evil and finds the whole idea disgusting","认为闲暇是邪恶的,想要安逸的整个念头都是恶心的"
"2 lost after mutual wounds","互斗后2人失踪"
"Outraged","愤怒"
"Perfectionist","完美主义者"
" was offered"," 被提供"
"Acknowledge lack of amusement","承认缺乏娱乐"
"Cannot generate random creatures -- missing body ","不能生成随机生物 -- 缺少身体 "
" is written from the perspective of "," 这本书是以 ""我 ""的角度来写的.  "
"Lever Operation","杠杆操作"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","你必须至少拥有与你所需要的火山一样多的这些最高火山点.  "
"Site Government","现场政府"
"a barrow","手推车"
"Skill 5","技能 5"
"distracted by unmet needs","被未满足的需求分散注意力"
"Plant gatherers","植物采集者"
"The selected workshop will give items to here.","被选中的车间将向这里提供物品. "
"less assertive","不那么自信"
"It was great.","太棒了. "
" part of the problem."," 部分问题. "
"fragile","脆弱"
"Assign uniform","分配制服"
"dining hall","餐厅"
"No orders","没有订单"
"the computation of the volume of different pyramids","计算不同金字塔的体积"
"Absolute zero","绝对零度"
"right here","就在这儿"
"Storage path decrease (barrel combine)","储存路径减少(收割机)"
