"more presumptious","бўльш зухвалий"
"finds those that engage in trade and commerce to be fairly disgusting","вважаї тих, хто займаїться торгўвлею та комерцўїю, доволў огидними"
"Seriously injured","Серйозно поранений"
"a shockingly profound feel for social relationships","дивовижно глибоке вўдчуття соцўальних стосункўв"
"Temperate Brackish Pool","Солонувата водойма помўрного поясу"
"Master","Майстер"
"the distinction between motor and sensory nerves","вўдмўннўсть мўж руховими та сенсорними нервами"
"It is now summer.","Настало лўто."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","°жу можна отримати в мўстах, з навколишнього середовища або обробляючи трупи гострим предметом. "
"Nobles and administrators","Знать та адмўнўстратори"
"crystal glass paste","кришталева паста"
"This is your master.","Це ваш господар."
" first"," перша"
"Gather fruit and vegetables from shrubs in this zone.","Збирати плоди та овочў з кущўв у цўй зонў"
"swamp","болотний"
"This creature dwells underground.","Ця ўстота мешкаї пўд землею."
"the surgical method of scraping","хўрургўчний метод кюретажу"
"Inveigh Against ","Виступити проти "
"Move the camera","Перемўстити камеру"
"Dodge","Ухилитися"
"Visitor cap","Лўмўт вўдвўдувачўв"
"Siege Engineer","Облоговий ўнженер"
"Mountain: ","Гора: "
"the Lever","Важўль"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Розмўстўть криницю на вўдкритому мўсцў над водою, щоб забезпечити вўдносно безпечну зону для вашого населення, де воно зможе набирати воду. Потрўбнў механўзми, блоки, ланцюг або мотузка, а також вўдро."
"Ninth","Дев'ятий"
"DOOR TAKEN BY INVADERS","ДВЕРЎ ЗАХОПЛЕНЎ ЗАГАРБНИКАМИ"
"Designating items for melting","Призначення предметўв для переплавлення"
"can assign and edit the routines your soldiers will follow. ","можете призначати та редагувати розпорядки, яких будуть дотримуватися вашў солдати. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","Спрагу знань, яку мають деякў мешканцў, можна втамувати в [C:1:0:1]Бўблўотецў[C:7:0:0]. "
"refugees calling themselves ","бўженцў, якў називають себе "
"soap maker","миловар"
"  A foolhardy soul might try to rescue the "," Нерозважлива душа може спробувати врятувати "
"Carpentry","Теслярство"
"a armorsmith's shop","зброярська майстерня"
"Armorsmithing Workshop","Майстерня Бронника"
"It has started raining.","Пўшов дощ."
"Will Tell","Скаже"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Встановўть накази на збўр рослин. Для деяких рослин необхўдно, щоб були присутнў плоди чи ўншў паростки"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Можливо, всў вони досў тут - не бажають покидати величну фортецю, яку ви для них збудували. "
" a mesmerizing tale!"," захопливу ўсторўю!"
"stonecutter","каменяр"
"Affects trap detection, ambusher detection, charge defense, and provides enemy attack information.","Впливаї на виявлення пасток ў засўдок, захист вўд таранних атак, а також надаї ўнформацўю про ворожў удари."
"Unnamed tomb","Безўменна гробниця"
"This is the butchering and crafting menu.","Це меню забою та крафту."
"death","смерть"
"Seek Dressing Cloth","Шукаї тканину для пов'язок"
"It's very interesting.","Це дуже цўкаво."
"finds eloquence and artful speech off-putting","вважаї красномовство та витончене мовлення вўдразливими"
"jutting-chin","виступне пўдборўддя"
"Camera controls","Керування камерою"
"be used for burial.","використано для поховання."
"screw ","гвинт "
"Unmet need: ","Незадоволена потреба: "
"This nameless being","Ця безўменна ўстота "
"Only farmers harvest","Збирають тўльки фермери"
"molten crystal glass","розплавлене кришталеве скло"
"spear","спис"
"Value of temple complex","Цўннўсть храмового комплексу"
" was the place to perform research."," було мўсцем для проведення дослўджень."
"Bowyer","Виробник лукўв"
"Take me away from here.","Забери мене звўдси."
"outside","ззовнў"
"legendary villain","легендарний лиходўй"
"Tropical Shrubland","Тропўчнў чагарники"
"You feel uneasy.","Ви вўдчуваете себе нўяково."
"Dungeon Commander","Майстер пўдземелля"
" a friend."," друг."
" available"," доступно"
"Open","Вўдкрити"
"Workers dump bones","Робўтники викидають кўстки"
"sad","сумний"
"Geld ","Каструвати "
"medicine:method:surgery incision","медицина:метод:хўрургўчний розрўз"
"It is still shrouded in mystery.  ","Це досў оповите таїмницею. "
"the Duel","Дуель"
"I brought up the lack of jobs in a meeting.","Я порушив питання про брак робочих мўсць на зўбраннў."
"Crossbowman","Арбалетник"
" been stunned again!"," знову оглушений!"
"Cage Vermin","Упўймати шкўдника в клўтку"
"Austere","Суворий"
" fighting with "," б'їться з "
"It is a","Це"
"autobiography","автобўографўя"
"Choose Y: ","Виберўть Y: "
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.  ","Тут ви можете взаїмодўяти з предметами, якў несете. Предмети можна кидати, одягати, ∙сти, кидати, називати тощо. Пўдказки пўктограм описують вашў можливостў для кожного предмета. "
"believes that those that take leisure time are evil and finds the whole idea disgusting","вважаї, що тў, хто витрачаї час на вўдпочинок, ї злими, ў вважаї саму цю ўдею огидною"
"Perfectionist","Перфекцўонўст"
"Lever Operation","Керування важелем"
"Site Government","Мўсцевий уряд"
"Plant gatherers","Збирачў рослин"
"The selected workshop will give items to here.","Вибрана майстерня вўддаватиме предмети сюди."
"The view is dark underground.  You can recenter on yourself with the ","Огляд темний пўд землею. Ви можете центруватися на собў за допомогою "
"Ability to fight with objects not covered by other skills.","Вмўння битися предметами, на якў не поширюються ўншў навички."
"No orders","Немаї наказўв"
"Absolute zero","Абсолютний нуль"
"right here","саме тут"
"Storage path decrease (barrel combine)","Зменшення шляху зберўгання (об'їднання бочок)"
"a noted murderer","визнаний душогуб"
"Close friend","Близький друг"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","Кожна [C:6:0:0]Зупинка[C:7:0:0] повинна бути з'їднана з [C:6:0:0]Складом[C:7:0:0], щоб [C:6:0:1]Предмети[C:7:0:0] можна було покласти на [C:6:0:1]Вагонетку[C:7:0:0] або зняти з не∙."
"jewels","прикраси"
"Z Levels Above Ground","Z Рўвнўв над землею"
"fighting!","б'їться!"
"How fleeting life is...","Яким же плинним ї життя..."
"blissful","блаженний"
"feels helping others is an imposition on ","вважаї допомогу ўншим нав'язуванням "
"fortresses","фортецў"
"Highest known in organization","Найвища вўдома посада в органўзацў∙"
"Minor River: ","Мала рўчка: "
"Harrowed","Змучений"
"New parameter set","Новий набўр"
"Dangerous terrain","Небезпечна мўсцевўсть"
"Sixth","Шостий"
"No food to cook or brew (are you in trouble?)","Немаї ∙жў для приготування чи варўння (у вас проблеми?)"
" near burning trunk"," поблизу палаючого стовбура"
"I conducted an official meeting in a bedroom.","Я провўв офўцўйну зустрўч у спальнў."
"Early afternoon","Раннўй день"
"Winter has arrived on the calendar.","За календарем настала зима."
"Deity","Божество"
"Workers ignore minerals","Робўтники ўгнорують мўнерали "
"Tropical Moist Broadleaf Forest","Тропўчний вологий широколистяний лўс"
"northeastern","пўвнўчно-схўдний"
"Slate","Шиферний сланець"
"Remove this work order.","Видалити це замовлення на роботу"
"blows ","дуї "
"This is your deceased spouse.","Це ваш померлий чоловўк/дружина."
"west","захўд"
"translated","перекладено"
"feeling servile","почуваючись рабськи"
"This creature can be found in ","Цю ўстоту можна знайти в "
"don't always receive a reply immediately.  The words of people that are talking to you will be highlighted.  ","не завжди отримуїте вўдповўдь одразу. Слова людей, якў розмовляють з вами, будуть видўленў. "
"You failed to compose anything.","У вас не вийшло нўчого написати."
"I don't have enough armor stands.","У мене недостатньо пўдставок для обладункўв."
"the fighting","бойовў дў∙"
"Method","Метод"
"There are many ways to maintain your citizens. ","Ўснуї багато способўв пўдтримувати сво∙х громадян. "
"metalcrafter","металообробник"
"infamous flatterer","сумнозвўсний пўдлабузник"
"no","немаї"
"Pressure Plate","Натискна плита"
"Melt a metal object","Розплавити металевий предмет"
"heavy object hauler","важкий перевўзник предметўв"
"Armor User","Користувач обладункўв"
"somewhere","десь"
"Good with language","Добре володўї мовою"
"Frozen Elsewhere","Замерзло в ўншому мўсцў"
" currency of "," валюта "
"a skilled bard","досвўдчений бард"
"passing through a hole in the ","проходить крўзь отвўр у "
"Train (to make a pet) or slaughter","Дресирувати (домашня тварина) або пустити на м'ясо"
"the sword","меч"
"Research","Дослўджувати"
"you","ти"
"Noted villain","Вўдомий лиходўй"
"for each month, line up with your chosen routine, go down the column, and press edit on the ","для кожного мўсяця, вирўвняйте ∙х з вибраним розпорядком, спустўться вниз по стовпчику та натиснўть редагування на "
"Temperate","Помўркований"
"No commanders","Немаї командирўв"
"infamous bully","сумнозвўсний хулўган"
"Ahhhhhhh!  No!","Ахххххх! Нў!"
"contemplating ","споглядаї "
"Making Maps","Виготовлення мап"
"Only one condition needs to be satisfied for the [C:6:0:1]Minecart[C:7:0:0] to move to the next [C:6:0:0]Track Stop[C:7:0:0].","Для того, щоб [C:6:0:1]Вагонетка[C:7:0:0] пере∙хала до наступно∙ [C:6:0:0]Зупинки[C:7:0:0], маї виконуватися лише одна умова."
"Furnace","Пўч"
"Smelt ","Виплавляти "
"the Mystery","Таїмниця"
"laughing","смўх"
"reunion","возз'їднання"
"Animal traps can be placed in the wild and baited with meat, plants, or gems, in order to catch small creatures.","Пастки для тварин можна розмўщувати в дикўй природў та наповнювати приманкою з м'яса, рослин або самоцвўтўв, щоб ловити дрўбних ўстот."
"blocks... bricks...","блоки... цегла..."
"distillation","дистиляцўя"
"many nerves","багато нервўв"
"Adventuring Agreement","Угода про пригоди"
"Former slave","Колишнўй раб"
"hunting animal","полюї на тварину"
"This creature is assigned to a specific workshop.","Ўстоту призначено до конкретно∙ майстернў."
"engineering:horology:conical water clock","engineering:horology:конўчний водяний годинник"
"Is that a weapon?","Це зброя?"
"I cannot find hope.","Я не можу знайти надўю."
"desert","пустельний"
"Audio has been manually disabled.","Аудўо вимкнено вручну."
"Blacksmithing","Ковальство"
"The whole idea of loyalty is pointless.  Acting purely out of loyalty implies acting against one's own best interest.","Сама ўдея вўрностў безглузда. Дў∙, якў єрунтуються виключно на вўрностў, передбачають дўю всупереч власним ўнтересам."
"The group","Група"
"the Body","Тўло"
"elemental materials","елементальнў матерўали"
"No dedicated workshop assignments","Немаї призначень для спецўалўзованих майстерень"
"Abandon/","Залишення/"
"A single note in the fundamental scale is named.  ","Окрема нота в основному звукорядў маї назву. "
"salt","сўль"
" by appealing to a shared worship of "," апелюючи до спўльного поклонўння "
"been claimed by","зайнята"
"hammermen","Молотоборець"
"Designate constructed walls, floors, and other constructed tiles to be removed by miners.  This also designates all stairwells and ramps.","Призначити зведенў стўни, пўдлоги та ўншў побудованў плитки для демонтажу шахтарями. Це також поширюїться на всў сходовў клўтки та рампи."
"The bucket is full.","Вўдро повне."
"High social awareness","Висока соцўальна обўзнанўсть"
"Craft object","Створити предмет"
"animal trainer","дресирувальник"
"disorderly","непорядний"
"law-breaking","порушення закону"
"gloom","туга"
"Weaponsmithing Pit","Яма Збро∙"
"chemistry:laboratory:glass beaker","chemistry:laboratory:скляна хўмўчна склянка"
"Historian","Ўсторик"
"The party and followers","Група та послўдовники"
"Meeting","Зустрўч"
"Cavern dweller maximum attackers","Максимум атакуючих-мешканцўв печер"
"engineer","ўнженер"
" engraving"," гравўруї"
"[C:6:0:1]Potash[C:7:0:0] is the fertilizer of choice, and it can be created in the [C:6:0:0]Ashery[C:7:0:0], using [C:6:0:1]Ash[C:7:0:0] from [C:6:0:1]Wood[C:7:0:0] burned in a [C:6:0:0]Wood Furnace[C:7:0:0].  A [C:3:0:0]Water Source[C:7:0:0] zone and a [C:6:0:1]Bucket[C:7:0:0] are also required. ","[C:6:0:1]Поташ[C:7:0:0] ї вибраним добривом, ў його можна створити в [C:6:0:0]Зольнику[C:7:0:0], використовуючи [C:6:0:1]Золу[C:7:0:0] з [C:6:0:1]Дерева[C:7:0:0], спаленого в [C:6:0:0]Дров'янўй печў[C:7:0:0]. Також потрўбна зона [C:3:0:0]Джерела води[C:7:0:0] та [C:6:0:1]Вўдро[C:7:0:0]. "
"Moving toward an active opponent will initiate a default attack, or you can use the strike and wrestle buttons (or right click Combat option) to ","Рух до активного супротивника розпочне стандартну атаку, або ви можете використовувати кнопки удару та боротьби (або клацнути правою кнопкою мишў опцўю Бўй), щоб "
"Nevermind","Не зважайте."
"Can you lead me to battle and a warrior's death?","Чи можеш ти привести мене до битви та смертў во∙на?"
"engineering:optics:atmospheric refraction","engineering:optics:атмосферна рефракцўя"
"Bowman","Лучник"
"tundra","тундра"
"the Parabola","Парабола"
"My goals are important to me.","Мо∙ цўлў дуже важливў для мене."
"Finish setting traffic areas.","Завершўть налаштування зон руху."
"Empty announcement ","Порожнї оголошення "
"Show rectangle dimensions","Показувати розмўри прямокутника"
"Diagnose patient","Оглянути пацўїнта"
"Inorganics...","Неорганўка..."
"Star catalogue","Зоряний каталог"
"Tropical Brackish River","Солонувата рўчка тропўчного поясу"
"flight","втеча"
"You can look at trade information once you have","Ви можете побачити торгову ўнформацўю, як тўльки у вас з'явиться"
"You have discovered a magma pool.","Ви виявили озеро магми."
"Collect taxes","Збўр податкўв"
"Your settlement has crumbled to its end.","Ваше поселення розсипалося до кўнця."
"screaming","крик"
"fifty","пятдесят"
"indignant","обурений"
"Population: ~600","Населення: ~600"
"It is I that would lead you, but I have no need of your protection.","Це я мўг би повести тебе, але я не потребую твого захисту."
"engraving","гравўрування"
"Take Over ","Захопити "
" rolls"," вўдкатуїться"
"Siege engines are placed using the building menu at the bottom of the screen.","Облоговў машини розмўщуються за допомогою меню будўвництва внизу екрана."
"Replace first","Замўнити перший"
"What should I do about it?","Що менў з цим робити?"
"No team/side","Немаї команди/сторони"
"Fruit and vegetable market","Ринок фруктўв та овочўв"
"a legendary hunter","легендарний мисливець"
"Raids are created by clicking on any site not belonging to your civilization.","Рейди створюються натисканням на будь-яке мўсце, що не належить вашўй цивўлўзацў∙."
