"Archery","Tiro ao Arco"
"Furnace","Fornalha"
"the Mystery","o MistÇrio"
"laughing","rindo"
"distillation","destilaá∆o"
"Rebuilding more temporary information...","A reconstruir mais informaá∆o tempor†ria..."
"many nerves","muitos nervos"
"military ethics","Çtica militar"
" couplet"," par de versos"
"specific shield","escudo espec°fico"
"You can be powerful or powerless.  The choice is yours, until somebody makes it for you.","Pode ser poderoso ou indefeso. A escolha Ç sua, atÇ alguÇm a fazer por vocà."
"the Depths","as Profundezas"
"The whole idea of loyalty is pointless.  Acting purely out of loyalty implies acting against one's own best interest.","A ideia de lealdade Ç f£til. Agir puramente por lealdade implica agir contra os melhores interesses dessa mesma pessoa."
"The group","O grupo"
"the Body","o Corpo"
"elemental materials","elementos materiais"
"Meeting","Reuni∆o"
"engineer","engenheiro"
"is solemn","Ç solene"
"Bowman","Arqueiro"
"Empty announcement ","An£ncio vazio "
"the Infiltration","a Infiltraá∆o"
"flight","fuga"
"You have discovered a magma pool.","Descobriu um piscina de magma."
"fifty","cinquenta"
"Entertainment","Entretenimento"
"the Enslavement","o Escravisar"
"catapult parts","parte de catapulta"
" vigorous"," vigoroso"
"No seeds","Nenhuma semente"
"drunk","bàbado"
"Damp ","H£mido "
"slayer","assassino"
"strands","fios"
"Refraction","Refraá∆o"
"panther","pantera"
"I got caught in a miasma.","Fiquei preso numa miasma."
"Stagnant water [","µgua estagnada ["
"You can't always rely on your family, but it's good to know somebody is there.","N∆o se pode sempre confiar na fam°lia, mas Ç bom saber que alguÇm est† ali."
"It's annoying.","ê irritante."
"Expert","Perito"
"Folder: ","Diret¢rio: "
" of previous passages"," de frases anteriors"
"laboratory ovens","fornos de laborat¢rio"
"Attempted Bribery","Tentativa de Suborno"
"anteater","papa-formigas"
"the Burial","o Enterro"
"tortured","torturado"
"  In any case, peace is no longer an option."," De qualquer maneira, a paz j† n∆o Ç uma opá∆o."
"Bookcase","Estante de Livros"
"the Piston","o Pist∆o"
"Track (EW)","Caminho (EW)"
"hyena","hiena"
"master ","mestre "
"Get Writing Materials","Obter Materiais de Escrita"
"I'm not dismayed.","N∆o estou consternado"
"an artery","uma artÇria"
"bandages","curativos"
"shining bars","barras brilhantes"
"Pumps from the east","Bombas do este"
"Screw Pump","Bomba de Parafuso"
"Sacrifice","Sacrif°cio"
"green glass gems","gemas de vidro verdes"
"the Fighters","os Lutadores"
"spheres","esferas"
"Family is the true bond that keeps society thriving.","A fam°lia Ç o verdadeiro laáo que mantem a sociedade pr¢spera."
"Down Stair","Escada Descendente"
"the processed goods market","o mercado de carne processada"
"The dead walk.  Hide while you still can!","Os mortos caminham. Esconde-te enquanto podes!"
"a tower","uma torre"
"physical examination","exame f°sico"
"the Obsession","a Obsess∆o"
"Track/Ramp (W)","Caminho/Rampa (W)"
"Third","Terceiro"
"the Trenches","as Trincheiras"
"*** STARTING NEW GAME ***","*** A COMEÄAR NOVO JOGO ***"
"Watch Sparring Practice","Ver a Sess∆o de Treinamento"
"map projections","projeá‰es de mapa"
" talent and abilities"," talento e habilidades"
"distance scales","escalas de distÉncia"
"lack of fear toward","falta de medo de"
"a tree","uma †rvore"
"someone recently deceased","alguÇm recentemente falecido"
"these sewers","estes esgotos"
"Large Numbers","N£meros Grandes"
"the parabolic mirror","o espelho parab¢lico"
"Dead ","Morto "
"Tool","Ferramenta"
"Effect from Cause","Efeito da Causa"
"Farmer's Workshop","Oficina de Agricultor"
"daughter","filha"
"the atlas","o atlas"
"parabolas","par†bolas"
"a demand of unconditional surrender","um pedido de rendiá∆o incondicional"
"a tomb","um t£mulo"
"Opening Ceremony","Cerim¢nia de Abertura"
" partially realized"," parcialmente realizado"
"a leather shop","uma loja de couro"
"source reliability","fiabilidade da fonte"
"buried at site","enterrado no local"
"Associated Plot: ","Trama Associada: "
" has arrived."," chegou."
" steps in a square pattern"," pisa um padr∆o quadrado"
"the Revolt","a Revolta"
"Loading identities...","A carregar identidades..."
"ores","minÇrios"
"Loading general information...","A carregar informaá∆o geral..."
"Limestone","Calc†rio"
" tercet"," terceto"
"is dramatic","Ç dram†tico"
"surgical scissors","tesouras cir£rgicas"
"Reader","Leitor"
"the Process","o Processo"
"finds introspection to be a waste of time","acha introspeá∆o uma perca de tempo"
"I was caught in smoke underground.","Fiquei preso em fumos subterrÉneos."
"Vertical Axle","Eixo Vertical"
"a gem cutter's shop","uma joalharia"
"Secret Library","Biblioteca Secreta"
"You stand up.","Vocà levanta-se."
" corpses"," cad†veres"
"All counts accurate","Todas as contagens est∆o precisas"
"Finalizing plants...","A finalizar plantas..."
" distinct parts: "," partes distintas: "
" Cabinet"," Arm†rio"
"the coda","a coda"
"a fine dish","um belo prato"
"Parts","Partes"
"Commerce","ComÇrcio"
"the Company","a Companhia"
"goat","cabra"
" has been elected to the position of "," foi eleito para a posiá∆o de "
"these catacombs","estas catacumbas"
"the nervous system","o sistema nervoso"
"Medium Precision","Precis∆o MÇdia"
"Failed!","Falha!"
"Suspicion","Suspeita"
"a temple","um templo"
"Temperate Ocean","Oceano Temperado"
" playing the "," tocando "
"a blacksmith's shop","uma loja de ferreiro"
"empirical observation","observaá∆o emp°rica"
"the open war","a guerra aberta"
", having completely forgotten the words.",", tendo completamente esquecido as palavras."
"Wood Furnace","Forno de Madeira"
"Who?","Quem?"
"Yes, you'd make a fantastic ","Sim, vocà daria um fant†stico "
"Thread (Yarn)","Fio (L∆)"
" and even forget"," e atÇ se esqueceu de"
"I've been on a long patrol.","Estive numa patrulha longa."
"!  Praise the miners!","! Louvai os mineiros!"
" is brawling under the influence!"," est† a lutar sob a influància!"
" the perfect phrasing."," o frasear perfeito."
"Each line has ","Cada linha tem "
"faraway","longe"
"Loading active historical figures...","A carregar figuras hist¢ricas ativas..."
"Well, let's see...","Bom, vamos ver..."
"Tropical Saltwater Lake","Lago Tropical de µgua Salgada"
"Armor ","Armadura "
" stanza"," estrofe"
"Refuse ","Lixo "
"the water cycle","ciclo de †gua"
" with a shameworthy performance."," com uma performance vergonhosa."
"No witnesses","Nenhuma testemunha"
"I was unable to request weapon production.","Fui incapaz de pedir o fabrico de armas."
"statue","est†tua"
"Subterranean Magma","Magma SubterrÉneo"
"on the floor ","no ch∆o "
"Deceased","Falecido"
"I was cried on by an unhappy citizen.","Um cidad∆o insatisfeito chorou para cima de mim."
"ethics as applied to war","Çtica aplicada Ö guerra"
"Major River: ","Grande Rio: "
"Outdoor access","Acesso ao exterior"
"You have discovered a river.","Descobriu um rio."
"famous protector of the weak","famoso protetor dos fracos"
"the water-powered sawmill","a serraria ativada por †gua"
"shadow clocks","rel¢gios de sol"
"Learn ","Aprender "
"We should be making better progress.","Dev°amos estar a fazer melhor progresso."
"Well dry","Poáo seco"
"limb/body ","membro/corpo "
"Finalizing material templates...","A finalizar modelos de materiais..."
"was too ambitious to accept death and agreed","era demasiado ambicioso para aceitar a morte e concordou"
"Your bookkeeper needs to work in an office to improve precision","O seu contabilista precisa de trabalhar num escrit¢rio para melhorar a precis∆o"
"the Region","a Regi∆o"
"How great it is to be surrounded by family!","Que bom Ç estar rodeado de fam°lia!"
"was too proud to accept death and agreed","era demasiado orgulhoso para aceitar a morte e concordou"
"Statue","Est†tua"
"sketches","desenhos"
"Read","Ler"
"How annoying!","Que irritante!"
"Several major structures were destroyed","V†rias estruturas importantes foram destruidas"
"is a friendly individual","Ç um indiv°duo amig†vel"
"Most property was confiscated","A maioria da propriedade foi confiscada"
"economic cartography","cartograf°a econ¢mica"
" the poem to life with this flawless recitation."," o poema Ö vida com a sua recitaá∆o perfeita."
"Nest Box","Caixa de Ninho"
"the Shrubland","o Arbustal"
"is in ","est† dentro de "
"A section of the cavern has collapsed!","Uma secá∆o das cavernas ruiu!"
"I don't have enough weapon racks.","N∆o tenho arrumaá∆o de armas suficiente."
" has been missing for a week."," est† desaparecido Ö uma semana."
"values hard work","valoriza trabalho †rduo"
" with "," com "
"sheep","ovelha"
"the criminals","os criminosos"
"the Festival","o Festival"
"Duplicate Object: ","Duplicat Objeto: "
"temple","templo"
"Ceremony","Cerim¢nia"
"Freedom","Liberdade"
"Temperate Shrubland","Zona Arbustiva Temperada"
"Door","Porta"
"Badlands","Ermo"
"Subterranean Chasm","Abismo SubterrÉneo"
"the fiery bowels of the earth","as profundezas em chamas da terra"
"a tendon","um tend∆o"
"begin","comeáar"
"Loading entities...","A carregar entidades..."
"the Savanna","a Savana"
"Finalizing items...","A finalizar items..."
"production order violation","violaá∆o de ordem de produá∆o"
"optimistic","¢timista"
"Command Tent (Bld)","Tenda de Comando (Bld)"
"the Attack","o Ataque"
" has shared a few rumors."," partilhou novos rumores."
"rhinoceros","rinoceronte"
"Sites","Locais"
"Write","Escrever"
"migratory patterns","rotas migrat¢rias"
"Prophet","Profeta"
"You can always rely on your family when everything else falls away.","Pode-se sempre contar com a fam°lia mesmo quando tudo o resto se desmorona."
"We have arrived at our destination.","Chegamos ao nosso destino."
"Prisoner","Prisioneiro"
"does not easily hate or develop negative feelings","n∆o odeia ou cria sentimentos negativos com facilidade"
"Independence","Independància"
"bookbinder","alfarrabista"
"Container","Contentor"
"Go to Individual Combat Drill","Ir para Treino de Combate Individual"
"Assassinate","Assassinar"
"Animal ","Animal "
"casket","caix∆o"
"rabbit","coelho"
"respect of","respeito por"
"the Outcasts","os Exilados"
"I practiced at the archery target.","Pratiquei na carreira de tiro ao arco."
"fisherman","pescador"
"the Rescue","o Salvamento"
"Age of One Power","Era de Um Poder"
"Carpenter","Carpinteiro"
"a major artery","uma artÇria principal"
"the bribery conspiracy","a conspiraá∆o de cometer suborno"
"the Ceremony","a Cerim¢nia"
"the Confrontation","o Confronto"
"You continue the poem.","Vocà continua o poema."
"I am very confused.","Estou muito confuso."
"Zone","Zona"
"aboveground","acima da superf°cie"
"cloth","tecido"
"community conflict","conflito na comunidade"
"Leather ","Couro "
"Laws","Leis"
"Writer","Escritor"
"Tavern Keeper","Taberneiro"
"Chemistry","Qu°mica"
" has slipped into depression..."," caiu em depress∆o..."
"after being unable to find an artifact","p¢s ter falhado em achar um artefacto"
"X Dimension","Dimens∆o X"
"cavern","caverna"
"The dry season has come.","A Çpoca seca chegou."
"The villages ","As aldeias "
"the Rebellion","a Rebeli∆o"
"south","sul"
" in the water"," na †gua"
"synchysis","sincrise"
"geological cartography","cartograf°a geol¢gica"
" enunciate"," enuncia"
", taking over my duties and responsibilities?",", assumindo o controle de meus deveres e responsabilidades?"
"a trade agreement","um tratado de comÇrcio"
"Metal Furniture","Mob°lia de Metal"
"Seventh","SÇtimo"
"apprentice","aprendiz"
"hospital laboratories","laborat¢rios de hospital"
" steps in a triangle pattern"," pisa um padr∆o triangular"
"I accept your offer.","Aceito a sua oferta."
" tearing"," rasgando"
"Espionage","Espionagem"
"processes","processos"
" bandit gang from "," bando de bandidos vindos de "
"Tower Top","Topo da Torre"
" (activity cancelled)"," (atividade cancelada)"
"Loading belief systems...","A carregar sistemas de crenáa..."
"having pleased a noble","tendo agradado um nobre"
"Serve Customer","Servir Cliente"
"I could not find anybody in charge to complain at.","N∆o encontrei ninguÇm da chefia para me poder queixar."
"Salt water [","µgua Salgada ["
"prime divisors","divisores primos"
"Chop","Cortar"
"Loading incidents...","A carregar incidentes..."
"Never Married","Nunca Casou"
"loyalty toward","lealdade para com"
"The citizenship petition of ","A petiá∆o de cidadania de "
"quatrain","quadra"
" the rest of"," o resto de"
"the cheese market","o mercado de queijo"
"camel","camelo"
"combustible materials","materiais combust°veis"
"Competent","Competente"
"You've learned ","Vocà aprendeu "
"Weapon ","Arma "
" feel"," sentir"
"Tropical Ocean","Oceano Tropical"
"mole","toupeira"
"narrative","narrativa"
"Tropical Freshwater Lake","Lago Tropical de µgua Fresca"
"the crystal lens","a lente de cristal"
"?  How curious...","? Que curioso..."
" has claimed the position of "," clamou a posiá∆o de "
"instrument","instrumento"
"bear","urso"
"Carpenter's Workshop","Oficina de Carpintaria"
"  I am a little confused."," Estou um pouco confuso."
"Track/Ramp (SW)","Caminho/Rampa (SW)"
" Bridge"," Ponte"
" counterclockwise"," direá∆o contra-rel¢gio"
"Peace","Paz"
"coffin","caix∆o"
"Models","Modelos"
"Crossbow","Besta"
"flask","frasco"
"Mural Instruments","Instrumentos de Murais"
"color","cor"
"!  Best price in town","! O melhor preáo da cidade"
"hiding ","escondendo "
"mathematician","matem†tico"
"We must not abandon ","N∆o devemos abandonar "
" collapses!"," colapsa!"
"beasts","bestas"
"dragonfire","fogo de drag∆o"
" embraces "," aceita "
"dance","danáa"
"Blowgun","Zarabatana"
"Preaching","Pregar"
"mouse","rato"
"a cloth shop","uma loja de tecido"
" shattering"," fragmentando"
" and others"," e outros"
"Magma Kiln","Forno de Magma"
"bull","touro"
"Hard Work","Trabalho Duro"
"Negotiation","Negociaá∆o"
"the funnel","o fun°l"
"The residency petition of ","A petiá∆o de residància de "
"burning","queimando"
"Ready to be split","Pronto a ser dividido"
"cloth... thread","tecido...fio"
"Organizer","Organizador"
"subtle","subtil"
"Leapt from a great height","Saltou de uma grande altura"
"the Construction","a Construá∆o"
"moon phases","fases da lua"
"You lie on the ground.","Vocà jaz no ch∆o."
"Somebody has better ","AlguÇm tem melhor "
"Magma Forge","Forja de Magma"
"individual happiness","felicidade individual"
"eight","oito"
"deer","veado"
"the Siphon","o Sif∆o"
"No Children","Sem Crianáas"
"I had a drink.","Tomei uma bebida."
"the Flames","as Chamas"
"Animal Trap","Armadilha de Animal"
"aunt","tia"
"Robbery","Roubo"
"gems","gemas"
"My clothes are in tatters.","As minhas roupas est∆o esfarrapadas."
"Studying","Estudo"
"kangaroo","canguru"
"the Treaty","o Tratado"
"the Improvements","as Melhorias"
"Spring has arrived!","A Primavera chegou!"
"Cage","Jaula"
"door","porta"
"Trap Occupied:","Armadilha Ocupada: "
"Citizens and long-term residents only","S¢ cidad∆o e residentes de longo termo"
"Calm","Calmo"
"Tranquility","Tranquilidade"
"keep","fortaleza"
"Go to Reading Place","Ir para o Local de Leitura"
"feeling no avarice","sentindo nenhuma avarice"
"  There will be no rest for the enemy."," N∆o haver† descanso para o inimigo."
"Loading agreements...","A carregar acordos..."
" quintain"," quinteto"
"You should always tell the truth.","Uma pessoa deve sempre contar a verdade."
"Spar","Treinar"
"Tent","Tenda"
"the Joining","a Juná∆o"
"Wait for Combat Training","Esperar por Treino de Combate"
"You have discovered a cave entrance.","Descobriu a entrada de uma gruta."
"I am confused.","Estou confuso."
"Leadership","Lideranáa"
"Loading items...","A carregar items..."
"Saving local animal populations...","A salvar populaá‰es animais locais..."
"the Founders","os Fundadores"
"Dense ","Denso "
" Lever"," Alavanca"
"dungeon","masmorra"
"Musical Competition","Competiá∆o Musical"
"Loading buildings...","A carregar edif°cios..."
" large"," grande"
"Saving jobs...","A salvar empregos..."
"General Store","ArmazÇm Geral"
"Are we close?","Estamos perto?"
" from the year "," do ano "
"the flask","o frasco"
"Preparing game screen...","Preparar ecr∆ de jogo..."
"I am a very, very important person.","Sou uma pessoa muito, muito importante."
"Swimming","Nataá∆o"
"Age of ","Era de "
"Pray to ","Rezar a "
" fluid"," flu°do"
"the Swamp","o PÉntano"
"flying ","a voar "
"Appraisal","Avaliaá∆o"
"economic policy","pol°tica econ¢mica"
"Courtyard","P†tio"
"cousin","primo"
" by "," por "
"the division of the world into climate zones","a divis∆o do mundo em zonas climatÇricas"
"the hunt","a caáa"
"Singer","Cantor"
"Finally, ","Finalmente, "
"Completely dismayed!","Completamente devastado!"
"Autumn has arrived on the calendar.","O Outono chegou no calend†rio."
"tower","torre"
"more than ","mais do que "
"fracture classification","classificaá∆o de fraturas"
"caravan from ","caravana de "
" relaxed"," relaxado"
" is torn apart!"," Ç feito em pedaáos!"
"the Traveler","o Viajante"
" has discovered "," descobriu "
" playing with "," a brincar com "
"Underground River","Rio SubterrÉneo"
"known protector of the weak","conhecido protetor dos fracos"
"Mace","Maáa"
"the Flight","o Vìo"
"our people","nosso povo"
"shells","conchas"
"the spherical astrolabe","o astrol†bio esfÇrico"
"Dance","Danáa"
" hundred"," cento"
"Spikes","Espetos"
"the Library","a Biblioteca"
"Track/Ramp (SEW)","Caminho/Rampa (SEW)"
"Total Power: ","Poder Total: "
"Bags (Yarn)","Sacos (Fio)"
"clear glass gems","gemas de vidro claro"
"Can you tell me the way to ","Pode dizer-me o caminho para "
" and others have returned."," e outros regressaram."
"virtually never sick","virtualmente nunca doente"
"table","mesa"
"died of thirst.","morreu de sede."
"How I long for the beautiful spectacle of war!","Qu∆o eu anseio pelo belo espet†culáo da guerra!"
" Language"," Linguagem"
"hungry","com fome"
"I was nauseated by the sun.","Estou nauseado pelo sol."
"the harmonic series","a sÇrie harm¢nica"
"Social Welfare","Seguranáa Social"
"ex-spouse ","ex-esposo "
" refined"," refinado"
" been stunned!"," foi atordoado!"
"Timber","Madeira"
"Chant","Entoar"
"Workshop","Oficina"
"the Summit","o Cume"
"Sorting interactions...","A ordenar interaá‰es..."
"the catacombs","as catacumbas"
"any material","qualquer material"
"The mind thinks best when the world is at rest.","A mente pensa melhor quando o mundo est† em repouso."
"Trees: ","µrvores: "
"entity","entidade"
"We should have made it there by now.","J† dev°amos ter chegado."
"elision","elis∆o"
"specific shoes","sapatos espec°ficos"
" telling the tale quite well."," contando o conto bastante bem."
"Education","Educaá∆o"
"Loading coin information...","A carregar informaá∆o de moeda..."
" has ended a mandate."," terminou um mandato."
" seems "," parece "
"Perfection","Perfeiá∆o"
"Writhing in agony!","Torcendo-se em agonia!"
"monk","monge"
" flawlessly, like someone out of a legend!"," sem falha, quase como alguÇm de uma lenda!"
"mental illnesses","doenáas mentais"
"the embezzlement of","o desfalque de"
"Finalizing tissue templates...","A finalizar modelos de tecidos..."
" offended"," ofendido"
"a series of","a sÇrie de"
"The poetry enters","O poeta entra"
"the Soul","a Alma"
"Track/Ramp (NSEW)","Caminho/Rampa (NSEW)"
"Training Session","Sess∆o de treinamento"
"crushed","esmagado"
" escaped from "," escapou de "
"the Art","a Arte"
"onomatopoeia","onomatopeia"
"a general imports store","uma loja de bens de importaá∆o"
"faithful ","fiel "
"Age of Death","Era da Morte"
"famous hero","her¢i famoso"
"the sun and seasons","o sol e as estaá‰es"
"You continue the story.","Vocà continua a hist¢ria."
"Novice","Noviáo"
"the Tower","a Torre"
"Saving history...","A salvar hist¢ria..."
"It's admirable when the traditions are upheld.","ê admir†vel quando se cumprem as tradiá‰es."
" used good tactics"," usou boas t†ticas"
"eclipses","ecl°pses"
"Sing","Cantar"
"Age of Heroes","Era dos Her¢is"
" intense"," intenso"
"Spring","Primavera"
"the screw","o parafuso"
"a traveler","um viajante"
"Magma Glass Furnace","Forno de Magma para Vidro"
"Multiple Constructions","Multiplas Construá‰es"
"That isn't funny.","Isso n∆o tem piada."
"a market","um mercado"
"the concept of nature","o conceito de natureza"
"Grammar","Gram†tica"
"abductions","raptos"
"Such nostalgia!","Tanta nostalgia!"
"The weather has cleared.","O tempo melhorou."
"Hunger","Fome"
"vivacious","vivaz"
"Consider your loyalties carefully, adhere to them while they last, and abandon them when you must.","Pense com cuidado nas suas lealdades, mantenha-se fiel enquanto duram e abandone-as quando assim tiver de o fazer."
" confused"," confuso"
"Goodbye.","Adeus."
"Sleep","Sono"
"the ghost of my mother","o fantasma da minha m∆e"
"Selected actor: ","Ator selecionado: "
"the Labyrinth","o Labirinto"
"a specific place","um local espec°fico"
"wife","mulher"
" has been lost!"," foi perdida!"
"Musical Performance","Espet†culo M£sical"
"sections","seá‰es"
" are indistinguishable!"," s∆o indistingu°veis!"
"an abandoned shop","uma loja abandonada"
"hedgehog","ouriáo-cacheiro"
"Weapon","Arma"
"the Glacier","o Glaciar"
"Loading civilized populations...","A carregar populaá‰es civilizadas..."
"the brightness of stars","o brilho das estrelas"
"Tropical Grassland","Prado Tropical"
" truly splendid"," verdadeiramente esplàndido"
" thousand"," mil"
"Clothing Shop","Loja de Roupa"
"There's nothing admirable about bullying others.","N∆o h† nada admir†vel em abusar de outros."
"Sorting world information...","A organizar informaá∆o do mundo..."
"Enemy","Inimigo"
"Library","Biblioteca"
"Scholar","Estudioso"
" steps in a circular pattern"," pisa um padr∆o circular"
"Persecution","Perseguiá∆o"
"Possession","Possess∆o"
" seem to know how to play the "," parece saber tocar "
"merchant","mercador"
"Age of Fairy Tales","Era dos Contos de Fadas"
"the depths of the world","as profundezas do mundo"
"greatly respected for heroic acts","grandemente respeitado por atos her¢icos"
" tell"," contar"
"quadratic equations","equaá‰es quadr†ticas"
"an energetic poltergeist","um poltergeist energÇtico"
"Saving agreements...","A salvar acordos..."
"the Guild","a Guilda"
"a leather goods shop","uma loja de bens de couro"
"Attempted Embezzlement","Tentativa de Desfalque"
"the Catacombs","as Catacumbas"
"general ill feelings over past historical events","mal-estar geral devido a eventos hist¢ricos do passado"
"a sensory nerve","um nervo sensorial"
"parent","pai"
"the Journey","a Viagem"
"poor empathy","empatia pobre"
"Life isn't fair, and sometimes you have to do what you have to do, but working toward a balance isn't a bad thing.","A vida n∆o Ç justa e, Ös vezes, uma pessoa tem de fazer aquilo que tem de fazer, mas procurar um balanáo n∆o Ç uma coisa m†."
"Quality","Qualidade"
"perception","percepá∆o"
"first ","primeiro "
"is a riddle","Ç uma adivinha"
"the Village","a Vila"
"Loading armies...","A carregar exÇrcitos..."
"Autobiography","Autobiografia"
"Dungeon Cell","Cela de Masmorra"
"Ramp","Rampa"
"attacker won","atacante ganhou"
"an animal","um animal"
"a time before time","um tempo antes do tempo"
" sharp-edged"," afiado"
"Shared","Partilhado"
"a embezzlement conspiracy","uma conspiraá∆o de desfalque"
"Serve ","Servir "
"a little difficulty with words","um pouco de dificuldade com palavras"
"I'm not sure.","N∆o tenho a certeza."
"Several people were expelled","V†rias pessoas foram expulsas"
" from the side"," pelo lado"
"the Student","o Estudante"
" has been abandoned."," foi abandonado."
"Mathematics","Matem†tica"
"a population of ","a populaá∆o de "
"praying","rezando"
"A careless farmer has defaced a ","Um agricultor descuidado desfigurou um "
"neighbor ","vizinho "
"Farmer","Lavrador"
" sound"," som"
" Chair"," Cadeira"
" has lines with "," tem linhas com "
"the bellows","o fole"
"The music enters ","A m£sica comeáa "
"the Reclamation","a Reclamaá∆o"
"an unknown construction","uma construá∆o desconhecida"
"an abstract concept","um conceito abstrato"
"authentic","autàntico"
"Treason","Traiá∆o"
" in the middle of "," no meio de "
"the Hamlet","a Aldeia"
"You have discovered a downward passage.","Descobriu uma passagem descendente."
"the Waters","as µguas"
"Saving map data...","A salvar dados do mapa..."
"Self-Control","Auto-Controle"
"dancing ","danáar "
"foot","pÇ"
"On the item ","No item "
" sculpture has melted!"," escultura derreteu!"
"the armillary sphere","a esfera armilar"
"doesn't really see the point of working hard","n∆o và o porquà de se trabalhar †rduamente"
"the Armillary Sphere","a Esfera Armilar"
"the People","o Povo"
"falling","em queda"
"powerful","poderoso"
"  I'm returning on my own."," Estou a regressar por conta pr¢pria."
"the beaker","o copo de medida"
" sluggish"," preguiáoso"
"muscles","m£sculos"
"the Believer","o Crente"
"rock","rocha"
"insulted","insultado"
"Behold, mortal.  I am ","Vàde, mortal. Eu sou "
"crystal glass gems","gemas de vidro de cristal"
"would be deeply satisfied if everyone could live as one in complete harmony","estaria profundamente satisfeito se todas as pessoas pudessem viver como um £nico organismo em harmonia completa"
"open war","guerra aberta"
"Play","Jogar"
"Imported Food","Comida Importada"
"Cooperation","Cooperaá∆o"
"Record Keeper","Escriba"
"Lost in despair!","Perdido em desespero!"
"Short story","Hist¢ria curta"
"Bags (Silk)","Sacos (Seda)"
"the theme of ","o tema de "
"rough gems and glass","gemas por polir e vidro"
"Abduct","Raptar"
"I had a nightmare about my deceased father.","Tive um pesadelo acerca do meu pai falecido."
"a metal craft shop","uma loja de artigos em metal"
"Happenings","Acontecimentos"
" push "," empurrar "
"Vertical ","Vertical "
"the scalpel","o bistur°"
"chords","acordes"
"Pillaging","Pilhagem"
"singing","cantando"
"/Resting","/Descansar"
"This is the life for me.","Esta Ç a vida para mim."
"Valves","V†lvulas"
"died of old age.","morreu de velha idade."
"Summer","Ver∆o"
"sloth","preguiáa"
"My spouse lost the baby.","A minha esposa perdeu o bÇbÇ."
" has shared many tales from beyond "," partilhou muitas hist¢rias do alÇm "
"the Monument","o Monumento"
"spire","pin†culo"
"The item ","O item "
"dissection","dissecaá∆o"
"daylight and seasons","luz do dia e estaá‰es"
" Race"," Corrida"
"Associated Organization: ","Organizaá∆o Associada: "
"the worthlessness","a irrelevÉncia"
"the Treasure","o Tesouro"
"The image ","A imagem "
"the embezzlement conspiracy","a conspiraá∆o de cometer desfalque"
"lizard","lagarto"
"education","educaá∆o"
"Conquest","Conquista"
" mount "," montar "
" concludes a performance."," conclui o espet†culo."
"Home","Lar"
