"its","øia"
"We haven't performed for some time.","Ni ne interpretis dum kelka tempo."
"We have arrived at our destination.","Ni alvenis al nia celloko."
"The oppressor has been overthrown!","La subpremanto estis faligita!"
"We must not abandon ","Ni ne devas forlasi "
"We must go back.","Ni devas reiri."
"Empty announcement ","Malplena anoncado "
"The ","La "
"spinning ","þpinante "
"flying ","fluganta "
"It","Øi"
", but it is deflected by ",", sed øi deviis pro "
" by the "," per la "
" in the "," en la "
" from behind"," de malantaýe"
" from the side"," de la flanko"
" with "," per "
", but the attack is deflected by ",", sed la atako deviis per "
", lightly tapping the target!",", malpeze frapante la celon!"
", but there is no force!",", sed ne estas devigo!"
", but it passes right through!",", sed øi tute transveturas!"
", but the attack passes right through!",", sed la atako trapasas rekte!"
", but it glances away!",", sed øi ekrigardas for!"
", but the attack glances away!",", sed la atako ekrigardas for!"
" and the severed part sails off in an arc!"," kaj la tranæita parto navigas for en arko!"
"the part","la parto"
" is smashed into the body, an unrecognizable mass!"," disbatis en la korpo, nerekonebla maso!"
" splits in gore!"," dividas en sangego!"
" collapses!"," kolapsas!"
"the injured part","la vundita parto"
" is ripped into loose shreds!"," disþiris en malfiksaj æifonoj!"
" is torn apart!"," disþiris aparte!"
" and it is mostly cut away from the rest of the torso!"," kaj øi estas plejparte for de la resto de la torso!"
" is cloven asunder!"," disigis aparte!"
" explodes into gore!"," eksplodas en sangego!"
" collapses into a lump of gore!"," kolapsas al bulo de karno!"
" is crushed!"," estas disbatita!"
"The geldables have been torn away!","La kastreblaj estis elþiritaj!"
"tearing","disþirante"
"tearing apart","disþirante aparte"
"shattering","frakasante"
"chipping","æirkaýæizante"
"fracturing","frakturante"
"denting","stampigante"
"bruising","kontuzante"
"'s ","a "
" it"," øi"
" apart"," aparte"
" and"," kaj"
" tearing apart"," disþirante aparte"
" shattering"," frakasante"
" tearing"," disþirante"
" chipping"," æirkaýæizante"
" fracturing"," frakturante"
" denting"," deþovante"
" bruising"," kontuzante"
"main part","æefparto"
" through a hole in the "," tra truo en la "
"passing through a hole in the ","pasante tra truo en la "
"jamming the","þtopante la"
" part"," parto"
"through the ","tra la "
"out of the wound","ekster la vundo"
"breaking away","disirante"
" most of"," plejparto de"
" half of"," duono de"
" a piece of"," peco de"
" the rest of"," la resto de"
" through the "," tra la "
" and spilling "," kaj verþante "
"your","via"
"rancid","ranca"
"decomposing","malkomponante"
"rotten","putrita"
"fetid","fetora"
"foul","mucida"
"reeking","stinkante"
"filthy","sordida"
"stinking","fetorante"
"It is a gelding strike!","Øi estas kastrinta frapo!"
"It is a gelding blow!","Øi estas kastrinta bato!"
"a major artery","æefa arterio"
"an artery","arterio"
" has been opened by the attack"," malfermis de la atako"
"many nerves","multaj nervoj"
"a motor nerve","mova nervo"
"a sensory nerve","senta nervo"
"have","havas"
"has","havas"
" been severed"," disþirita"
"a ligament","ligamento"
" has been "," estis "
"torn","þirita"
"sprained","tordita"
"bruised","kontuzita"
"a tendon","tendeno"
"strained","streæita"
" is ripped to shreds!"," estas disþirita!"
" breaks!"," rompas!"
" attack is interrupted!"," atako estas interrompita!"
" have"," havas"
" has"," havas"
" become enraged!"," fariøas furioza!"
" has lodged firmly in the wound!"," senmoviøis firme en la vundo!"
" latch on firmly"," fiksi sur firme"
" latches on firmly"," ekkaptas firme"
" to "," al "
" latch on firmly!"," ekkaptas firme!"
" latches on firmly!"," ekkaptas firme!"
" are"," estas"
" is"," estas"
" propelled away by the force of the blow!"," propulsita for de la forto de la bato!"
" been knocked unconscious!"," frapita senkonscia!"
" been stunned again!"," estas duone svenigita ree!"
" been stunned!"," estas duone svenigita!"
" having more trouble breathing!"," havas plie problemon por spirado!"
" having trouble breathing!"," havas problemon por spirado!"
" feel"," sentas"
" looks"," þajnas"
" even more sick!"," eæ pli malsanaj!"
" sick!"," malsana!"
" is injected into the "," injektis en la "
" pours over the "," elverþas super la "
" flows over the "," fluas super la "
" splatters over the "," splitas super la "
" crumbles over the "," pecetiøas super la "
" is sucked out of the wound!"," suæas el la vundo!"
" (Tame)"," (Aldomigita)"
"with ","kun "
" item"," a¼on"
"Independent","Sendependa"
"Create","Krei"
"Skills","Kapabloj"
"Not","Ne"
" year"," jaro"
"Scorching","Varmega"
"Hot","Varma"
"Warm","Varma"
"Cold","Malvarma"
"Freezing","Frostiøanta"
"item","a¼o"
"Move keyboard cursor down and left, fast","Movi klavar-kursoron malsupren kaj maldekstren, rapide"
" have returned."," revenis."
" and others have returned."," kaj aliaj revenis."
" has returned."," revenis."
" has brought back many tales from beyond "," revenigis multajn fabelojn de malproksime "
" has brought back a few rumors."," revenigis malmultajn famojn."
" has brought back a rumor from abroad."," revenigis famon de eksterlando."
" has arrived."," alvenis."
" is visiting."," vizitas."
", the performance troupe, has arrived.",", la prezentista trupo, alvenis."
", a performance troupe, is visiting.",", prezentista trupo, estas vizitanta."
"Spoils Report: ","Reporto pri Raba¼oj: "
" and others"," kaj aliaj"
"Winter","Vintro"
"Autumn","Aýtuno"
"Summer","Somero"
"Spring","Printempo"
"The dead walk.  Hide while you still can!","La mortinto promenas. Kaþu dum vi ankoraý povas!"
"Forms twisted from their nature, legion of the night.  What hope remains?","Formoj torditaj el iliaj naturoj, legio de la nokto. Kio espero restas?"
"A vile force of darkness has arrived, seeking a parley!","Malnobla forto de mallumo alvenis, seræante parolon!"
"The enemy have come and are preparing to lay siege.  They seek a parley!","La malamikoj venis kaj preparas sieøi.  Ili seræas priparoladon!"
"An army has come to your lands seeking a parley.","Armeo venis al via landoj seræante priparoladon."
"A vile force of darkness has arrived!","Malnobla forto de mallumo alvenis!"
"The enemy have come and are laying siege to the fortress.","La malamikoj venis kaj sieøas la fortreson."
"An army is invading!","Armeo invadas!"
"Graphical FPS cap (default 50)","Grafika KPS limo (defaýlte 50)"
"admire owned building","admiri propran konstrua¼on"
"army is located out of bounds: teleporting","armeo lokalizis eksterlime: teleportas"
"overlord","mastro"
"overlords","mastroj"
" of "," de "
" has been founded "," estis fondita "
", has been conquered and",", estis konkerita kaj"
", has been",", estis"
" incorporated into your holdings."," inkludita en via bienoj."
" has been conquered and now"," estis konkerita kaj nun"
" looks to your thriving economy for its future prosperity."," rigardas vian prosperan ekonomion por sia estonta prospero."
"tends not to be swayed by emotional appeals","malemas esti svingita de emociaj pledoj"
"One of the compressed files on disk has errors in it.  Restore from backup if you are able.","Unu el la kunpremitaj dosieroj enhavas erarojn. Se eble, restaýru per savkopio."
" are "," estas "
"prostrating ","prostrante "
"themselves","sin"
" before "," antaýe "
"torturing ","torturante "
"committing a depraved act upon ","farante diabla akto al "
"devouring ","konsumante "
"admiring ","admirante "
"burning ","brulante "
"shooting ","pafante "
"surrounded by ","æirkaýita de "
"massacring ","hombuæante "
"fighting with ","interbatali kun "
"greeting ","salutante "
"refusing ","refuzante "
"speaking with ","parolante kun "
"embracing ","brakumante "
"striking down ","faligante "
"raising ","levante "
"hiding ","kaþanta "
"praying to ","preøante al "
"contemplating ","kontemplante "
"cooking ","kuirante "
"engraving ","gravurado "
"impaled on ","palisumita sur "
"being flayed by ","estante senfeligita de "
"hanging from ","pendanta de "
"being mutilated by ","estante mutilita de "
"praying","preøante"
"weeping","plorante"
"cringing","rampaæante"
"screaming","kriante"
"being tortured","esti turmentita"
"committing a depraved act","farante malvirtanta akto"
"making a submissive gesture","Farante submetitan geston"
"in a fetal position","en feta pozicio"
"smeared out into a spiral","þmirita en spiralo"
"falling","falanta"
"dead","mortinta"
"laughing","ridanta"
"being shot","estante pafita"
"making a plaintive gesture","farante plendan geston"
"melting","fandanta"
"burning","brulanta"
"look","aspektas"
"looks","aspektas"
" dejected"," korpremita"
" terrified"," terurita"
" offended"," ofendita"
" confused"," konfuzita"
"suffering","suferante"
"withering away","forvelkante"
"striking a menacing pose","frapante minacan pozon"
"striking a triumphant pose","frapante triumfan pozon"
"laboring","laborado"
"traveling","vojaøante"
"contemplating","kontemplante"
"cooking","kuirante"
"engraving","gravurado"
"unnaturally contorted","nenature tordita"
"being flayed","estante senfeligita"
"being mutilated","estante mutilita"
"Untitled","Sentitolo"
", the deity of ",", la dio de "
"skeletal ","skeleta "
"rotting ","putra "
"ghostly ","fantome "
"female ","ino "
"male ","masklo "
"the deity of ","la dio de "
"serene","serena"
" is following "," sekvas "
"Owner: ","Posedanto: "
"Weight: ","Pezo: "
"Value: ","Valoro: "
"In ","En "
"View","Vidi"
"Specify image","Specifi bildon"
"Beside ","Apud "
"herself","si"
"himself","si"
"Completely dismayed!","Tute konsternita!"
"Somebody","Iu"
"Nobility","Nobelaro"
"Overview","Superrig"
"Items","A¼oj"
"Health","Sano"
"Rooms","Æambr"
"Labor","Laboro"
"Relations","Rilatoj"
"Groups","Grupoj"
"Military","Armeo"
"Thoughts","Pensoj"
"Personality","Personeco"
" Year"," -Jara"
"Spouse: ","Ejdzo: "
" lovers"," amantoj"
"Lover: ","Amanto: "
" children"," gefiloj"
"Child: ","Gefilo: "
" pets"," dorlotbestoj"
"Strong","Forta"
"Agile","Facilmova"
"Tough","Malmola"
"High stamina","Alta eltenemo"
"Recovers quickly","Resaniøas rapide"
"Resists sickness","Rezistas al malsano"
"Weak","Malforta"
"Clumsy","Mallerta"
"Frail","Malfortika"
"Low stamina","Malalta eltenemo"
"Recovers slowly","Resaniøas malrapide"
"Sickly","Malsanema"
"Good analytical ability","Bona analizkapablo"
"Good focus","Bona koncentriøivo"
"High willpower","Alta volforto"
"Creative","Kreiva"
"Good intuition","Bona intuicio"
"Patient","Pacienca"
"Good memory","Bona memoro"
"Good with language","Lertas pri lingvo"
"Good spatial sense","Bona eksterosenso"
"Musical","Muzikema"
"High kinesthetic sense","Alta kinestezo"
"Developed empathy","Evoluinta kunsento"
"High social awareness","Alta socia konscio"
"Poor analytical ability","Malbona analizkapablo"
"Poor focus","Malbona koncentriøivo"
"Low willpower","Malalta volforto"
"Not creative","Ne kreiva"
"Poor intuition","Malbona intuicio"
"Impatient","Malpacienca"
"Poor memory","Malbona memoro"
"Bad with words","Mallertas pri vortoj"
"Poor spatial sense","Malbona eksterosenso"
"Not musical","Ne muzikema"
"Poor kinesthetic sense","Malbona kinestezo"
"Poor empathy","Malbona kunsento"
"Poor social awareness","Malalta socia konscio"
"Quick to love","Amema"
"Hateful","Ema malami"
"Envious","Enviema"
"Cheerful","Gajema"
"Depression-prone","Deprimema"
"Anger-prone","Kolerema"
"Anxious","Anksiema"
"Lustful","Voluptema"
"Easily stressed","Facile stresiøas"
"Greedy","Avara"
"Intemperate","Malmodera"
"Brawler","Batalema"
"Stubborn","Necedema"
"Wasteful","Malþparema"
"Prone to discord","Malkonkordema"
"Flatterer","Flatisto"
"Polite","Øentila"
"Disdains advice","Malþatas koncilojn"
"Fearless","Sentima"
"Overconfident","Tromemfida"
"Vain","Vanta"
"Ambitious","Ambicia"
"Gracious","Dankema"
"Extravagant","Ekstravaganca"
"Zany","Fola"
"Vengeful","Venøema"
"Proud","Fiera"
"Cruel","Kruela"
"Single-minded","Tro sinkoncentrema"
"Hopeful","Esperplena"
"Curious","Scivola"
"Bashful","Hontema"
"Private","Rezervas sian privatecon"
"Perfectionist","Perfektisto"
"Obstinate","Obstina"
"Tolerant","Tolerema"
"Emotional obsessive","Emocie obsedema"
"Swayed by emotions","Emas kortuþiti"
"Altruistic","Altruisto"
"Dutiful","Obeema"
"Thoughtless","Senpripensa"
"Orderly","Ordema"
"Trusting","Fidema"
"Gregarious","Societema"
"Overbearing","Tro asertema"
"Frenetic","Tro energia"
"Thrill-seeker","Ekscitavida"
"Flights of fancy","Revema"
"Inclined to abstract","Inklina al abstrakta¼oj"
"Artistically inclined","Inklina al belarto"
"Slow to love","Malema ami"
"Slow to hate","Malema malami"
"Not envious","Malema envii"
"Cheerless","Malema gajiøi"
"Not easily depressed","Malema deprimiøi"
"Slow to anger","Malema koleriøi"
"Not anxious","Malema anksiiøi"
"Not lustful","Malema volupti"
"Resilient","Malfacile stresiøas"
"Not greedy","Ne avara"
"Temperate","Modera"
"Avoid fights","Evitas batalojn"
"Quick to give up","Cedema"
"Not wasteful","Þparema"
"Seeks harmony","Konkordema"
"Quarreler","Kverelema"
"Rude","Maløentila"
"Overreliant on advice","Dependas de konsiloj"
"Fearful","Timema"
"Pusillanimous","Ne memfida"
"Not vain","Ne vanta"
"Not ambitious","Ne ambicia"
"Ungrateful","Sendanka"
"Austere","Aýstera"
"Humorless","Senhumura"
"Not vengeful","Malema venøi"
"Low self esteem","Malalta memfido"
"Merciful","Kompatema"
"Scatterbrained","Malkoncentrema"
"Quick to despair","Malesperema"
"Incurious","Malscivola"
"Shameless","Senhonta"
"Overshares","Disvastigas sian privatecon"
"Inattentive","Malatenta"
"Acquiescing","Konsentema"
"Intolerant","Netolerema"
"Emotionally distant","Emocie malproksima"
"Unswayed by emotions","Malemas kortuþiti"
"Not altruistic","Ne altruisto"
"Not dutiful","Ne obeema"
"Overcautious","Tro singarda"
"Sloppy","Fuþisto"
"Distrustful","Malema fidi"
"Loner","Malsocietema"
"Unassertive","Malema aserti"
"Leisurely","Malstreæita"
"Avoids excitement","Evitas emociiøo"
"Fact-oriented","Faktorientiøita"
"Not inclined to abstract","Neinklina al abstrakta¼oj"
"Not inclined to create art","Neinklina fari belarta¼on"
"Values law","Estimas leøon"
"Values loyalty","Estimas fidelecon"
"Values family","Estimas familion"
"Values friendship","Estimas amikecon"
"Values power","Estimas potecon"
"Values truth","Estimas veron"
"Values cunning","Estimas sagacecon"
"Values eloquence","Estimas elokventecon"
"Values fairness","Estimas justecon"
"Values decorum","Estimas decon"
"Values tradition","Estimas tradicion"
"Values artwork","Estimas belarton"
"Values cooperation","Estimas kunlaboron"
"Values independence","Estimas sendependecon"
"Values stoicism","Estimas stoikecon"
"Values introspection","Estimas introspekton"
"Values self-control","Estimas memregadon"
"Values tranquility","Estimas trankvilecon"
"Values harmony","Estimas harmonion"
"Values merriment","Estimas gajecon"
"Values craftwork","Estimas metion"
"Values martial prowess","Estimas militan lertecon"
"Values skill","Estimas lertecon"
"Values hard work","Estimas penan laboron"
"Values sacrifice","Estimas sindonemon"
"Values competition","Estimas konkurson"
"Values perseverance","Estimas persistemon"
"Values leisure time","Estimas libertempon"
"Values commerce","Estimas komercon"
"Values romance","Estimas enamiøon"
"Values nature","Estimas naturon"
"Values peace","Estimas pacon"
"Values knowledge","Estimas scion"
"Disdains law","Malestimas leøon"
"Disdains loyalty","Malestimas fidelecon"
"Disdains family","Malestimas familion"
"Disdains friendship","Malestimas amikecon"
"Disdains power","Malestimas potencon"
"Disdains truth","Malestimas veron"
"Disdains cunning","Malestimas ruzecon"
"Disdains eloquence","Malestimas elokventecon"
"Disdains fairness","Malestimas justecon"
"Disdains decorum","Malestimas decon"
"Disdains tradition","Malestimas tradicion"
"Disdains artwork","Malestimas belarton"
"Disdains cooperation","Malestimas kunlaboron"
"Disdains independence","Malestimas sendependecon"
"Disdains stoicism","Malestimas stoikismon"
"Disdains introspection","Malestimas introspekton"
"Disdains self-control","Malestimas mem-regadon"
"Disdains tranquility","Malestimas trankvilecon"
"Disdains harmony","Malestimas harmonion"
"Disdains merriment","Malestimas gajecon"
"Disdains craftwork","Malestimas metion"
"Disdains martial prowess","Malestimas militan lertecon"
"Disdains skill","Malestimas lertecon"
"Disdains hard work","Malestimas penan laboron"
"Disdains sacrifice","Malestimas sindonemon"
"Disdains competition","Malestimas konkurson"
"Disdains perseverance","Malestimas persistemon"
"Disdains leisure time","Malestimas libertempon"
"Disdains commerce","Malestimas komercon"
"Disdains romance","Malestimas enamiøon"
"Disdains nature","Malestimas naturon"
"Disdains peace","Malestimas pacon"
"Disdains knowledge","Malestimas scion"
"Stressed","Stresanta"
"Starving","Malsatmortonta"
"Hungry","Malsata"
"Dehydrated","Dehidratiøinta"
"Thirsty","Soifa"
"Very drowsy","Tre dormema"
"Drowsy","Dormema"
"Unconscious","Senkonsciiøinta"
"Paralyzed","Paralizita"
"Partially paralyzed","Parte paralizita"
"Sluggish","Inerteta"
"Stunned","Duone Svenigita"
"Dizzy","Kapturna"
"Exhausted","Lacega"
"Over-exerted","Super-klopodinta"
"Tired","Laca"
"Drowning","Dronanta"
"Winded","Senspira"
"Nauseous","Naýzita"
"Extreme pain","Ekstrema doloro"
"Pain","Doloro"
"Numb","Sensenta"
"Pale","Pala"
"Faint","Svena"
"Fever","Febro"
"Heavy bleeding","Intense sanganta"
"Bleeding","Sanganta"
"Webbed","Aranea¼implikita"
"Partially webbed","Parte aranea¼implikita"
"Seriously injured","Grave vundita"
"Injured","Vundita"
"Healthy","Sana"
"Needs ","Bezonas "
"No official position","Nenia oficiala pozicio"
"Haul: ","Alporti: "
"Squad: ","Taæmento: "
"None","Neniu"
" (V Rusty)"," (T S-prkt)"
" (Rusty)"," (S-prkt)"
"Focused!","Priatentanta!"
"Focused","Priatentanta"
"Distracted!","Distranta!"
"Distracted","Distranta"
"No unmet needs","Neniuj neplenumitaj bezonoj"
"Unmet need: ","Bezonas: "
"Drink alcohol","Drinki alkohola¼on"
"Pray ","Preøi "
"Meditate","Mediti"
"Stay occupied","Okupiøi"
"Be creative","Kreivi"
"Admire art","Admiri belarton"
"Excitement","Emociiøi"
"Learn something","Lerni ion"
"Be with family","Esti kun familio"
"Be with friends","Esti kun amikoj"
"Hear eloquence","Aýdi elokventa¼on"
"Uphold tradition","Subteni tradicion"
"Self-examination","Memobservi"
"Make merry","Gajiøi"
"Craft object","Fari a¼on"
"Martial training","Ekzerci batali"
"Practice skill","Ekzerci kapablon"
"Take it easy","Senstreæiøi"
"Make romance","Amori"
"See animal","Vidi beston"
"See great beast","Vidi grandan beston"
"Acquire object","Akiri a¼on"
"Eat good meal","Manøi bonan manøon"
"Fight","Batali"
"Cause trouble","Kaýzi problemon"
"Argue","Kvereli"
"Be extravagant","Ekstravaganci"
"Wander","Foriri"
"Help somebody","Helpi iun"
"Think abstractly","Pensi abstrakte"
"Wounds","Vundoj"
"History","Historio"
"Combat","Batalo"
"Mathematics","Matematiko"
"Astronomy","Astronomio"
"Chemistry","¦emio"
"Geography","Geografio"
"Engineering","Inøenierarto"
"Biography","biografio"
"Autobiography","Aýtobiografio"
"Poem","Poemo"
"Musical composition","Kompona¼o"
"Choreography","¦oreografio"
"Comparative biography","Kompara biografio"
"Biographical dictionary","Biografia enciklopedio"
"Genealogy","Genealogio"
"Encyclopedia","Enciklopedio"
"Cultural history","Kulturhistorio"
"Cultural comparison","Kultura komparado"
"Alternate history","Ukronio"
"Treatise on technological evolution","Traktato pri la te¶nologia evoluo"
"Dictionary","Vortaro"
"Star chart","Stela karto"
"Star catalogue","Stela katalogo"
"Atlas","Maparo"
"Workshops","Metiejoj"
"Performer","Interpretisto"
"Scholar","Klerulo"
"Mercenary","Dungosoldato"
"Doctor","Kuracisto"
"Diagnostician","Diagnozisto"
"Surgeon","¦irurgiisto"
"Bone doctor","Ostokuracisto"
"No relationships","Neniu rilato"
"Pet","Dorlotbesto"
"Pet owner","Dorlotmastro"
"Spouse","Ejdzo"
"Mother","Matro"
"Father","Patro"
"Lover","Amanto"
"Child","Filo"
"Bonded","Kunligato"
"Childhood friend","Deinfanaøa amiko"
"War buddy","Militkamarado"
"Obsession","Obsedo"
"Fellow scholar","Kolega klerulo"
"Fellow artist","Kolega belartisto"
"Fellow athlete","Kolega atleto"
"Kindred spirit","Samideano"
"Close friend","Kara amiko"
