"its","el seu"
"is","‚s"
"are","s¢n"
"begins","comen‡a"
"begin","comen‡ar"
" playing make believe."," jugant a fer creure."
" playing with "," jugant amb "
"a toy","una joguina"
"The performers","Els artistes"
"the story of ","la hist•ria de "
"reciting the poem ","recitant el poema "
"an improvised recital of ","un recital improvisat de "
"the musical composition ","la composici¢ musical "
"improvised music, ","m£sica improvisada, "
"dancing ","dansant "
"an improvised dance, ","una dansa improvisada, "
" in the middle of "," enmig de "
"You continue the story.","Continues la hist•ria."
"The story continues.","La hist•ria continua."
"You begin","Comences"
"The poetry enters","La poesia comen‡a"
"the ","la "
" line."," l¡nia."
"the verse paragraph","l'estrofa"
" verse paragraph"," estrofa"
"the stanza","l'estan‡a"
" stanza"," estan‡a"
"You continue the poem.","Continues el poema."
"The poem continues.","El poema continua."
"You enter ","Comences "
"The dance enters a new section with ","La dansa comen‡a una nova secci¢ amb "
"The music enters ","La m£sica comen‡a "
"a simple passage","un passatge simple"
"the introduction","la introducci¢"
"the exposition","l'exposici¢"
" of the theme"," del tema"
" of the first theme"," del primer tema"
" of the second theme"," del segon tema"
" of the previous passage"," del passatge previ"
"a recapitulation","una recapitulaci¢"
"the synthesis","la s¡ntesi"
" of the two themes"," dels dos temes"
" of previous passages"," dels passatges previs"
"a verse","un vers"
"a chorus","una tornada"
"the finale","el final"
"the coda","la coda"
"a bridge-passage","un passatge pont"
"first ","primer "
"second ","segon "
"theme","tema"
"a series of variations","una sŠrie de variacions"
" on the theme"," al tema"
" on the first theme"," al primer tema"
" on the second theme"," al segon tema"
" and "," i "
"You continue the dance.","Continues la dansa."
"The dance continues.","La dansa continua"
"You continue the music.","Continues la m£sica."
"The music continues.","La m£sica continua."
"You conclude your performance.","Conclous la teva actuaci¢."
"The performers are finished.","Els artistes han acabat."
"Some performers finish their act.","Alguns artistes finalitzen la seva actuaci¢."
" has finished performing."," ha acabat d'actuar."
" concludes a performance."," conclou una actuaci¢."
"You've learned ","Has apr‚s "
"You feel like you know the basic rules of ","Sents que coneixes les regles b…siques de "
" now."," ara."
"Your","El teu"
" dance"," dansa"
" flawlessly, like someone out of a legend!"," impecablement, com alg£ tret d'una llegenda!"
" dancing exceptionally."," dansant excepcionalment."
" dancing well."," dansant b‚."
" get"," quedar-se"
" tangled up."," embullat."
" and the "," i el "
" are indistinguishable!"," s¢n indistinguibles!"
" delivering a virtuoso performance on the "," regalant una actuaci¢ virtuosa amb el "
" is absolutely flawless."," ‚s absolutament impecable."
"chant","cant"
"song","can‡¢"
" could nearly pass for the voice of the "," quasi podria passar per la veu de "
" play"," tocar"
" the "," el "
" with skill."," amb destresa."
"sing","cantar"
" beautifully."," bellament."
" sound"," sonar"
" vaguely like the intended "," vagament com s'esperava "
" playing the "," tocant el "
" well."," b‚."
"chanting","corejant"
"singing","cantant"
" make"," fer"
" a mockery of the "," una burla del "
" with a shameworthy performance."," amb una actuaci¢ penosa."
"doesn't","no"
"don't","no"
" seem to know how to play the "," sembla saber com tocar el "
" sloppily"," desordenadament"
" and even forget"," i incl£s oblida"
" some of the words."," algunes de les paraules."
" bring"," portar"
" the poem to life with this flawless recitation."," el poema a la vida amb aquesta recitaci¢ impecable."
" choose"," elegir"
" the perfect phrasing."," l'estil perfecte."
" recite"," recitar"
" the words evocatively."," les paraules de manera evocadora"
" enunciate"," enunciar"
" crisply."," acuradament."
" speak"," parlar"
" mumble"," balbotejar"
", having completely forgotten the words.",", havent oblidat completament les paraules."
" poorly."," de manera pobra."
" weave"," teixir"
" a mesmerizing tale!"," un relat fascinant!"
" tell"," contar"
" the story in vivid detail."," la hist•ria amb tota mena de detalls."
" telling the tale quite well."," contant la hist•ria prou b‚."
" stumble"," trabar-se"
" over the details."," amb els detalls."
"It has no writing.","No t‚ res escrit."
"The pages are blank.","Les p…gines estan en blanc."
"It has no pages.","No t‚ cap p…gina."
"We should have made it there by now.","Ara mateixa ja deur¡em haver arribat."
"We should be making better progress.","Devem anar per bon cam¡."
"We are going the wrong way.","Estem anant pel cam¡ equivocat."
"We haven't performed for some time.","Ja fa temps des que vam actuar."
"We have arrived at our destination.","Hem arribat al nostre dest¡."
"The oppressor has been overthrown!","L'opressor ha estat enderrocat!"
"We must not abandon ","No hem d'abandonar "
"We must go back.","Hem de tornar enrere."
"The ","El "
"spinning ","girant "
"flying ","volant "
", but it is deflected by ",", per• ‚s desviat per "
" by the "," pel "
" in the "," en el "
" from behind"," des de darrere"
" from the side"," des d'un costat"
" with "," amb "
", but the attack is deflected by ",", per• l'atac ‚s desviat per "
", lightly tapping the target!",", tustant lleument l'objectiu!"
", but there is no force!",", per• no hi ha for‡a!"
", but it passes right through!",", per• li passa de llarg!"
", but the attack passes right through!",", per• l'atac li passa de llarg!"
", but it glances away!",", per• es desvia!"
", but the attack glances away!",", per• l'atac es desvia!"
" and the severed part sails off in an arc!"," i la part danyada ix disparada fent un arc!"
"the part","la part"
" is smashed into the body, an unrecognizable mass!"," ‚s estavellat contra el cos, una massa irrecognoscible!"
" splits in gore!"," explota en una carnisseria!"
"death","mort"
"lord","senyor"
"you","t£"
"master","mestre"
"just","tan sols"
"killer","assass¡"
"murderer","assass¡"
"Some","Alguns"
"Sleep","Dormir"
"slayer","matador"
"Doom","Maledicci¢"
"bane","maledicci¢"
"Ruination","Perdici¢"
"Loss","PŠrdua"
"Ruin","Ru‹na"
