"Seek Patient for Diagnosis","Шукаць пацыента для дыягностыкi"
"Frozen Elsewhere","Замарожаныя ў iншым месцы"
"Stockpiles can be placed using the stockpile menu at the bottom of the screen.","Склады можна размясцiць з дапамогай меню складаў унiзе экрана."
"passing through a hole in the ","пралазiць праз дзiрку ў "
"Train (to make a pet) or slaughter","Трэнiраваць (зрабiць гадаванцам) або зарэзаць"
"Research","Даследаванне"
"position","становiшча"
"Noted villain","Адметны злодзей"
"for each month, line up with your chosen routine, go down the column, and press edit on the ","для кожнага месяца, падстройвайцеся ў адпаведнасцi з абранай вамi руцiнай, перайдзiце ўнiз па слупку i нацiснiце рэдагаваць "
"Temperate","Разважлiвы"
"No commanders","Няма камандзiраў"
"contemplating ","разважае аб "
"Only one condition needs to be satisfied for the [C:6:0:1]Minecart[C:7:0:0] to move to the next [C:6:0:0]Track Stop[C:7:0:0].","Толькi адна ўмова павiнна быць выканана, каб [C:6:0:1]Ваганетка[C:7:0:0] рушыла да наступнага [C:6:0:0]Прыпынку[C:7:0:0]."
"Place stockpiles for item storage.","Размяшчэнне складаў."
"laughing","смяецца"
"blocks... bricks...","блокi... цэгла..."
"many nerves","шмат нерваў"
"Former slave","Былы раб"
"Audio has been manually disabled.","Гук быў адключаны."
"discourse on the nature of beauty","дыскурс аб прыродзе прыгажосцi"
"Trade Information:","Гандлёвая iнфармацыя:"
"No dedicated workshop assignments","Няма заданняў для майстэрнi"
" by appealing to a shared worship of "," звяртаючыся да сумеснага пакланення "
"been claimed by","быў заняты"
"Designate constructed walls, floors, and other constructed tiles to be removed by miners.  This also designates all stairwells and ramps.","Пазначыць сцены, падлогу i iншае для зносу. Гэта тычыцца лесвiц i пандусаў у тым лiку."
"The bucket is full.","Вядро поўнае."
"High social awareness","Высокая сацыяльная свядомасць"
"Craft object","Вырабiць рэч"
" present"," падарунак"
"Cavern dweller maximum attackers","Найбольшая колькасць нападаючых жыхароў пячор"
" engraving"," гравiруе"
"Set the exact weight in steps of a traffic type.","Вызначыць дакладную вагу ў кроках для тыпу трафiку."
"[C:6:0:1]Potash[C:7:0:0] is the fertilizer of choice, and it can be created in the [C:6:0:0]Ashery[C:7:0:0], using [C:6:0:1]Ash[C:7:0:0] from [C:6:0:1]Wood[C:7:0:0] burned in a [C:6:0:0]Wood Furnace[C:7:0:0].  A [C:3:0:0]Water Source[C:7:0:0] zone and a [C:6:0:1]Bucket[C:7:0:0] are also required. ","[C:6:0:1]Калiй[C:7:0:0] з'яўляецца лепшым угнаеннем, i яго можна стварыць у [C:6:0:0]Папяльнiку[C:7:0:0], выкарыстоўваючы [C:6:0:1]Попел[C:7:0:0] з [C:6:0:1]Дрэва[C:7:0:0] спаленага ў [C:6:0:0]Дроўнай печы[C:7:0:0]. Таксама патрабуецца зона [C:3:0:0]Крынiцы вады[C:7:0:0] i [C:6:0:1]Вядро[C:7:0:0]. "
"Can you lead me to battle and a warrior's death?","Павядзеш мяне на бой ды да годнай ваярскай смерцi?"
"Current Resident","Цяперашнi рэзiдэнт"
"Finish setting traffic areas.","Схаваць абазначэнне зон з трафiкам."
"Empty announcement ","Пустая аб'ява "
"I started a fist fight.","Я пачаў кулачную бойку."
"Inorganics...","Неарганiка..."
"Star catalogue","Зорны каталог"
"Selected tiles are medium-low priority.","Сярэдне - нiзкi прыярытэт для выбраных клетак."
"You can look at trade information once you have","Вы можаце паглядзець на гандлёвую iнфармацыю, толькi калi ў вас ёсць"
"Your settlement has crumbled to its end.","Ваша паселiшча канчаткова разбурылася."
"screaming","крыклiвы"
"indignant","узбураны"
"Population: ~600","Насельнiцтва: ~600"
"the notion of etymology","дыскурс аб этымалогii"
"engraving","гравiруе"
" to abduct "," выкрасць "
"Take Over ","Пераймаць "
"Replace first","Замянiць спачатку"
"No team/side","Няма каманды/боку"
"Raids are created by clicking on any site not belonging to your civilization.","Рэйды ствараюцца нацiскам на любое месца, якое не належыць вашай цывiлiзацыi."
"jubilant","лiкуючы"
"Magma kiln","Магма - прамысловая печ"
"Open the nobles and administrators menu.","Адкрыйце меню ""шляхта i адмiнiстрацыя""."
"the conspiracy to slow labor","сабатажы працы"
"choreography","харэаграфiя"
"No seeds","Няма насення"
"No fullscreen resolutions detected.","Поўнаэкранная раздзяляльнасць не выяўлена."
"sand bags","мяшкi з пяском"
"love","любоўю"
"Sabtr","Сабатаваць"
"Chest","Куфар"
" looks to your thriving economy for its future prosperity."," разлiчвае на будучы росквiт вашай эканомiкi."
"Hidden, cannot build at this location","Схавана, нельга будаваць у гэтым месцы"
"These _are_ fine items, aren't they?  Now, ","Гэта выдатныя рэчы, цi не так? "
"Adopted somebody","Усынавiў кагосьцi"
"Raid (squads will try to avoid detection)","Рэйд (атрады будуць спрабаваць пазбегнуць выяўлення)"
"This worker is not specialized and will do any free tasks that become available.  Click to toggle.","Гэты працоўны не мае спецыялiзацi i будзе выконваць усе актуальныя заданнi. Нацiснiце, каб прызначыць."
"works secretly...","таемна працуе..."
"Would you like your fortress located in a forested mineral-rich region of this world where you can play through a short tutorial? ","Хочаце, каб ваша крэпасць знаходзiлася ў лясным, багатым мiнераламi рэгiёне свету, дзе вы можаце прайсцi праз кароткае навучанне? "
"I'm lonely.","Я самотны."
" subordinated "," падпарадкаваны "
"Athletic rival","Спартыўны супернiк"
"Ready for slaughter","Гатовы да забою"
"Saving vehicles...","Захаванне транспартных сродкаў..."
"Entities...","Сутнасцi..."
" flows over the "," цячэ па "
", no members",", чальцоў няма"
"being unafraid in the moment","не баючыся ў момант"
"Expert","Эксперт"
"Not inclined to abstract","Не схiльны да абстракцыi"
"Following ","Сочыць "
"Folder: ","Тэчка: "
" of previous passages"," папярэднiх урыўкаў"
"Milliseconds for each key repeat","Паўтарэнне кожнай клавiшы ў мiлiсекундах"
" in order to "," для таго, каб "
"initiate sabotage","распачаць дыверсiю"
"volcanos","вулканы"
"you can succumb to invasions. ","вы можаце зведаць ўварваннi. "
"Poor social awareness","Слабая сацыяльная свядомасць"
"Attempted Bribery","Спроба хабару"
"This creature is miserable right now.","Гэта iстота адчувае смутак ды журбу."
"unwilling to trade","негатовы гандляваць"
"Selected tiles are low priority.","Нiзкi прыярытэт для выбраных клетак."
"Storage path decrease (bin combine)","Памяншэнне шляху складавання (скрынкi)"
"Bookcase","Кнiжная шафа"
"Unmark all","Зняць усе адзнакi"
" to record/stop recording a macro."," для старту/прыпыненнi запiсу макраса."
"Assigned and chained","Затрыманы i прыкаваны"
"a sermon","пропаведзь"
" have"," маеце"
"As the guild grows in power they may demand a [C:1:0:1]Guildhall[C:7:0:0] of greater value.  This can be increased by ","Па меры ўзмацнення ўлады гiльдыi, яны могуць патрабаваць [C:1:0:1]Гiльдзалу[C:7:0:0] большай каштоўнасцi. Каштоўнасць можа быць павялiчана шляхам "
"Use these to make scrolls and quires.","Выкарыстоўвайце iх для стварэння скруткаў i запытаў."
"Disdains hard work","Ганьбуе працавiтасць"
"Finely-crafted","Файна зроблена"
"master ","гаспадар "
"Non-interactive help will be available whatever you decide.","Неiнтэрактыўная дапамога будзе даступная незалежна ад вашага рашэння."
"waited out an insurrection","перачакаў паўстанне"
"Overreliant on advice","Празмерна спадзяецца на парады"
"Prepare carefully embark confirmation","Старанна падрыхтуйцеся да высадкi"
"Dig a channel, making a ramp on the level below.","Выкапць канал на гэтым узроўнi ўнiз."
"Link plate","Злучыць плiту"
"Spouse is not present","Няма пары"
"Biographical dictionary","Бiяграфiчны слоўнiк"
" squad"," атрад"
"and assign your squads to it.  The [C:3:0:1]Defend Burrow[C:7:0:0] order gives you a list of [C:1:0:0]Burrows[C:7:0:0] (created by pressing ","i прызначыць свае атрады да яго. Загад [C:3:0:1]Абаранiць сховiшча[C:7:0:0] дае вам спiс [C:1:0:0]Сховiшч[C:7:0:0] (ствараецца нацiскам "
"Minecarts do not trigger","Ваганетка не пераключае"
"an artery","артэрыя"
"Unnamed bedroom","Безназоўная лажнiца"
"Artifacts (Rumored)","Артэфакты (па чутках)"
"shining bars","блiскучыя злiткi"
"discourse on economic policy","дыскурс аб эканамiчнай палiтiцы"
"Pumps from the east","Помпы з усходу"
"All","усе"
"Forgotten beast irritation minimum (less = sooner)","Мiнiмум раздражнення забытага звера (менш = хутчэй)"
"This visitor is ready to leave.","Гэты наведвальнiк гатовы сысцi."
"Sacrifice","Самаахвярнасць"
"Adjective","Прыметнiк"
"Alliance","Альянс"
"Dig every tile selected.","Капаць кожную выбраную клетку."
" to "," да "
"has some particularly crisp changes in topic","мае некаторыя выразныя змены ў тэме"
"Plant gathering zones are used in locations where plants will be gathered frequently.  Use the gather designation otherwise.","У якасцi зоны збора зёлак будуць выкарыстоўвацца зоны, дзе зёлкi найчасцей за ўсё растуць . Цi абмяжуйце зону збора зёлак самастойна. "
"This creature is unhappy right now.","Гэтая iстота сумуе зараз."
"Earliest compatible version: ","Самая ранняя сумяшчальная версiя: "
"Click to view all news and rumors","Нацiснiце, каб праглядзець усе навiны i чуткi"
"When trading you select which goods you want from the list on the left, and which goods of yours to ","Пры гандлi вы выбiраеце, якiя тавары вы хочаце са спiсу злева, i якiя з вашых тавараў "
"work","праца"
"Legendary murderer","Легендарны галаварэз"
"musical composition","музычная кампазiцыя"
"The dead walk.  Hide while you still can!","Жывыя нябожчыкi! Хавайся, пакуль яшчэ можаш!"
"Wood","Дрэва"
"a tower","вежа"
"Specify size","Выбраць памер"
"relieved","палёгка"
" (6 of 8)"," (6 з 8)"
"Bad with words","Коснаязыкасць "
" a position"," пасаду"
" fled from the area just before an army"," уцяклi з раёна акурат перад войскам"
"Pearlash","Перлаш"
"Leather","Скура"
"Cannot make request without leader","Немагчыма зрабiць запыт без лiдэра"
"Watch Sparring Practice","Глядзець спаррынгавую трэнiроўку"
"Military organization","Ваенная арганiзацыя"
"guilty","вiнаваты"
"Not altruistic","Не альтруiст"
"This cannot horrify me.","Гэта не можа мяне напужаць."
"Open the citizen information menu.","Адкрыць меню iнфармацыi пра грамадзян."
"Meeting areas and locations","Зоны сустрэч i месцы"
"lack of fear toward","адсутнасць страха да"
"striking down ","паражае "
"Other Recipes","Iншыя рэцэпты"
"Toggle whether the stockpile allows non-plant-and-animal-based objects, regardless of other settings.","Дазвольце цi забаранiце знаходжанне на складзе рэчаў нежывёльнага цi раслiннага ўтварэння, незалежна ад iншых налад."
"fort","форт"
"the parley between ","перамовы памiж "
"Pillage ","Рабаваньне "
"After you embark, help is available by pressing the help button in the top right corner, including all of the tutorials.","Пасля таго, як вы пачнеце, вы можаце атрымаць дапамогу, нацiснуўшы кнопку даведкi ў правым верхнiм куце, у тым лiку ўсе падручнiкi."
"(0 for unnumbered plural)","(0 для непранумараванага мн. лiку)"
" cringing"," скурчваецца"
"I'm not feeling nostalgic.","Я не настальгую."
"Agitated Caged Creature","Усхваляваная iстота ў клетцы"
"Active","Дзейны"
"Show up/down arrows on ramps at current elevation","Паказаць стрэлкi ўверх/унiз на пандусах на бягучай вышынi"
"a creature","iстоту"
"Image","Выява"
" commander"," камандзiр"
"Starving","Змардаванне"
"Then click on the [C:6:0:0]Lever[C:7:0:0] and choose to link it to a [C:6:0:0]Bridge[C:7:0:0] or [C:6:0:0]Door[C:7:0:0].  This will lock the [C:6:0:0]Door[C:7:0:0] ","Потым нацiснiце на [C:6:0:0]Рычаг[C:7:0:0] i абярыце звязаць яго з [C:6:0:0]Мостам[C:7:0:0] або [C:6:0:0]Дзверамi[C:7:0:0]. Гэта заблакуе [C:6:0:0]Дзверы[C:7:0:0] "
"Considers poet","Лiчыць паэтам"
"Drink alcohol","Пiць алкаголь"
" overthrown"," зрынуты"
"Enable temperature","Уключыць тэмпературу"
"the part","частка"
"looks offended","выглядае пакрыўджаным"
"cut gems","аграненыя самацветы"
"travelers","падарожнiкi"
"Room completed (","Пакой завершаны ("
"Arena side","Бок арэны"
"irritated","раздражнёны"
"months ago","месяцаў таму"
"Claimed by local ","Патрабуецца мясцовым "
" at "," каля "
" on behalf of "," ад iмя "
"Claim a forbidden item or building so it will be used by your citizens.","Дазволiць карыстацца забароненым прадметам або будынкам."
"These require a [C:6:0:1]Weapon[C:7:0:0], [C:6:0:1]Cage[C:7:0:0], or [C:6:0:1]Boulder[C:7:0:0] to function. ","Для йiх працы патрабуецца [C:6:0:1]Зброя[C:7:0:0], [C:6:0:1]Клетка[C:7:0:0] або [C:6:0:1]Валун[C:7:0:0]. "
"Poetic form","Паэтычны жанр"
"Economy trade trigger 3","Эканомiка ад гандлю Трыгер 3"
"Lethal","Смяротна"
"must first be completed","спачатку трэба завяршыць"
"Dedicated to ","Прысвячаецца "
"Once the pile is placed, click [C:5:0:1]Accept[C:7:0:0] and select the [C:5:0:1]All[C:7:0:0] option.","Пасля акрэслення зоны складу нацiснiце [C:5:0:1]Прыняць[C:7:0:0] i абярыце опцыю [C:5:0:1]Усё[C:7:0:0]."
" been knocked unconscious!"," страцiў прытомнасць!"
"Offering place","Месца дару"
"Associated Plot: ","Звязаны сюжэт: "
"First you need building materials, like [C:6:0:1]Wood[C:7:0:0] or [C:6:0:1]Boulders[C:7:0:0].  ","Спачатку вам патрэбны будаўнiчыя матэрыялы, напрыклад [C:6:0:1]Дрэва[C:7:0:0] або [C:6:0:1]Валуны[C:7:0:0]. "
"was curious about ","цiкавiўся "
"Bone doctor","Кастапраў"
" has arrived."," прыбыў."
"I guess I should be feeling ambivalent right now.","Я мяркую, што павiнен адчуваць сябе неадназначна."
"fellow athlete ","калега - спартсмен "
"Considered a thief","Лiчыцца злодзеем"
"works, darkly brooding...","працуе, змрочна задуменны..."
"Broker requested at depot","Брокер запытаны ў дэпо"
"Mouse: ","Мыш: "
"prostrating ","схiляецца "
"Click to rescue (creates new mission)","Нацiснiце, каб выратаваць (стварае новую мiсiю)"
"Wilderness Roamer","Валацуга Дзiкай прыроды"
"miserable","няшчасны"
", becoming a resident of ",", стаўшы жыхаром "
"plant","раслiна"
"tenderness","пяшчота"
"Pale","Бледны"
"Magma smelter","Магма - плавiльня"
"Argue","Спрачацца"
" descended upon "," сышоў на "
" contemplating "," сузiрае "
"the agreement by ","пагадненне "
"Subject revealed that ","Падыспытны распавёў, што "
"Considered an intruder","Падазроны ў парушэннi закона"
"[C:7:0:1]Guildhalls[C:7:0:0]","[C:7:0:1]Гiльдзалы[C:7:0:0]"
"spurning the value of harmony","адмаўляючы каштоўнасць гармонii"
"Maximum key repeat acceleration multiplier","Множнiк паскарэння максiмальнага паўтарэння клавiш"
"order also works.","таксама працуе."
"Officers may opt for physical punishment if they cannot carry out custodial sentences.","Стражнiкi могуць ужываць фiзiчнае пакаранне, калi асуджаным недзе адбываць пазбаўленне волi."
"is weak, skinny and very short","слабы, хударлявы i вельмi нiзкi"
"Click workshop","Нацiснiце на майстэрню"
"Plural Noun","Назоўнiк мн. лiку"
"performance troupe","трупа"
"Finalizing plants...","Завяршэнне раслiн..."
"crushed an insurrection","задушыў паўстанне "
"Seasonal","Сезонна"
"Pillage (openly attack)","Грабеж (адкрыты напад)"
"Over-exerted","Перанапружанасць"
" shooting "," страляе "
"valor","доблесць"
"Star chart","Зорная картка"
"Nest box unclaimed","Курасадня вольная"
"[C:7:0:1]Gathering[C:7:0:0]","[C:7:0:1]Збор[C:7:0:0]"
"Former member","Былы чалец"
"This can done at the [C:6:0:0]Smelter[C:7:0:0] which can be found under [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Furnaces[C:7:0:0] -> [C:5:0:1]Smelter[C:7:0:0]. ","Гэта можна зрабiць у [C:6:0:0]Плавiльнi[C:7:0:0], якую можна знайсцi ў [C:5:0:1]Майстэрнi[C:7:0:0] -> [C:5:0:1]Печы[C:7:0:0] -> [C:5:0:1]Плавiльня[C:7:0:0]. "
" striking a triumphant pose"," прымае паставу пераможцы"
"being flayed","абелены"
"Name the location","Назавiце лакацыю"
"the coda","кода"
"Disdains eloquence","Ганьбуе красамоўства"
"suffering the travesty of art defacement","пакутуе ад назiрання вынiкаў пашкоджання мастацтва"
"Your childish games have made me tired.  Perhaps next time I visit you'll take this seriously.","Вашы дзiцячыя гульнi мяне стамiлi. Магчыма, у наступны мой вiзiт вы паставiцеся да гэтага сур'ёзна."
"former member","былы сябра"
"Commerce","Гандлярства"
"In order to keep your citizens alive in the unforgiving wilderness they will need shelter, drink, and food.","Каб захаваць жыццё вашых жыхароў у няўмольным асяроддзi, iм спатрэбiцца прытулак, пiтво i ежа."
"Considers monster","Лiчыць монстрам"
"trickery","хiтрасць"
" has been elected to the position of "," шляхам агульных выбараў атрымлiвае пасаду "
"We haven't performed for some time.","Мы не выступалi некаторы час."
"Stratus (rain)","Слаiстыя (дождж)"
"reeking","пахучы"
"is seeking information","шукае iнфармацыю"
"a temple","храм"
" plotted to assassinate "," планаваў забойства "
"The following fortress goods","Наступныя тавары крэпасцi"
"kidnapping","выкраданне"
"Economy production trigger 5","Эканомiка ад вытворчасцi Трыгер 5"
"You can zoom in and out of the play area using ","Вы можаце павялiчваць i памяншаць маштаб гульнявай зоны "
"Finish setting wall orders.","Схаваць загады працы са сцяной."
"Meat/Fish Recipes","Рэцэпты з мяса/рыбы"
"Engraving smoothed floors and walls","Гравiраванне згладжаных падлог i сцен"
" playing the "," гуляе "
"Crrpt","Пашкодзiць"
"a blacksmith's shop","майстэрня каваля"
"adoration","абагаўленне"
", having completely forgotten the words.",", каб прыгадаць словы."
"Partially constructed.","Часткова пабудаваны."
"Thread (Yarn)","Нiткi (пража)"
"are "," "
"Leave this menu and view this creature's sheet.","Закрыйце меню ды паглядзiце характарыстыкi гэтай iстоты."
"Obstinate","Упарты"
" and even forget"," i нават забыць"
"Engraving ","Гравiроўка "
"Population: ~4000","Насельнiцтва: ~4000"
"Good memory","Добрая памяць"
"Colors...","Колеры..."
"an astonishing memory","дзiўны ўспамiн"
" the perfect phrasing."," iдэальные фразiроўкi."
"Add a condition to the work order that checks the amount of some item.","Дадайце ўмовы выканання працоўнага загада, якiя будуць правяраць колькасць якiх-небудзь рэчаў цi матэрыялаў."
"an infamous villain","сумна вядомы злыдзень"
"loathing","брыдлiвасць"
"Storage path decrease (bucket combine)","Памяншэнне шляху складавання (вёдры)"
"gaiety","весялосць"
"greeting ","вiтае "
"The dancers perform ","Танцоры выконваюць "
"Default high traffic path cost","Кошт руху па змаўчаннi з высокiм трафiкам"
"Hide an item or building from your view.  Citizens will still use it.","Схаваць прадмет або будынак ад вашага поля зроку. Жыхары ўсё роўна будуць iм карыстацца."
"zealous","руплiвы"
" has revealed the presence of "," выявiў наяўнасць "
"vessel","судна"
"was willing to accept eventual death and refused","быў гатовы прыняць неадкладную смерць i адмовiўся"
" stanza"," страфу"
"discourse on the nature of time","дыскурс аб прыродзе часу"
" corrupted "," перакручаны "
" with a shameworthy performance."," ганебным выступам."
"Humorless","Скарадзь"
"No relationships","Няма стасункаў"
"Finish setting tree chopping orders.","Скончыце афармленне загадаў аб высечцы дрэў."
"Terrarium","Тэрарыум"
"Must be inside","Павiнна быць унутры"
"on the floor ","на падлозе "
"Ah, wonderful.  Thank you for your business.","Цудоўна. Дзякуй за гандаль."
"Change standard selections to blueprints.","Перайсцi са стандартнага выбару ў планаванне."
" to the living world"," да свету"
"Deceased","Памерлы"
"Monster slayer","Забойца монстраў"
"Outdoor access","Доступ вонкi"
"You can recognize a high priest when this is a temple complex.","Вы можаце прызнаць першасвятара, калi гэта стане храмавым комплексам."
"fathom you ending up with the items you desire.","ведаць, што вы атрымлiваеце рэчы, якiя жадаеце."
"treachery","вераломства"
"covering","вокладка"
"[C:7:0:1]Shelter[C:7:0:0]","[C:7:0:1]Прытулак[C:7:0:0]"
"Infamous enemy fighter","Сумна вядомы варожы баец"
"torturing ","катуе "
" planted"," пасаджана"
