"more presumptious","m†s presuntuoso"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please."," Ojal† pudiera decirte por d¢nde empezar tu b£squeda. Hasta entonces, usted es libre de hacer lo que quiera."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].Fractura superpuesta"
"Shrub","Arbusto"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Nosotros podemos separarnos a lo sumo "
"Make Caves Visible","Hacer las Cuevas Visibles"
" has calmed down."," se ha calmado."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","piensa que es de suma importancia mostrarse serio y nunca quejarse ni mostrar emoci¢n"
"Leave Wall","Dejar Muro"
"medicine:theory:classification of bodily fluids","medicina:teor°a:clasificaci¢n de fluidos corporales"
"Shake ","Agitar "
"Associated","Asociado"
"Avoid conflict today.","Evite el conflicto hoy."
"Returning soldiers bring rumor(s)","Los soldados que regresan traen rumor(es)"
"has a fairly deep and raspy voice","tiene una voz bastante profunda y ronca"
" bag is used by the musician to control the steady flow of air through the instrument.]"," la bolsa es utilizada por el m£sico para controlar un flujo constante de aire por el instrumento.]"
"You feel hot/cold","Sientes calor/fr°o"
"drinking without well","bebiendo sin pozo"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","Asigne una orden de defensa de madriguera. Los soldados patrullar†n la madriguera y atacar†n a cualquier criatura hostil."
"Forceps","F¢rceps"
"tanned","curtido"
"Mount ","Montar "
"engineering:optics:theory of rainbows","ingenier°a:¢pticas:teor°a de arcoiris"
" terrified"," aterrorizado"
" promised "," prometido "
"Invaders can dig natural walls","Invasores pueden excavar paredes naturales"
"No item to throw","No hay objeto para lanzar"
"being tormented in nightmares by a dead sibling","siendo atormentado en pesadillas por un hermano muerto"
"The guildhall petition by ","La petici¢n del gremio por "
"Surgeon","cirujano"
"mathematics:algebra:divergence of harmonic series","matem†ticas:†lgebra:divergencia de series arm¢nicas"
"burned away","quemado"
"by invocation of True Name","mediante la invocaci¢n del Nombre Verdadero"
"You've caught a ","Has cogido un "
"Give me the bustle and noise over all that quiet!","Traeme toda la bulla y el ruido para calmarlos a todos!"
"as a former slave of","como antiguo esclavo de"
"respects commerce","respeta el comercio"
"the Line","la Linea"
"feeling apathetic","SintiÇndose ap†tico"
"recruit","recluta"
" was imprisoned by"," fue aprisionado por"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","ve el logro y la preservaci¢n del conocimiento como un trabajo ofensivo realizada por ilusos arrogantes"
"bowls","cuencos"
"is short and just incredibly fat","es corto y solo incre°blemente gordo"
"strand extractor","extractor de hebra"
"former master","antiguo maestro"
" is at war with us."," est† en guerra con nosotros."
"the Rising of the Moon","la Salida de la Luna"
"is weak and extremely short","es dÇbil y extremadamente bajo "
"begins to stammer when ","comienza a tartamudear cuando "
"addition of masterful rollers","incorporaci¢n de rodillos magistrales"
"Welcome to Dwarf Fortress","bienvenido a Dwarf Fortress"
"Grab Milk Unit","Agarrar Unidad de Leche"
" has brought back many tales from beyond "," ha tra°do muchas historias del m†s all† "
"thoughtless","desconsiderado"
"Clothes Making","Factura de ropa"
"Mechanic","Mec†nico"
"clothes rot off of ","la ropa se pudre de "
"That's not right.","Eso no est† bien."
"Nothing to interact","Nada con quÇ interactuar"
"Many are ","Muchos/as son "
"often feels lustful","a menudo se siente lujurioso"
"forming a bond with an animal training partner","Formando un v°nculo con un compa§ero de entrenamiento animal"
"Embark","Embarcarse"
", animated by unknown forces",", animado por fuerzas desconocidas"
"Uninterested in an owner","Desinteresado en un due§o"
"No match.","Sin coincidencia."
"a year ago","hace un a§o"
"completed job","trabajo completado"
"SAVAGERY REJECTION","RECHAZO DE FEROCIDAD"
"Dictionary","Diccionario"
"You cannot climb or mount while prone.","No se puede trepar ni montar mientras se est† boca abajo."
"woodcutter","le§ador"
"I worship no one.","No adoro a nadie."
"does not easily fall in love and rarely develops positive sentiments","no se enamora f†cilmente y rara vez desarrolla sentimientos positivos"
"Duplicate","Duplicar"
"Trader","Comerciante"
"the search of ","la busqueda de "
"Preparing for the caravan","Prepar†ndonos para la caravana"
"Your bookkeeper has done enough work to attain ","Su contador ha trabajado lo suficiente para lograrlo "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","La artesan°a en el juego base se limita a la construcci¢n de un hacha de piedra necesaria para talar †rboles. Puedes recoger algunas piedras y una rama de †rbol para empezar. "
" was spotted sneaking around!"," fue visto merodeando alrededor!"
"more of a loner","m†s de un solitario"
"Unassuming","Modesto"
"nine thousand","nueve mil"
"Find embark location","Encuentra la ubicaci¢n de embarque"
"Child is nobility","El ni§o es noble"
"light","luz"
"Meanness   <->   Wastefulness","Taca§o <-> Despilfarrador"
"Various seeds","Varias semillas"
"denting","abolladura"
" the name "," el nombre "
"stress vulnerability","vulnerabilidad al estrÇs"
"Initial forest square count fails by ","El conteo de cuadrados de bosque inicial falla por "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Tus haza§as quedar†n registradas para el modo Leyendas y por los maestros grabadores de las siguientes fortalezas de tu mundo."
"flat","plano"
"The desired pitch is selected using a ","El tono deseado es seleccionado usando un "
"Feared as a villain","Temido como un villano"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Alterne si el almacÇn puede tomar art°culos de cualquier lugar o solo de talleres y almacenes espec°ficos."
"boiling clear glass","vidrio claro hirviendo"
"I accept this honor.","Acepto este honor."
"the method of writing the history of a single individual","el mÇtodo de escribir la historia de un individuo solo"
" and it is mostly cut away from the rest of the torso!"," ≠y est† casi separado del resto del torso!"
"Admiration","Admiraci¢n"
"No heavy attack: enraged","Sin ataque fuerte: enfurecido"
" own possessions"," propias posesiones"
"rages","se enfurece"
"Announcements","Anuncios"
"meeting area zones, dining rooms and","zonas de reuni¢n, comedores y"
" became "," se convirti¢ en "
" is angry"," est† enojado"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Para que se puedan usar algunas funciones, como ¢rdenes de trabajo o contabilidad, se deben asignar[C:5:0:0]Administradores[C:7:0:0]. "
"Remorseful","Arrepentido"
"Shearer","Esquilador"
"Mid-","Medio-"
" rope"," soga"
"ill-fated ","desafortunado "
"feel heavy","sentirse intensa"
"The army of ","El ejercito de "
"is very frail and incredibly long","es muy fr†gil y incre°blemente largo"
"a robbery","un atraco"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Si sobrevives hasta que llegue la caravana, tambiÇn puedes cambiar por [C:6:0:1]Bebidas[C:7:0:0] "
"Slab engraved","Losas grabadas"
"You know, I think you're right.","Sabes, creo que tienes raz¢n."
"Dismiss minor feeling of shock","Descartar ligera sensaci¢n de shock"
"in order to glorify ","para glorificar "
" battles"," batallas"
"Masterwork","Obra Maestra"
"amused","divertido/a"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Los ciudadanos descontentos pueden portarse mal y causar problemas, y menos personas correr†n el riesgo de viajar a un "
"You need a free grasp to climb.","Necesitas un agarre libre para escalar."
"wombat","murciÇlago"
"a divine being","un ser divino"
"earth","tierra"
"specialized surgical instruments","instrumentos quir£rgicos especializados"
" and it is all thanks to "," y todo es gracias a "
"is gigantic and quite fat","es gigante y bastante gordo"
"Gladiatory Games","Juegos de gladiadores"
"Water wheels are 1x3 or 3x1.","Las ruedas hidr†ulicas son 1x3 o 3x1."
" looks "," se ve "
"free rhythm","ritmo libre"
"I see your low race still revels in death.  That poor, gentle creature...","Veo que tu raza baja todav°a se deleita con la muerte. Esa pobre y gentil criatura..."
"Please help me to escape from this place.","Por favor, ay£dame a escapar de este lugar."
" Upward Track (NS)"," V°a de Ascenso (NS)"
"the Purchase","la Compra"
"who","quien"
"the ghost of my sibling","el †nima de mi hermano"
" a friend"," un amigo"
" specific move"," movimiento espec°fico"
"the classification of toxic substances","la clasificaci¢n de sustancias toxicas "
"mid-length phrases","frases de mediana longitud"
"Writing","Escribir"
"a great dining room","un gran comedor"
"is thin, skinny and weak","es delgado, flacucho y dÇbil"
"announcement","anuncio"
"Machines/fluids","M†quinas/fluidos"
", but it means nothing now.",", pero eso no significa nada ahora."
"More likely, your dwarves will starve, unless you read the first few guides here! ","Lo m†s probable es que tus enanos se mueran de hambre, ≠A menos que leas las primeras gu°as aqu°! "
"grovel","arrastrarse"
"Frequent","Frecuente"
"the mercenary operation","la operaci¢n mercenaria"
"overall trade sentiments are very good.","las relaciones comerciales en general son muy buenas."
"Comrade","Camarada"
"Your dreams will come true.","Tus sue§os se har†n realidad."
"is quite mocking in tone","tiene un tono burloso"
"'s onslaught","embestida de"
"geography:form:atlas","geograf°a: forma: atlas"
"State minor feeling of love","Expresar menor sensaci¢n de amor"
"'s location","la ubicaci¢n"
"I'm very lonely.","Soy muy solitario. "
"active performance poem reciter","recitador de poemas de actuaci¢n activo"
"State minor feeling of gloom","Expresar ligera sensaci¢n de melancol°a"
" recitation of "," recitaci¢n de "
"has high cheekbones","tiene p¢mulos altos"
"philosophy:specialized:politics social welfare","filosof°a:especializada:pol°ticas del bienestar social"
"a noted flatterer","un adulador renombrado"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]Zonas[C:7:0:0] se colocan de forma muy similar a [C:6:0:0]Almacenes[C:7:0:0]. "
"Mandate period (more = fewer)","Per°odo de mandato (m†s = menos)"
"Cirrus","Cirro"
"Nonsense","Tonter°as"
"mathematics:geometry:pythagorean triples small","matem†ticas:geometr°a:ternas pitag¢ricas"
"the construction and use of the flask","la construcci¢n y uso de una petaca"
" Floor Grate"," Rejillas"
"greedier","m†s codicioso"
"a theft","un robo"
"Resourcefulness","Inventiva"
"the enactment of a series of oppressive laws","la promulgaci¢n de una serie de leyes opresivas"
"medicine:theory:disease classification","medicina:teor°a:clasificaci¢n de enfermedades"
"the struggle for survival","la odisea por sobrevivir"
"the construction and use of the astrarium","la construcci¢n y el uso del astrario"
"ladies","damas"
"profaned","profanado"
"has a large body but is incredibly skinny","tiene un gran cuerpo pero es increiblemente delgado"
"is lanky and frail","es larguirucho y fr†gil"
" boldly, even if it would offend an average sense of modesty"," audazmente, incluso si ofender°a un sentido promedio de modestia"
"skip","saltar"
"That's suspicious!","≠Es sospechoso!"
"has an extremely broad body with lots of fat on it","tiene un cuerpo extremadamente ancho con mucha gordura"
"Dirt Road","Camino sucio"
"the causes of historical events","las causas de los acontecimientos hist¢ricos"
"You are nauseated.","Tienes n†useas."
"was a spectacular failure","fue un fracaso espectacular"
"Give me a break.","Dame un respiro"
"Cloth Workshop","Taller de Tela"
"d strongly favored"," fuertemente favorecido"
"the taming of the ","la domesticaci¢n de "
"Engravers","Grabadores"
"grieved","apenado"
" partially free of the web."," parcialmente libre de la telara§a."
" mounts "," monta "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","Error al encontrar la casta de criaturas CREATURE_CASTE_GRAPHICS "
"Traits","rasgos"
" to live a life of adventure"," para vivir una vida de aventuras"
"gets distracted from conversations easily when ","se distrae facilmente de la conversaci¢n cuando "
" weapons"," armas"
" superiorly designed"," superiormente dise§ado"
"Move keyboard cursor down (z)","Mover el cursor del teclado hacia abajo (z)"
"I'm not worried.","No estoy preocupado."
"great creativity","gran creatividad"
"gave food","dio comida"
"a castle wall","un muro del castillo"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Algo de tiempo invertido en reflexionar es admirable, pero no debe olvidar de vivir su vida"
"tuning","afinaci¢n"
"the notion of bonds between members of a community","La noci¢n de los v°nculos entre miembros de una comunidad"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","Aqu° puedes fabricar piezas para ballestas y catapultas. Este taller es tambiÇn el lugar donde se ensamblan las municiones para balistas."
"legendary bully","mat¢n legendario"
"has a small build and is very weak and incredibly skinny","tiene una complexi¢n peque§a, es muy dÇbil e incre°blemente flaco/a"
"Remote: ","Remoto: "
"Pike","Pica"
"being rescued","siendo rescatado"
"Default attack is a wrestling move.","El ataque predeterminado es un movimiento de lucha."
"superior quality ","calidad superior "
"being forced to endure the decay of an acquaintance","verse obligado a soportar la decadencia de un conocido"
"Enemy/merchant trade trigger 5","Disparador de poblaci¢n de enemigos/comerciantes 5"
"The victory was shared by ","La victoria fue compartida por "
"Acknowledge lack of bitterness","Reconocer la ausencia de amargura"
"extremely low","extremamente bajo "
" because you are swimming."," porque est†s nadando."
"Verbally struggle against great dismay","Luchar verbalmente contra un gran desaliento"
" talents and accomplishments"," talentos y logros"
"the Secret","el Secreto"
"dream","sue§o"
"item was favorite possession","el objeto era una posesi¢n favorita"
"You conclude your performance.","Concluyes tu actuaci¢n."
" told the story of "," cont¢ la historia de "
"trapped in cage","atrapado en una jaula"
"[C:1:0:1]Drowsy","[C:1:0:1] Somnoliento"
"brawler","luchador"
"Bypass greeting (new menu)","Omitir saludo (nuevo men£)"
"history:sourcing:role of systemic bias","historia:abastecimiento:rol de un sesgo intr°nseco"
"I realized ","He realizado "
", replacing ",", reemplazando "
"Workers ignore wood","Los trabajadores ignoran la madera"
" log"," tronco"
" perpetrated "," perpetrado "
"often lowers ","A menudo disminuye "
"We are besieged by a terrifying monster from the harshest wilderness.","Estamos asediados por un monstruo terror°fico de las m†s duras tierras salvajes."
"I ate at a crowded table.","Com° en una mesa poblada."
" pushes"," empuja"
"I feel such sympathy!","Siento tanta empat°a!"
"River Source","Fuente del r°o"
" needs alcohol to get through the working day"," necesita alcohol para sobrellevar la jornada laboral"
"Monk","Monje"
" in search of excitement"," en busca de emoci¢n"
"began to skulk and brood","comenz¢ a remolonear y lamentarse"
"No members","No hay miembros"
"is very polite and observes appropriate rules of decorum when possible","es muy educado y observa las reglas apropiadas de decoro cuando es posible"
"disillusioned","desilusionado"
"Regions","Regiones"
" due to "," debido que "
"a tribute agreement","un acuerdo de homenaje"
" throughout "," a travÇs de "
"Disdains commerce","Desprecia el comercio"
"st","ro"
"giving somebody food","dando comida a alguien"
"The musician can alter the pitch of ","El m£sico puede alterar el tono de "
"Carve fortification","Tallar fortificaci¢n"
" and the "," y el "
"things...  certain things","cosas... ciertas cosas"
"Stone/clay","Piedra/arcilla"
"Date: ","Fecha: "
"""Leave me.  I need... ","DÇjame. Necesito... "
"Rotten tissue excised from ","Tejido podrido extirpado de "
"All I see here is not enough.","Todo lo que veo aqu° no es suficiente."
"negotiate","negociar"
"considers spending time alone much more important than associating with others","considera pasar tiempo a solas mucho m†s importante que relacionarse con otros"
"Lover of ","Amante de "
"stole treasure from","rob¢ el tesoro de"
"Predator and Prey","Depredador y Presa"
" masterfully dyed with "," te§ido magistralmente con "
", once of the Underworld.  ",", venido del Inframundo. "
", is it really you?","®Eres realmente tu?"
" own wellbeing, having no interest in material goods"," propio bienestar, no teniendo interÇs en bienes materiales"
"[C:2:0:1]Spring","[C:2:0:1]Primavera"
"State feelings of great dislike","Expresar sentimientos de gran disgusto"
"I must let grief pass me by.","Debo dejar pasar el dolor."
"An important decision awaits your careful deliberation.","Una decisi¢n importante espera su cuidadosa deliberaci¢n."
"subdued","sometido"
"regretful","arrepentido"
"vengefulness","sed de venganza"
"tetrachord","tetracordio"
"the color ","el color "
"  Effective pressure to comply came from co-conspirators surrounding "," La presi¢n efectiva para cumplir provino de los co-conspiradores que rodeaban "
"A great beast threatens to bring ruin upon our people.","Una gran bestia amenaza con traer la ruina a nuestro pueblo."
"State minor feeling of worry","Expresar ligera sensaci¢n de preocupaci¢n"
"A snow storm has come.","Una tormenta de nieve ha llegado."
"<invalid start> ","<invalid start> "
"Classic varied ground tiles","Baldosas cl†sicas de suelo variadas"
"striking a triumphant pose","con una pose triunfante"
"Grab Weapon","Agarrar arma"
"feel agitated","sentirse agitada"
"Throwing tantrum","Teniendo una rabieta"
"gelder","castrador"
"would be lanky were it not for the massive muscles and slabs of lard","ser°a larguirucho si no fuera por los m£sculos masivos y las losas de grasa"
" refused an offer of peace from "," rechaz¢ una oferta de paz de "
"Site","sitio"
" natural aversion to the adversary's inherent association with "," aversi¢n natural a la asociaci¢n inherente del adversario con "
"finds those that engage in trade and commerce to be fairly disgusting","considera que los que se dedican al comercio son bastante repugnantes"
"the departure of","la salida de"
"Seriously injured","Gravemente herido"
"a shockingly profound feel for social relationships","una sorprendentemente profunda sensaci¢n para las relaciones sociales"
"Temperate Brackish Pool","Estanque Templado de Agua Salobre"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Aseg£rese de que sus par†metros y configuraciones preestablecidas puedan soportar ""elevaciones medias"", ""lluvias bajas a medias"", ""drenajes altos"", ""†reas no congeladas"". "
", where numbers indicate a refrain",", donde los n£meros indican un estribillo"
"Master","Maestro"
"the distinction between motor and sensory nerves","la distinci¢n entre los nervios motores y sensitivos"
" is surprised"," est† sorprendido"
"in a circle","en un circulo"
"Closed cases","Casos cerrados"
"air","aire"
"It is now summer.","Ahora es verano."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","La comida se puede conseguir en poblados, del entorno, o al descuartizar cad†veres con objectos afilados. "
"not distracted","sin distraerse"
"judge","juez"
"parchment-producing ","productor de pergamino "
"be spirited","ser animada"
"Failed to install mod:","No se pudo instalar el mod:"
"to make a great discovery","para realizar un gran descubrimiento"
"Empty","Vac°o"
"Battle","Batalla"
"Nobles and administrators","Nobles y administradores"
"crystal glass paste","pasta de vidrio cristalino"
"This is your master.","Este es tu maestro."
" begins to stalk and brood..."," comienza a acosar y maquinar..."
"the belief of","la creencia de"
" first"," primero"
"These people carrying on about romance should be more practical.","Esta gente insistiendo sobre romance deber°a ser m†s pr†ctica."
"Gather fruit and vegetables from shrubs in this zone.","Recoge frutas y verduras de los arbustos de esta zona."
"Block ","Bloquear "
"swamp","pantano"
"This creature dwells underground.","Esta criatura habita bajo tierra."
"the surgical method of scraping","el mÇtodo quir£rgico de extirpado"
"unfavorable ","desfavorable "
"Inveigh Against ","Objeta contra "
"the state of demands","el estado de demandas"
"the Map","el Mapa"
"Move the camera","Mover la c†mara"
"Dodge","esquivar"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","Los tonos se agrupan densamente conforme la m£sica se mueve de acorde a acorde. "
"medicine:method:fracture immobilization","medicina:mÇtodo:inmovilizaci¢n de fracturas."
"Visitor cap","L°mite de visitantes"
"Siege Engineer","Ingeniero de asedio"
"straight scar.  ","cicatriz recta. "
"Mountain: ","Monta§a: "
" was the "," fue el "
"Randomize appearance","Apariencia aleatoria"
"the Lever","la Palanca"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Coloca el pozo en un espacio abierto sobre el agua para proporcionar un †rea relativamente segura para que tus ciudadanos saquen agua. Requiere mecanismos, bloques, una cadena o cuerda y un balde."
"Ninth","Noveno"
"DOOR TAKEN BY INVADERS","PUERTA TOMADA POR INVASORES"
"Designating items for melting","Designaci¢n de art°culos para fundir"
"can assign and edit the routines your soldiers will follow. ","puede asignar y editar las rutinas que seguir†n sus soldados. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","La sed de conocimiento que tienen algunos residentes puede satisfacerse en la [C:1:0:1]Biblioteca[C:7:0:0]. "
"refugees calling themselves ","los refugiados llam†ndose a s° mismos "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].Fractura superpuesta (en tracci¢n)"
"soap maker","fabricante de jab¢n"
"Say something about your family","Decir algo sobre tu familia"
"  A foolhardy soul might try to rescue the "," Un alma temeraria podr°a intentar rescatar al "
" was seen being stolen!"," ≠fue visto robando!"
"beat somebody up","golpear a alguien"
"Carpentry","Carpinteria"
"Burial Chamber","C†mara funeraria"
"Overall, ","En general, "
"a armorsmith's shop","una tienda del forjador de armaduras"
"Armorsmithing Workshop","Taller de Forja de Armaduras"
"a large animal","un animal grande"
"Already interviewed","Ya ha sido interrogado"
"It has started raining.","Ha comenzado a llover."
"Will Tell","Dir†"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Establecer ¢rdenes de recolecci¢n de plantas. Algunas plantas requieren la presencia de frutos u otros crecimientos."
"One must always carefully consider the correct course of action.","Uno debe siempre considerad cuidadosamente  las decisiones correctas."
", but they had nothing left to give",", pero no ten°an nada mas que dar"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Tal vez todav°a estÇn todos aqu°, sin querer dejar la magn°fica fortaleza que les preparaste. "
"melted.","derretido."
"history:sourcing:role of state bias and propaganda","historia:abastecimiento:rol de un sesgo estatal y la propaganda"
" a mesmerizing tale!"," ≠un cuento fascinante!"
"stonecutter","cortapiedras"
"A ballista's orientation cannot be changed","La orientaci¢n de una balista no pudo ser cambiada"
"Affects trap detection, ambusher detection, charge defense, and provides enemy attack information.","Afecta la detecci¢n de trampas, la detecci¢n de emboscadas, la defensa contra cargas y proporciona informaci¢n sobre los ataques enemigos."
" boxes"," cajas"
