"more presumptious","mer‚szebb"
"surveying by triangulation for engineering projects","h romsz”gel‚ses felm‚r‚s m‚rn”ki projektekhez"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please.","  B rcsak meg tudn m mondani, hol kezdd el a keres‚st. Addig is azt tehetsz, amit akarsz."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].µtfed‹ t”r‚s"
"Shrub","Cserje"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Legfeljebb ennyit tudunk fel ldozni "
"Make Caves Visible","A barlangok l that¢v  t‚tele"
" has calmed down."," m r megnyugodott."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","£gy v‚li, hogy rendk¡vl fontos, hogy b tor arcot mutasson, ‚s soha ne morgol¢djon, ne panaszkodjon, s‹t, ne is mutasson ki ‚rzelmeket"
"Leave Wall","Hagyd ott a falat"
"medicine:theory:classification of bodily fluids","orvostudom ny:elm‚let:a testnedvek oszt lyoz sa"
"Shake ","R z s "
"Associated","Kapcsol¢d¢"
"Avoid conflict today.","Ma kerlj‚tek a konfliktusokat."
"Returning soldiers bring rumor(s)","A hazat‚r‹ katon k pletyk kat hoznak magukkal"
"has a fairly deep and raspy voice","meglehet‹sen m‚ly ‚s rekedtes hangja van"
" bag is used by the musician to control the steady flow of air through the instrument.]"," A zen‚sz ezt a zs kot haszn lja a hangszerben  t raml¢ leveg‹ egyenletes  raml s nak szab lyoz s ra.]"
"You feel hot/cold","Meleged/f zol"
"drinking without well","iv s k£t n‚lkl"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","Adj ki egy od£v‚delmi parancsot! A katon k ‹rj ratozni fognak az od£ k”rl, ‚s megt madnak minden ellens‚ges l‚nyt."
"Forceps","Fog¢"
"tanned","barnult"
"Mount ","Hegy "
"engineering:optics:theory of rainbows","m‚rn”ki tudom ny:optika:a sziv rv ny elm‚lete"
" terrified"," r‚mlt"
" promised "," meg¡g‚rte "
"Invaders can dig natural walls","A betolakod¢k term‚szetes falakat tudnak  sni"
"No item to throw","Nincs eldobhat¢ t rgy"
"being tormented in nightmares by a dead sibling","hogy egy elhunyt testv‚r k¡s‚rti az  lmaiban"
"The guildhall petition by ","A v rosh za el‹tt beny£jtott pet¡ci¢, amelynek kezdem‚nyez‹je "
"Surgeon","Seb‚sz"
"mathematics:algebra:divergence of harmonic series","matematika:algebra:a harmonikus sorozat divergenci ja"
"burned away","el‚gett"
"by invocation of True Name","az Igaz N‚v megh¡v s val"
"You've caught a ","Elkapt l egy "
"Give me the bustle and noise over all that quiet!","Ink bb a nyzsg‚st ‚s a zajt v lasztom, mint azt a csendet!"
"as a former slave of","mint [n‚v] egykori rabszolg ja"
"respects commerce","a kereskedelem tekintet‚ben"
"the Line","a vonal"
"feeling apathetic","k”z”mb”snek ‚rzem magam"
"recruit","toborz s"
" was imprisoned by"," -t beb”rt”n”zt‚k"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","a tud s megszerz‚s‚t ‚s meg‹rz‚s‚t olyan t mad¢ jellegû v llalkoz snak tekinti, amelyet arrog ns bolondok folytatnak"
"bowls","t lak"
"is short and just incredibly fat","alacsony, ‚s egyszerûen hihetetlenl k”v‚r"
"strand extractor","sz lkivon¢"
"former master","egykori mester"
" is at war with us."," h bor£ban  ll velnk."
"the Rising of the Moon","A Hold felkel‚se"
"is weak and extremely short","gyenge ‚s rendk¡vl r”vid"
"begins to stammer when ","elkezdi dadogni, amikor "
"addition of masterful rollers","mesteri g”rg‹k hozz ad sa"
"Welcome to Dwarf Fortress","šdv”z”ljk a Dwarf Fortressben!"
"Grab Milk Unit","Grab tejegys‚g"
" has brought back many tales from beyond "," sz mtalan t”rt‚netet hozott vissza a t£lvil gr¢l "
"thoughtless","gondatlan"
"Clothes Making","Ruhak‚sz¡t‚s"
"Mechanic","Szerel‹"
"clothes rot off of ","a ruh k lekorhadnak r¢la "
"That's not right.","Ez nem helyes."
"Nothing to interact","Nincs semmi, amivel interakci¢ba l‚phetne"
"Many are ","Sokan "
"often feels lustful","gyakran ‚rez v gyat"
"forming a bond with an animal training partner","kapcsolat kialak¡t sa egy  llati edz‹t rssal"
"Embark","Indul s"
", animated by unknown forces",", ismeretlen er‹k  ltal vez‚relve"
"Uninterested in an owner","Nem ‚rdekli a tulajdonos"
"No match.","Nincs tal lat."
"a year ago","egy ‚ve"
"completed job","befejezett munka"
"SAVAGERY REJECTION","VADSµG VISSZAUTASÖTµSA"
"Dictionary","Sz¢t r"
"You cannot climb or mount while prone.","Fekv‹ helyzetben nem lehet m szni vagy felm szni."
"woodcutter","fav g¢"
"I worship no one.","Nem im dok senkit."
"does not easily fall in love and rarely develops positive sentiments","nem szerelmesedik meg k”nnyen, ‚s ritk n t pl l pozit¡v ‚rzelmeket"
"Duplicate","Duplik tum"
"Trader","Keresked‹"
"the search of ","a keres‚s "
"Preparing for the caravan","Felk‚szl‚s a karav nra"
"Your bookkeeper has done enough work to attain ","A k”nyvel‹je elegend‹ munk t v‚gzett ahhoz, hogy el‚rje "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","Az alapj t‚kban a k‚zmûves tev‚kenys‚gek a f k kiv g s hoz szks‚ges k‹balt k elk‚sz¡t‚s‚re korl toz¢dnak.  Kezd‚sk‚nt felvehetsz n‚h ny k”vet ‚s egy fa gat.  "
" was spotted sneaking around!"," l tt k, ahogy lopakodott!"
"more of a loner","ink bb mag nyos t¡pus"
"Unassuming","Szer‚ny"
"nine thousand","kilencezer"
"Find embark location","A besz ll si hely megkeres‚se"
"Child is nobility","A gyermek nemess‚g"
"light","f‚ny"
"Meanness   <->   Wastefulness","Kegyetlens‚g   <->   Pazarl s"
"Various seeds","Kl”nb”z‹ magok"
" Downward Track (NE)"," Lefel‚ vezet‹ ”sv‚ny (K)"
"denting","horpad s"
" the name "," a n‚v "
"stress vulnerability","stresszre val¢ hajlam"
"Initial forest square count fails by ","Az erd‹terletek kezdeti sz ml l sa sikertelen volt, mert "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","H‹stetteidet r”gz¡tik a Legends m¢dban, valamint a vil god k‚s‹bbi er‹djeiben a mestergrav¡roz¢k is meg”r”k¡tik ‹ket."
"flat","lapos"
"The desired pitch is selected using a ","A k¡v nt hangk”z kiv laszt sa egy "
"Feared as a villain","Gonoszk‚nt rettegett"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Be ll¡thatja, hogy a rakt r b rhonnan fogadjon-e t rgyakat, vagy csak meghat rozott mûhelyekb‹l ‚s rakt rakb¢l."
"boiling clear glass","forr sban l‚v‹  tl tsz¢ veg"
"I accept this honor.","Elfogadom ezt a kitntet‚st."
"the method of writing the history of a single individual","egy adott szem‚ly ‚letrajz nak meg¡r si m¢dszere"
" and it is mostly cut away from the rest of the torso!"," ‚s nagyr‚szt el van v lasztva a t”rzs t”bbi r‚sz‚t‹l!"
"Admiration","Csod lat"
"No heavy attack: enraged","Nincs er‹s t mad s: dh”s"
" own possessions"," saj t vagyont rgyak"
"rages","d£l"
"Announcements","K”zlem‚nyek"
"meeting area zones, dining rooms and","tal lkoz¢helyek, ‚tkez‹k ‚s"
" became "," lett "
" is angry"," dh”s"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Bizonyos funkci¢k - p‚ld ul a munkarendel‚sek vagy a k”nyvel‚s - haszn lat hoz [C:5:0:0]rendszergazd kat[C:7:0:0] kell kijel”lni. "
"Remorseful","Bûnb n¢"
"Mid-","K”z‚p-"
" rope"," k”t‚l"
"ill-fated ","szerencs‚tlen "
"feel heavy","neh‚znek ‚rzem magam"
"The army of ","A hadsereg "
"is very frail and incredibly long","nagyon t”r‚keny ‚s hihetetlenl hossz£"
"a robbery","egy rabl s"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Ha sikerl t£l‚lned a karav n ‚rkez‚s‚ig, akkor [C:6:0:1]italokat[C:7:0:0] is cser‚lhetsz "
"Slab engraved","Lemezre v‚sett"
"You know, I think you're right.","Tudod, szerintem igazad van."
"Dismiss minor feeling of shock","A kisebb sokk‚rz‚s elh r¡t sa"
"in order to glorify ","annak ‚rdek‚ben, hogy dics‹¡ts‚k "
" battles"," csat k"
"Masterwork","Mestermû"
"amused","sz¢rakoztatott"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Az el‚gedetlen polg rok kiadhatj k a dhket ‚s bajt okozhatnak, ‚s kevesebben mernek majd elutazni egy "
"You need a free grasp to climb.","A m sz shoz szabad k‚zre van szks‚ged."
"a divine being","egy isteni l‚ny"
"earth","f”ld"
"specialized surgical instruments","speci lis seb‚szeti eszk”z”k"
" and it is all thanks to "," ‚s mindez k”sz”nhet‹ "
"is gigantic and quite fat","hatalmas ‚s el‚g k”v‚r"
"Gladiatory Games","Gladi torj t‚kok"
"Water wheels are 1x3 or 3x1.","A v¡zker‚k m‚rete 1x3 vagy 3x1."
" looks "," kin‚zet "
"free rhythm","szabad ritmus"
"I see your low race still revels in death.  That poor, gentle creature...","L tom, az alacsonyrendû fajod m‚g mindig a hal lban gy”ny”rk”dik. Az a szeg‚ny, szel¡d teremtm‚ny..."
"Please help me to escape from this place.","K‚rlek, seg¡ts nekem elmeneklni innen."
" Upward Track (NS)"," Felfel‚ vezet‹ p lya (NS)"
"the Purchase","a v s rl s"
"who","ki"
"the ghost of my sibling","a testv‚rem szelleme"
" a friend"," egy bar t"
" specific move"," konkr‚t l‚p‚s"
"the classification of toxic substances","a m‚rgez‹ anyagok oszt lyoz sa"
"mid-length phrases","k”zepes hossz£s g£ mondatok"
"Writing","Ör s"
"a great dining room","egy nagyszerû ‚tkez‹"
"is thin, skinny and weak","v‚kony, sov ny ‚s gyenge"
"announcement","bejelent‚s"
"Machines/fluids","G‚pek/folyad‚kok"
", but it means nothing now.",", de ez semmit nem jelent m r."
"More likely, your dwarves will starve, unless you read the first few guides here! ","Val¢sz¡nûbb, hogy a t”rp‚id ‚hen fognak halni, hacsak nem olvasod el az itt tal lhat¢ els‹ n‚h ny £tmutat¢t! "
"grovel","k£szogni"
"Frequent","Gyakori"
"the mercenary operation","a zsoldosakci¢"
"overall trade sentiments are very good.","A kereskedelmi hangulat ”sszess‚g‚ben nagyon j¢."
"Comrade","Elvt rs"
"Your dreams will come true.","Az  lmaid val¢ra v lnak."
"is quite mocking in tone","hangv‚tele meglehet‹sen g£nyos"
"'s onslaught","t mad sa"
"geography:form:atlas","f”ldrajz:form tum:atlasz"
"State minor feeling of love","Enyhe szerelmi ‚rz‚s"
"'s location","helye"
"I'm very lonely.","Nagyon mag nyos vagyok."
"active performance poem reciter","akt¡v el‹ad¢-szaval¢"
"State minor feeling of gloom","Enyhe lehangolts g"
" recitation of "," felolvas sa "
"has high cheekbones","magas arccsontja van"
"philosophy:specialized:politics social welfare","filoz¢fia:szakir ny:politika ‚s szoci lis j¢l‚t"
"a noted flatterer","egy h¡res h¡zelg‹"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]A z¢n k[C:7:0:0] elhelyez‚se nagyj b¢l megegyezik a [C:6:0:0]k‚szletek[C:7:0:0] elhelyez‚s‚vel. "
"Mandate period (more = fewer)","A mand tum id‹tartama (min‚l hosszabb, ann l r”videbb)"
"Nonsense","Hlyes‚g"
"mathematics:geometry:pythagorean triples small","matematika:geometria:Pitagorasz-h rmasok (kicsi)"
"the construction and use of the flask","a lombik elk‚sz¡t‚se ‚s haszn lata"
" Floor Grate"," Padl¢r cs"
"greedier","kapzibb"
"a theft","lop s"
"Resourcefulness","Tal l‚konys g"
"the enactment of a series of oppressive laws","egy sor elnyom¢ t”rv‚ny elfogad sa"
"medicine:theory:disease classification","orvostudom ny:elm‚let:betegs‚gek oszt lyoz sa"
"the struggle for survival","a t£l‚l‚s‚rt folytatott kzdelem"
"the construction and use of the astrarium","az asztr rium fel‚p¡t‚se ‚s haszn lata"
"ladies","h”lgyek"
"profaned","megszents‚gtelen¡tett"
"has a large body but is incredibly skinny","nagy testalkat£, de hihetetlenl sov ny"
"is lanky and frail","ny£l nk ‚s t”r‚keny"
" boldly, even if it would offend an average sense of modesty"," mer‚szen, m‚g akkor is, ha ez s‚rten‚ az  tlagos szem‚rmess‚g‚rzetet"
"skip","kihagy s"
"That's suspicious!","Ez gyan£s!"
"has an extremely broad body with lots of fat on it","rendk¡vl sz‚les testû, ‚s rengeteg zs¡r bor¡tja"
"Dirt Road","F”ld ét"
"the causes of historical events","a t”rt‚nelmi esem‚nyek okai"
"You are nauseated.","H nyingered van."
"was a spectacular failure","l tv nyos kudarc volt"
"Give me a break.","Ne m r!"
"Cloth Workshop","Sz”vetmûhely"
"d strongly favored","d hat rozottan t mogatta"
"the taming of the ","a megszel¡d¡t‚se a "
"Engravers","V‚s‹k"
"grieved","megs‚rtett"
" partially free of the web."," r‚szben mentes a h l¢t¢l."
" mounts "," tart¢k "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","Nem sikerlt megtal lni a CREATURE_CASTE_GRAPHICS l‚nyt¡pust "
"Traits","Jellemvon sok"
" to live a life of adventure"," kalandos ‚letet ‚lni"
"gets distracted from conversations easily when ","k”nnyen elterel‹dik a figyelme a besz‚lget‚sek sor n, amikor "
" weapons"," fegyverek"
" superiorly designed"," kiv l¢an megtervezett"
"Move keyboard cursor down (z)","A billentyûzet kurzor nak lefel‚ mozgat sa (z)"
"I'm not worried.","Nem agg¢dom."
"great creativity","rendk¡vli kreativit s"
"gave food","‚telt adott"
"a castle wall","egy v rfal"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Az elm‚lked‚sre sz nt id‹ dics‚retes dolog, de nem szabad elfelejtened, hogy ‚lned is kell az ‚letedet."
"tuning","hangol s"
"the notion of bonds between members of a community","a k”z”ss‚g tagjai k”z”tti k”tel‚kek fogalma"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","Itt k‚sz¡thet‹k a balliszt k ‚s a katapultok alkatr‚szei.  Ebben a mûhelyben szerelik ”ssze a balliszt k l‹szer‚t is."
"legendary bully","legend s zsarnok"
"has a small build and is very weak and incredibly skinny","kicsi termetû, nagyon gyenge ‚s hihetetlenl sov ny"
"Remote: ","T vir ny¡t¢: "
"Pike","Pika"
"being rescued","megment‚se"
"Default attack is a wrestling move.","Az ,,Alap t mad s"" egy birk¢z¢mozdulat."
"superior quality ","kiv l¢ min‹s‚g "
"being forced to endure the decay of an acquaintance","k‚nytelen vagy v‚gign‚zni egy ismer‹s”d hanyatl s t"
"Enemy/merchant trade trigger 5","Ellens‚ges/kereskedelmi triggerek 5."
"The victory was shared by ","A gy‹zelmet megosztott k "
"Acknowledge lack of bitterness","Ismerd el, hogy nincs benned keserûs‚g"
"extremely low","rendk¡vl alacsony"
" because you are swimming."," mert £szol."
"Verbally struggle against great dismay","Szavakkal kzdjnk a m‚ly csgged‚s ellen"
" talents and accomplishments"," tehets‚gek ‚s eredm‚nyek"
"the Secret","A titok"
"dream"," lom"
"item was favorite possession","az a t rgy volt a legkedvesebb tulajdona"
"You conclude your performance.","Befejezed az el‹ad sod."
" told the story of "," elmes‚lte a t”rt‚net‚t "
"trapped in cage","ketrecbe z rva"
"[C:1:0:1]Drowsy","[C:1:0:1]µlmos"
"brawler","vereked‹"
"Bypass greeting (new menu)","šdv”zl‹zenet kihagy sa (£j men)"
"history:sourcing:role of systemic bias","t”rt‚nelem:forr sok:a rendszerszintû elfogults g szerepe"
"I realized ","R j”ttem, hogy "
", replacing ",", helyette "
"Workers ignore wood","A munk sok nem t”r‹dnek a f val"
" log"," napl¢"
" perpetrated "," elk”vetett "
"often lowers ","gyakran cs”kkenti "
"We are besieged by a terrifying monster from the harshest wilderness.","A legzordabb vadonb¢l ‚rkezett egy f‚lelmetes sz”rnyeteg, amely ostrom al  vett minket."
"I ate at a crowded table.","Egy zs£folt asztaln l ettem."
" pushes"," nyom sok"
"I feel such sympathy!","Annyira egytt‚rzek vele!"
"River Source","A foly¢ forr sa"
" needs alcohol to get through the working day"," alkoholra van szks‚ge ahhoz, hogy  tv‚szelje a munkanapot"
"Monk","Szerzetes"
" in search of excitement"," izgalomra v gyva"
"began to skulk and brood","elkezdett bujk lni ‚s merengeni"
"No members","Nincsenek tagok"
"is very polite and observes appropriate rules of decorum when possible","nagyon udvarias, ‚s amennyiben lehets‚ges, betartja a megfelel‹ illemtan szab lyait"
"disillusioned","ki br ndult"
"Regions","R‚gi¢k"
" due to "," mivel "
"a tribute agreement","egy tiszteletad sr¢l sz¢l¢ meg llapod s"
" throughout "," v‚gig "
"Disdains commerce","Megveti a kereskedelmet"
"giving somebody food","valakinek ‚telt adni"
"The musician can alter the pitch of ","A zen‚sz megv ltoztathatja a hangmagass g t "
"Carve fortification","Carve er‹d¡tm‚ny"
" and the "," ‚s a "
"things...  certain things","dolgok...  bizonyos dolgok"
"Stone/clay","K‹/agyag"
"Date: ","D tum: "
"""Leave me.  I need... ",",,Hagyj b‚k‚n. Szks‚gem van... "
"Rotten tissue excised from ","A k”vetkez‹b‹l elt vol¡tott elhalt sz”vet: "
"All I see here is not enough.","Amit itt l tok, az nem el‚g."
"negotiate","t rgyalni"
"considers spending time alone much more important than associating with others","sokkal fontosabbnak tartja, hogy id‹t t”lts”n egyedl, mint hogy m sokkal t rsalogjon"
"Lover of ","A... szerelmese "
"stole treasure from","kincset lopott el"
"Predator and Prey","Ragadoz¢ ‚s zs km ny"
" masterfully dyed with "," mesteri m¢don festve "
", once of the Underworld.  ",", aki egykor az Alvil ghoz tartozott.  "
", is it really you?",", t‚nyleg te vagy az?"
" own wellbeing, having no interest in material goods"," saj t j¢l‚te, az anyagi javak ir nti ‚rdekl‹d‚s hi nya"
"[C:2:0:1]Spring","[C:2:0:1]Tavasz"
"State feelings of great dislike","Er‹s ellenszenv kifejez‚se"
"I must let grief pass me by.","Hagynom kell, hogy a b nat elhaladjon mellettem."
"An important decision awaits your careful deliberation.","Egy fontos d”nt‚s v rja, hogy alaposan  tgondold."
"subdued","visszafogott"
"regretful","sajn lkoz¢"
"vengefulness","bossz£v gy"
"tetrachord","tetrakord"
"the color ","a sz¡n "
"  Effective pressure to comply came from co-conspirators surrounding ","  A szab lyok betart s ra ir nyul¢ t‚nyleges nyom s a k”rl”tte l‚v‹ ”sszeeskv‹kt‹l sz rmazott "
"A great beast threatens to bring ruin upon our people.","Egy hatalmas sz”rnyeteg azzal fenyeget, hogy pusztul st hoz n‚pnkre."
"State minor feeling of worry","Enyhe aggodalom ‚rz‚se"
"A snow storm has come.","H¢vihar t madt."
"<invalid start> ","<‚rv‚nytelen kezdet> "
"Classic varied ground tiles","Klasszikus, v ltozatos mint zat£ padl¢lapok"
"striking a triumphant pose","diadalmas p¢zba v gja mag t"
"Grab Weapon","Fegyvert ragadni"
"feel agitated","izgatottnak ‚rzem magam"
"Throwing tantrum","Hiszti"
"gelder","p‚nz"
"would be lanky were it not for the massive muscles and slabs of lard","ha nem lenn‚nek rajta azok a hatalmas izmok ‚s zs¡rr‚tegek, akkor ny£l nk lenne"
" refused an offer of peace from "," elutas¡totta a b‚keaj nlatot, amelyet "
"Site","Weboldal"
" natural aversion to the adversary's inherent association with "," a veleszletett ellenszenv az ellenf‚l ir nt, ami abb¢l fakad, hogy az "
"finds those that engage in trade and commerce to be fairly disgusting","meglehet‹sen visszatasz¡t¢nak tartja azokat, akik kereskedelemmel ‚s zleti tev‚kenys‚ggel foglalkoznak"
"the departure of","a t voz sa"
"Seriously injured","S£lyosan megs‚rlt"
"a shockingly profound feel for social relationships","megd”bbent‹en m‚ly ‚rz‚k a t rsadalmi kapcsolatok ir nt"
"Temperate Brackish Pool","M‚rs‚kelt enyh‚n s¢s vizû medence"
