"World","Mundo"
"ill-sized art actions (6): ","acciones artísticas de mal tamaño (6): "
"Random Buffer Overload","Sobrecarga aleatoria de búfer"
"noisy","Ruidoso"
"full","Lleno"
"sharp","Afilado"
"choppy","agitado"
"steady","estable"
"evolving","evolucionando"
"bright","Brillante"
"breathy","correntoso"
"mellow","meloso"
"wobbling","tambaleante"
"focused","Concentrado"
"even","par"
"vibrating","Vibrante"
"quavering","tembloroso"
"eerie","espeluznante"
"fragile","frágil"
"brittle","frágil"
"pure","puro"
"piercing","perforación"
"strident","estridente"
"wavering","ondulante"
"harsh","duro"
"reedy","chillon"
"buzzy","zumbido"
"rough","Tosco"
"warm","cálido"
"rugged","rugoso"
"heavy","Pesado"
"flat","plano"
"crisp","crocante"
"sonorous","sonoro"
"gentle","Amable"
"slicing","rebanando"
"liquid","liquido"
"raucous","ruidoso"
"breezy","ventoso"
"raspy","rasposo"
"wispy","fino"
"shrill","estridente"
"rich","Rico"
"dull","aburrido"
"floating","flotante"
"ringing","zumbido"
"resonant","resonante"
"sweet","Dulce"
"rippling","zumbido"
"sparkling","chispiante"
"hero","héroe"
"animal partner","compañero animal"
"brawler","luchador"
"psycho","psicópata"
"trade partner","socio comercial"
"information source","Fuente de información"
"storyteller","narrador"
"preacher","predicador"
"poet","poeta"
"bard","bardo"
"dancer","bailarín"
"friendly","amigable"
"killer","asesino"
"hunter","guardabosques"
"murderer","homicida"
"comrade","camarada"
"respected group","grupo respetado"
"hated group","grupo odiado"
"enemy fighter","combatiente enemigo"
"friendly fighter","combatiente amistoso"
"bully","matón"
"brigand","bandolero"
"loyal soldier","soldado leal"
"quarreler","pendenciero"
"flatterer","adulador"
"protector of weak","protector del débil"
"treasure hunter","cazador de tesoros"
"preserver of knowledge","preservador de conocimiento"
"thief","ladrón"
"Button","Botón"
"tanner","curtidor"
"Site","sitio"
"Civ Zone ","zona civilizada "
"Vanilla Descriptors Graphics","Graficos de Descriptores Vainilla"
"Vanilla Plants Graphics","Graficos de Plantas Vainilla"
"Vanilla Items Graphics","Graficos de Objetos Vainilla"
"Vanilla Buildings Graphics","Graficos de Edificios Vainilla"
"Vanilla Creatures Graphics","Graficos de Criaturas Vainilla"
"patching corruption: item off-loaded and also in play: ","Corrección de parches: objeto descargado y también en juego: "
"** Loading Fortress **","** Cargando Fortaleza **"
"Repairing squad info for Unit #","Reparando la información del equipo para la Unidad"
"cry on boss","llorar sobre el jefe"
"have corrupt feature map at ","tiene un mapa de caracteríscas corrupto en "
"Loading world to start new game","Cargando mundo para comenzar un nuevo juego"
"Loading object files...  ","Cargando archivos de objetos... "
"Sorting text...","Clasificando texto..."
"Sorting material templates...","Clasificando plantillas de materiales..."
"Sorting inorganics...","Clasificando inorgánicos..."
"Sorting plants...","Clasificando Plantas..."
"Sorting tissue templates...","Clasificando plantillas de tejido..."
"Sorting items...","Clasificando Objetos..."
"Sorting buildings...","Clasificando Construcciones..."
"Sorting body detail plans...","Clasificando planos de detalle cuerpo..."
"Sorting creature bodies...","Clasificando cuerpos  de  las criaturas..."
"Sorting creature variations...","Clasificando variaciones de la criaturas..."
"Sorting creatures...","Clasificando Criaturas..."
"Sorting entities...","Clasificando Entidades..."
"Sorting languages...","Clasificando idiomas..."
"Sorting descriptors...","Clasificando descriptores..."
"Sorting reactions...","Clasificando Reacciones..."
"Sorting interactions...","Clasificando Interacciones..."
"Sorting music...","Clasificando música..."
"Sorting sounds...","Clasificando sonidos..."
"Processing languages...","Procesando idiomas..."
"Processing inorganics...","Procesando inorgánicos..."
"Processing plants...","Procesando plantas..."
"Processing items...","Procesando objetos..."
"Processing creatures...","Procesando criaturas..."
"Processing entities...","Procesando entidades..."
"Processing reactions...","Procesando reacciones..."
"Processing interactions...","Procesando interacciones..."
"Processing music...","Procesando música..."
"Processing sounds...","Procesando sonidos..."
"Generating inorganics...","Generando inorgánicos..."
"Generating plants...","Generando plantas..."
"Generating items...","Generando items..."
"Generating creatures...","Generando criaturas..."
"Generating entities...","Generando entidades..."
"Generating reactions...","Generando reacciones..."
"Generating interactions...","Generando interacciones..."
"Finalizing generated objects...","Finalizando objetos generados..."
"Preparing graphics...  ","Preparando gráficos... "
"Loading items...","Cargando items..."
"Loading buildings...","Cargando construcciones..."
"Loading entities...","Cargando entidades..."
"Loading coin information...","Cargando información de monedas..."
"Loading map data...","Cargando datos del mapa..."
"Loading civilized populations...","Cargando poblaciones civilizadas..."
"Loading history...","Cargando historia..."
"Loading parameters...","Cargando parámetros..."
"Loading artifacts...","Cargando artefactos..."
"Loading active historical figures...","Cargando figuras históricas activas..."
"Loading squads...","Cargando escuadrones..."
"Loading formations...","Cargando formaciones"
"Loading activities...","Cargando actividades..."
"Loading interactions...","Cargando interacciones..."
"Loading written content...","Cargando contenido escrito..."
"Loading identities...","Cargando identidades..."
"Loading incidents...","Cargando incidentes..."
"Loading crimes...","Cargando crímenes..."
"Loading vehicles...","Cargando vehículos..."
"Loading armies...","Cargando tropas..."
"Loading army controllers...","Cargando los controladores del ejército..."
"Loading tracking information...","Cargando seguimiento de información..."
"Loading cultural identities...","Cargando identidades culturales..."
"Loading agreements...","Cargando acuerdos..."
"Loading art forms...","Cargando formas de arte..."
"Loading occupations...","Cargando ocupaciones..."
"Loading belief systems...","Cargando sistemas de creencias..."
"Loading image sets...","Cargando conjuntos de imágenes..."
"Loading divination sets...","Cargando conjuntos de adivinación..."
"Rebuilding temporary information...","Reconstrucción de información temporal..."
"Preparing game...","Preparando juego..."
"Failed!","Fracasado!"
"Loading world and continuing active game","Cargando mundo y continuando el juego activo"
"Loading units...","Cargando unidades..."
"Loading jobs...","Cargando trabajos..."
"Loading schedules...","Cargando horarios..."
"Loading projectiles...","Cargando projectiles..."
"Loading machines...","Cargando máquinas..."
"Loading flow guides...","Cargando guías de flujo..."
"Loading effects...","Cargando efectos..."
"Loading local animal populations...","Cargando poblaciones de animales locales..."
"Loading events...","Cargando eventos..."
"Loading mandates...","Cargando mandatos..."
"Loading work quotas...","Cargando cuotas de trabajo..."
"Loading world events...","Cargando eventos del mundo..."
"Loading announcements...","Cargando anuncios..."
"Loading fortress information...","Cargando información de la fortaleza..."
"Loading world information...","Cargando información del mundo..."
"Loading adventure...","Cargando aventura..."
"Loading general information...","Cargando información general..."
"Rebuilding more temporary information...","Reconstrucción de información más temporal..."
"Preparing game screen...","Preparando pantalla de juego..."
"Handling compatibility issues...","Manejo de problemas de compatibilidad..."
" and found nothing"," y no encontrar nada"
"Newer compatible version of mod detected:","Nueva versión compatible de mod detectada:"
" (save uses "," (guardar usos "
", not found",",no encontrado"
"Update","Actualizar"
"Update all","Actualizar todo"
"Don't update","No actualizar"
"Don't update any","No actualizar ninguno"
"Back to title","Volver al título"
"Failed to find compatible mod:","No se pudo encontrar el mod compatible:"
"Failed to install mod:","No se pudo instalar el mod:"
"it appears to be closely related to every other of its kind","parece estar estrechamente relacionado con todos los demás de su clase"
"processable (to barrel) ","procesable (a barril) "
"after a joyous reunion","después de una divertida reunión"
"the word","la palabra"
"menacing","amenazador"
"submitting","sumisión"
"offended","ofendido"
"plaintive","lastimero"
"triumphant","triunfante"
" Outpost Revisited:[C:7:0:0]  You have returned. "," Puesto de avanzada revisado:[C:7:0:0]  Has regresado. "
"How have your sturdy charges fared in your absence? ","¿Cómo les ha ido a sus robustos cargos en tu ausencia? "
"Have they gone on adventures or moved on to richer delving at new frontier settlements? ","¿Se han ido de aventuras o se han movido a excavaciones más ricas en nuevos asentamientos fronterizos? "
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Tal vez todavía estén todos aquí, sin querer dejar la magnífica fortaleza que les preparaste. "
"Deep underground, the promise of treasure and the thrill of overcoming danger have lured you back to this place.  Will you strike the earth again?","En las profundidades subterráneas, la promesa de un tesoro y la emoción de superar el peligro te han atraído de vuelta a este lugar. ¿Volverás a golpear la tierra?"
" Outpost:[C:7:0:0]  You have arrived.  After a journey from the Mountainhomes into the forbidding wilderness beyond, your harsh trek has finally ended.  Your party of seven is to make an outpost for the glory of all of "," Puesto avanzado:[C:7:0:0] Has llegado. Después de un viaje desde El Hogar de la Montaña hasta la inhóspita naturaleza más allá, tu duro viaje finalmente ha terminado. Tu grupo de siete es hacer un puesto de avanzada para la gloria de todos "
"There are almost no supplies left, but with stout labor comes sustenance.  Whether by bolt, plow or hook, provide for your ","Casi no quedan suministros, pero con el trabajo duro viene el sustento. Ya sea con cerrojo, arado o gancho, prevea su "
"charges","cargos"
".  You are expecting a supply caravan just before winter entombs you, but it is Spring now.  Enough time to delve secure lodgings, ere the ",".Estás esperando una caravana de suministros justo antes de que el invierno te sepulte, pero ahora es primavera. Tiempo suficiente para buscar alojamientos seguros, antes de que "
" get hungry. "," tener hambre. "
"A new chapter of dwarven history begins here at this place, ","Un nuevo capítulo de la historia de los enanos comienza aquí en este lugar, "
""".  [C:2:0:1]Strike the earth![C:7:0:0]",""". [C:2:0:1]¡Golpea la tierra![C:7:0:0]"
" by a dead spouse"," por el conyuge muerto"
"  Offloading units... "," Descargando unidades... "
"  Offloading units...  "," Descargando unidades... "
"No slabs engraved","Losas no grabadas"
"Ghost","Ánima"
" slabs engraved"," losas grabadas"
"Slab engraved","Losas grabadas"
"Not memorialized","No conmemorado"
"Entombed and memorialized","Enterrado y conmemorado"
"Memorialized","Conmemorado"
" (opens menu)"," (abre el menú)"
"Weapons and Ammunition","Armas y municiones"
"Siege Equipment","Equipamiento de asedio"
"Other Objects","Otros Objetos"
"Metal Clothing","Ropa de metal"
"Engrave Memorial Slab","Grabar la Losa Conmemorativo"
"[Requires fuel]","[Requiere combustible]"
"[Requires ore]","[Requiere mineral]"
"[Requires ore, fuel]","[Requiere mineral, combustible]"
"[Requires ","[Requiere "
"finds helping others very emotionally rewarding","encuentra que ayudar a los demás es muy gratificante emocionalmente"
"Entombed","Enterrado"
"slab engraved","losa grabada"
"no slabs engraved","sin losas grabadas"
"witnessed blood drinking in incident","presenciado bebiendo sangre en el incidente"
" scale is "," escala es "
"Unable to create texture!","¡Incapaz de crear textura!"
"INIT FAILED!","¡INIT FALLIDO!"
"wooden body part","parte del cuerpo de madera"
"Mausoleum","Mausoleo"
"Fishing/Related","Pesca/Relacionado"
"New window size: ","Nuevo tamaño de ventana: "
"Resizing grid to ","Re dimensionar cuadricula "
"Resetting textures","Reiniciando texturas"
"EMERGENCY: Unknown case in async_wait","EMERGENCIA: Caso desconocido en async_wait"
"TEXT not supported on windows","TEXTO no soportado en windows"
"Button ","Botón "
"Loading bindings from ","Cargando teclas de "
"list too long","lista demasiado larga"
"Broken repeat request: ","Solicitud de repeticion rota "
"Unknown SDLKey: ","SDLKey deconocido: "
"Broken unicode: ","Unicode roto: "
"Unknown binding: ","Ligadura desconocida: "
"Saving bindings to ","Guardando teclas a "
"Binding name unknown while loading macro: ","Nombre de atajo desconocido mientras se cargaba macro: "
"Binding missing while loading macro: ","Atajo perdido mientras se cargaba macro: "
"Quantity not numeric or Unexpected tab(s) while loading macro: ","Cantidad no numérica o Pestaña(s) inesperada(s) mientras se cargaba macro: "
"stopped traveling with","dejó de viajar con"
" associating armor out of range: "," asociando armadura fuera de alcance: "
" associating pants out of range: "," asociando pantalones fuera de rango: "
" associating helm out of range: "," asociando timón fuera de alcance: "
" associating shoes out of range: "," asociando zapatos fuera de rango: "
" associating gloves out of range: "," asociando guantes fuera de rango: "
"added masterful cloth","añadida tela magistral"
" Crafts"," Artesanías"
" Logs"," Troncos"
"Prepared Food","Comida Preparada"
"--- Logging Entity ","--- Cargando Entidad "
"has negative foreground color, set to 7","tiene un color de primer plano negativo, establecer en 7"
"has foreground color > 7, set to 7","tiene color de fondo> 7, establecido en 7"
"has negative background color, set to 0","tiene un color de fondo negativo, fijar en 0"
"has background color > 7, set to 0","tiene un color de fondo > 7, establecer en 0"
"has invalid brightness value (must be 0 or 1), set to 0","tiene un valor de brillo inválido (debe ser 0 o 1), fijar en 0"
"has equal foreground/background colors without brightness, background set to 0","tiene los mismos colores de primer plano/fondo sin brillo, el fondo se establece a 0"
": Negative precedence changed to zero",": Precedencia negativa cambiada a cero"
": Precedence exceeding ",": Precedencia excediéndose "
" capped"," A tope"
"Gem shape not found: ","Forma de gema no encontrada: "
"Stone shape not found: ","Forma de piedra no encontrada: "
"leaders","liders"
"bosses","jefes"
"chief","Jefe"
"chiefs","Jefes"
"chieftess","Jefa"
"chieftesses","Jefas"
"captain","capitan"
"captains","capitanes"
"commander","comandante"
"commanders","comandantes"
"ringleader","Lider de anillo"
"ringleaders","Líderes de anillo"
"warlord","Jefe militar"
"warlords","Jefes militares"
"chieftain","Jefazo"
"chieftains","Jefazos"
"soldier","soldado"
"soldiers","soldados"
"generals","generales"
"lord ","señor "
" master"," maestro"
" masters"," maestros"
" commanders"," comandantes"
"Grandmaster","Gran Maestro"
"Captain","Capitan"
"Sergeant","Sargento"
"Soldier","Soldado"
"Initiate","Iniciado"
"axe","Hacha"
"sword","espada"
"blade","hoja"
"mace","maza"
"hammer","martillo"
"spear","lanza"
"crossbow","ballesta"
"pike","pica"
"whip","latigo"
"lash","azote"
"bow","arco"
"blowgun","cerbatana"
"grappling","aferramiento"
"slow to heal","tarda en sanar"
"Bearer","Portador"
"Exalted","Exaltado"
"Ultimate","Definitivo"
"Perfect","Perfecto"
"Right shoulder","Hombro derecho"
" Degree"," Grado"
" Rank"," Rango"
" Master"," Maestro"
" Adept"," Adepto"
" Bearer"," Portador"
" Novice"," Novato"
"up the stairs","subiendo las escaleras"
", the door on your right",", la puerta a tu derecha"
", the door on your left",", la puerta a tu izquierda"
", the ",", el/la "
" door"," puerta"
" on your right"," a tu derecha"
" on your left"," a tu izquierda "
", at the end of the hall",", al final del pasillo"
" millstone"," piedra de molino"
"treasurer","tesorero"
"treasurers","tesoreros"
"most sacred ","mas sagrado "
"most holy ","mas sagrado "
"most exalted ","mas exaltado "
"absolute ","absoluto "
"most high ","mas alto "
"most high priest","altisimo sumo sacerdote"
"most high priests","altisimos sumos sacerdotes"
"baron","barón"
"barons","barones"
"baroness","baronesa"
"baronesses","baronesas"
"baron consort","barón consorte"
"barons consort","barones consorte"
"baroness consort","baronesa consorte"
"baronesses consort","baronesa consorte"
"The musician blows over a single reed at one end","El músico sopla sobre una sola caña en un extremo"
"Murder-target mismatch: year ","Desajuste asesinato-objetivo: Año "
", entity #",", entidad #"
"law-giver","legislador"
"law-givers","legisladores"
"war leader","Líder de guerra"
"war leaders","Lideres de guerra"
"constable","alguacil"
"constables","alguacil"
"field ","campo "
"marshal","mariscal"
"marshals","mariscales"
"head ","cabeza "
"royal ","real "
"chief ","jefe "
"keeper of the seal","protector del sello"
"keepers of the seal","protectores del sello"
"chancellor","canciller"
"chancellors","cancilleres"
"justiciar","justiciero"
"justiciars","justicieros"
"advisor","asesor"
"advisors","asesores"
"counselor","consejero"
"counselors","consejeros"
"chamberlain","chambelan"
"chamberlains","chambelanes"
"master of beasts","senor de las bestias"
"masters of beasts","senores de las bestias"
"cup-bearer","portador de la copa"
"cup-bearers","portadores de la copa"
"butler","mayordomo"
"butlers","mayordomos"
"executioner","verdugo"
"executioners","verdugos"
"chef","cocinero"
"chefs","cocineros"
"housekeeper","limpiador"
"housekeepers","limpiadores"
"sewer","alcantarillado"
"harvest","cosecha"
"grain","grano"
"magistrate","magistrado"
"magistrates","magistrados"
"justices","jueces"
"judge","juez"
"judges","jueces"
"road","carretera"
"bridge","puente"
" administrator"," administrador"
" administrators"," administradores"
" caretaker"," cuidador"
" caretakers"," cuidadores"
" official"," oficial"
" officials"," oficiales"
" commissioner"," notario"
" commissioners"," notarios"
"abbot","abad"
"abbots","abades"
"good creativity","buena creatividad"
"very quick to tire","muy rápido para cansarse"
"the exploration of how history would be different if some key past events had transpired differently","la exploración de como la historia podría haber sido diferente algunos momentos pasados clave hubieran transcurrido diferentemente"
"the Murk","la oscuridad"
"failure to get start square construction for transport link","Falla para conseguir empezar la construcción cuadrada para transportar links"
"failure to get end square construction for transport link","Falla para conseguir terminar la construcción cuadrada para transportar links"
"midmap construction path build failure","Falla de construcción del camino del mapa mental"
"Entity ","Entidad "
" has self-referential diplomacy state"," tiene un estado diplomático autorreferencial"
"Leather armor","Armadura de cuero"
"Metal armor","Armadura de metal"
"doyen","decano"
"doyens","decanos"
"doyenne","decana"
"doyennes","decanas"
"dean","decano"
"deans","decanos"
"recordkeeper","administrador"
"recordkeepers","administradores"
"bookkeeper","contable"
"bookkeepers","contables"
"clerk","empleado"
"clerks","empleados"
"steward","mayordomo"
"stewards","mayordomos"
"alderperson","concejal"
" has assumed the position of "," asumió la posición de "
