"more presumptious","domìçlivØjç¡"
"After a long journey, you are here to meet your most trusted companion.","Po dlouh‚ cestØ jsi zde, abys potkal sv‚ho nejd…vØryhodnØjç¡ho druha."
"after being away from family","po odlouŸen¡ od rodiny"
"interacting with a pet","interakce s mazl¡Ÿkem"
" starts to mutter under "," zaŸne si mumlat pod "
"Tools","N stroje"
"Chase Opponent Flood","Pron sledovat protivn¡ka (n por)"
"Extract from raw fish","Extrahovat ze syrov‚ ryby"
"In party: ","Ve skupinØ: "
"  [C:2:0:1]You have been ordered to kill this creature.","  [C:2:0:1]Dostal jsi rozkaz tohoto tvora zab¡t."
"presents a different view of the subject of","pýedstavuje jinì pohled na t‚ma"
"a strengthening ","pos¡len¡ "
"This","Tato"
"'s acceptance of ","akceptace "
"the surrounding area","okoln¡ oblasti"
"is grounded in reality","stoj¡ pevnØ nohama na zemi"
"This is love.","Tohle je l ska."
"the collision of ","sr §ka "
" near magma"," u magmatu"
"really slow to heal","velmi pomalu se hoj¡"
"sticks","paliŸky"
"exchange","vymØnit"
"Up/Down Stair","Schody nahoru/dol…"
"Huge Profile","Velikì profil"
"Excellent","Vynikaj¡c¡"
"novel","rom n"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","Vyber sklad, se kterìm bude vozidlo kolejiçtn¡ zast vky vymØåovat pýedmØty.  Vozidlo odebere po§adovan‚ pýedmØty a ostatn¡ vylo§¡."
"Forbid trap cleaning during sieges","Z kaz ŸiçtØn¡ past¡ bØhem obl‚h n¡"
"It makes me very anxious.","To mØ velmi znerv¢zåuje."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","Ano, a budeme obchodovat! StaŸ¡ mi ý¡ct, co v s zaj¡m  a co jste ochotni nab¡dnout vìmØnou."
"believes that the time taken to master a skill is a horrible waste","vØý¡, §e Ÿas vØnovanì zvl dnut¡ dovednosti je straçliv  ztr ta"
"grow funding network","rozç¡ýit s¡œ financov n¡"
", but it passes right through!",",ale proçlo to pý¡mo skrz!"
"doesn't respect a society that has settled into harmony without debate and strife","nerespektuje spoleŸnost, kter  dos hla harmonie bez debat a konflikt…"
"al voices bring melody, counterpoint and rhythm","vçechny hlasy pýin çej¡ melodii, kontrapunkt a rytmus."
"is tiny and weak","je titØrnì a slabì"
"the divergence of the harmonic series","divergence harmonick‚ ýady"
"Charge Attack","étoŸnì vìpad"
"It is an example of ","Je to pý¡klad "
"Crushed under a collapsing ceiling","RozmaŸk n zý¡cenìm stropem"
"Cannot chop tree","Nelze pok cet strom"
"Certainly considered a bully","JistØ pova§ovanì za tyrana"
"Guilty","Vinnì"
"the construction and use of the water-powered trip hammer","stavba a pou§it¡ vodou poh nØn‚ho bucharu"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Pýiprav se v‚st sv‚ statn‚ svØýence k bohatstv¡ ve svØtØ pln‚m nebezpeŸ¡. "
"groups","skupiny"
"strings vibrate","struny vibruj¡"
"I was yelled at by an unhappy citizen.","KýiŸel na mØ neçœastnì obŸan."
"high-voiced","s vysokìm hlasem"
"Others were too wary to make the journey.","Ostatn¡ byli pý¡liç ostra§it¡, aby se vydali na cestu."
"Acknowledge lack of joy","Konstatovat nepý¡tomnost radosti"
"zaniness","potrhlost"
" was claimed"," bylo n rokov no"
"is never moved by the emotions of others","nikdy nen¡ pohnut emocemi ostatn¡ch"
"be moderately loud","stýednØ hlasit "
"Order listener to ","Pýik zat posluchaŸi "
"finds leisure time wasteful","pova§uje volnì Ÿas za zbyteŸnì"
"Loading work quotas...","NaŸ¡t n¡ pracovn¡ch kv¢t..."
", rather than walking leisurely.""",", m¡sto abys çel pohodovìm tempem.\"
"Cannot generate random creatures -- missing creature variation ","Nelze generovat n hodn  stvoýen¡ - chyb¡ variace tvor… "
"a murder","vra§du"
"State minor feeling of vengefulness","Vyj dýit m¡rnou touhu po pomstØ"
"Acknowledge lack of wonder","Konstatovat nepý¡tomnost £§asu"
"events","ud losti"
"You begin","ZaŸ¡n ç"
"thrilled","nadçenì"
"ash","popel"
"a foiled corruption conspiracy","zmaýen‚ho korupŸn¡ho spiknut¡"
"amber","jantar"
"being unable to find somebody to complain to about job scarcity","neschopnost naj¡t nØkoho, komu si postØ§ovat na nedostatek pr ce"
"various civilized races peopled the world.","svØt obìvaly r…zn‚ civilizovan‚ rasy."
"Children.","DØti."
"more wasteful","plìtvavØjç¡"
"Investigate or interrogate (new menu)","Vyçetýovat nebo vyslìchat (nov‚ menu)"
" from a period of no rule"," z obdob¡ bez vl dy"
" second"," druh‚"
"wait","Ÿekat"
"has a narrow, prominent","m  £zkou, vìraznou"
"to beseech","k prosbØ"
"Collapsed","Zý¡til se"
"engineering:machine:piston","in§enìrstv¡:stroje:p¡st"
"Click a creature to start a new conversation","Klikni na tvora pro zah jen¡ nov‚ konverzace"
"Furniture/siege ammo","N bytek/stýelivo"
"/E","/V"
"to bathe the world in chaos","ponoýit svØt do chaosu"
"Requests (Imports from ","Po§adavky (Importuje z "
"surveying by triangulation for engineering projects","triangulaŸn¡ mØýen¡ pro in§enìrsk‚ projekty"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please.","  K‚§ bych v m mohl ý¡ci, kde zaŸ¡t hledat.  Do t‚ doby jste svobodn¡ dØlat, co uzn te za vhodn‚."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].Pýekrìvaj¡c¡ se zlomenina"
"Shrub","Keý"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: M…§eme se rozlouŸit s nejvìçe "
"Make Caves Visible","Zviditelnit jeskynØ"
" has calmed down."," se uklidnil."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","pova§uje za nesm¡rnØ d…le§it‚ zachovat odv §nou tv ý a nikdy nereptat, nestØ§ovat si ani neprojevovat emoce"
"Leave Wall","Opustit zeÔ"
"medicine:theory:classification of bodily fluids","medic¡na:teorie:klasifikace tØln¡ch tekutin"
"Shake ","Tý st "
"Associated","Asociovanì"
"Avoid conflict today.","Vyhni se dnes konfliktu."
"Returning soldiers bring rumor(s)","Vr tivç¡ se voj ci pýinesli zvØsti"
"has a fairly deep and raspy voice","m  pomØrnØ hlubokì a chraplavì hlas"
" bag is used by the musician to control the steady flow of air through the instrument.]"," mØch slou§¡ hudebn¡kovi k udr§en¡ st l‚ho proudu vzduchu n strojem.]"
"You feel hot/cold","C¡t¡ç horko/chlad"
"drinking without well","pije bez studny"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","PýiýaÔ rozkaz k obranØ nory.  Voj ci budou noru hl¡dat a £toŸit na jak‚koli nepý telsk‚ tvory."
"Forceps","KleçtØ"
"tanned","ŸinØn‚"
"Mount ","Hora "
"engineering:optics:theory of rainbows","in§enìrstv¡:optika:teorie duhy"
" terrified"," vydØçenì"
" promised "," sl¡bil(a) "
"Invaders can dig natural walls","étoŸn¡ci mohou kopat pý¡rodn¡ zdi"
"No item to throw","Nen¡ co hodit"
"being tormented in nightmares by a dead sibling","bìt v noŸn¡ch m…r ch trìznØn mrtvìm sourozencem"
"The guildhall petition by ","Petice na guildovn¡ s¡å od "
"Surgeon","Chirurg"
"mathematics:algebra:divergence of harmonic series","matematika:algebra:divergence harmonick‚ ýady"
"burned away","sp leno"
"by invocation of True Name","vzìv n¡m Prav‚ho jm‚na"
"You've caught a ","Byl jsem zasti§en "
"Give me the bustle and noise over all that quiet!","RadØji ruch a hluk ne§ vçechen ten klid!"
"as a former slave of"," jako bìvalì otrok "
"respects commerce","respektuje obchod"
"the Line","Pý¡mka"
"feeling apathetic","c¡t¡c¡ apatii"
"recruit","rekrut"
" was imprisoned by"," byl uvØznØn "
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","pova§uje z¡sk v n¡ a uchov v n¡ vØdØn¡ za ur §liv‚ poŸ¡n n¡ arogantn¡ch hlup k…"
"bowls","m¡sy"
"is short and just incredibly fat","je malì a neuvØýitelnØ tlustì"
"strand extractor","taviŸ vl ken"
"former master","bìval‚ho mistra"
" is at war with us."," je s n mi ve v lce."
"the Rising of the Moon","Vìchod MØs¡ce"
"is weak and extremely short","je slabì a extr‚mnØ malì"
"begins to stammer when ","zaŸne zadrh vat, kdy§ "
"addition of masterful rollers","pýid n¡ mistrovskìch v lc…"
"Welcome to Dwarf Fortress","V¡tejte v Dwarf Fortress"
"Grab Milk Unit","Vz¡t ml‚Ÿnou jednotku"
" has brought back many tales from beyond "," vr til se ze zahraniŸ¡ se spoustou pý¡hod "
"thoughtless","bezmyçlenkovitost"
"Clothes Making","Vìroba odØv…"
"Mechanic","Mechanick  "
"clothes rot off of ","obleŸen¡ hnije "
"That's not right.","To nen¡ spr vnØ."
"Nothing to interact","Nen¡ s Ÿ¡m interagovat"
"Many are ","Mnoz¡ jsou "
"often feels lustful","Ÿasto c¡t¡ cht¡Ÿ"
"forming a bond with an animal training partner","vytvoýen¡ pouta s tr‚ninkovìm zv¡ýec¡m partnerem"
"Embark","Nalodit se"
", animated by unknown forces",", o§iven  nezn mìmi silami"
"Uninterested in an owner","Nezaj¡m  se o majitele"
"No match.","¦ dn  shoda."
"a year ago","pýed rokem"
"completed job","dokonŸil pr ci"
"SAVAGERY REJECTION","ODMÖTNUTÖ DIVOKOSTI"
"Dictionary","Slovn¡k"
"You cannot climb or mount while prone.","Nem…§eç l‚zt ani nasednout, kdy§ le§¡ç."
"woodcutter","dýevorubec"
"I worship no one.","Neuct¡v m nikoho."
"does not easily fall in love and rarely develops positive sentiments","nezamiluje se snadno a jen zý¡dka si vytv ý¡ pozitivn¡ city"
"Duplicate","Duplik t"
"Trader","Obchodn¡k"
"the search of ","p tr n¡ "
"Preparing for the caravan","Pý¡prava na karavanu"
"Your bookkeeper has done enough work to attain ","Tv…j £Ÿetn¡ odvedl dost pr ce k dosa§en¡ "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","Vìroba v z kladn¡ hýe je omezena na vytvoýen¡ kamenn‚ sekery potýebn‚ ke k cen¡ strom….  Na zaŸ tek m…§eç sebrat nØkolik kamen… a vØtev stromu.  "
" was spotted sneaking around!"," byl spatýen, jak se pl¡§¡!"
"more of a loner","vØtç¡ samot ý"
"Unassuming","Nen padnì"
"nine thousand","devØt tis¡c"
"Find embark location","Naj¡t m¡sto pro vìpravu"
"Child is nobility","D¡tØ je çlechta"
"light","lehkou"
"Meanness   <->   Wastefulness","Lakota   <->   Marnotratnost"
"Various seeds","R…zn  sem¡nka"
" Downward Track (NE)"," Klesaj¡c¡ cesta (S-V)"
"denting","pomaŸkat"
" the name "," jm‚no "
"stress vulnerability","zranitelnost v…Ÿi stresu"
"Initial forest square count fails by ","PoŸ teŸn¡ poŸet lesn¡ch pol¡ nesplnØn o "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Tv‚ Ÿiny budou zaznamen ny pro re§im Legend a mistry rytci v dalç¡ch pevnostech tv‚ho svØta."
"flat","plochì"
"The desired pitch is selected using a ","Po§adovan  vìçka t¢nu se vol¡ pomoc¡ "
"Feared as a villain","Ob vanì jako padouch"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","PýepnØte, zda m…§e sklad br t polo§ky odkudkoli nebo pouze z urŸitìch d¡len a sklad…."
"boiling clear glass","vý¡c¡ Ÿir‚ sklo"
"I accept this honor.","Pýij¡m m tuto poctu."
"the method of writing the history of a single individual","metoda psan¡ historie jedin‚ osoby"
" and it is mostly cut away from the rest of the torso!"," a vØtçina tØla je odýez na od zbytk… trupu and it is mostly cut away from the rest of the torso!"
"Admiration","Obdiv"
"No heavy attack: enraged","¦ dnì tØ§kì £tok: rozzuýenì"
" own possessions"," vlastn¡ch vØcech"
"rages","zuý¡"
"Announcements","Ozn men¡"
"meeting area zones, dining rooms and","meeting area , j¡delna a"
" became "," se stal "
" is angry"," je naçtvanì"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Aby bylo mo§n‚ pou§¡vat nØkter‚ funkce, jako pracovn¡ pý¡kazy nebo £Ÿetnictv¡, mus¡ bìt pýiýazeni [C:5:0:0]Administr toýi[C:7:0:0]. "
"Remorseful","Kaj¡cn¡"
"Shearer","Stý¡haŸ"
"Mid-","Stýedn¡ "
" rope"," lano"
"ill-fated ","neçœastn  "
"feel heavy","zn¡t tØ§ce"
"The army of ","Arm da "
"is very frail and incredibly long","je velmi kýehkì a neuvØýitelnØ dlouhì"
"a robbery","loupe§"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Pokud pýe§ijeç do pý¡jezdu karavany, m…§eç tak‚ obchodovat za "
"Slab engraved","Deska vyryta"
"You know, I think you're right.","V¡ç, mysl¡m, §e m ç pravdu."
"Dismiss minor feeling of shock","Ignorovat m¡rnì pocit çoku"
"in order to glorify ","aby oslavil "
" battles"," bitv ch"
"Masterwork","Mistrovsk‚ d¡lo"
"amused","pobavenì"
"8 x 8","8 x 8"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Nespokojen¡ obyvatel‚ mohou vyvol vat probl‚my a m‚nØ lid¡ bude ochotno riskovat cestu do "
"You need a free grasp to climb.","K lezen¡ potýebujeç volnou ruku."
"wombat","vombat"
"a divine being","bo§sk  bytost"
"earth","zemØ"
"specialized surgical instruments","specializovan‚ chirurgick‚ n stroje"
" and it is all thanks to "," a je to vçechno d¡ky "
"is gigantic and quite fat","je obrovskì a docela tlustì"
"Gladiatory Games","Gladi torsk‚ hry"
"Water wheels are 1x3 or 3x1.","Vodn¡ kolo je 1x3 nebo 3x1"
" looks "," vypad  "
"free rhythm","voln‚m rytmu"
"I see your low race still revels in death.  That poor, gentle creature...","Vid¡m, §e vaçe n¡zk  rasa se st le vy§¡v  ve smrti. To uboh‚, jemn‚ stvoýen¡..."
"Please help me to escape from this place.","Pros¡m, pomoz mi uniknout z tohoto m¡sta."
" Upward Track (NS)"," Stoupaj¡c¡ cesta (S-J)"
"the Purchase","N kup"
"who","kdo"
"the ghost of my sibling","duchem sv‚ho sourozence"
" a friend"," je pý¡tel"
" specific move"," specifickìm pohybem"
"the classification of toxic substances","klasifikace toxickìch l tek"
"mid-length phrases","stýednØ dlouh‚ fr ze"
"Writing","Psan¡"
"a great dining room","skvØl‚ j¡delny"
"is thin, skinny and weak","je hubenì, vyz blì a slabì"
"announcement","ozn men¡"
"Machines/fluids","Stroje/zaý¡zen¡"
", but it means nothing now.",", ale teÔ to nic neznamen ."
"More likely, your dwarves will starve, unless you read the first few guides here! ","PravdØpodobnØji tvoji trpasl¡ci zemýou hlady, pokud si nepýeŸteç prvn¡ch p r pr…vodc… zde! "
"grovel","plazit se"
"Frequent","¬astì"
"the mercenary operation","§oldn‚ýsk  Ÿinnost"
"Comrade","Soudruh"
"Your dreams will come true.","Tv‚ sny se spln¡."
"is quite mocking in tone","m  znaŸnØ posmØçnì t¢n"
"'s onslaught"," £toku"
"geography:form:atlas","geografie:forma:atlas"
"State minor feeling of love","Vyj dýit m¡rnou n klonnost"
"'s location"," um¡stØn¡"
"I'm very lonely.","Jsem velmi osamØlì."
"active performance poem reciter","aktivn¡ recit tor"
"State minor feeling of gloom","Vyj dýit m¡rnou ponurost"
" recitation of "," recitace "
"has high cheekbones","m  vysok‚ l¡cn¡ kosti"
"philosophy:specialized:politics social welfare","filozofie:specializace:politika soci ln¡ p‚Ÿe"
"a noted flatterer","zn mì lichotn¡k"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]Z¢ny[C:7:0:0] se umisœuj¡ podobnØ jako [C:6:0:0]SkladiçtØ[C:7:0:0]. "
"Mandate period (more = fewer)","Doba mand tu (v¡ce = m‚nØ Ÿasto)"
"Nonsense","Nesmysl"
"mathematics:geometry:pythagorean triples small","matematika:geometrie:mal‚ Pythagorovy trojice"
"the construction and use of the flask","stavba a pou§it¡ baåky"
" Floor Grate"," Podlahov  mý¡§"
"greedier","chamtivØjç¡"
"a theft","kr de§"
"Resourcefulness","Vynal‚zavost"
"the enactment of a series of oppressive laws","vyd n¡ s‚rie represivn¡ch z kon…"
"medicine:theory:disease classification","medic¡na:teorie:klasifikace nemoc¡"
"the struggle for survival","boj o pýe§it¡"
"the construction and use of the astrarium","stavba a pou§it¡ astraria"
"ladies","lady (pl.)"
"profaned","poçpinil"
"has a large body but is incredibly skinny","m  velk‚ tØlo, ale je neuvØýitelnØ hubenì"
"is lanky and frail","je vyz blì a kýehkì"
" boldly, even if it would offend an average sense of modesty"," odv §nØ, i kdy§ by to urazilo bØ§nì smysl pro skromnost"
"skip","pýeskoŸit"
"That's suspicious!","To je podezýel‚!"
"has an extremely broad body with lots of fat on it","m  extr‚mnØ çirok‚ tØlo s velkìm mno§stv¡m tuku"
"Dirt Road","HlinØn  cesta"
"the causes of historical events","pý¡Ÿiny historickìch ud lost¡"
"You are nauseated.","Je ti nevolno."
"Give me a break.","Dej mi pokoj."
"Cloth Workshop","Textiln¡ d¡lna"
"d strongly favored","silnØ zvìhodnØn"
"the taming of the ","zkrocen¡ "
"Engravers","Rytci"
"grieved","zarmoucenì"
" partially free of the web."," Ÿ steŸnØ vyproçtØn z pavuŸiny."
" mounts "," nasednout "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","Nepodaýilo se naj¡t CREATURE_CASTE_GRAPHICS pro kastu tvora "
"Traits","Vlastnosti"
" to live a life of adventure"," aby §il(a) §ivot plnì dobrodru§stv¡"
"gets distracted from conversations easily when ","se snadno rozptìl¡ od rozhovoru, kdy§ "
" weapons"," zbran¡"
" superiorly designed"," velmi dobýe navr§eno"
"Move keyboard cursor down (z)","Posunout kurzor dol… (z)"
"I'm not worried.","Nejsem ustaranì."
"great creativity","skvØl  kreativita"
"gave food","dal j¡dlo"
"a castle wall","hradn¡ zeÔ"
"Some time spent in reflection is admirable, but you must not forget to live your life.","¬as str venì pýemìçlen¡m je obdivuhodnì, ale nesm¡te zapom¡nat §¡t sv…j §ivot."
"tuning","ladØn¡"
"the notion of bonds between members of a community","vazby mezi Ÿleny komunity"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","Zde si m…§ete vyrobit d¡ly pro balisty a katapulty. V t‚to d¡lnØ se tak‚ sestavuje munice do balist."
"legendary bully","legend rn¡ n siln¡k"
"has a small build and is very weak and incredibly skinny","m  malou postavu a je velmi slabì a neuvØýitelnØ hubenì"
"Remote: ","Vzd len‚: "
"Pike","P¡ka"
"being rescued","bìt zachr nØn"
"Default attack is a wrestling move.","Vìchoz¡ £tok je z pasnickì chvat."
"superior quality ","vysok‚ kvality "
"being forced to endure the decay of an acquaintance","bìt donucen sn çet rozklad zn m‚ho"
"The victory was shared by ","V¡tØzstv¡ sd¡leli "
"Acknowledge lack of bitterness","Konstatovat nepý¡tomnost hoýkosti"
"extremely low","extr‚mnØ n¡zkì"
" because you are swimming."," proto§e plaveç."
"Verbally struggle against great dismay","SlovnØ bojovat proti velk‚mu zdØçen¡"
" talents and accomplishments"," talenty a £spØchy"
"the Secret","Tajemstv¡"
"dream","sen"
"item was favorite possession","pýedmØt byl obl¡benìm majetkem"
"You conclude your performance.","Uzav¡r te sv…j vìkon."
" told the story of "," vypr vØl pý¡bØh o "
"trapped in cage","uvØznØn v kleci"
"[C:1:0:1]Drowsy","[C:1:0:1]Ospalì"
"brawler","rv Ÿ"
"Bypass greeting (new menu)","PýeskoŸit pozdrav (nov‚ menu)"
"history:sourcing:role of systemic bias","historie:zdroje:role syst‚mov‚ zaujatosti"
"I realized ","UvØdomil jsem si "
", replacing ",", nahrazuj¡c¡ "
"Workers ignore wood","Pracovn¡ci ignoruj¡ dýevo"
" log"," kl da"
" perpetrated "," sp chal "
"often lowers ","Ÿasto skl n¡ "
"We are besieged by a terrifying monster from the harshest wilderness.","Jsme obl‚h ni dØsivou nestv…rou z nejdrsnØjç¡ divoŸiny."
"I ate at a crowded table.","Jedl jsem u pýeplnØn‚ho stolu."
" pushes"," odstrkuje"
"I feel such sympathy!","C¡t¡m tolik soucitu!"
"River Source","Pramen ýeky"
" needs alcohol to get through the working day"," potýebuje alkohol, aby zvl dl(a) pracovn¡ den"
"Monk","Mnich"
" in search of excitement"," pýi hled n¡ vzruçen¡"
"began to skulk and brood","zaŸal se pl¡§it a chmurnØ pýem¡tat"
"No members","¦ dn¡ Ÿlenov‚"
"is very polite and observes appropriate rules of decorum when possible","je velmi zdvoýilì a pokud mo§no dodr§uje vhodn  pravidla sluçn‚ho chov n¡"
"disillusioned","zklamanì realitou"
"Regions","Regiony"
" due to "," kv…li "
"a tribute agreement","dohoda o tributu"
" throughout "," napý¡Ÿ "
"Disdains commerce","Pohrd  obchodem"
"st"," "
"giving somebody food","d n¡ j¡dla nØkomu"
"The musician can alter the pitch of ","Hudebn¡k m…§e zmØnit vìçku t¢nu "
"Carve fortification","Vytesat stý¡lnu"
" and the "," a "
"things...  certain things","vØci... urŸit‚ vØci"
"Stone/clay","K men/j¡l"
"Date: ","Datum: "
"""Leave me.  I need... ","""Nech mØ bìt. Potýebuji... "
"Rotten tissue excised from ","Shnil  tk å odstranØna z "
"All I see here is not enough.","Vçe, co zde vid¡m, nestaŸ¡."
"considers spending time alone much more important than associating with others","pova§uje tr ven¡ Ÿasu o samotØ za mnohem d…le§itØjç¡ ne§ stìk n¡ se s ostatn¡mi"
"Lover of ","Milovn¡k "
"stole treasure from","ukradl poklady od"
"Predator and Prey","Pred tor a koýist"
" masterfully dyed with "," mistrnØ obarven "
", once of the Underworld.  ",", kdysi z PodsvØt¡.  "
", is it really you?",", jsi to opravdu ty?"
" own wellbeing, having no interest in material goods"," vlastn¡ blaho, proto§e nem  z jem o materi ln¡ statky"
"[C:2:0:1]Spring","[C:2:0:1]Jaro"
"State feelings of great dislike","Vyj dýit velkou nelibost"
"I must let grief pass me by.","Mus¡m nechat §al odezn¡t."
"An important decision awaits your careful deliberation.","D…le§it‚ rozhodnut¡ Ÿek  na tv‚ uv §en¡."
"subdued","podroben"
"regretful","lituj¡c¡"
"vengefulness","pomstychtivost"
"the color ","barvu "
"  Effective pressure to comply came from co-conspirators surrounding ","  éŸinnì tlak k posluçnosti pýiçel od spoluspiklenc… kolem "
"A great beast threatens to bring ruin upon our people.","Velk  bestie hroz¡ pýiv‚st n ç lid do z huby."
"State minor feeling of worry","Vyj dýit m¡rn‚ obavy"
"A snow storm has come.","Pýiçla snØhov  bouýe."
"<invalid start> ","<invalid start> "
"Classic varied ground tiles","Klasick‚ variabiln¡ dla§dice ter‚nu"
"striking a triumphant pose","zauj¡maj¡c¡ triumf ln¡ postoj"
"Grab Weapon","Vz¡t zbraå"
"feel agitated","zn¡t neklidnØ"
"Throwing tantrum","Vyv d¡"
"gelder","kastr tor"
"would be lanky were it not for the massive muscles and slabs of lard","byl by vyz blì, nebìt masivn¡ch sval… a vrstev tuku"
" refused an offer of peace from "," odm¡tl nab¡dku m¡ru od "
"Site","M¡sto"
" natural aversion to the adversary's inherent association with "," pýirozenì odpor k protivn¡kovu vrozen‚mu spojen¡ s "
"finds those that engage in trade and commerce to be fairly disgusting","pova§uje ty, kdo se vØnuj¡ obchodu, za dosti odporn‚"
"the departure of","odchod "
"Seriously injured","V §nØ zranØnì"
"a shockingly profound feel for social relationships","çokuj¡c¡ cit pro soci ln¡ vztahy"
"Temperate Brackish Pool","Poloslan  t…å"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Ujisti se, §e parametry a pýedvolby podporuj¡ stýedn¡ vìçku, n¡zk‚ a§ stýedn¡ sr §ky, vysok‚ odvodnØn¡ a nezamrzaj¡c¡ oblasti. "
", where numbers indicate a refrain",", kde Ÿ¡sla oznaŸuj¡ refr‚n"
"Master","Mistr"
"the distinction between motor and sensory nerves","rozd¡l mezi motorickìmi a senzitivn¡mi nervy"
" is surprised"," je pýekvapenì"
"in a circle"," v kruhu"
"Closed cases","Uzavýen‚ pý¡pady"
"air","vzduch"
"It is now summer.","Nyn¡ je l‚to."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","J¡dlo lze z¡skat ve mØstech, z okoln¡ho prostýed¡ nebo por §en¡m zv¡ýat ostrìmo pýedmØty. "
"not distracted","nesoustýedØnì"
"judge","soudce"
"parchment-producing ","produkuj¡c¡ pergamen "
"be spirited","bìt §iv "
"Failed to install mod:","Nepodaýilo se nainstalovat mod:"
"to make a great discovery","uŸinit velkì objev"
"Empty","Pr zdnì"
"Battle","Bitva"
"Nobles and administrators","ælechta a administr toýi"
"crystal glass paste","pasta z kýiçœ lov‚ho skla"
"This is your master.","Toto je v ç p n."
" begins to stalk and brood..."," zaŸ¡n  se pl¡§it a chmuýit..."
"the belief of","v¡ra "
" first"," prvn¡"
"These people carrying on about romance should be more practical.","Ti, co poý d mluv¡ o romantice, by mØli bìt praktiŸtØjç¡."
"Gather fruit and vegetables from shrubs in this zone.","Sb¡rat ovoce a zeleninu z keý… v t‚to z¢nØ."
"Block ","Blokovat "
"swamp","moŸ l"
"This creature dwells underground.","Tento tvor §ije v podzem¡."
"the surgical method of scraping","chirurgick  metoda seçkrab v n¡"
"unfavorable ","nepý¡zniv‚ "
"Inveigh Against ","Oboýit se proti "
"the state of demands","stavu po§adavk…"
"the Map","Mapa"
"Move the camera","Pohnout kamerou"
"Dodge","éskok"
