"its","suo"
"We should have made it there by now.","Dovremmo aver finito ora."
"We should be making better progress.","Dovremmo far migliori progressi."
"We are going the wrong way.","Stiamo andando dalla parte sbagliata."
"We haven't performed for some time.","Non ci siamo esibiti da un po' di tempo."
"We have arrived at our destination.","Siamo arrivati a destinazione."
"The oppressor has been overthrown!","L'oppressore ä stato respinto!"
"We must not abandon ","Non dobbiamo abbandonare "
"We must go back.","Dobbiamo tornare indietro."
"Empty announcement ","Annuncio vuoto "
"The ","Il "
"spinning ","rotante "
"flying ","volante "
"It","Esso"
", but it is deflected by ",", ma ä respinto da "
" by the "," dal "
" in the "," nel "
" from behind"," da dietro"
" from the side"," dal lato"
" with "," con "
", but the attack is deflected by ",", ma l'attacco ä respinto da "
", lightly tapping the target!",", toccando lievemente il bersaglio!"
", but there is no force!",", ma non c'ä forza!"
", but it passes right through!",", ma passa attraverso!"
", but the attack passes right through!",", ma l'attacco passa attraverso!"
", but it glances away!",", ma viene deviato!"
", but the attack glances away!",", ma l'attacco viene deviato!"
" and the severed part sails off in an arc!"," e la parte tagliata vola in una parabola!"
"the part","la parte"
" is smashed into the body, an unrecognizable mass!"," si infrange sul corpo, una massa irriconoscibile!"
" splits in gore!"," si rompe in una pozza di sangue!"
" collapses!"," collassa!"
"the injured part","la parte lesa"
" is ripped into loose shreds!"," ä strappato a brandelli!"
" is torn apart!"," si strappa!"
" and it is mostly cut away from the rest of the torso!"," ed ä quasi staccata dal resto del torso!"
" is cloven asunder!"," ä fatto a pezzi!"
" explodes into gore!"," esplode in mille pezzi!"
" collapses into a lump of gore!"," collassa in una pozza di sangue!"
" is crushed!"," si distrugge!"
"The geldables have been torn away!","I gingilli sono stati strappati!"
"tearing","strappando"
"tearing apart","strappando via"
"shattering","frantumando"
"chipping","scalfendo"
"fracturing","fratturando"
"denting","intaccando"
"bruising","danneggiando"
"'s ","ä "
" it"," esso"
" apart"," via"
" and"," e"
" tearing apart"," strappando via"
" shattering"," frantumando"
" tearing"," strappando"
" chipping"," scalfendo"
" fracturing"," fratturando"
" denting"," intaccando"
" bruising"," danneggiando"
"main part","parte principale"
" through a hole in the "," attraverso un buco nel "
"passing through a hole in the ","passa attraverso un buco nel "
"jamming the","inceppa la"
" part"," parte"
"through the ","attraverso la "
"out of the wound","fuori dalla ferita"
"breaking away","spaccando"
" most of"," la maggior parte di"
" half of"," metÖ di"
" a piece of"," un pezzo di"
" the rest of"," il resto di"
" through the "," attraverso il "
" and spilling "," e versando "
"your","tuo"
"rancid","rancido"
"decomposing","decomposto"
"rotten","marcio"
"fetid","fetido"
"foul","schifoso"
"reeking","disgustoso"
"filthy","sudicio"
"stinking","puzzolente"
"It is a gelding strike!","‘ un colpo ai gingilli!"
"It is a gelding blow!","‘ un colpo basso!"
"a major artery","un'arteria principale"
"an artery","un'arteria"
" has been opened by the attack"," ä stata aperta dall'attacco"
"many nerves","molti nervi"
"a motor nerve","un nervo motorio"
"a sensory nerve","un nervo sensoriale"
"have","ä"
"has","ä"
" been severed"," stato reciso"
"a ligament","un legamento"
" has been "," ä stato "
"torn","lacerato"
"sprained","distorto"
"bruised","danneggiato"
"a tendon","un tendine"
"strained","distorto"
" is ripped to shreds!"," ä fatto a pezzi!"
" breaks!"," si rompe!"
" attack is interrupted!"," L'attacco ä stato interrotto!"
" have"," avere"
" has"," ha"
" become enraged!"," si infuria!"
" has lodged firmly in the wound!"," si ä piantata fermamente nella ferita!"
" latch on firmly"," si attacca fermamente"
" latches on firmly"," si attacca fermamente"
" to "," a "
" latch on firmly!"," attaccare saldamente!"
" latches on firmly!"," si attacca fermamente!"
" are"," sono"
" is"," ä"
" propelled away by the force of the blow!"," spinto via dalla forza del colpo!"
" been knocked unconscious!"," reso inconscio!"
" been stunned again!"," stordito di nuovo!"
" been stunned!"," stordito!"
" having more trouble breathing!"," avendo pió problemi a respirare!"
" having trouble breathing!"," avendo problemi a respirare!"
" feel"," si sente"
" looks"," pare"
" even more sick!"," ancora pió malato!"
" sick!"," malato!"
" is injected into the "," viene iniettato nel "
" pours over the "," si riversa sul "
" flows over the "," scorre sul "
" splatters over the "," schizza sul "
" crumbles over the "," si sbriciola sul "
" is sucked out of the wound!"," viene succhiato dalla ferita!"
"map/set too long","mappa/"
" lust for murder"," brama di uccidere"
"Tabs","Schede"
"All","Tutto"
"Date: ","Data: "
"st","deg"
"nd","deg"
"rd","deg"
"th","deg"
" is "," ä "
"hunting.","caccia."
"sparring.","carrello minerario"
"fighting!","lottando!"
"Unit report tabs","Schede rapporti unitÖ"
"Trade is the life-blood of a thriving society.","Il commercio ä la linfa vitale di una societÖ prospera."
" to remove "," a rimuovere "
"I've been feeling anxious.","Mi sono sentito ansioso."
" an enemy fighter."," un combattente nemico."
" (Tame)"," (Domato)"
"with ","con "
" item"," oggetto"
"Independent","Indipendente"
"No team/side","Nessuna squadra/parte"
"Side #","Parte #"
"Create","Crea"
"Conditions","Condizioni"
"Equipment","Attrezzatura"
"Skills","AbilitÖ"
"Creature","Creatura"
"Tame/mountable","Domato/montabile"
"Not","Non"
" year"," anno"
"Set the weather, temperature, and time.","Imposta il tempo, la temperatura e l'ora."
"No cumulus clouds","Niente cumuli"
"Scattered cumulus","Cumuli sparsi"
"Many cumulus (rain)","Molti cumuli (pioggia)"
"Cumulonimbus (rain)","Cumulonembo (pioggia)"
"Cirrus","Cirro"
"No stratus","Niente strato"
"Altostratus","Altostrato"
"Stratus (rain)","Strato (pioggia)"
"Nimbostratus (rain)","Nembostrato (pioggia)"
"No fog","Niente nebbia"
"Thin mist","Sottile foschia"
"Fog","Nebbia"
"Thick fog","Nebbia fitta"
"Dragonfire","Fuoco di drago"
"Fire","Fuoco"
"Scorching","Rovente"
"Hot","Caldo"
"Warm","Mite"
"Cool","Fresco"
"Cold","Freddo"
"Subterranean","Sotterraneo"
"Freezing","Gelato"
"Below freezing","Sotto zero"
"Deathly cold","Freddo mortale"
"Absolute zero","Zero assoluto"
"Morning","Mattina"
"Late morning","Tarda mattinata"
"Early afternoon","Primo pomeriggio"
"Late afternoon","Tardo pomeriggio"
"Early evening","Sera presto"
"Evening","Sera"
"Night","Notte"
"Late night","Notte fonda"
"Early morning","Mattina presto"
"rarely make contact","entra raramente in contatto"
"item","oggetto"
" needed it"," ne necessitava"
"The performing arts are so important.  Let's go!","Le arti dello spettacolo sono cosç importanti.  Andiamo!"
"I cannot give up my quest for ","Non posso rinunciare alla mia ricerca di "
" have returned."," sono tornati."
" and others have returned."," e altri sono tornati."
" has returned."," ä tornato."
"even-uneven-uneven","regolare-irregolare-irregolare"
" has brought back many tales from beyond "," ha riportato molte storie dall'estero "
" has brought back a few rumors."," ha riportato alcune dicerie."
" has brought back a rumor from abroad."," ha riportato una diceria dall'estero."
" has arrived."," ä arrivato."
" is visiting."," ä in visita."
", the performance troupe, has arrived.",", la troupe artistica ä arrivata."
", a performance troupe, is visiting.",", una troupe artistica sta facendo visita."
"Spoils Report: ","Rapporto del Bottino: "
" and others"," ed altri"
"Winter","Inverno"
"Autumn","Autunno"
"Summer","Estate"
"Spring","Primavera"
"The dead walk.  Hide while you still can!","I morti camminano.  Nasconditi finchÇ puoi!"
"Forms twisted from their nature, legion of the night.  What hope remains?","Forme distorte dalla loro natura, legione della notte.  Quale speranza resta?"
"A vile force of darkness has arrived, seeking a parley!","‘ arrivata una vile forza delle tenebre in cerca di negoziato!"
"The enemy have come and are preparing to lay siege.  They seek a parley!","Il nemico ä arrivato e sta preparando un assedio.  Vogliono un negoziato!"
"An army has come to your lands seeking a parley.","Un esercito ä giunto nei tuoi possedimenti in cerca di negoziato."
"A vile force of darkness has arrived!","‘ arrivata una nefanda forza dell'oscuritÖ!"
"The enemy have come and are laying siege to the fortress.","Il nemico ä arrivato e sta assediando la fortezza."
"An army is invading!","Un esercito sta invadendo!"
"horrifying features","caratteristiche terrificanti"
"Specify image","Specifica immagine"
"army is located out of bounds: teleporting","l'esercito si trova fuori dai limiti: teletrasportando"
"Balancing and Completion","Bilanciamento e Completamento"
"overlord","signore"
"overlords","signori"
"discourse on the nature of causation","discorso sulla natura della causalitÖ"
" of "," di "
" has been founded "," ä stato fondato "
", has been conquered and",", ä stato conquistato e"
", has been",", ä stato"
" incorporated into your holdings."," incorporato nei tuoi possedimenti."
" has been conquered and now"," ä stato conquistato ed ora"
" looks to your thriving economy for its future prosperity."," guarda alla tua fiorente economia per la sua futura prosperitÖ."
"Married","Sposato"
"save","salv."
"One of the compressed files on disk has errors in it.  Restore from backup if you are able.","Uno dei file compressi sul disco contiene errori. Ripristinare dal backup, se possibile."
" revealed nothing during interrogation."," non ha rivelato nulla durante l'interrogatorio."
" are "," sono "
"prostrating ","prostrandosi "
"themselves","loro stessi"
" before "," prima "
"torturing ","torturando "
"committing a depraved act upon ","commettendo un atto depravato su "
"devouring ","divorando "
"admiring ","ammirando "
"burning ","bruciando "
"shooting ","sparando "
"surrounded by ","circondato da "
"massacring ","massacrando "
"fighting with ","combattendo con "
"greeting ","salutando "
"refusing ","rifiutando "
"speaking with ","parlando con "
"embracing ","abbracciando "
"striking down ","colpendo "
"raising ","sollevando "
"hiding ","nascondendo "
"praying to ","pregando "
"contemplating ","contemplando "
"cooking ","cucinando "
"engraving ","incidendo "
"impaled on ","impalato su "
"being flayed by ","essendo scorticato da "
"hanging from ","appeso da "
"being mutilated by ","venendo mutilato da "
"praying","pregando"
"weeping","piangendo"
"cringing","rabbrividendo"
"screaming","gridando"
"being tortured","essendo torturato"
"committing a depraved act","commettendo un atto depravato"
"making a submissive gesture","facendo un gesto di sottomissione"
"in a fetal position","in posizione fetale"
"smeared out into a spiral","spalmato in una spirale"
"falling","cadendo"
"dead","morto"
"laughing","ridendo"
"being shot","venendo colpito"
"making a plaintive gesture","facendo un gesto lamentoso"
"melting","fondendo"
"burning","bruciando"
"look","guarda"
"looks","guarda"
" dejected"," demoralizzato"
" terrified"," terrorizzato"
" offended"," offeso"
" confused"," confuso"
"suffering","soffrendo"
"withering away","appassendo"
"striking a menacing pose","assumendo una posa minacciosa"
"striking a triumphant pose","assumendo una posa trionfante"
"laboring","lavorando"
"traveling","viaggiando"
"contemplating","contemplando"
"cooking","cucinando"
"engraving","incidendo"
"unnaturally contorted","innaturalmente contorto"
"being flayed","essendo scorticato"
"being mutilated","essendo mutilato"
"Untitled","Senza titolo"
", the deity of ",", la divinitÖ di "
", depicted as a ",", raffigurato come un "
"skeletal ","scheletrico "
"rotting ","marcendo "
"ghostly ","spettrale "
"female ","femminile "
"male ","maschio "
"the deity of ","la divinitÖ di "
"an unidentified creature","una creatura non identificata"
"Click a building to link to ","Clicca un edificio a cui collegare "
"Link to ","Collega a "
"Cannot link to ","Impossibile collegare a "
"will be installed at ","sarÖ posizionato a "
"will be installed at target","verrÖ posizionato nella destinazione"
"Owner: ","Proprietario: "
"Weight: ","Peso: "
"Value: ","Valore: "
"On ","Su "
"In ","In "
"With ","Con "
"View","Vedi"
"View stockpile","Vedi scorta"
"Uses","Utilizza"
"Engraving ","Incisione "
"Enraged at all enemies!","Infuriato con tutti i nemici!"
"In a martial trance!","In trance marziale!"
"Throwing a tantrum!","Facendo una sfuriata!"
"Sunk into depression...","Sprofondato nella depressione..."
"Stumbling obliviously!","Inciampando inconsapevolmente!"
"Corrupt Soldier Mood: ","Umore del soldato corrotto: "
"Has a horrible fell look!","Ha un aspetto orribile e ostile!"
"Brooding darkly...","Rimuginando oscuramente..."
"Has the aspect of one fey!","Ha l'aspetto incantato!"
"Peculiarly secretive...","Particolarmente riservato..."
"Possessed by unknown forces!","Impossessato da forze sconosciute!"
"Stricken by melancholy...","Affranto dalla malinconia..."
"Crawling around babbling!","Strisciando in giro balbettando!"
"Running around babbling!","Correndo in giro balbettando!"
"Crawling around crazed!","Strisciando in giro impazzito!"
"Running around crazed!","Correndo in giro impazzito!"
"In a berserk rage!","In una furia omicida!"
"Staring off into space...","Fissando il vuoto..."
"Corrupt Strange Mood: ","Strano umore corrotto: "
"Overcome by terror!","Sopraffatto dal terrore!"
"In emotional shock!","Sotto shock emotivo!"
"Overwhelmed by horror!","Sopraffatto dall'orrore"
"Experiencing mortal fear!","Provando una paura mortale!"
"Beside ","Accanto a "
"herself","se stessa"
"himself","sÇ stesso"
" with grief!"," con dolore!"
"Drowning in sadness!","Annegando nella tristezza!"
"Writhing in agony!","Contorcendosi in agonia!"
"Anguished!","Angosciato!"
"Lost in despair!","Perso nella disperazione!"
"Completely dismayed!","Completamente sgomento!"
"Distressed!","Esaurito!"
"Taken by a fright!","Ha preso uno spavento!"
"Wallowing in misery!","Sguazza nella miseria!"
"Truly mortified!","Davvero mortificato!"
"Shaken to the core!","Scosso fino al midollo!"
"In existential crisis!","In una crisi esistenziale!"
"Emotionally overloaded!","Emotivamente sovraccarico!"
"Pet of ","Animale domestico di "
"Somebody","Qualcuno"
"Creator of ","Creatore di "
"Cannot expel or send away:","Impossibile espellere o mandare via:"
"Does the expelling","Sta espellendo"
"Nobility","NobiltÖ"
"Holds elected office","Ricopre cariche elettive"
"Spouse does the expelling","Coniuge sta espellendo"
"Spouse is not present","Coniuge non presente"
"Spouse is nobility","Coniuge ä nobile"
"Spouse is elected","Coniuge ä eletto"
"Child does the expelling","Bambino sta espellendo"
"Child is not present","Bambino non presente"
"Child is nobility","Il bambino ä nobile"
"Child is elected","Il bambino ä eletto"
"Expel","Espelli"
"Send to ","Manda a "
"Send away","Manda via"
"Cancel","Annulla"
"Overview","Sommario"
"Items","Ogget"
"Health","Salute"
"Rooms","Stanze"
"Relations","Relazioni"
"Groups","Gruppi"
"Thoughts","Pensieri"
"Personality","PersonalitÖ"
" Year"," Anno"
" Old"," d'etÖ"
"Spouse: ","Coniuge: "
" lovers"," amanti"
"Lover: ","Amante: "
" children"," figli"
"Child: ","Bambino: "
" pets"," animali domestici"
"Strong","Forte"
"Tough","Robusto"
"High stamina","Alta resistenza"
"Recovers quickly","Si riprende velocemente"
"Resists sickness","Resiste alla malattia"
"Weak","Debole"
"Clumsy","Maldestro"
"Frail","Fragile"
"Low stamina","Bassa resistenza"
"Recovers slowly","Si riprende lentamente"
"Sickly","Cagionevole"
"Good analytical ability","Buona capacitÖ analitica"
"Good focus","Buona concentrazione"
"High willpower","Alta forza di volontÖ"
"Creative","Creativo"
"Good intuition","Buona intuizione"
"Patient","Paziente"
"Good memory","Buona memoria"
"Good with language","Bravo nel linguaggio"
"Good spatial sense","Buon senso dello spazio"
"Musical","Musicale"
"High kinesthetic sense","Alto senso cinestetico"
"Developed empathy","Ha sviluppato empatia"
"High social awareness","Alta consapevolezza sociale"
"Poor analytical ability","Scarsa capacitÖ analitica"
"Poor focus","Scarsa concentrazione"
"Low willpower","Bassa forza di volontÖ"
"Not creative","Non creativo"
"Poor intuition","Scarsa intuizione"
"Impatient","Impaziente"
"Poor memory","Scarsa memoria"
"Bad with words","Incapace con le parole"
"Poor spatial sense","Scarso senso dello spazio"
"Not musical","Non musicale"
"Poor kinesthetic sense","Scarso senso cinestetico"
"Poor empathy","Scarsa empatia"
"Poor social awareness","Scarsa consapevolezza sociale"
"Quick to love","S'innamora facilmente"
"Hateful","Carico d'odio"
"Envious","Invidioso"
"Cheerful","Contento"
"Depression-prone","Incline alla depressione"
"Anger-prone","Incline alla rabbia"
"Anxious","Ansioso"
"Lustful","Lussurioso"
"Easily stressed","Facilmente stressato"
"Greedy","Avido"
"Intemperate","Rigido"
"Brawler","Attaccabrighe"
"Stubborn","Testardo"
"Wasteful","Sprecone"
"Prone to discord","Incline alla discordia"
"Flatterer","Adulatore"
"Polite","Gentile"
"Disdains advice","Disdegna i consigli"
"Fearless","Intrepido"
"Overconfident","Troppo sicuro di sÇ"
"Vain","Vanesio"
"Ambitious","Ambizioso"
"Gracious","Grazioso"
"Extravagant","Stravagante"
"Zany","Bizzarro"
"Vengeful","Vendicativo"
"Proud","Fiero"
"Cruel","Crudele"
"Single-minded","Determinato"
"Hopeful","Speranzoso"
"Curious","Curioso"
"Bashful","Timido"
"Private","Riservato"
"Perfectionist","Perfezionista"
"Obstinate","Ostinato"
"Tolerant","Tollerante"
"Emotional obsessive","Emotivamente ossessivo"
"Swayed by emotions","Spinto dalle emozioni"
"Altruistic","Altruista"
"Dutiful","Diligente"
"Thoughtless","Avventato"
"Orderly","Ordinato"
"Trusting","Fiducioso"
"Gregarious","Socievole"
"Overbearing","Dispotico"
"Frenetic","Frenetico"
"Thrill-seeker","Cerca il brivido"
"Flights of fancy","Fa voli pindarici"
"Inclined to abstract","Incline all'astratto"
"Artistically inclined","Inclinazione artistica"
"Slow to love","Lento ad amare"
"Slow to hate","Lento ad odiare"
"Not envious","Non invidioso"
"Cheerless","Tetro"
"Not easily depressed","Non si deprime facilmente"
"Slow to anger","Lento all'ira"
"Not anxious","Non anzioso"
"Not lustful","Non lussurioso"
"Resilient","Resiliente"
"Not greedy","Non avido"
"Temperate","Mite"
"Avoid fights","Evita i litigi"
"Quick to give up","Si arrende facilmente"
"Not wasteful","Non sprecone"
"Seeks harmony","Cerca l'armonia"
"Quarreler","Altercatore"
"Rude","Scortese"
"Overreliant on advice","Troppo dipendente dai consigli"
"Fearful","Timoroso"
"Pusillanimous","Pusillanime"
"Not vain","Non vanesio"
"Not ambitious","Non ambizioso"
"Ungrateful","Ingrato"
"Austere","Austero"
"Humorless","Privo di umorismo"
"Low self esteem","Bassa autostima"
"Merciful","Clemente"
"Scatterbrained","Sbadato"
"Quick to despair","Si dispera facilmente"
"Incurious","Disinteressato"
"Shameless","Spudorato"
"Overshares","Condivide troppo"
"Inattentive","Distratto"
"Acquiescing","Condiscendente"
"Intolerant","Intollerante"
"Emotionally distant","Emotivamente distante"
"Unswayed by emotions","Indifferente alle emozioni"
"Not altruistic","Non altruista"
"Not dutiful","Non diligente"
"Overcautious","Iperprudente"
"Sloppy","Sciatto"
"Distrustful","Diffidente"
"Loner","Solitario"
"Unassertive","Insicuro"
"Leisurely","Tranquillo"
"Avoids excitement","Evita l'eccitazione"
"Fact-oriented","Orientato ai fatti"
"Not inclined to abstract","Non incline all'astratto"
"Not inclined to create art","Non incline al creare arte"
"Values law","Apprezza la legge"
"Values loyalty","Apprezza la lealtÖ"
"Values family","Apprezza la famiglia"
"Values friendship","Apprezza l'amicizia"
"Values power","Apprezza il potere"
"Values truth","Apprezza la veritÖ"
"Values cunning","Apprezza l'astuzia"
"Values eloquence","Apprezza l'eloquenza"
"Values fairness","Apprezza l'equitÖ"
"Values decorum","Apprezza il decoro"
"Values tradition","Apprezza la tradizione"
"Values artwork","Apprezza le opere d'arte"
"Values cooperation","Apprezza la cooperazione"
"Values independence","Apprezza l'indipendenza"
"Values stoicism","Apprezza lo stoicismo"
"Values introspection","Apprezza l'introspezione"
"Values self-control","Apprezza l'autocontrollo"
"Values tranquility","Apprezza la tranquillitÖ"
"Values harmony","Apprezza l'armonia"
"Values merriment","Apprezza la baldoria"
"Values craftwork","Apprezza l'artigianato"
"Values martial prowess","Apprezza l'abilitÖ marziale"
"Values skill","Apprezza l'abilitÖ"
"Values hard work","Apprezza il duro lavoro"
"Values sacrifice","Apprezza il sacrificio"
"Values competition","Apprezza le gare"
"Values perseverance","Apprezza la perseveranza"
"Values leisure time","Apprezza il tempo libero"
"Values commerce","Apprezza il commercio"
"Values romance","Apprezza il romanticismo"
"Values nature","Apprezza la natura"
"Values peace","Apprezza la pace"
"Values knowledge","Apprezza la conoscenza"
"Disdains law","Disdegna la legge"
"Disdains loyalty","Disdegna la lealtÖ"
"Disdains family","Disdegna la famiglia"
"Disdains friendship","Disdegna l'amicizia"
"Disdains power","Disdegna il potere"
"Disdains truth","Disdegna la veritÖ"
"Disdains cunning","Disdegna l'astuzia"
"Disdains eloquence","Disdegna l'eloquenza"
"Disdains fairness","Disdegna l'equitÖ"
"Disdains decorum","Disdegna il decoro"
