"more presumptious","aanmatigender"
"Tools","Gereedschap"
"Chase Opponent Flood","Tegenstander achtervolgen bij overstroming"
"Extract from raw fish","Uit rauwe vis extraheren"
"In party: ","In gezelschap: "
"  [C:2:0:1]You have been ordered to kill this creature.","  [C:2:0:1]Je hebt opdracht gekregen dit wezen te doden."
"presents a different view of the subject of","presenteert een andere kijk op het onderwerp"
"a strengthening ","een versterking "
"This","Dit"
"'s acceptance of ","s aanvaarding van "
"the surrounding area","de omgeving"
"is grounded in reality","is geworteld in de werkelijkheid"
"This is love.","Dit is liefde."
"the collision of ","de botsing van "
" near magma"," nabij magma"
"really slow to heal","herstelt erg langzaam"
"sticks","stokken"
"exchange","uitwisseling"
"Up/Down Stair","Trap omhoog/omlaag"
"Huge Profile","Enorm profiel"
"Excellent","Uitstekend"
"novel","roman"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","Kies een voorraad waarmee het voertuig van de spoorhalte voorwerpen uitwisselt. Het voertuig neemt gewenste voorwerpen mee en laadt alle andere uit."
"Forbid trap cleaning during sieges","Vallen schoonmaken verbieden tijdens belegeringen"
"It makes me very anxious.","Het maakt me erg angstig."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","Ja, en handelen zullen we! Vertel me gewoon waarin je ge‹nteresseerd bent en wat je in ruil wilt aanbieden."
"believes that the time taken to master a skill is a horrible waste","gelooft dat de tijd die nodig is om een vaardigheid te beheersen een vreselijke verspilling is"
"grow funding network","financieringsnetwerk uitbreiden"
", but it passes right through!",", maar het gaat er dwars doorheen!"
"doesn't respect a society that has settled into harmony without debate and strife","heeft geen respect voor een samenleving die zonder debat en strijd in harmonie is vervallen"
"al voices bring melody, counterpoint and rhythm","ale stemmen brengen melodie, contrapunt en ritme"
"is tiny and weak","is piepklein en zwak"
"the divergence of the harmonic series","de divergentie van de harmonische reeks"
"Charge Attack","Stormaanval"
"It is an example of ","Het is een voorbeeld van "
"Crushed under a collapsing ceiling","Verpletterd onder een instortend plafond"
"Cannot chop tree","Kan boom niet kappen"
"Certainly considered a bully","Zeker beschouwd als een pestkop"
"Guilty","Schuldig"
"the construction and use of the water-powered trip hammer","de bouw en het gebruik van de door water aangedreven valhamer"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Bereid je voor om je stoere beschermelingen naar fortuin te leiden in een wereld vol gevaren. "
"groups","groepen"
"strings vibrate","snaren trillen"
"I was yelled at by an unhappy citizen.","Een ongelukkige burger heeft tegen me geschreeuwd."
"high-voiced","hoog van stem"
"Others were too wary to make the journey.","Anderen waren te op hun hoede om de reis te maken."
"Acknowledge lack of joy","Gebrek aan vreugde erkennen"
"zaniness","malligheid"
" was claimed"," werd opge‰ist"
"is never moved by the emotions of others","wordt nooit geraakt door de emoties van anderen"
"be moderately loud","matig luid zijn"
"Order listener to ","Luisteraar bevelen om "
"finds leisure time wasteful","vindt vrije tijd verspilling"
"Loading work quotas...","Werkquota laden..."
", rather than walking leisurely.""",", in plaats van rustig te wandelen."""
"Cannot generate random creatures -- missing creature variation ","Kan geen willekeurige wezens genereren -- ontbrekende wezenvariant "
"a murder","een moord"
"State minor feeling of vengefulness","Lichte wraakzucht uiten"
"Acknowledge lack of wonder","Gebrek aan verwondering erkennen"
"events","gebeurtenissen"
"You begin","Je begint"
"Many civilizations keep them as pets and work animals.","Veel beschavingen houden ze als huisdieren en werkdieren."
"thrilled","opgewonden"
"ash","as"
"a foiled corruption conspiracy","een verijdelde corruptiesamenzwering"
"amber","barnsteen"
"being unable to find somebody to complain to about job scarcity","geen iemand kunnen vinden om bij te klagen over gebrek aan werk"
"various civilized races peopled the world.","verschillende beschaafde rassen bevolkten de wereld."
"Children.","Kinderen."
"more wasteful","verspillender"
"Investigate or interrogate (new menu)","Onderzoeken of ondervragen (nieuw menu)"
" from a period of no rule"," uit een periode zonder heerschappij"
" second"," seconde"
"wait","wachten"
"has a narrow, prominent","heeft een smalle, prominente"
"to beseech","om te smeken"
"Collapsed","Ingestort"
"engineering:machine:piston","ingenieurskunde:machine:zuiger"
"Enemy/merchant population trigger 3","Vijand-/koopliedenbevolkingstrigger 3"
"Click a creature to start a new conversation","Klik op een wezen om een nieuw gesprek te beginnen"
"Furniture/siege ammo","Meubels/belegeringsmunitie"
"/E","/O"
"to bathe the world in chaos","om de wereld in chaos te baden"
"Requests (Imports from ","Verzoeken (import uit "
"surveying by triangulation for engineering projects","opmeting door triangulatie voor ingenieursprojecten"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please.","  Ik wou dat ik je kon vertellen waar je je zoektocht moet beginnen.  Tot die tijd ben je vrij om te doen wat je wilt."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].Overlappende breuk"
"Shrub","Struik"
"Make Caves Visible","Grotten zichtbaar maken"
" has calmed down."," is gekalmeerd."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","vindt het van het grootste belang om een moedig gezicht op te zetten en nooit te mopperen, te klagen of zelfs maar emotie te tonen"
"Leave Wall","Muur laten staan"
"medicine:theory:classification of bodily fluids","geneeskunde:theorie:classificatie van lichaamsvloeistoffen"
"Shake ","Schud "
"Associated","Gekoppeld"
"Avoid conflict today.","Vermijd vandaag conflicten."
"Returning soldiers bring rumor(s)","Terugkerende soldaten brengen gerucht(en)"
"has a fairly deep and raspy voice","heeft een vrij lage en raspende stem"
" bag is used by the musician to control the steady flow of air through the instrument.]"," zak wordt door de muzikant gebruikt om de gestage luchtstroom door het instrument te regelen.]"
"You feel hot/cold","Je voelt hitte/kou"
"drinking without well","drinken zonder put"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","Wijs een verdedigingsbevel voor een gebied toe. De soldaten patrouilleren door het gebied en vallen vijandige wezens aan."
"Forceps","Tang"
"tanned","gelooid"
"Mount ","Bestijgen "
"engineering:optics:theory of rainbows","ingenieurskunde:optica:theorie van regenbogen"
" terrified"," doodsbang"
" promised "," beloofde "
"Invaders can dig natural walls","Indringers kunnen natuurlijke muren graven"
"No item to throw","Geen voorwerp om te gooien"
"being tormented in nightmares by a dead sibling","in nachtmerries gekweld worden door een overleden broer of zus"
"The guildhall petition by ","Het gildehalverzoek van "
"Surgeon","Chirurg"
"mathematics:algebra:divergence of harmonic series","wiskunde:algebra:divergentie van harmonische reeks"
"burned away","weggebrand"
"by invocation of True Name","door aanroeping van de Ware Naam"
"You've caught a ","Je hebt een gevangen: "
"Give me the bustle and noise over all that quiet!","Geef mij maar drukte en lawaai in plaats van al die stilte!"
"as a former slave of","als voormalige slaaf van"
"respects commerce","respecteert handel"
"the Line","de Lijn"
"feeling apathetic","zich apathisch voelen"
"recruit","rekruut"
" was imprisoned by"," werd gevangengezet door"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","ziet het verkrijgen en bewaren van kennis als een beledigende onderneming van arrogante dwazen"
"bowls","kommen"
"is short and just incredibly fat","is kort en gewoon ongelooflijk dik"
"strand extractor","draadextractor"
"former master","voormalige meester"
" is at war with us."," is met ons in oorlog."
"the Rising of the Moon","de Opkomst van de Maan"
"is weak and extremely short","is zwak en extreem kort"
"begins to stammer when ","begint te stotteren wanneer "
"addition of masterful rollers","toevoeging van meesterlijke rollers"
"Welcome to Dwarf Fortress","Welkom bij Dwarf Fortress"
"Grab Milk Unit","Melkeenheid pakken"
" has brought back many tales from beyond "," heeft vele verhalen mee teruggebracht van voorbij "
"thoughtless","onnadenkend"
"Clothes Making","Kleding maken"
"Mechanic","Monteur"
"clothes rot off of ","kleren rotten weg van "
"That's not right.","Dat klopt niet."
"Nothing to interact","Niets om mee te interageren"
"Many are ","Velen zijn "
"often feels lustful","voelt zich vaak wellustig"
"forming a bond with an animal training partner","een band vormen met een dierlijke trainingspartner"
"Embark","Vestiging starten"
", animated by unknown forces",", bezield door onbekende krachten"
"Uninterested in an owner","Niet ge‹nteresseerd in een eigenaar"
"No match.","Geen overeenkomst."
"a year ago","een jaar geleden"
"completed job","voltooide taak"
"SAVAGERY REJECTION","WILDHEID AFGEWEZEN"
"Dictionary","Woordenboek"
"You cannot climb or mount while prone.","Je kunt niet klimmen of opstijgen terwijl je op de grond ligt."
"woodcutter","houthakker"
"I worship no one.","Ik vereer niemand."
"does not easily fall in love and rarely develops positive sentiments","wordt niet snel verliefd en ontwikkelt zelden positieve gevoelens"
"Duplicate","Dupliceren"
"Trader","Handelaar"
"the search of ","de zoektocht van "
"Preparing for the caravan","De karavaan voorbereiden"
"Your bookkeeper has done enough work to attain ","Je boekhouder heeft genoeg werk gedaan om te bereiken: "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","Ambacht in het basisspel is beperkt tot het maken van een stenen bijl die nodig is om bomen te vellen. Je kunt een paar stenen en een boomtak oppakken om te beginnen. "
" was spotted sneaking around!"," werd betrapt terwijl die rondsluipte!"
"more of a loner","meer een eenling"
"Unassuming","Bescheiden"
"nine thousand","negenduizend"
"Find embark location","Vestigingslocatie zoeken"
"Child is nobility","Kind behoort tot de adel"
"light","licht"
"Meanness   <->   Wastefulness","Gemeenheid   <->   Verspilling"
"Various seeds","Diverse zaden"
" Downward Track (NE)"," spoor omlaag (NE)"
"denting","indeuken"
" the name "," de naam "
"stress vulnerability","stressgevoeligheid"
"Initial forest square count fails by ","Aanvankelijk aantal bosvakken faalt met "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Je daden worden vastgelegd voor Legendenmodus en door de meestergraveerders in latere forten in je wereld."
"flat","vlak"
"The desired pitch is selected using a ","De gewenste toonhoogte wordt geselecteerd met een "
"Feared as a villain","Gevreesd als schurk"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Schakel om of de voorraad voorwerpen overal vandaan mag nemen of alleen van specifieke werkplaatsen en voorraden."
"boiling clear glass","helder glas koken"
"I accept this honor.","Ik aanvaard deze eer."
"the method of writing the history of a single individual","de methode voor het schrijven van de geschiedenis van ‚‚n individu"
" and it is mostly cut away from the rest of the torso!"," en het is grotendeels losgesneden van de rest van de romp!"
"Admiration","Bewondering"
"No heavy attack: enraged","Geen zware aanval: woedend"
" own possessions"," eigen bezittingen"
"rages","raast"
"Announcements","Meldingen"
"meeting area zones, dining rooms and","vergaderzones, eetkamers en"
" became "," werd "
" is angry"," is boos"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Om sommige functies te gebruiken, zoals werkopdrachten of boekhouding, moeten [C:5:0:0]beheerders[C:7:0:0] worden toegewezen. "
"Remorseful","Berouwvol"
"Shearer","Scheerder"
"Mid-","Midden-"
" rope"," touw"
"ill-fated ","onfortuinlijk "
"feel heavy","zwaar voelen"
"The army of ","Het leger van "
"is very frail and incredibly long","is zeer kwetsbaar en ongelooflijk lang"
"a robbery","een beroving"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Als je overleeft tot de karavaan komt, kun je ook handelen voor [C:6:0:1]drank[C:7:0:0] "
"Slab engraved","Gegraveerde plaat"
"You know, I think you're right.","Weet je, ik denk dat je gelijk hebt."
"Dismiss minor feeling of shock","Lichte schok negeren"
"in order to glorify ","om te verheerlijken "
" battles"," veldslagen"
"Masterwork","Meesterwerk"
"amused","geamuseerd"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Ongelukkige burgers kunnen zich misdragen en problemen veroorzaken, en minder mensen zullen de reis riskeren naar een "
"You need a free grasp to climb.","Je hebt een vrije greep nodig om te klimmen."
"a divine being","een goddelijk wezen"
"earth","aarde"
"specialized surgical instruments","gespecialiseerde chirurgische instrumenten"
" and it is all thanks to "," en dat is allemaal te danken aan "
"is gigantic and quite fat","is gigantisch en vrij dik"
"Gladiatory Games","Gladiatorenspelen"
"Water wheels are 1x3 or 3x1.","Waterraderen zijn 1x3 of 3x1."
" looks "," ziet eruit "
"free rhythm","vrij ritme"
"I see your low race still revels in death.  That poor, gentle creature...","Ik zie dat jouw lage ras zich nog steeds verlustigt in de dood. Dat arme, zachtaardige wezen..."
"Please help me to escape from this place.","Help me alsjeblieft om uit deze plek te ontsnappen."
" Upward Track (NS)"," spoor omhoog (NS)"
"the Purchase","de Aankoop"
"who","wie"
"the ghost of my sibling","de geest van mijn broer of zus"
" a friend"," een vriend"
" specific move"," specifieke beweging"
"the classification of toxic substances","de classificatie van giftige stoffen"
"mid-length phrases","middellange frasen"
"Writing","Schrijven"
"a great dining room","een grote eetzaal"
"is thin, skinny and weak","is dun, mager en zwak"
"announcement","aankondiging"
"Machines/fluids","Machines/vloeistoffen"
", but it means nothing now.",", maar nu betekent het niets meer."
"More likely, your dwarves will starve, unless you read the first few guides here! ","Waarschijnlijker is dat je dwergen verhongeren, tenzij je de eerste paar gidsen hier leest! "
"grovel","kruipen"
"Frequent","Vaak"
"the mercenary operation","de huurlingenoperatie"
"overall trade sentiments are very good.","de algemene handelsgevoelens zijn zeer goed."
"Comrade","Kameraad"
"Your dreams will come true.","Je dromen zullen uitkomen."
"is quite mocking in tone","is vrij spottend van toon"
"'s onslaught","s aanval"
"geography:form:atlas","geografie:vorm:atlas"
"State minor feeling of love","Lichte liefde uiten"
"'s location","s locatie"
"I'm very lonely.","Ik ben erg eenzaam."
"active performance poem reciter","actieve voordrachtsgedicht-recitant"
"State minor feeling of gloom","Lichte somberheid uiten"
" recitation of "," voordracht van "
"has high cheekbones","heeft hoge jukbeenderen"
"philosophy:specialized:politics social welfare","filosofie:gespecialiseerd:politiek sociaal welzijn"
"a noted flatterer","een beruchte vleier"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]Zones[C:7:0:0] worden ongeveer hetzelfde geplaatst als [C:6:0:0]voorraadplaatsen[C:7:0:0]. "
"Mandate period (more = fewer)","Mandaatperiode (meer = minder)"
"Nonsense","Onzin"
"mathematics:geometry:pythagorean triples small","wiskunde:meetkunde:kleine pythagore‹sche drietallen"
"the construction and use of the flask","de bouw en het gebruik van de kolf"
" Floor Grate"," Vloerrooster"
"greedier","hebzuchtiger"
"a theft","een diefstal"
"Resourcefulness","Vindingrijkheid"
"the enactment of a series of oppressive laws","de invoering van een reeks onderdrukkende wetten"
"medicine:theory:disease classification","geneeskunde:theorie:ziekteclassificatie"
"the struggle for survival","de strijd om te overleven"
"the construction and use of the astrarium","de bouw en het gebruik van het astrarium"
"ladies","dames"
"profaned","ontheiligd"
"has a large body but is incredibly skinny","heeft een groot lichaam but is ongelooflijk mager"
"is lanky and frail","is slungelig en kwetsbaar"
" boldly, even if it would offend an average sense of modesty"," stoutmoedig, zelfs als het een gemiddeld gevoel voor bescheidenheid zou kwetsen"
"skip","overslaan"
"That's suspicious!","Dat is verdacht!"
"has an extremely broad body with lots of fat on it","heeft een extreem breed lichaam met veel vet"
"Dirt Road","Zandweg"
"the causes of historical events","de oorzaken van historische gebeurtenissen"
"You are nauseated.","Je bent misselijk."
"was a spectacular failure","was een spectaculaire mislukking"
"Give me a break.","Geef me even rust."
"Cloth Workshop","Doekwerkplaats"
"d strongly favored","d sterk bevoordeeld"
"the taming of the ","het temmen van de "
"Engravers","Graveerders"
"grieved","bedroefd"
" partially free of the web."," gedeeltelijk vrij van het web."
" mounts "," bestijgt "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","CREATURE_CASTE_GRAPHICS-wezenkaste niet gevonden "
"Traits","Eigenschappen"
" to live a life of adventure"," een avontuurlijk leven leiden"
"gets distracted from conversations easily when ","raakt gemakkelijk afgeleid van gesprekken wanneer "
" weapons"," wapens"
" superiorly designed"," superieur ontworpen"
"Move keyboard cursor down (z)","Toetsenbordcursor omlaag (z) verplaatsen"
"I'm not worried.","Ik maak me geen zorgen."
"great creativity","grote creativiteit"
"gave food","gaf voedsel"
"a castle wall","een kasteelmuur"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Enige tijd besteden aan bezinning is bewonderenswaardig, maar je moet niet vergeten je leven te leiden."
"tuning","stemming"
"the notion of bonds between members of a community","het idee van banden tussen leden van een gemeenschap"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","Hier kun je onderdelen maken voor ballista's en katapulten.  In deze werkplaats wordt ook ballistamunitie geassembleerd."
"legendary bully","legendarische pestkop"
"has a small build and is very weak and incredibly skinny","heeft een klein postuur en is zeer zwak en ongelooflijk mager"
"Remote: ","Op afstand: "
"Pike","Piek"
"being rescued","gered worden"
"Default attack is a wrestling move.","Standaardaanval is een worstelgreep."
"superior quality ","superieure kwaliteit "
"being forced to endure the decay of an acquaintance","gedwongen worden het verval van een kennis te verdragen"
"Enemy/merchant trade trigger 5","Vijand-/koopmanhandels-trigger 5"
"The victory was shared by ","De overwinning werd gedeeld door "
"Acknowledge lack of bitterness","Gebrek aan verbittering erkennen"
"extremely low","extreem laag"
" because you are swimming."," omdat je zwemt."
"Verbally struggle against great dismay","Zich verbaal verzetten tegen grote ontzetting"
" talents and accomplishments"," talenten en prestaties"
"the Secret","het Geheim"
"dream","droom"
"item was favorite possession","voorwerp was favoriete bezit"
"You conclude your performance.","Je rond je uitvoering af."
" told the story of "," vertelde het verhaal van "
"trapped in cage","gevangen in kooi"
"[C:1:0:1]Drowsy","[C:1:0:1]Slaperig"
"brawler","vechter"
"Bypass greeting (new menu)","Begroeting overslaan (nieuw menu)"
"history:sourcing:role of systemic bias","geschiedenis:bronnen:rol van systemische vooringenomenheid"
"I realized ","Ik besefte "
", replacing ",", ter vervanging van "
"Workers ignore wood","Werkers negeren hout"
" log"," logboek"
" perpetrated "," pleegde "
"often lowers ","laat vaak zakken: "
"We are besieged by a terrifying monster from the harshest wilderness.","We worden belegerd door een angstaanjagend monster uit de wreedste wildernis."
"I ate at a crowded table.","Ik heb aan een drukke tafel gegeten."
" pushes"," duwt"
"I feel such sympathy!","Ik voel zoveel medeleven!"
"River Source","Rivierbron"
" needs alcohol to get through the working day"," heeft alcohol nodig om de werkdag door te komen"
"Monk","Monnik"
" in search of excitement"," op zoek naar opwinding"
"began to skulk and brood","begon te sluipen en te piekeren"
"No members","Geen leden"
"is very polite and observes appropriate rules of decorum when possible","is erg beleefd en volgt waar mogelijk de passende fatsoensregels"
"disillusioned","gedesillusioneerd"
"Regions","Regio's"
" due to "," door "
"a tribute agreement","een tribuutovereenkomst"
" throughout "," overal in "
"Disdains commerce","Minacht handel"
"st","ste"
"giving somebody food","iemand voedsel geven"
"The musician can alter the pitch of ","De muzikant kan de toonhoogte veranderen van "
"Carve fortification","Schietgat uithakken"
" and the "," en de "
"things...  certain things","dingen...  bepaalde dingen"
"Stone/clay","Steen/klei"
"Date: ","Datum: "
"""Leave me.  I need... ","""Laat me.  Ik moet... "
"Rotten tissue excised from ","Rot weefsel weggesneden uit "
"All I see here is not enough.","Wat ik hier zie, is niet genoeg."
"negotiate","onderhandelen"
"considers spending time alone much more important than associating with others","vindt tijd alleen doorbrengen veel belangrijker dan met anderen omgaan"
"Lover of ","Geliefde van "
"stole treasure from","stal schat van"
"Predator and Prey","Roofdier en Prooi"
" masterfully dyed with "," meesterlijk geverfd met "
", once of the Underworld.  ",", ooit uit de Onderwereld.  "
", is it really you?",", ben jij het echt?"
" own wellbeing, having no interest in material goods"," eigen welzijn, zonder interesse in materi‰le goederen"
"[C:2:0:1]Spring","[C:2:0:1]Lente"
"State feelings of great dislike","Sterke afkeer uiten"
"I must let grief pass me by.","Ik moet het verdriet laten passeren."
"An important decision awaits your careful deliberation.","Een belangrijke beslissing wacht op je zorgvuldige overweging."
"subdued","onderworpen"
"regretful","spijtig"
"vengefulness","wraakzucht"
"the color ","de kleur "
"  Effective pressure to comply came from co-conspirators surrounding ","  De effectieve druk om mee te werken kwam van mede-samenzweerders rondom "
"A great beast threatens to bring ruin upon our people.","Een groot beest dreigt ons volk te gronde te richten."
"State minor feeling of worry","Lichte bezorgdheid uiten"
"A snow storm has come.","Er is een sneeuwstorm gekomen."
"<invalid start> ","<ongeldig begin> "
"Classic varied ground tiles","Klassieke gevarieerde grondtegels"
"striking a triumphant pose","een triomfantelijke pose aannemen"
"Grab Weapon","Wapen pakken"
"feel agitated","geagiteerd voelen"
"Throwing tantrum","Woedeaanval"
"gelder","castreerder"
"would be lanky were it not for the massive muscles and slabs of lard","zou slungelig zijn als de enorme spieren en vetlagen er niet waren"
" refused an offer of peace from "," weigerde een vredesaanbod van "
"Site","Locatie"
" natural aversion to the adversary's inherent association with "," natuurlijke afkeer van de inherente band van de tegenstander met "
"finds those that engage in trade and commerce to be fairly disgusting","vindt mensen die zich met handel en commercie bezighouden behoorlijk weerzinwekkend"
"the departure of","het vertrek van"
"Seriously injured","Ernstig gewond"
"a shockingly profound feel for social relationships","een schokkend diep gevoel voor sociale relaties"
"Temperate Brackish Pool","Gematigde brakke poel"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Zorg dat je parameters en presets gebieden met gemiddelde hoogte, lage tot gemiddelde regenval, hoge drainage en vorstvrije gebieden kunnen ondersteunen.  "
", where numbers indicate a refrain",", waarbij nummers een refrein aangeven"
"Master","Meester"
"the distinction between motor and sensory nerves","het onderscheid tussen motorische en sensorische zenuwen"
" is surprised"," is verrast"
"in a circle","in een cirkel"
"Closed cases","Gesloten zaken"
"air","lucht"
". This is usually cuased by descriptions contains the characters [,] or :, all of which are reserved by the raw parser. Mod authors: please fix before publishing.",". Dit wordt meestal veroorzaakt doordat beschrijvingen de tekens [,] of : bevatten; die zijn allemaal gereserveerd door de raw-parser. Modauteurs: herstel dit v¢¢r publicatie."
"It is now summer.","Het is nu zomer."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","Voedsel kan worden verkregen in steden, uit de omgeving, of door lijken met een scherp voorwerp te slachten.  "
"not distracted","niet afgeleid"
"judge","rechter"
"parchment-producing ","perkamentproducerend "
"be spirited","levendig zijn"
"Failed to install mod:","Mod installeren mislukt:"
"to make a great discovery","een grote ontdekking doen"
"Empty","Leeg"
"Battle","Strijd"
"Nobles and administrators","Edelen en beheerders"
"crystal glass paste","kristalglaspasta"
"This is your master.","Dit is je meester."
" begins to stalk and brood..."," begint te sluipen en te tobben..."
"the belief of","het geloof van"
" first"," eerste"
"These people carrying on about romance should be more practical.","Die mensen die zo doorgaan over romantiek zouden praktischer moeten zijn."
"Gather fruit and vegetables from shrubs in this zone.","Verzamel fruit en groenten van struiken in deze zone."
"Block ","Blok "
"swamp","moeras"
"This creature dwells underground.","Dit wezen leeft ondergronds."
"the surgical method of scraping","de chirurgische methode van schrapen"
"unfavorable ","ongunstig "
"Inveigh Against ","Tekeergaan tegen "
"the state of demands","de staat van eisen"
"the Map","de Kaart"
"Move the camera","Camera verplaatsen"
"Dodge","Ontwijken"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","Toonhoogten zijn dicht opeengepakt in clusters terwijl de muziek van akkoord naar akkoord beweegt.  "
"medicine:method:fracture immobilization","geneeskunde:methode:breukimmobilisatie"
"Visitor cap","Bezoekerslimiet"
"Siege Engineer","Belegeringsingenieur"
"straight scar.  ","rechte litteken.  "
"Mountain: ","Berg: "
" was the "," was de "
"Randomize appearance","Uiterlijk willekeurig maken"
"the Lever","de Hendel"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Plaats de put in een open ruimte boven water om je burgers een relatief veilige plek te geven om water te halen. Vereist mechanismen, blokken, een ketting of touw en een emmer."
"Ninth","Negende"
"DOOR TAKEN BY INVADERS","DEUR GENOMEN DOOR INDRINGERS"
"Designating items for melting","Voorwerpen aanwijzen om te smelten"
"can assign and edit the routines your soldiers will follow. ","kun je de routines toewijzen en bewerken die je soldaten zullen volgen. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","De dorst naar kennis die sommige inwoners hebben kan worden gestild in de [C:1:0:1]Bibliotheek[C:7:0:0]. "
"refugees calling themselves ","vluchtelingen die zichzelf noemen "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].Overlappende breuk (in tractie)"
"soap maker","zeepmaker"
"Say something about your family","Iets over je familie zeggen"
"  A foolhardy soul might try to rescue the ","  Een roekeloze ziel zou kunnen proberen de "
" was seen being stolen!"," werd gestolen gezien!"
"beat somebody up","iemand in elkaar slaan"
"Carpentry","Timmerwerk"
"Burial Chamber","Grafkamer"
"Overall, ","Al met al, "
"a armorsmith's shop","een pantsersmidse"
"Armorsmithing Workshop","Pantsermakerswerkplaats"
"a large animal","een groot dier"
"Already interviewed","Al ge‹nterviewd"
"It has started raining.","Het is begonnen te regenen."
"Will Tell","Zal vertellen"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Stel verzamelopdrachten voor planten in. Sommige planten vereisen dat er vruchten of andere groeisels aanwezig zijn."
"One must always carefully consider the correct course of action.","Men moet altijd zorgvuldig de juiste handelwijze overwegen."
", but they had nothing left to give",", maar ze hadden niets meer te geven"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Misschien zijn ze allemaal nog hier, onwillig om het prachtige fort te verlaten dat je voor hen hebt voorbereid. "
"melted.","gesmolten."
"history:sourcing:role of state bias and propaganda","geschiedenis:bronnen:rol van staatsbias en propaganda"
" a mesmerizing tale!"," een intrigerend verhaal!"
"stonecutter","steenhouwer"
"A ballista's orientation cannot be changed","De richting van een ballista kan niet worden gewijzigd"
"Affects trap detection, ambusher detection, charge defense, and provides enemy attack information.","Be‹nvloedt valdetectie, detectie van hinderlagen, verdediging tegen stormaanvallen en geeft informatie over vijandelijke aanvallen."
