"its","его"
"The geldables have been torn away!","Причандалы были оторваны!"
"tearing","разрывая"
"tearing apart","разрывая на части"
"shattering","разбивая"
"chipping","повреждая"
"fracturing","ломая"
"denting","прокусывая"
"bruising","ушибая"
"'s ","- "
" it"," её"
" apart"," на части"
" and"," и"
" tearing apart"," разрывая на части"
" shattering"," разбивая"
" tearing"," разрывая"
" chipping"," повреждая"
" fracturing"," ломая"
" denting"," прокусывая"
" bruising"," ушибая"
"main part","большую часть"
" through a hole in the "," сквозь дыру в "
"passing through a hole in the ","проходит сквозь дыру в "
"jamming the","защемляя"
" part"," часть тела"
"through the ","сквозь "
"out of the wound","из раны"
"breaking away","отрывая"
" most of"," большую часть"
" half of"," половину"
" a piece of"," часть"
" the rest of"," оставшуюся часть"
" through the "," сквозь "
" and spilling "," и вываливая "
"your","ваш"
"rancid","протухший"
"decomposing","разлагающийся"
"rotten","гнилой"
"fetid","зловонный"
"foul","грязный"
"reeking","смердящий"
"filthy","грязный"
"stinking","вонючий"
"It is a gelding strike!","Это кастрирующий удар!"
"It is a gelding blow!","Это кастрирующий удар!"
"a major artery","крупная артерия"
"an artery","артерия"
" has been opened by the attack"," была вскрыта при атаке"
"many nerves","множество нервов"
"a motor nerve","двигательный нерв"
"a sensory nerve","чувствительный нерв"
"have","было"
"has","был"
" been severed"," рассечён"
"a ligament","связка"
" has been "," была "
"torn","разорвана"
"sprained","растянута"
"bruised","ушиблена"
"a tendon","сухожилие"
"strained","растянуто"
" is ripped to shreds!"," разорвано в клочья!"
" breaks!"," рвётся!"
" attack is interrupted!"," атака прервана!"
" have"," имеете"
" has"," имеет"
" become enraged!"," пришёл в ярость!"
" has lodged firmly in the wound!"," крепко застрял в ране!"
" latch on firmly"," крепко ухватились"
" latches on firmly"," крепко ухватился"
" to "," за "
" latch on firmly!"," крепко ухватились!"
" latches on firmly!"," крепко ухватился!"
" are"," -"
" is"," -"
" propelled away by the force of the blow!"," отброшен силой удара!"
" been knocked unconscious!"," потерял сознание!"
" been stunned again!"," снова оглушён!"
" been stunned!"," оглушён!"
" having more trouble breathing!"," дышит с ещё большим трудом!"
" having trouble breathing!"," дышит с трудом!"
" feel"," чувствует себя"
" looks"," выглядит"
" even more sick!"," ещё хуже!"
" sick!"," плохо!"
" is injected into the "," впрыскивается в "
" pours over the "," обливает "
" flows over the "," течёт по "
" splatters over the "," орошает "
" crumbles over the "," осыпает "
" is sucked out of the wound!"," высосана из раны!"
"World","Мир"
"Trade","Обмен"
"Animal","Животное"
"Death","Смерть"
"Labor","работе"
"Combat","Битва"
"Hunting","Охота"
"General","Общее"
"All","Все"
"Date: ","Дата: "
"st","ое"
"nd","ое"
"rd","е "
"th","ое"
" is "," - "
"hunting."," охотится."
"sparring.","участвует в тренировочном бою."
"fighting!"," сражается!"
"Unit report tabs","Закладки отчётов юнитов"
" (Tame)"," (Ручной)"
"with ","с "
" item"," предмет"
"Independent","Независимый"
"No team/side","Нет команды/стороны"
"Side #","Сторона #"
"Create","Создать"
"Reset","Сброс"
"Conditions","Условия"
"Equipment","Снаряжение"
"Skills","Умения"
"Creature","Существо"
"Tame/mountable","Ручное/верховое"
"Not","Не"
" year"," год"
"Set the weather, temperature, and time.","Настройка погоды, температуры и времени."
"No cumulus clouds","Нет кучевых облаков"
"Scattered cumulus","Рассеянные кучевые"
"Many cumulus (rain)","Много кучевых (дождь)"
"Cumulonimbus (rain)","Кучево-дождевые (дождь)"
"Cirrus","Перистые"
"No stratus","Не слоистые"
"Altostratus","Высокослоистые"
"Stratus (rain)","Слоистые (дождь)"
"Nimbostratus (rain)","Слоисто-дождевые (дождь)"
"No fog","Нет тумана"
"Thin mist","Тонкая дымка"
"Fog","Туман"
"Thick fog","Густой туман"
"Dragonfire","Драконье пламя"
"Magma","Магма"
"Fire","Огонь"
"Scorching","Палящая жара"
"Hot","Жарко"
"Warm","Тепло"
"Cool","Прохладно"
"Cold","Холодно"
"Subterranean","Подземелья"
"Freezing","Мороз"
"Below freezing","Сильный мороз"
"Deathly cold","Смертельный холод"
"Absolute zero","Абсолютный ноль"
"Morning","Утро"
"Late morning","Позднее утро"
"Early afternoon","Первая половина дня"
"Late afternoon","Вторая половина дня"
"Early evening","Ранний вечер"
"Evening","Вечер"
"Night","Ночь"
"Late night","Поздняя ночь"
"Early morning","Раннее утро"
"item","предмет"
"pasture (0,255,0)","пастбище (0,255,0)"
" from the dead"," из мёртвых"
" by appealing to a shared worship of "," апеллируя к общим верованиям "
" to sabotage the activities of "," подрывать деятельность "
" have returned."," вернулись."
" and others have returned."," и другие вернулись."
" has returned."," возвращается."
" has brought back many tales from beyond "," рассказывает много историй из-за пределов "
" has brought back a few rumors."," рассказывает несколько слухов."
" has brought back a rumor from abroad."," рассказывает слух из-за рубежа."
" has arrived."," прибывает."
" is visiting."," посещает."
", the performance troupe, has arrived.",", труппа, прибыла."
", a performance troupe, is visiting.",", труппа, посещает."
"Spoils Report: ","Сообщение о порче: "
" and others"," и другие"
"Winter","зимы"
"Autumn","осени"
"Summer","лета"
"Spring","весны"
"The dead walk.  Hide while you still can!","Мёртвые идут!  Прячьтесь, пока можете!"
"Forms twisted from their nature, legion of the night.  What hope remains?","Те, чья естественная форма была искажена, легионы ночи.  На что нам надеяться?"
"A vile force of darkness has arrived, seeking a parley!","Мерзкие силы тьмы заявились, желают переговоров!"
"The enemy have come and are preparing to lay siege.  They seek a parley!","Враг пришел и готовится к осаде.  Они желают переговоров!"
"An army has come to your lands seeking a parley.","Вражеская армия вторглась на ваши земли.  Они желают переговоров."
"A vile force of darkness has arrived!","Мерзкие силы тьмы наступают!"
"The enemy have come and are laying siege to the fortress.","Явился враг и начал осаду крепости."
"An army is invading!","Вторжение вражеской армии!"
"the Dissolution","Роспуск"
"I was yelled at by an unhappy citizen.","На меня наорал несчастный гражданин."
"overlord","повелитель"
"overlords","повелители"
" of "," от "
" has been founded "," было основано "
", has been conquered and",", был завоёван и"
", has been",", был"
" incorporated into your holdings."," присоединён к вашим владениям."
" has been conquered and now",", был завоёван, и теперь"
" looks to your thriving economy for its future prosperity."," рассчитывает на будущее процветание вашей экономики."
"save","сохранить"
"One of the compressed files on disk has errors in it.  Restore from backup if you are able.","Один из сжатых файлов на диске содержит ошибки.  Восстановите его из бэкапа, если это возможно."
" are "," - "
"prostrating ","преклоняются "
"themselves"," "
" before "," перед "
"torturing ","пытают "
"committing a depraved act upon ","совершают развратные действия над "
"devouring ","пожирают "
"admiring ","восхищаются "
"burning ","горят "
"shooting ","стреляют "
"surrounded by ","окружены "
"massacring ","устраивают бойню "
"fighting with ","бьются с "
"greeting ","приветствуют "
"refusing ","отвергают "
"speaking with ","разговаривают с "
"embracing ","обнимают "
"striking down ","поражают "
"raising ","поднимают "
"hiding ","скрывают "
"praying to ","молятся "
"contemplating ","созерцают "
"cooking ","готовят "
"engraving ","гравируют "
"impaled on ","насажены на "
"being flayed by ","освежёвываются "
"hanging from ","болтаются на "
"being mutilated by ","изувечиваются "
"praying","молятся"
"weeping","плачут"
"cringing","съёживаются"
"screaming","кричат"
"being tortured","подвергаются пыткам"
"committing a depraved act","совершают развратные действия"
"making a submissive gesture","выражают покорность"
"in a fetal position","в позе эмбриона"
"smeared out into a spiral","размазаны по спирали"
"falling","падают"
"dead","мёртвы"
"laughing","смеются"
"being shot","подстрелены"
"making a plaintive gesture","делают скорбные жесты"
"melting","плавятся"
"burning","горят"
"look","выглядят"
"looks","выглядит"
" dejected"," удручённо"
" terrified"," ужасно напуганно"
" offended"," оскорблённо"
" confused"," смущённо"
"suffering","страдают"
"withering away"," угасают"
"striking a menacing pose","принимает угрожающую позу"
"striking a triumphant pose","принимает торжествующую позу"
"laboring","трудятся"
"traveling","путешествуют"
"contemplating","созерцают"
"cooking"," готовят"
"engraving","гравируют"
"unnaturally contorted"," неестественно искривлены"
"being flayed"," освежёвываются"
"being mutilated"," изувечиваются"
"Untitled","Без названия"
", the deity of ",", божество "
", depicted as a ",", изображаемое как "
"skeletal ","костлявый "
"rotting ","гниющий "
"ghostly ","призрачный "
"female ","женского пола "
"male ","мужского пола "
"the deity of ","божество "
"argument","аргумент"
"Click a building to link to ","Нажмите на постройку, связываемую с "
" values such powerful forces in life"," ценит такие мощные силы жизни"
"is a complete scatterbrain, unable to focus on a single matter for more than a passing moment","обладает крайне рассеянным вниманием, не может сконцентрироваться на одной вещи дольше, чем на пару секунд"
"would never under any circumstances speak up or otherwise put forth ","ни при каких обстоятельствах не высказывается и не выдвигает "
"Link to ","Связать с "
"Cannot link to ","Не удается связать с "
"will be installed at ","будет установлено на "
"will be installed at target","будет установлен на цель"
"Owner: ","Владелец: "
"Weight: ","Вес: "
"Value: ","Стоимость: "
"On ","На "
"In ","В "
"With ","У "
"View","Обзор"
"View stockpile","Обзор склада"
"Uses","Применения:"
"Engraving ","Гравировать "
"Specify image","Выбрать изображение"
"Enraged at all enemies!","Охвачен яростью к врагам!"
"In a martial trance!","В состоянии боевого транса!"
"Throwing a tantrum!","Переживает нервный срыв!"
"Sunk into depression...","Погружается в депрессию..."
"Stumbling obliviously!","Застыл в ступоре!"
"Corrupt Soldier Mood: ","Потерян боевой настрой: "
"Has a horrible fell look!","Выглядит ужасающе!"
"Brooding darkly...","Погружён в мрачные мысли..."
"Has the aspect of one fey!","Выглядит вдохновлённым!"
"Peculiarly secretive...","Выглядит очень загадочно..."
"Possessed by unknown forces!","Одержим неизвестными силами!"
"Stricken by melancholy...","Охвачен тоской..."
"Crawling around babbling!","Ползает бормоча!"
"Running around babbling!","Бегает бормоча!"
"Crawling around crazed!","Ползает безумно!"
"Running around crazed!","Бегает безумно!"
"In a berserk rage!","В исступлённой ярости!"
"Staring off into space...","Смотрит в пустоту..."
"Corrupt Strange Mood: ","Прервано странное настроение: "
"Overcome by terror!","Охвачен паническим страхом!"
"In emotional shock!","В эмоциональном шоке!"
"Overwhelmed by horror!","Охвачен ужасом!"
"Experiencing mortal fear!","Смертельно напуган!"
"Beside ","Подавлен "
"herself","себя"
"himself","себя"
" with grief!"," горем!"
"Drowning in sadness!","Утопает в грусти!"
"Writhing in agony!","Бьётся в агонии!"
"Anguished!","Мучается!"
"Lost in despair!","Впал в отчаяние!"
"Completely dismayed!","В полном восторге!"
"Distressed!","Бедствует!"
"Taken by a fright!","Охвачен страхом!"
"Wallowing in misery!","Погряз в горе!"
"Truly mortified!","Абсолютно подавлен!"
"Shaken to the core!","Потрясён до глубины души!"
"In existential crisis!","В экзистенциональном кризисе!"
"Emotionally overloaded!","Эмоционально перегружен!"
"Pet of ","Питомец "
"Somebody","Кто-то"
"Creator of ","Создатель "
"Cannot expel or send away:","Невозможно изгнать или отослать прочь:"
"Does the expelling","Совершает изгнание"
"Nobility","Знать"
"Holds elected office","Занимает выборную должность"
"Spouse does the expelling","Супруг совершает изгнание"
"Spouse is not present","Супруг отсутствует"
"Spouse is nobility","Знатный супруг"
"Spouse is elected","Супруг избран"
"Child does the expelling","Изгнание ребёнка"
"Child is not present","Ребенок отсутствует"
"Child is nobility","Знатный ребёнок"
"Child is elected","Ребенок избран"
"Expel","Изгнать"
"Send to ","Отправить в "
"Send away","Прогнать"
"Cancel","Отмена"
"Overview","Просмотр"
"Items","Вещи"
"Health","Тело"
"Rooms","Комн."
"Relations","Отношения"
"Groups","Группы"
"Thoughts","Мысли"
"Personality","Личность"
" Year"," Год"
" Old"," "
"Spouse: ","Супруг: "
" lovers"," любовника"
"Lover: ","Любовник: "
" children"," детей"
"Child: ","Ребенок: "
" pets"," питомцев"
"Strong","Сильный"
"Agile","Гибкий"
"Tough","Крепкий"
"High stamina","Высокая выносливость"
"Recovers quickly","Быстро восстанавливается"
"Resists sickness","Хороший иммунитет"
"Weak","Слабый"
"Clumsy","Неуклюжий"
"Frail","Хилый"
"Low stamina","Низкая выносливость"
"Recovers slowly","Медленно восстанавливается"
"Sickly","Болезненный "
"Good analytical ability","Аналитические способности"
"Good focus","Хорошая концентрация"
"High willpower","Волевой"
"Creative","Творческий"
"Good intuition","Хорошая интуиция"
"Patient","Терпеливый"
"Good memory","Хорошая память"
"Good with language","Языкастый"
"Good spatial sense","Хорошее чувство пространства"
"Musical","Музыкальный"
"High kinesthetic sense","Чуткое тело"
"Developed empathy","Развитая эмпатия"
"High social awareness","Хорошее понимание социума"
"Poor analytical ability","Плохо анализирует"
"Poor focus","Слабая концентрация"
"Low willpower","Низкая сила воли"
"Not creative","Не креативен"
"Poor intuition","Слабая интуиция"
"Impatient","Нетерпеливый"
"Poor memory","Плохая память"
"Bad with words","Косноязычный"
"Poor spatial sense","Слабое чувство пространства"
"Not musical","Не музыкален"
"Poor kinesthetic sense","Нечуткое тело"
"Poor empathy","Слабая эмпатия"
"Poor social awareness","Плохое понимание социума"
"Quick to love","Влюбчивый"
"Hateful","Злобливый"
"Envious","Завистливый"
"Cheerful","Бодрый"
"Depression-prone","Склонный к депрессии"
"Anger-prone","Гневливый"
"Anxious","Тревожный"
"Lustful","Похотливый"
"Easily stressed","Неустойчивый к стрессу"
"Greedy","Жадный"
"Intemperate","Несдержанный"
"Brawler","Драчун"
"Stubborn","Упрямый"
"Wasteful","Расточительный"
"Prone to discord","Вздорный"
"Flatterer","Льстец"
"Polite","Вежливый"
"Disdains advice","Пренебригает советами"
"Fearless","Бесстрашный"
"Overconfident","Самонадеянный"
"Vain","Тщеславный"
"Ambitious","Амбициозный"
"Gracious","Грациозный"
"Extravagant","Экстравагантный"
"Zany","Чудной"
"Vengeful","Мстительный"
"Proud","Гордый"
"Cruel","Жестокий"
"Single-minded","Целеустремлённый"
"Hopeful","Полный надежд"
"Curious","Любопытный"
"Bashful","Робкий"
"Private","Скрытный"
"Perfectionist","Перфекционист"
"Obstinate","Упорный"
"Tolerant","Терпимый"
"Emotional obsessive","Навязчивый"
"Swayed by emotions","Эмоциональный"
"Altruistic","Альтруист"
"Dutiful","Ответственный"
"Thoughtless","Беспечный"
"Orderly","Организованный"
"Trusting","Доверчивый"
"Gregarious","Общительный"
"Overbearing","Властный"
"Frenetic","Деятельный"
"Thrill-seeker","Любитель острых ощущений"
"Flights of fancy","Фантазёр"
"Inclined to abstract","Теоретик"
"Artistically inclined","Cклоность к искусству"
"Slow to love","Не влюбчив"
"Slow to hate","Не злоблив"
"Not envious","Не завистлив"
"Cheerless","Унылый"
"Not easily depressed","Редко впадает в депрессию"
"Slow to anger","Не гневлив"
"Not anxious","Не тревожен"
"Not lustful","Не похотлив"
"Resilient","Неунывающий"
"Not greedy","Не жадный"
"Temperate","Сдержанный"
"Avoid fights","Избегает драк"
"Quick to give up","Быстро сдаётся"
"Not wasteful","Экономный"
"Seeks harmony","Ищет гармонию"
"Quarreler","Спорщик"
"Rude","Грубый"
"Overreliant on advice","Чрезмерно полагается на советы"
"Fearful","Боязливый"
"Pusillanimous","Малодушный"
"Not vain","Не тщеславный"
"Not ambitious","Не амбициозный"
"Ungrateful","Неблагодарный"
"Austere","Аскетичный"
"Humorless","Без чувства юмора"
"Not vengeful","Не мстительный"
"Low self esteem","Низкая самооценка"
"Merciful","Милосердный"
"Scatterbrained","Рассеянный"
"Quick to despair","Быстро впадает в отчаяние"
"Incurious","Нелюбопытный"
"Shameless","Бесстыжий"
"Overshares","Болтливый"
"Inattentive","Невнимательный"
"Acquiescing","Уступчивый"
"Intolerant","Нетерпимый"
"Emotionally distant","Отстранённый"
"Unswayed by emotions","Неподвластный эмоциям"
"Not altruistic","Не альтруистичный"
"Not dutiful","Не ответственный"
"Overcautious","Сверхбдительный"
"Sloppy","Небрежный"
"Distrustful","Недоверчивый"
"Loner","Одиночка"
"Unassertive","Непритязательный"
"Leisurely","Неторопливый"
"Avoids excitement","Избегает острых ощущений"
"Fact-oriented","Ориентированный на факты"
"Not inclined to abstract","Не склонен теоретизировать"
"Not inclined to create art","Не склонен к творчеству"
"Values law","Уважает закон"
"Values loyalty","Ценит преданность"
"Values family","Ценит семью"
"Values friendship","Ценит дружбу"
"Values power","Уважает силу"
"Values truth","Ценит правду"
"Values cunning","Ценит хитрость"
"Values eloquence","Ценит красноречие"
"Values fairness","Ценит справедливость"
"Values decorum","Уважает приличия"
"Values tradition","Ценит традиции"
"Values artwork","Ценит искусство"
"Values cooperation","Ценит сотрудничество"
"Values independence","Ценит независимость"
"Values stoicism","Ценит стоицизм"
"Values introspection","Ценит самоанализ"
"Values self-control","Ценит самообладание"
"Values tranquility","Ценит спокойствие"
"Values harmony","Ценит гармонию"
"Values merriment","Ценит веселье"
"Values craftwork","Ценит ремесло"
"Values martial prowess","Ценит воинскую доблесть"
"Values skill","Ценит мастерство"
"Values hard work","Ценит упорный труд"
"Values sacrifice","Ценит жертвенность"
"Values competition","Ценит соперничество"
"Values perseverance","Ценит настойчивость"
"Values leisure time","Ценит свободное время"
"Values commerce","Ценит торговлю"
"Values romance","Ценит романтику"
"Values nature","Ценит природу"
"Values peace","Ценит мирную жизнь"
"Values knowledge","Ценит знания"
"Disdains law","Презирает закон"
"Disdains loyalty","Презирает преданность"
"Disdains family","Презирает семью"
"Disdains friendship","Презирает дружбу"
"Disdains power","Презирает власть"
"Disdains truth","Презирает честность"
"Disdains cunning","Презирает хитрость"
"Disdains eloquence","Презирает красноречие"
"Disdains fairness","Презирает справедливость"
"Disdains decorum","Презирает приличия"
"Disdains tradition","Презирает традиции"
"Disdains artwork","Презирает искусство"
"Disdains cooperation","Презирает сотрудничество"
"Disdains independence","Презирает независимость"
"Disdains stoicism","Презирает стоицизм"
"Disdains introspection","Презирает самоанализ"
"Disdains self-control","Презирает самоконтроль"
"Disdains tranquility","Презирает спокойствие"
"Disdains harmony","Презирает гармонию"
"Disdains merriment","Презирает веселье"
"Disdains craftwork","Презирает ремесло"
"Disdains martial prowess","Презирает воинскую доблесть"
"Disdains skill","Презирает мастерство"
"Disdains hard work","Презирает тяжелую работу"
"Disdains sacrifice","Презирает жертвенность "
"Disdains competition","Презирает соперничество"
"Disdains perseverance","Презирает настойчивость"
"Disdains leisure time","Презирает отдых"
"Disdains commerce","Презирает торговлю"
"Disdains romance","Презирает романтику"
"Disdains nature","Презирает природу"
"Disdains peace","Презирает мирную жизнь"
"Disdains knowledge","Презирает знания"
"Harrowed","Измучен"
"Haggard","Переутомлён"
"Stressed","Стресс"
"Starving","Умирает с голоду"
"Hungry","Голоден"
"Dehydrated","Обезвожен"
"Thirsty","Жажда"
"Very drowsy","Очень сонный"
"Drowsy","Сонный"
"Very hungry","Сильный голод"
"Thirsty!","Жажда!"
"Very thirsty","Сильная жажда"
"Slumberous","Дремота"
