"more presumptious","ngÕo mÕn h½n"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","Ch÷n mµt kho chÑa mà phß½ng ti®n cüa ği¬m d×ng ray s¨ trao ğ±i v§t ph¦m. Phß½ng ti®n s¨ l¤y các v§t ph¦m mong mu¯n và dŞ bö b¤t kÏ v§t ph¦m nào khác."
"Forbid trap cleaning during sieges","C¤m d÷n d©p bçy trong th¶i gian b¸ vây hãm"
"It makes me very anxious.","Chuy®n này khiªn ta r¤t lo l¡ng."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","Phäi, và chúng ta s¨ giao d¸ch! Ğ½n giän hãy nói cho ta biªt ngß½i mu¯n gì và ngß½i sÇn lòng ğ« ngh¸ gì ğ¬ trao ğ±i."
"believes that the time taken to master a skill is a horrible waste","tin r¢ng th¶i gian dành ğ¬ tinh thông mµt kÛ nång là mµt sñ lãng phí khüng khiªp"
"grow funding network","phát tri¬n mÕng lß¾i tài chính"
", but it passes right through!",", nhßng nó xuyên thÆng qua!"
"doesn't respect a society that has settled into harmony without debate and strife","Không tôn tr÷ng mµt xã hµi ğã ±n ğ¸nh trong sñ hài hòa mà không có tranh lu§n và tranh ch¤p."
"al voices bring melody, counterpoint and rhythm","các gi÷ng hát mang ğªn giai ği®u, ğ¯i âm và tiªt t¤u"
"is tiny and weak","Bé tí và yªu ¾t."
"the divergence of the harmonic series","sñ phân kÏ cüa chu²i ği«u hòa"
"Charge Attack","T¤n công xung phong"
"It is an example of ","Ğây là mµt ví dø v« "
"Crushed under a collapsing ceiling","B¸ ğè nát dß¾i tr¥n s§p"
"Cannot chop tree","Không th¬ ch£t cây"
"Certainly considered a bully","Ch¡c ch¡n ğßşc coi là mµt kë b¡t nÕt"
"Guilty","Cäm th¤y tµi l²i"
"the construction and use of the water-powered trip hammer","vi®c chª tÕo và sØ døng búa n®n chÕy b¢ng nß¾c"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Hãy chu¦n b¸ dçn d¡t nhæng ğµi quân lùn dûng cäm cüa bÕn ğªn v¾i v§n may trong mµt thª gi¾i ğ¥y rçy hi¬m nguy. "
"groups","Các nhóm"
"strings vibrate","các dây ğàn rung ğµng"
"I was yelled at by an unhappy citizen.","Tôi ğã b¸ mµt công dân b¤t mãn la m¡ng."
"high-voiced","gi÷ng cao"
"Others were too wary to make the journey.","Nhæng ngß¶i khác quá th§n tr÷ng ğ¬ thñc hi®n chuyªn ği."
"Acknowledge lack of joy","Th×a nh§n không có ni«m vui"
"zaniness","KÏ qu£c"
" was claimed"," ğã ğßşc tuyên b¯ chü quy«n"
"is never moved by the emotions of others","không bao gi¶ b¸ lay ğµng b·i cäm xúc cüa ngß¶i khác"
"be moderately loud","khá l¾n"
"Order listener to ","Ra l®nh cho ngß¶i nghe "
"finds leisure time wasteful","th¤y th¶i gian ränh r²i là lãng phí"
"Loading work quotas...","Täi các chï tiêu công vi®c..."
", rather than walking leisurely.""",", thay vì räo bß¾c nhàn nhã."
"Cannot generate random creatures -- missing creature variation ","Không th¬ tÕo sinh v§t ngçu nhiên -- thiªu biªn th¬ sinh v§t "
"a murder","mµt vø giªt ngß¶i"
"State minor feeling of vengefulness","Bµc lµ cäm giác thù h§n thoáng qua"
"Acknowledge lack of wonder","Xác nh§n sñ thiªu v¡ng kinh ngÕc"
"events","Sñ ki®n"
"You begin","BÕn b¡t ğ¥u"
"thrilled","Ph¤n khích"
"ash","Tro"
"a foiled corruption conspiracy","mµt âm mßu tham nhûng b¸ phá vŞ"
"amber","h± phách"
"being unable to find somebody to complain to about job scarcity","Không th¬ tìm ai ğó ğ¬ than phi«n v« tình trÕng khan hiªm vi®c làm"
"various civilized races peopled the world.","nhi«u chüng tµc vån minh khác nhau sinh s¯ng trên thª gi¾i."
"Children.","Các con."
"more wasteful","lãng phí h½n"
"Investigate or interrogate (new menu)","Ği«u tra ho£c th¦m v¤n (menu m¾i)"
" from a period of no rule"," t× mµt th¶i kÏ vô chính phü"
" second"," thÑ hai"
"wait","ğşi"
"has a narrow, prominent","có mµt cái h©p, n±i b§t"
"to beseech","ğ¬ kh¦n c¥u"
"Collapsed","Gøc ngã"
"engineering:machine:piston","KÛ thu§t:C½ khí:Pít-tông"
"Click a creature to start a new conversation","Nh¤p vào mµt sinh v§t ğ¬ b¡t ğ¥u cuµc trò chuy®n m¾i"
"Furniture/siege ammo","Nµi th¤t/ĞÕn công thành"
"to bathe the world in chaos","nh¤n chìm thª gi¾i trong h²n loÕn"
"Requests (Imports from ","Yêu c¥u (Nh§p kh¦u t× "
"surveying by triangulation for engineering projects","Ğo ğÕc b¢ng phép tam giác ğÕc cho các dñ án kÛ thu§t."
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please."," Ta ß¾c gì có th¬ nói cho ngß½i biªt n½i ğ¬ b¡t ğ¥u tìm kiªm. Cho ğªn lúc ğó, ngß½i ğßşc tñ do làm ği«u mình mu¯n."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].Gãy ch°ng xß½ng"
"Shrub","Bøi cây"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Chúng tôi chï có th¬ ğ°ng ı v¾i t¯i ğa "
"Make Caves Visible","Hi¬n th¸ hang ğµng"
" has calmed down."," ğã bình tînh lÕi."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","Cho r¢ng vi®c th¬ hi®n vë m£t dûng cäm và không bao gi¶ càu nhàu, phàn nàn hay th§m chí bi¬u lµ cäm xúc là cñc kÏ quan tr÷ng."
"Leave Wall","R¶i tß¶ng"
"medicine:theory:classification of bodily fluids","Y h÷c: Lı thuyªt: Phân loÕi d¸ch c½ th¬"
"Shake ","L¡c "
"Associated","Có liên quan"
"Avoid conflict today.","Hôm nay, hãy tránh xung ğµt."
"Returning soldiers bring rumor(s)","Binh lính tr· v« mang theo tin ğ°n"
"has a fairly deep and raspy voice","có gi÷ng khá tr¥m và khàn"
" bag is used by the musician to control the steady flow of air through the instrument.]"," túi ğßşc nhÕc công sØ døng ğ¬ ki¬m soát lu°ng khí ±n ğ¸nh qua nhÕc cø.]"
"You feel hot/cold","BÕn cäm th¤y nóng/lÕnh"
"drinking without well","U¯ng không có giªng"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","Giao mµt l®nh phòng thü hang ğµng. Binh lính s¨ tu¥n tra hang ğµng và t¤n công b¤t kÏ sinh v§t thù ğ¸ch nào."
"tanned","thuµc da"
"Mount ","Núi "
"engineering:optics:theory of rainbows","KÛ thu§t:Quang h÷c:Lı thuyªt c¥u v°ng"
" terrified"," kinh hoàng"
" promised "," hÑa h©n "
"Invaders can dig natural walls","Quân xâm lßşc có th¬ ğào tß¶ng tñ nhiên"
"No item to throw","Không có v§t ph¦m ğ¬ ném"
"being tormented in nightmares by a dead sibling","B¸ mµt anh ch¸ em ğã chªt giày vò trong ác mµng"
"The guildhall petition by ","Ğ½n thïnh c¥u v« tòa hµi quán cüa "
"Surgeon","Bác sî phçu thu§t"
"mathematics:algebra:divergence of harmonic series","Toán h÷c:ĞÕi s¯:Sñ phân kÏ cüa chu²i ği«u hòa"
"burned away","thiêu hüy"
"by invocation of True Name","b¢ng cách ni®m Chân Danh"
"You've caught a ","BÕn ğã b¡t ğßşc mµt "
"Give me the bustle and noise over all that quiet!","Hãy cho tôi sñ h¯i hä và °n ào h½n là t¤t cä sñ tînh l£ng ğó!"
"as a former slave of","v¾i tß cách là cñu nô l® cüa"
"respects commerce","kính tr÷ng thß½ng mÕi"
"the Line","Ğß¶ng thÆng"
"feeling apathetic","cäm th¤y th¶ ½"
"recruit","Tân binh"
" was imprisoned by"," b¸ giam c¥m b·i"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","Coi vi®c ğÕt ğßşc và bäo t°n kiªn thÑc là mµt công vi®c ğáng ghét do nhæng kë ngu ng¯c kiêu ngÕo thñc hi®n."
"bowls","bát"
"is short and just incredibly fat","ng¡n và ğ½n giän là béo phì ğáng kinh ngÕc"
"strand extractor","Ngß¶i chiªt sşi"
"former master","cñu chü nhân"
" is at war with us."," ğang có chiªn tranh v¾i chúng ta."
"the Rising of the Moon","M£t Trång M÷c"
"is weak and extremely short","yªu ¾t và cñc kÏ ng¡n"
"begins to stammer when ","b¡t ğ¥u nói ¤p úng khi "
"addition of masterful rollers","vi®c thêm các con lån b§c th¥y"
"Welcome to Dwarf Fortress","Chào m×ng ğªn v¾i Dwarf Fortress"
"Grab Milk Unit","L¤y ğ½n v¸ sæa"
" has brought back many tales from beyond "," ğã mang v« nhi«u câu chuy®n t× vùng ğ¤t xa xôi "
"thoughtless","Vô tâm"
"Clothes Making","May M£c"
"Mechanic","Thş c½ khí"
"clothes rot off of ","Qu¥n áo møc nát khöi "
"That's not right.","Ği«u ğó không ğúng."
"Nothing to interact","Không có gì ğ¬ tß½ng tác"
"Many are ","Nhi«u kë "
"often feels lustful","thß¶ng cäm th¤y ham mu¯n"
"forming a bond with an animal training partner","vi®c hình thành m¯i liên kªt v¾i bÕn ğ°ng hành hu¤n luy®n ğµng v§t"
"Embark","Kh·i hành"
", animated by unknown forces",", ğßşc v§n hành b·i các thª lñc bí ¦n"
"Uninterested in an owner","Không quan tâm ğªn chü"
"No match.","Không kh¾p."
"a year ago","mµt nåm trß¾c"
"completed job","Ğã hoàn thành công vi®c"
"SAVAGERY REJECTION","T» CHI MºC Ğ“ HOANG DÃ"
"Dictionary","T× ği¬n"
"You cannot climb or mount while prone.","BÕn không th¬ leo ho£c trèo lên khi ğang n¢m s¤p."
"woodcutter","thş ğ¯n g²"
"I worship no one.","Ta không tôn th¶ b¤t cÑ ai."
"does not easily fall in love and rarely develops positive sentiments","không d­ phäi lòng và hiªm khi näy sinh tình cäm tích cñc"
"Duplicate","Bän Sao"
"Trader","Thß½ng nhân"
"the search of ","cuµc tìm kiªm cüa "
"Preparing for the caravan","Chu¦n b¸ cho ğoàn thß½ng gia"
"Your bookkeeper has done enough work to attain ","Kª toán cüa bÕn ğã làm ğü vi®c ğ¬ ğÕt ğßşc "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","Chª tÕo trong trò ch½i c½ bän b¸ gi¾i hÕn · vi®c chª tÕo mµt chiªc rìu ğá c¥n thiªt ğ¬ ğ¯n cây. BÕn có th¬ nh£t vài hòn ğá và mµt cành cây ğ¬ b¡t ğ¥u. "
" was spotted sneaking around!"," ğã b¸ phát hi®n lén lút."
"more of a loner","thích cô ğµc h½n"
"Unassuming","Khiêm t¯n"
"nine thousand","chín nghìn"
"Find embark location","Tìm ğ¸a ği¬m kh·i hành"
"Child is nobility","Con cái là quı tµc"
"light","nh© nhàng"
"Meanness   <->   Wastefulness","Keo ki®t <-> Lãng phí"
"Various seeds","Các hÕt gi¯ng khác"
" Downward Track (NE)"," Ğß¶ng ray ği xu¯ng (Ğông B¡c)"
"denting","lõm"
" the name "," tên "
"stress vulnerability","D­ b¸ cång thÆng"
"Initial forest square count fails by ","S¯ lßşng ô r×ng ban ğ¥u không ğÕt ğßşc theo "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Nhæng kÏ công cüa bÕn s¨ ğßşc ghi lÕi trong chª ğµ Legends và b·i các ngh® nhân kh¡c tài ba trong nhæng pháo ğài tiªp theo trên thª gi¾i cüa bÕn."
"flat","phÆng l£ng"
"The desired pitch is selected using a ","Cao ğµ mong mu¯n ğßşc ch÷n b¢ng cách sØ døng mµt "
"Feared as a villain","B¸ khiªp sş nhß mµt kë ác"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Chuy¬n ğ±i xem kho dñ træ có th¬ l¤y v§t ph¦m t× b¤t kÏ ğâu hay chï t× các xß·ng và kho dñ træ cø th¬."
"boiling clear glass","Thüy tinh trong sôi"
"I accept this honor.","Ta ch¤p nh§n vinh dñ này."
"the method of writing the history of a single individual","phß½ng pháp viªt l¸ch sØ cüa mµt cá nhân"
" and it is mostly cut away from the rest of the torso!"," và b¸ c¡t g¥n lìa khöi ph¥n còn lÕi cüa thân!"
"No heavy attack: enraged","Không th¬ t¤n công mÕnh: ğang cu°ng nµ"
" own possessions"," tài sän cüa mình"
"rages","n±i c½n th¸nh nµ"
"Announcements","Thông báo"
"meeting area zones, dining rooms and","các khu vñc g£p gŞ, phòng ån và"
" became "," ğã tr· thành "
" is angry"," tÑc gi§n"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Ğ¬ sØ døng mµt s¯ chÑc nång, nhß l®nh làm vi®c ho£c kª toán, [C:5:0:0]Quän tr¸ viên[C:7:0:0] phäi ğßşc b± nhi®m. "
"Remorseful","H¯i h§n"
"Shearer","Thş xén lông"
"Mid-","Giæa-"
" rope"," Dây th×ng"
"ill-fated ","ğoän m®nh "
"feel heavy","cäm th¤y n£ng n«"
"The army of ","Ğµi quân cüa "
"is very frail and incredibly long","r¤t ¯m yªu và vô cùng dài."
"a robbery","mµt vø cß¾p"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Nªu bÕn s¯ng sót cho ğªn khi ğoàn læ hành ğªn, bÕn cûng có th¬ giao d¸ch l¤y [C:6:0:1]Drinks[C:7:0:0] "
"Slab engraved","Bia ğá ğã kh¡c"
"You know, I think you're right.","Ngß½i biªt ğ¤y, ta nghî ngß½i nói ğúng."
"Dismiss minor feeling of shock","GÕt bö cäm giác s¯c thoáng qua"
"in order to glorify ","ğ¬ tôn vinh "
" battles"," các tr§n chiªn"
"Masterwork","Ki®t tác"
"amused","thích thú"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Nhæng công dân không hÕnh phúc có th¬ qu§y phá và gây r¡c r¯i, và ít ngß¶i s¨ mÕo hi¬m ğªn mµt "
"You need a free grasp to climb.","Ngß½i c¥n mµt tay ränh ğ¬ trèo."
"a divine being","mµt thñc th¬ th¥n thánh"
"earth","ğ¤t"
"specialized surgical instruments","døng cø phçu thu§t chuyên døng"
" and it is all thanks to "," và t¤t cä là nh¶ có "
"is gigantic and quite fat","kh±ng l° và khá béo"
"Gladiatory Games","Các trò ğ¤u giác"
"Water wheels are 1x3 or 3x1.","Bánh xe nß¾c có kích thß¾c 1x3 ho£c 3x1."
" looks "," trông "
"free rhythm","nh¸p ği®u tñ do"
"I see your low race still revels in death.  That poor, gentle creature...","Ta th¤y chüng tµc th¤p kém cüa ngß½i vçn vui thú trong cái chªt. Sinh v§t hi«n lành ğáng thß½ng ğó..."
"Please help me to escape from this place.","Làm ½n hãy giúp tôi thoát khöi n½i này."
" Upward Track (NS)"," Ğß¶ng ray ği lên (B¡c-Nam)"
"the Purchase","Sñ mua s¡m"
"who","ai"
"the ghost of my sibling","linh h°n cüa anh/ch¸/em tôi"
" a friend"," mµt ngß¶i bÕn"
" specific move"," ğµng tác cø th¬"
"the classification of toxic substances","Vi®c phân loÕi ch¤t ğµc."
"mid-length phrases","các ğoÕn có ğµ dài trung bình"
"Writing","Viªt"
"a great dining room","mµt phòng ån tuy®t häo"
"is thin, skinny and weak","g¥y, khÆng khiu và yªu ¾t."
"announcement","Thông báo"
"Machines/fluids","Máy móc/ch¤t löng"
", but it means nothing now.",", nhßng gi¶ ğây ği«u ğó chÆng còn ı nghîa gì."
"More likely, your dwarves will starve, unless you read the first few guides here! ","Nhi«u khä nång, nhæng ngß¶i lùn cüa bÕn s¨ chªt ğói, tr× khi bÕn ğ÷c vài hß¾ng dçn ğ¥u tiên · ğây! "
"grovel","QuÏ lÕy"
"Frequent","Thß¶ng xuyên"
"the mercenary operation","hoÕt ğµng lính ğánh thuê"
"Comrade","Ğ°ng chí"
"Your dreams will come true.","¿¾c m½ cüa ngß½i s¨ thành hi®n thñc."
"is quite mocking in tone","có gi÷ng ği®u khá mïa mai"
"'s onslaught","cuµc công kích cüa"
"geography:form:atlas","Ğ¸a lı:Hình thÑc:T§p bän ğ°"
"State minor feeling of love","Bµc lµ cäm giác yêu thß½ng thoáng qua"
"'s location","v¸ trí cüa"
"I'm very lonely.","Ta r¤t cô ğ½n."
"active performance poem reciter","ngß¶i ngâm th½ ğang bi¬u di­n"
"State minor feeling of gloom","Bµc lµ cäm giác äm ğÕm thoáng qua"
" recitation of "," tøng ğ÷c v« "
"has high cheekbones","có xß½ng gò má cao"
"philosophy:specialized:politics social welfare","triªt h÷c:chuyên ngành:chính tr¸ phúc lşi xã hµi"
"a noted flatterer","mµt kë n¸nh hót có tiªng"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]Zones[C:7:0:0] ğßşc ğ£t tß½ng tñ nhß [C:6:0:0]Stockpiles[C:7:0:0]. "
"Mandate period (more = fewer)","Chu kÏ ban hành (cao h½n = ít h½n)"
"Nonsense","Vô nghîa"
"mathematics:geometry:pythagorean triples small","toán h÷c:hình h÷c:bµ ba Pytago nhö"
"the construction and use of the flask","vi®c xây dñng và sØ døng bình c¥u"
" Floor Grate"," Lß¾i ch¡n sàn"
"greedier","tham lam h½n"
"a theft","mµt vø trµm c¡p"
"Resourcefulness","Tháo vát"
"the enactment of a series of oppressive laws","vi®c ban hành mµt loÕt ğÕo lu§t áp bÑc"
"medicine:theory:disease classification","Y h÷c: Lı thuyªt: Phân loÕi b®nh"
"the struggle for survival","cuµc ğ¤u tranh sinh t°n"
"the construction and use of the astrarium","Vi®c chª tÕo và sØ døng ğ°ng h° thiên vån."
"ladies","các phu nhân"
"profaned","báng b±"
"has a large body but is incredibly skinny","s· hæu thân hình l¾n nhßng g¥y gò ğáng kinh ngÕc"
"is lanky and frail","dong döng và mong manh"
" boldly, even if it would offend an average sense of modesty"," mµt cách táo bÕo, ngay cä khi ği«u ğó có th¬ xúc phÕm ğªn cäm giác khiêm t¯n thông thß¶ng"
"skip","Bö qua"
"That's suspicious!","Th§t ğáng ng¶!"
"has an extremely broad body with lots of fat on it","s· hæu thân hình cñc kÏ b« thª v¾i r¤t nhi«u mŞ."
"Dirt Road","Ğß¶ng Ğ¤t"
"the causes of historical events","các nguyên nhân cüa các sñ ki®n l¸ch sØ"
"You are nauseated.","BÕn ğang bu°n nôn."
"Give me a break.","Thôi ğü r°i."
"Cloth Workshop","Xß·ng Väi"
"d strongly favored","d ğßşc ßu ái mÕnh m¨"
"the taming of the ","vi®c thu¥n hóa "
"Engravers","Thş kh¡c"
"grieved","ğau bu°n"
" partially free of the web."," mµt ph¥n thoát khöi mÕng nh®n."
" mounts "," cßŞi "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","Không tìm th¤y c¤p b§c sinh v§t CREATURE_CASTE_GRAPHICS "
" to live a life of adventure"," ğ¬ s¯ng mµt cuµc ğ¶i phiêu lßu"
"gets distracted from conversations easily when ","d­ dàng b¸ xao nhãng khöi cuµc trò chuy®n khi "
" weapons"," vû khí"
" superiorly designed"," ğßşc thiªt kª vßşt trµi"
"Move keyboard cursor down (z)","Di chuy¬n con trö bàn phím xu¯ng (z)"
"I'm not worried.","Ta không lo l¡ng."
"great creativity","khä nång sáng tÕo tuy®t v¶i"
"gave food","Ğã cho thÑc ån"
"a castle wall","Mµt bÑc tß¶ng lâu ğài"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Dành th¶i gian suy ngçm là ği«u ğáng ngßŞng mµ, nhßng bÕn không ğßşc quên s¯ng cuµc ğ¶i cüa mình."
"tuning","ği«u chïnh"
"the notion of bonds between members of a community","Khái ni®m v« m¯i liên kªt giæa các thành viên trong mµt cµng ğ°ng"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","TÕi ğây bÕn có th¬ chª tÕo các bµ ph§n cho máy b¡n ğá l¾n và máy b¡n ğá. Xß·ng này cûng là n½i l¡p ráp ğÕn cho máy b¡n ğá l¾n."
"legendary bully","Kë b¡t nÕt huy«n thoÕi"
"has a small build and is very weak and incredibly skinny","Có dáng ngß¶i nhö bé, r¤t yªu ¾t và g¥y gò ğáng kinh ngÕc."
"Remote: ","T× xa: "
"Pike","Thß½ng Dài"
"being rescued","ğßşc giäi cÑu"
"Default attack is a wrestling move.","Ğòn t¤n công m£c ğ¸nh là ğòn v§t lµn."
"superior quality ","ph¦m ch¤t ßu vi®t "
"being forced to endure the decay of an acquaintance","B¸ buµc phäi ch¸u ğñng sñ phân hüy cüa mµt ngß¶i quen"
"The victory was shared by ","Chiªn th¡ng ğã ğßşc chia së b·i "
"Acknowledge lack of bitterness","Th×a nh§n không có sñ cay ğ¡ng"
"extremely low","cñc kÏ th¤p"
" because you are swimming."," vì bÕn ğang b½i."
"Verbally struggle against great dismay","L¶i nói ğ¤u tranh ch¯ng lÕi sñ kinh hoàng tµt ğµ"
" talents and accomplishments"," tài nång và thành tñu cüa bän thân"
"the Secret","Bí M§t"
"dream","m½"
"item was favorite possession","v§t ph¦m t×ng là tài sän yêu thích"
"You conclude your performance.","Ngß½i kªt thúc màn trình di­n cüa mình."
" told the story of "," ğã k¬ câu chuy®n v« "
"trapped in cage","B¸ nh¯t trong l°ng"
"[C:1:0:1]Drowsy","[C:1:0:1]Bu°n ngü"
"brawler","kë gây g±"
"Bypass greeting (new menu)","Bö qua l¶i chào (menu m¾i)"
"history:sourcing:role of systemic bias","L¸ch sØ:Thu th§p ngu°n:Vai trò cüa thiên v¸ h® th¯ng"
"I realized ","Tôi ğã nh§n ra "
", replacing ",", thay thª "
"Workers ignore wood","Công nhân bö qua g²"
" log"," khúc g²"
" perpetrated "," ğã gây ra "
"often lowers ","thß¶ng hÕ th¤p "
"We are besieged by a terrifying monster from the harshest wilderness.","Chúng ta ğang b¸ vây hãm b·i mµt quái v§t ğáng sş t× vùng hoang dã kh¡c nghi®t nh¤t."
"I ate at a crowded table.","Tôi ğã ån · mµt chiªc bàn ğông ngß¶i."
" pushes"," ğ¦y"
"I feel such sympathy!","Ta cäm th¤y mµt sñ thông cäm sâu s¡c!"
"River Source","Ngu°n sông"
" needs alcohol to get through the working day"," c¥n rßşu ğ¬ vßşt qua ngày làm vi®c"
"Monk","Tu sî"
" in search of excitement"," ğ¬ tìm kiªm sñ ph¤n khích"
"began to skulk and brood","b¡t ğ¥u l¦n tr¯n và ü dµt"
"No members","Không có thành viên"
"is very polite and observes appropriate rules of decorum when possible","r¤t l¸ch sñ và tuân thü các quy t¡c l­ nghi phù hşp khi có th¬"
"disillusioned","vŞ mµng"
"Regions","Khu vñc"
" due to "," do "
"a tribute agreement","Mµt thöa thu§n c¯ng nÕp"
" throughout "," kh¡p "
"Disdains commerce","Khinh thß¶ng thß½ng mÕi"
"giving somebody food","Trao thÑc ån cho ai ğó"
"The musician can alter the pitch of ","NhÕc sî có th¬ thay ğ±i cao ğµ cüa "
"Carve fortification","Ğøc kh¡c công sñ"
" and the "," và {0} "
"things...  certain things","nhæng thÑ... nhæng thÑ nh¤t ğ¸nh"
"Stone/clay","Ğá/ğ¤t sét"
"Date: ","Ngày: "
"""Leave me.  I need... ","Hãy ğ¬ tôi yên. Tôi c¥n... "
"Rotten tissue excised from ","Ğã c¡t bö mô hoÕi tØ khöi "
"All I see here is not enough.","T¤t cä nhæng gì ta th¤y · ğây là không ğü."
"considers spending time alone much more important than associating with others","Coi vi®c dành th¶i gian mµt mình quan tr÷ng h½n nhi«u so v¾i vi®c giao du v¾i ngß¶i khác"
"Lover of ","Ngß¶i yêu cüa "
"stole treasure from","ğánh c¡p kho báu t×"
"Predator and Prey","Kë Sån M°i và Con M°i"
" masterfully dyed with "," ğßşc nhuµm màu mµt cách b§c th¥y b¢ng "
", once of the Underworld.  ",", t×ng thuµc v« Thª gi¾i ng¥m. "
", is it really you?",", ğó thñc sñ là ngß½i sao?"
